DateTime,Entries,UniqueIPs
1488679594,76,76
1488683196,72,72
1488686808,74,74
1488690389,79,79
1488694009,63,63
1488697599,64,64
1488701202,69,69
1488704804,67,67
1488708402,72,72
1488712010,74,74
1488715599,73,73
1488719204,70,70
1488722792,71,71
1488726408,70,70
1488729994,71,71
1488733605,69,69
1488737200,66,66
1488740806,67,67
1488744406,73,73
1488748013,75,75
1488751601,80,80
1488755206,79,79
1488758805,83,83
1488762410,83,83
1488766399,80,80
1488769985,81,81
1488773678,73,73
1488776988,69,69
1488780541,72,72
1488784310,70,70
1488788486,74,74
1488791627,73,73
1488795346,64,64
1488798657,69,69
1488802269,73,73
1488806063,73,73
1488809645,70,70
1488813251,70,70
1488816902,68,68
1488820403,65,65
1488824072,66,66
1488827461,63,63
1488831214,65,65
1488834628,70,70
1488838527,71,71
1488842271,71,71
1488845613,68,68
1488849386,58,58
1488852538,55,55
1488856639,56,56
1488859618,69,69
1488863657,76,76
1488867505,75,75
1488870869,73,73
1488874139,81,81
1488878037,79,79
1488881702,77,77
1488885072,75,75
1488888572,72,72
1488892467,64,64
1488895848,62,62
1488899342,68,68
1488903065,72,72
1488906459,74,74
1488910465,72,72
1488913946,70,70
1488917263,70,70
1488921258,68,68
1488924736,72,72
1488928161,77,77
1488931740,72,72
1488935371,72,72
1488939109,70,70
1488942847,65,65
1488946244,80,80
1488950036,77,77
1488953394,79,79
1488957182,79,79
1488960956,71,71
1488964598,77,77
1488968138,80,80
1488972026,80,80
1488975209,80,80
1488978820,78,78
1488985700,75,75
1488989545,65,65
1488993278,49,49
1488996813,33,33
1489000748,41,41
1489004378,45,45
1489007497,52,52
1489011087,53,53
1489015057,52,52
1489018307,63,63
1489021993,54,54
1489025951,58,58
1489029146,79,79
1489032891,80,80
1489036399,84,84
1489040234,85,85
1489043940,81,81
1489047078,73,73
1489050948,73,73
1489054512,72,72
1489057902,54,54
1489061742,54,54
1489065265,48,48
1489068915,47,47
1489072284,50,50
1489076255,44,44
1489079622,55,55
1489083247,71,71
1489086683,68,68
1489090791,74,74
1489094013,73,73
1489097521,74,74
1489101096,73,73
1489105144,75,75
1489110141,77,77
1489111199,78,78
1489112046,107,107
1489115645,106,106
1489122653,107,107
1489129852,106,106
1489133602,106,106
1489136875,105,105
1489140684,107,107
1489144326,103,103
1489147781,94,94
1489151366,106,106
1489155081,107,107
1489162381,104,104
1489166036,91,91
1489169632,74,74
1489172810,65,65
1489176384,99,99
1489180011,104,104
1489183615,105,105
1489187299,105,105
1489190864,105,105
1489194591,103,103
1489198528,107,107
1489201614,108,108
1489205236,100,100
1489208800,106,106
1489212427,99,99
1489216014,98,98
1489219612,98,98
1489223207,59,59
1489226817,57,57
1489230379,104,104
1489234025,103,103
1489237585,105,105
1489244821,82,82
1489248398,103,103
1489251984,105,105
1489262771,104,104
1489266382,107,107
1489270002,108,108
1489273608,107,107
1489277234,107,107
1489280782,107,107
1489284401,107,107
1489288016,106,106
1489291611,110,110
1489295214,107,107
1489298779,107,107
1489302409,106,106
1489306022,98,98
1489309580,107,107
1489313237,102,102
1489316807,103,103
1489320428,104,104
1489323968,103,103
1489327633,100,100
1489331222,99,99
1489334776,104,104
1489338408,99,99
1489342005,103,103
1489345613,102,102
1489349220,99,99
1489352826,95,95
1489356431,52,52
1489360020,101,101
1489363640,108,108
1489374405,105,105
1489377971,108,108
1489381608,92,92
1489385206,93,93
1489388780,100,100
1489392357,106,106
1489395975,107,107
1489403171,108,108
1489406776,109,109
1489410398,108,108
1489417608,107,107
1489421198,98,98
1489424794,62,62
1489428424,59,59
1489432015,52,52
1489435623,51,51
1489439213,39,39
1489442786,58,58
1489446410,58,58
1489449978,87,87
1489453607,91,91
1489457209,89,89
1489460784,107,107
1489464379,108,108
1489475177,105,105
1489478815,102,102
1489482379,107,107
1489485988,106,106
1489489600,106,106
1489493179,107,107
1489496789,108,108
1489507575,106,106
1489511201,105,105
1489514797,108,108
1489525605,106,106
1489529177,104,104
1489532801,99,99
1489536452,87,87
1489539988,104,104
1489543574,107,107
1489550808,106,106
1489554381,107,107
1489557999,102,102
1489565199,101,101
1489568815,60,60
1489572385,77,77
1489576020,77,77
1489579606,75,75
1489583206,87,87
1489586825,81,81
1489590417,85,85
1489597613,64,64
1489601220,62,62
1489604811,51,51
1489608415,58,58
1489612015,58,58
1489615620,57,57
1489619205,59,59
1489622866,50,50
1489626434,44,44
1489629978,103,103
1489633616,102,102
1489637207,104,104
1489640777,109,109
1489644406,90,90
1489647966,109,109
1489651616,107,107
1489655201,102,102
1489658781,105,105
1489662406,102,102
1489666010,103,103
1489669610,103,103
1489673171,98,98
1489676875,100,100
1489684017,95,95
1489687641,91,91
1489691247,64,64
1489694794,97,97
1489698427,95,95
1489702003,93,93
1489705641,95,95
1489709206,65,65
1489712850,60,60
1489716412,62,62
1489719997,68,68
1489723590,66,66
1489727204,62,62
1489730796,75,75
1489734365,101,101
1489738006,102,102
1489741577,107,107
1489745202,106,106
1489748802,89,89
1489752392,86,86
1489755990,73,73
1489759609,72,72
1489763178,71,71
1489766802,75,75
1489770403,77,77
1489774008,80,80
1489777597,81,81
1489781207,79,79
1489784796,76,76
1489788396,65,65
1489791988,96,96
1489795648,97,97
1489802851,97,97
1489806453,76,76
1489810040,102,102
1489813625,105,105
1489820860,104,104
1489824447,100,100
1489828040,82,82
1489831649,82,82
1489835251,79,79
1489838829,87,87
1489842459,86,86
1489846043,87,87
1489849639,93,93
1489853246,92,92
1489856837,105,105
1489864056,97,97
1489867627,103,103
1489871252,98,98
1489874833,107,107
1489882079,101,101
1489889243,83,83
1489892854,73,73
1489896418,103,103
1489900052,102,102
1489903647,103,103
1489910844,88,88
1489914423,107,107
1489918036,107,107
1489925253,108,108
1489928857,107,107
1489932452,105,105
1489936048,81,81
1489939655,73,73
1489943244,102,102
1489946849,103,103
1489950436,102,102
1489957634,106,106
1489964861,103,103
1489968482,106,106
1489972463,100,100
1489975951,104,104
1489979597,103,103
1489983249,108,108
1489986772,105,105
1489990435,102,102
1489994296,105,105
1489997514,105,105
1490001351,104,104
1490004818,107,107
1490008290,106,106
1490015442,108,108
1490022894,107,107
1490029655,103,103
1490033304,107,107
1490036938,103,103
1490040430,108,108
1490047866,107,107
1490051234,108,108
1490054890,107,107
1490062030,107,107
1490065625,103,103
1490069230,106,106
1490076451,106,106
1490080045,102,102
1490083642,91,91
1490087249,90,90
1490090852,90,90
1490094445,104,104
1490098060,104,104
1490101665,103,103
1490105242,103,103
1490108821,100,100
1490112445,104,104
1490116051,104,104
1490119634,105,105
1490123221,107,107
1490126869,106,106
1490130433,108,108
1490134059,106,106
1490137650,102,102
1490141303,100,100
1490144858,79,79
1490148463,74,74
1490152023,100,100
1490155636,104,104
1490159256,103,103
1490162843,102,102
1490166460,102,102
1490170027,96,96
1490173648,97,97
1490177256,94,94
1490180856,96,96
1490184438,102,102
1490188042,102,102
1490191635,104,104
1490195250,104,104
1490198963,106,106
1490202444,106,106
1490206053,107,107
1490213253,106,106
1490216863,93,93
1490220430,106,106
1490224032,105,105
1490231216,106,106
1490234826,100,100
1490238429,78,78
1490242038,77,77
1490245609,96,96
1490249227,93,93
1490252803,105,105
1490260182,104,104
1490263841,107,107
1490267605,108,108
1490271310,106,106
1490275182,108,108
1490278510,104,104
1490282345,93,93
1490285716,99,99
1490289354,100,100
1490299971,91,91
1490303360,89,89
1490306826,86,86
1490310409,101,101
1490314072,99,99
1490317609,101,101
1490321224,99,99
1490324833,87,87
1490328435,85,85
1490332029,76,76
1490335608,75,75
1490339211,81,81
1490342830,75,75
1490346398,105,105
1490349984,109,109
1490357233,107,107
1490360811,105,105
1490364424,105,105
1490368028,103,103
1490371629,103,103
1490375229,98,98
1490378827,101,101
1490382482,105,105
1490397023,97,97
1490400451,75,75
1490404045,81,81
1490407645,80,80
1490411238,79,79
1490414832,81,81
1490418419,92,92
1490422033,101,101
1490425636,97,97
1490429208,100,100
1490436438,97,97
1490443625,77,77
1490447243,63,63
1490450856,65,65
1490454434,90,90
1490458028,99,99
1490462004,101,101
1490465273,105,105
1490469212,106,106
1490479614,103,103
1490483236,104,104
1490486872,74,74
1490490425,76,76
1490494021,96,96
1490501216,97,97
1490504827,100,100
1490508440,88,88
1490512038,90,90
1490515623,91,91
1490519237,74,74
1490522829,74,74
1490526434,74,74
1490530024,77,77
1490533619,77,77
1490537218,88,88
1490540834,78,78
1490544433,80,80
1490548037,79,79
1490551634,100,100
1490555221,103,103
1490562428,105,105
1490569615,104,104
1490573261,104,104
1490576840,100,100
1490580435,98,98
1490584025,72,72
1490587641,70,70
1490591254,71,71
1490594942,99,99
1490602015,104,104
1490605614,105,105
1490612806,105,105
1490616442,104,104
1490623642,103,103
1490627237,77,77
1490630814,101,101
1490638025,100,100
1490641637,100,100
1490645233,83,83
1490648815,101,101
1490652434,103,103
1490656029,102,102
1490659680,101,101
1490663237,89,89
1490666841,85,85
1490670424,73,73
1490674033,74,74
