DateTime,AddedIPs,RemovedIPs
1488854330,4,7
1488858480,9,32
1488862184,17,3
1488865603,11,2
1488869676,5,9
1488872129,9,9
1488876279,13,3
1488879914,6,8
1488883951,8,6
1488886873,6,8
1488890519,1,6
1488894540,2,11
1488897894,9,12
1488901602,12,8
1488905189,6,8
1488908341,13,1
1488912284,6,5
1488916151,5,10
1488919292,7,6
1488923097,8,7
1488926583,9,5
1488930177,9,4
1488933969,25,10
1488937002,7,8
1488941078,6,7
1488944887,6,26
1488948280,18,9
1488951790,5,7
1488956081,6,4
1488959835,9,6
1488962755,3,10
1488966371,8,4
1488970289,8,6
1488973751,11,9
1488976872,7,4
1488981298,8,9
1488987083,0,7
1488991659,12,15
1488995588,10,17
1488998928,2,28
1489002702,8,0
1489005899,5,6
1489009357,12,25
1489012748,14,5
1489016456,5,5
1489020383,44,1
1489023355,7,12
1489027230,9,9
1489031111,17,33
1489034798,11,14
1489038109,9,9
1489041734,7,5
1489046294,14,10
1489048936,6,10
1489052852,7,8
1489056318,7,5
1489059630,5,12
1489064109,5,8
1489067352,4,11
1489071331,3,6
1489074491,11,7
1489078134,3,10
1489081815,13,10
1489085117,19,5
1489088674,4,9
1489092739,12,2
1489095693,5,7
1489099721,7,7
1489103264,1,4
1489107121,33,10
1489114121,45,3
1489116969,1,20
1489121230,1,3
1489124138,5,1
1489127876,2,2
1489131650,0,1
1489134932,2,3
1489138526,1,2
1489142354,2,2
1489145981,0,5
1489149120,6,13
1489153127,13,1
1489157240,4,0
1489160191,1,1
1489163969,1,5
1489167555,0,16
1489173288,3,28
1489176805,39,2
1489180795,6,10
1489184067,4,2
1489187745,1,13
1489191398,26,9
1489196357,6,3
1489199712,17,7
1489202042,3,20
1489205657,0,14
1489209214,9,3
1489212884,1,28
1489216429,4,9
1489220054,5,5
1489223644,1,65
1489227260,6,9
1489230820,70,7
1489234469,2,1
1489238021,11,1
1489241684,3,0
1489245259,4,35
1489248835,28,2
1489252391,17,3
1489256041,3,3
1489259676,3,4
1489263188,9,8
1489266806,9,20
1489270451,6,3
1489274033,12,2
1489277718,22,10
1489281221,6,6
1489284818,14,9
1489288458,3,48
1489292031,12,0
1489295641,4,7
1489299204,7,33
1489302860,5,2
1489306469,2,26
1489309995,29,2
1489313670,3,14
1489317244,3,3
1489320870,7,5
1489324381,26,7
1489328085,3,6
1489331631,3,4
1489335208,21,3
1489338820,4,17
1489342458,14,0
1489346065,1,3
1489349624,0,26
1489353270,5,14
1489356851,6,68
1489360445,67,5
1489364239,41,1
1489367620,7,4
1489371308,7,4
1489374816,2,36
1489378424,8,17
1489382078,3,26
1489385633,5,9
1489389205,20,3
1489392808,25,5
1489396389,7,6
1489400042,2,1
1489403586,18,6
1489407231,20,3
1489410823,2,1
1489414474,1,2
1489418058,0,4
1489421715,0,37
1489425252,5,52
1489428878,1,10
1489432478,1,10
1489436053,10,10
1489439648,8,21
1489443229,15,3
1489446844,8,8
1489450446,47,9
