DateTime,Entries,UniqueIPs
1488825363,311,311
1488829657,309,309
1488833478,312,312
1488836417,315,315
1488840426,317,317
1488843842,315,315
1488847338,335,335
1488851490,335,335
1488854330,332,332
1488858480,309,309
1488862184,323,323
1488865603,332,332
1488869676,328,328
1488872129,328,328
1488876279,338,338
1488879914,336,336
1488883951,338,338
1488886873,336,336
1488890519,331,331
1488894540,322,322
1488897894,319,319
1488901602,323,323
1488905189,321,321
1488908341,333,333
1488912284,334,334
1488916151,329,329
1488919292,330,330
1488923097,331,331
1488926583,335,335
1488930177,340,340
1488933969,355,355
1488937002,354,354
1488941078,353,353
1488944887,333,333
1488948280,342,342
1488951790,340,340
1488956081,342,342
1488959835,345,345
1488962755,338,338
1488966371,342,342
1488970289,344,344
1488973751,346,346
1488976872,349,349
1488981298,348,348
1488987083,341,341
1488991659,338,338
1488995588,331,331
1488998928,305,305
1489002702,313,313
1489005899,312,312
1489009357,299,299
1489012748,308,308
1489016456,308,308
1489020383,351,351
1489023355,346,346
1489027230,346,346
1489031111,330,330
1489034798,327,327
1489038109,327,327
1489041734,329,329
1489046294,333,333
1489048936,329,329
1489052852,328,328
1489056318,330,330
1489059630,323,323
1489064109,320,320
1489067352,313,313
1489071331,310,310
1489074491,314,314
1489078134,307,307
1489081815,310,310
1489085117,324,324
1489088674,319,319
1489092739,329,329
1489095693,327,327
1489099721,327,327
1489103264,324,324
1489107121,347,347
1489114121,389,389
1489116969,370,370
1489121230,368,368
1489124138,372,372
1489127876,372,372
1489131650,371,371
1489134932,370,370
1489138526,369,369
1489142354,369,369
1489145981,364,364
1489149120,357,357
1489153127,369,369
1489157240,373,373
1489160191,373,373
1489163969,369,369
1489167555,353,353
1489173288,328,328
1489176805,365,365
1489180795,361,361
1489184067,363,363
1489187745,351,351
1489191398,368,368
1489196357,371,371
1489199712,381,381
1489202042,364,364
1489205657,350,350
1489209214,356,356
1489212884,329,329
1489216429,324,324
1489220054,324,324
1489223644,260,260
1489227260,257,257
1489230820,320,320
1489234469,321,321
1489238021,331,331
1489241684,334,334
1489245259,303,303
1489248835,329,329
1489252391,343,343
1489256041,343,343
1489259676,342,342
1489263188,343,343
1489266806,332,332
1489270451,335,335
1489274033,345,345
1489277718,357,357
1489281221,357,357
1489284818,362,362
1489288458,317,317
1489292031,329,329
1489295641,326,326
1489299204,300,300
1489302860,303,303
1489306469,279,279
1489309995,306,306
1489313670,295,295
1489317244,295,295
1489320870,297,297
1489324381,316,316
1489328085,313,313
1489331631,312,312
1489335208,330,330
1489338820,317,317
1489342458,331,331
1489346065,329,329
1489349624,303,303
1489353270,294,294
1489356851,232,232
1489360445,294,294
1489364239,334,334
1489367620,337,337
1489371308,340,340
1489374816,306,306
1489378424,297,297
1489382078,274,274
1489385633,270,270
1489389205,287,287
1489392808,307,307
1489396389,308,308
1489400042,309,309
1489403586,321,321
1489407231,338,338
1489410823,339,339
1489414474,338,338
