DateTime,Entries,UniqueIPs
1488049639,6,6
1488053235,5,5
1488056836,6,6
1488060431,9,9
1488071241,6,6
1488074851,1,1
1488078458,1,1
1488085657,2,2
1488092844,1,1
1488100045,2,2
1488107252,3,3
1488110839,4,4
1488114450,3,3
1488118047,2,2
1488125240,2,2
1488132451,3,3
1488139643,2,2
1488143247,3,3
1488146834,2,2
1488150449,3,3
1488157641,1,1
1488164809,0,0
1488168445,1,1
1488172039,2,2
1488175647,3,3
1488179249,4,4
1488186446,3,3
1488190040,2,2
1488193624,0,0
1488197244,1,1
1488200848,2,2
1488204450,3,3
1488211633,5,5
1488215241,6,6
1488218849,6,6
1488226050,5,5
1488233302,2,2
1488240500,4,4
1488244053,5,5
1488247644,9,9
1488251248,11,11
1488254848,8,8
1488258446,8,8
1488262068,7,7
1488265655,4,4
1488269250,5,5
1488276454,4,4
1488280047,2,2
1488283602,0,0
1488287246,6,6
1488290860,7,7
1488301641,1,1
1488305223,0,0
1488308859,2,2
1488312456,3,3
1488316042,7,7
1488323243,6,6
1488326843,6,6
1488330450,4,4
1488337645,5,5
1488341250,5,5
1488344860,4,4
1488352056,3,3
1488355649,2,2
1488359264,1,1
1488370045,4,4
1488380847,5,5
1488384455,3,3
1488395249,1,1
1488398826,0,0
1488406047,1,1
1488413240,2,2
1488420452,1,1
1488431244,2,2
1488434845,1,1
1488438442,2,2
1488445644,3,3
1488449246,4,4
1488452846,2,2
1488456429,3,3
1488460036,4,4
1488467240,3,3
1488470845,3,3
1488474443,2,2
1488485205,0,0
1488488839,1,1
1488492442,2,2
1488496057,3,3
1488503229,4,4
1488506828,5,5
1488514030,6,6
1488517625,5,5
1488521239,6,6
1488524828,5,5
1488528441,3,3
1488532031,2,2
1488535635,1,1
1488539243,1,1
1488542832,3,3
1488550031,4,4
1488553629,3,3
1488557235,2,2
1488560836,4,4
1488564436,3,3
1488568032,4,4
1488571633,4,4
1488575235,3,3
1488586037,4,4
1488589644,3,3
1488600428,1,1
1488604042,3,3
1488611235,4,4
1488618444,3,3
1488622041,2,2
1488625612,0,0
1488629236,1,1
1488632860,3,3
1488647245,4,4
1488650831,3,3
1488658025,5,5
1488661633,4,4
1488665238,2,2
1488668841,3,3
1488676039,4,4
1488679627,3,3
1488683230,2,2
1488690426,1,1
1488694043,2,2
1488704837,4,4
1488708439,3,3
1488719239,1,1
1488722826,2,2
1488730027,3,3
1488733637,2,2
1488740839,1,1
1488744443,1,1
1488758809,0,0
1488770017,1,1
1488773710,2,2
1488788771,1,1
1488795504,1,1
1488802301,2,2
1488813283,3,3
1488817061,2,2
1488820451,1,1
1488824104,2,2
1488827489,2,2
1488831246,3,3
1488834737,4,4
1488838558,5,5
1488842307,5,5
1488856671,4,4
1488859777,5,5
1488863707,4,4
1488867664,3,3
1488870908,4,4
1488878084,5,5
1488881732,7,7
1488885111,6,6
1488888666,7,7
1488896006,8,8
1488899376,9,9
1488903224,9,9
1488906493,10,10
1488910498,13,13
1488913978,12,12
1488917304,10,10
1488921290,11,11
1488924896,9,9
1488931772,9,9
1488935402,9,9
1488939267,10,10
1488942909,8,8
1488946276,8,8
1488950071,7,7
1488953457,6,6
1488957277,9,9
1488972058,6,6
1488975254,9,9
1488978852,11,11
1488985732,9,9
1488989706,8,8
1488993445,7,7
1488996848,5,5
1489000785,6,6
1489004412,5,5
1489007535,4,4
1489011142,6,6
1489015096,6,6
1489022039,4,4
1489026077,3,3
1489029322,4,4
1489047120,6,6
1489057945,9,9
1489061788,7,7
1489069089,6,6
1489072328,3,3
1489076302,4,4
1489083305,5,5
1489086726,4,4
1489090834,5,5
1489097566,5,5
1489105312,4,4
1489112210,3,3
1489115681,1,1
1489122820,3,3
1489137040,2,2
1489151399,1,1
1489155116,3,3
1489162417,2,2
1489169685,1,1
1489172876,2,2
1489176421,3,3
1489180045,2,2
1489187339,1,1
1489190901,2,2
1489198565,3,3
1489205269,2,2
1489212434,0,0
1489248434,1,1
1489262805,2,2
1489270038,3,3
1489277268,2,2
1489284436,1,1
1489288017,0,0
1489291661,2,2
1489306024,0,0
1489309616,2,2
1489324003,1,1
1489334812,2,2
1489338443,1,1
1489349223,0,0
1489360055,2,2
1489374405,0,0
1489460818,3,3
1489464415,4,4
1489468009,5,5
1489475211,7,7
1489478850,6,6
1489482414,4,4
1489489634,3,3
1489493215,5,5
1489496826,5,5
1489507610,4,4
1489511237,2,2
1489514833,5,5
1489518425,6,6
1489522003,7,7
1489525640,6,6
1489529210,4,4
1489536487,1,1
1489540023,4,4
1489543609,7,7
1489550843,6,6
1489554416,7,7
1489558036,3,3
1489565233,2,2
1489568815,0,0
1489572419,1,1
1489586833,0,0
1489590452,1,1
1489604814,0,0
1489615654,1,1
1489629979,0,0
1489637241,1,1
1489640813,4,4
1489648002,5,5
1489651651,4,4
1489655238,1,1
1489658819,5,5
1489662445,4,4
1489673209,5,5
1489676937,6,6
1489687688,3,3
1489691282,1,1
1489694828,2,2
1489709210,0,0
1489716461,6,6
1489720040,7,7
1489727247,12,12
1489730845,9,9
1489734410,8,8
1489738056,10,10
1489741624,6,6
1489745245,5,5
1489748850,9,9
1489752439,10,10
1489756033,13,13
1489763221,10,10
1489766846,9,9
1489770439,6,6
1489777636,9,9
1489781241,11,11
1489792036,6,6
1489795685,3,3
1489802888,5,5
1489806490,7,7
1489810079,9,9
1489817281,9,9
1489820894,8,8
1489824479,5,5
1489828074,7,7
1489831683,6,6
1489835284,6,6
1489842493,7,7
1489846076,8,8
1489849682,7,7
1489853281,9,9
1489856876,6,6
1489860479,5,5
1489864089,6,6
1489867664,7,7
1489871287,5,5
1489874870,10,10
1489878470,9,9
1489882119,8,8
1489885678,10,10
1489889277,7,7
1489896456,10,10
1489900089,8,8
1489903681,7,7
1489907265,8,8
1489910882,4,4
1489914462,5,5
1489921669,8,8
1489925286,9,9
1489928892,9,9
1489932485,10,10
1489936082,7,7
1489939692,8,8
1489943283,9,9
1489946885,9,9
1489950475,11,11
1489954094,10,10
1489957670,8,8
1489961275,6,6
1489964894,6,6
1489968520,5,5
1489972502,8,8
1489975990,10,10
1489979764,12,12
1489983285,10,10
1489986807,10,10
1489990482,11,11
1489994347,7,7
1489997548,8,8
1490004887,10,10
1490008420,9,9
1490011795,8,8
1490019293,6,6
1490022933,4,4
1490026065,3,3
1490033312,0,0
1490040468,2,2
1490044083,5,5
1490047900,6,6
1490051269,8,8
1490054937,9,9
1490058492,7,7
1490062079,7,7
1490065675,6,6
1490069264,6,6
1490072893,8,8
1490076500,10,10
1490080086,9,9
1490087299,6,6
1490090901,6,6
1490094494,7,7
1490098107,8,8
1490101710,9,9
1490105290,9,9
1490108866,10,10
1490112490,9,9
1490116099,5,5
1490119683,5,5
1490123270,7,7
1490126916,9,9
1490134105,10,10
1490137688,9,9
1490141337,6,6
1490144895,11,11
1490148498,10,10
1490152062,9,9
1490162877,10,10
1490166494,9,9
1490170069,7,7
1490177296,5,5
1490180894,3,3
1490184478,7,7
1490188077,8,8
1490191674,11,11
1490195287,14,14
1490199001,13,13
1490206093,8,8
1490209693,6,6
1490220465,3,3
1490224072,5,5
1490227724,4,4
1490231254,6,6
1490238463,4,4
1490242072,6,6
1490245646,6,6
1490249263,7,7
1490252841,10,10
1490256432,8,8
1490260347,10,10
1490263880,11,11
1490267644,9,9
1490275351,12,12
1490278543,12,12
1490289392,7,7
1490293263,7,7
1490296731,5,5
1490300038,8,8
1490303397,9,9
1490306862,8,8
1490310446,11,11
1490314107,9,9
1490317642,7,7
1490321259,8,8
1490324867,4,4
1490328472,9,9
1490332065,12,12
1490335644,13,13
1490342866,10,10
1490346438,8,8
1490350023,9,9
1490353663,10,10
1490360851,11,11
1490364459,9,9
1490368067,11,11
1490371662,13,13
1490375262,13,13
1490378866,12,12
1490382518,10,10
1490386060,9,9
1490389689,10,10
1490393351,11,11
1490400496,11,11
1490404092,11,11
1490407698,10,10
1490411284,8,8
1490414881,9,9
1490418467,4,4
1490422073,5,5
1490425678,6,6
1490429253,7,7
1490432890,8,8
1490436484,8,8
1490440083,8,8
1490443672,10,10
1490447293,10,10
1490450891,9,9
1490454487,9,9
1490458080,4,4
1490462093,6,6
