DateTime,AddedIPs,RemovedIPs
1481998114,1,0
1482077315,0,1
1482131313,0,1
1482138510,1,0
1482203324,0,1
1482264533,0,1
1482271747,1,0
1482376121,0,1
1482401309,1,0
1482437446,0,1
1482441481,1,0
1482617323,0,1
1482620913,1,0
1482725309,0,1
1482736140,1,0
1482768526,0,2
1482833337,1,0
1482941314,0,1
1483211325,0,1
1483222127,1,0
1483243711,0,1
1483247322,1,0
1483261734,0,1
1483265328,1,0
1483305238,1,0
1483315721,1,0
1483319322,0,1
1483369741,0,1
1483376919,1,0
1483398522,0,1
1483402133,1,0
1483409309,1,0
1483423711,0,1
1483430904,0,1
1483434507,2,0
1483448901,0,2
1483459711,1,0
1483474125,1,0
1483481308,0,1
1483488517,1,1
1483492122,1,0
1483502922,1,0
1483528544,0,2
1483531937,1,0
1483539024,1,0
1483542745,0,1
1483546734,0,1
1483556931,1,0
1483564213,0,1
1483568024,1,0
1483571712,0,1
1483575572,1,0
1483582114,1,0
1483603730,0,1
1483607333,1,1
1483611230,0,1
1483615293,1,0
1483632523,0,1
1483636120,1,0
1483639728,1,0
1483661352,1,0
1483668520,0,1
1483672115,1,0
1483686568,0,2
1483693844,1,0
1483708538,0,1
1483715335,1,0
1483733394,0,1
1483740519,0,1
1483744110,1,0
1483747717,2,0
1483758515,0,2
1483762121,1,0
1483772931,1,0
1483787758,0,1
1483791202,1,0
1483794956,0,2
1483805537,1,1
1483812523,1,0
1483816320,1,0
1483830582,0,1
1483834427,1,0
1483841390,0,1
1483844916,0,1
1483848521,1,0
1483862908,0,1
1483866521,1,1
1483873717,1,0
1483888124,0,1
1483895320,1,0
1483909719,0,1
1483913316,0,1
1483927717,1,0
1483931328,0,1
1483938512,1,0
1483953126,0,1
1483956962,1,1
1483967328,0,1
1483970913,2,0
1483988901,0,1
1483996617,1,0
1484006910,1,0
1484014112,0,1
1484032127,1,0
1484046513,0,1
1484061153,0,1
1484078927,2,0
1484093322,0,1
1484100527,1,1
1484107736,1,0
1484125715,0,1
1484129327,1,0
1484136534,0,1
1484140200,1,0
1484143741,0,1
1484147333,1,0
1484161904,0,1
1484165361,0,2
1484168950,1,0
1484176128,1,0
1484179722,3,0
1484190516,0,1
1484212120,0,2
1484215710,0,1
1484219318,1,1
1484233742,1,0
1484248117,0,1
1484251732,1,0
1484255332,1,1
1484258918,1,0
1484276921,1,0
1484298517,1,0
1484334585,0,2
1484338130,1,0
1484345328,0,1
1484348923,1,0
1484377712,1,0
1484424516,1,0
1484438922,0,1
1484442525,1,0
1484449723,0,1
1484460522,0,1
1484492923,0,1
1484496512,1,0
1484507309,1,0
1484532515,0,1
1484536123,0,1
1484550502,0,1
1484561315,1,0
1484575714,0,1
1484579314,0,1
1484586525,2,0
1484615308,0,1
1484690920,0,1
1484694528,1,0
1484784521,0,1
1484806123,1,0
1485014922,0,1
1485072516,0,1
1485076122,1,0
1485184095,0,1
1485195061,1,0
1485220128,0,1
1485230912,1,0
1485266921,0,1
1485270524,1,0
1485302905,1,0
1485400110,0,1
1485410915,1,0
1485468577,0,1
1485475736,1,0
1485569350,0,1
1485587311,1,0
1485601739,0,1
1485624349,1,0
1485709730,0,1
1485713326,1,0
1485745722,0,1
1485749324,0,1
1485760128,1,0
1486004927,0,1
1486019334,1,0
1486033727,0,2
1486037320,1,0
1486051909,1,1
1486066126,0,1
1486069727,1,0
1486080551,1,0
1486084111,0,1
1486087713,1,0
1486138114,1,1
1486145314,1,0
1486167266,0,1
1486170749,1,0
1486184916,0,1
1486188512,1,0
1486199302,1,0
1486213721,0,1
1486217328,1,0
1486231716,0,1
1486235316,1,0
1486242516,0,1
1486246129,1,1
1486249720,0,1
1486253313,2,0
1486260518,0,1
1486264121,1,0
1486274929,0,1
1486278513,0,1
1486282112,1,0
1486339714,1,0
1486346914,0,1
1486350522,1,0
1486372119,0,1
1486379310,1,0
1486382917,0,1
1486393711,0,1
1486411716,1,1
1486426120,1,0
1486444113,0,1
1486454910,1,0
1486465715,0,1
1486472916,1,0
1486523328,0,1
1486541373,0,1
1486548538,0,1
1486552147,2,0
1486620544,0,1
1486624173,1,0
1486638552,0,1
1486660187,1,0
1486674687,0,1
1486688934,2,0
1486696135,0,1
1486703328,0,2
1486706933,1,0
1486710538,0,1
1486724932,1,0
1486732137,0,1
1486735725,1,0
1486739336,1,0
1486753729,0,1
1486757329,1,0
1486760933,0,1
1486764531,1,1
1486771739,1,0
1486829330,0,1
1486847326,1,0
1486919981,0,1
1486944539,1,0
1486948141,1,0
1486998542,0,1
1487005730,0,1
1487009332,1,0
1487023739,0,1
1487030932,1,0
1487038132,1,0
1487052538,1,0
1487070750,0,1
1487081334,1,0
1487103111,1,0
1487117334,0,1
1487124538,1,0
1487128140,0,1
1487135322,0,1
1487138953,1,0
1487146127,0,1
1487156943,0,1
1487164152,1,0
1487203732,1,0
1487221727,0,2
1487380133,1,0
1487387355,0,1
1487394527,0,1
1487398132,0,1
1487408932,1,0
1487444928,0,1
1487448541,1,0
1487473750,0,1
1487498962,0,1
1487506128,1,0
1487534963,0,1
1487545751,1,0
1487552934,1,0
1487570940,0,1
1487725734,1,0
1487732932,1,0
1487740133,0,1
1487826524,0,1
1487848125,1,0
1487902126,1,0
1487916511,0,1
1487954572,0,1
1487963348,0,1
1487966916,1,0
1487988539,0,1
1487992140,1,0
1488042536,0,1
1488071334,1,0
1488074946,2,0
1488089336,0,1
1488092940,0,1
1488118141,0,1
1488128945,1,0
1488143342,1,1
1488146931,1,0
1488154163,4,0
1488164939,0,1
1488168538,0,4
1488182934,0,1
1488190136,1,0
1488200941,1,0
1488218944,0,1
1488222533,1,0
1488236984,1,0
1488244159,1,0
1488251341,0,1
1488287340,1,0
1488294546,0,1
1488301739,1,0
1488305348,0,1
1488312552,1,0
1488316138,0,2
1488323337,1,0
1488330545,5,0
1488334142,1,0
1488344955,0,4
1488352150,0,1
1488362948,0,1
1488366552,1,0
1488373749,1,1
1488380940,0,1
1488388126,0,1
1488391751,2,0
1488416927,1,0
1488431339,0,2
1488438536,0,1
1488445738,2,0
1488452940,1,0
1488460129,0,1
1488467342,0,1
1488470938,1,0
1488474537,1,0
1488488932,0,1
1488506921,4,1
1488521333,0,4
1488528536,0,1
1488542926,1,0
1488546542,1,0
1488568127,0,1
1488575331,0,1
1488582543,1,0
1488586131,2,0
1488589739,1,0
1488611334,0,1
1488622135,1,0
1488625740,0,1
1488640129,1,0
1488654542,0,1
1488672532,2,0
1488683323,0,1
1488744538,0,1
1488748144,1,0
1488770245,0,1
1488773823,1,0
1488856900,0,1
1488885348,1,0
1488914200,0,1
1488931869,1,0
1488939427,0,1
1488943273,1,0
1488946447,1,1
1488961256,0,1
1488964884,0,1
1488968398,1,0
1488972280,1,0
1488990059,0,1
1489015190,1,0
1489018449,1,1
1489022148,1,1
1489029444,0,2
1489033318,1,0
1489058166,0,1
1489072549,1,0
1489097913,0,1
1489105660,1,1
1489183748,0,1
1489194799,1,0
1489212579,0,1
1489223340,0,2
1489230514,2,0
1489244965,0,1
1489248529,1,0
1489255751,1,0
1489298937,0,1
1489302560,1,0
1489306174,0,2
1489309713,1,0
1489313369,1,0
1489327780,0,1
1489349376,0,1
1489356577,1,0
1489363802,2,0
1489367333,1,0
1489370954,0,1
1489385353,0,2
1489392496,1,1
1489396107,1,0
1489410529,1,0
1489421340,0,1
1489424938,1,0
1489428568,0,1
1489435771,0,1
1489439361,1,0
1489442923,0,1
1489446553,2,2
1489450116,2,0
1489457365,0,1
1489460967,2,1
1489475339,0,1
1489478958,0,1
1489482517,1,0
1489489748,0,1
1489493312,1,0
1489500530,0,1
1489504142,1,0
1489518521,1,0
1489536599,0,2
1489540117,1,0
1489543706,1,0
1489547357,0,1
1489565334,1,1
1489568949,1,2
1489572535,1,0
1489586969,0,2
1489594163,1,1
1489597746,0,1
1489601363,2,0
1489608565,1,1
1489623003,1,1
1489626580,1,0
1489630110,1,1
1489633765,1,0
1489637347,0,1
1489644554,1,0
1489651761,0,1
1489655339,0,2
1489658925,1,1
1489669763,1,2
1489673304,3,1
1489677036,2,0
1489680596,1,0
1489687791,0,1
1489691391,1,0
1489694952,0,1
1489702150,1,0
1489709364,0,1
1489716559,1,1
1489720135,1,0
1489723734,0,1
1489784926,0,1
1489788536,1,1
1489792131,2,0
1489802984,0,1
1489806588,0,1
1489810175,0,1
1489892983,0,1
1489936178,0,1
1489939786,1,0
1490037084,0,1
1490040562,1,0
1490044178,0,1
1490047995,1,0
1490055034,0,1
1490062169,1,0
1490105387,0,1
1490119780,1,0
1490234958,0,1
1490238562,1,0
1490321354,0,1
1490324962,1,0
1490418562,0,1
1490425777,1,0
1490443768,0,1
1490447389,1,0
1490458176,0,1
1490465429,1,0
1490490555,0,1
1490504963,1,0
1490519365,0,1
1490526566,1,0
1490540963,0,1
1490548166,0,1
1490551768,1,0
1490558961,1,0
1490605755,0,1
1490609337,1,0
1490616573,1,0
1490630958,0,1
1490638157,1,0
