DateTime,AddedIPs,RemovedIPs
1485760164,0,1
1485796158,1,0
1485821479,18,0
1485825816,1,0
1485828744,1,0
1485832139,0,9
1485846551,0,1
1485853747,1,0
1485864546,0,1
1485868148,1,0
1485871737,2,0
1485897326,0,2
1485911355,19,0
1485914951,2,0
1485922164,0,23
1485929345,0,2
1485933034,1,0
1485994221,10,0
1485997874,1,0
1486004952,0,19
1486008546,0,1
1486012144,1,0
1486033753,0,1
1486048256,1,0
1486055451,0,2
1486062615,0,1
1486069752,1,0
1486080575,14,0
1486084135,1,1
1486087739,0,1
1486091341,0,19
1486167352,22,0
1486177740,0,19
1486256941,29,0
1486267739,0,14
1486271352,0,1
1486325343,0,1
1486343335,10,0
1486346932,2,0
1486350540,2,0
1486354148,1,12
1486357725,1,1
1486364940,3,2
1486368528,0,1
1486372135,0,1
1486375747,0,1
1486379331,2,1
1486382936,2,1
1486386533,3,1
1486390131,1,2
1486393728,1,2
1486397335,1,1
1486400944,0,2
1486404537,2,1
1486408147,0,2
1486411734,1,0
1486415339,0,1
1486426139,1,1
1486429744,23,1
1486433340,1,0
1486440534,0,25
1486447729,2,2
1486451345,1,2
1486454929,1,0
1486458537,1,1
1486462123,2,1
1486465732,1,0
1486469350,1,1
1486472947,1,1
1486476525,1,1
1486480143,0,2
1486483720,1,2
1486487342,1,1
1486490949,1,0
1486498150,2,0
1486505334,0,1
1486508942,1,0
1486512530,1,2
1486516159,31,0
1486519745,1,1
1486523348,2,1
1486526944,0,26
1486530549,1,4
1486534164,1,1
1486537820,0,1
1486541412,2,1
1486545014,2,0
1486548576,2,2
1486552189,1,1
1486555793,1,3
1486559388,1,1
1486562980,2,1
1486570172,0,1
1486573780,1,1
1486577381,1,1
1486581001,1,1
1486584569,0,1
1486588175,1,1
1486591785,2,1
1486599008,5,1
1486602585,0,1
1486606236,0,2
1486609789,0,13
1486613397,0,1
1486620588,1,0
1486634967,1,0
1486646064,0,1
1486653088,1,0
1486664249,0,1
1486678469,1,0
1486685566,23,0
1486692579,2,0
1486696174,0,20
1486699771,1,2
1486706975,0,2
1486739379,0,1
1486742979,1,0
1486757368,1,0
1486771781,12,1
1486782595,0,28
1486786172,0,1
1486822187,1,0
1486829369,0,1
1486836570,0,1
1486843785,1,0
1486858193,20,0
1486861797,2,1
1486868984,0,6
1486872585,0,1
1486876182,0,2
1486883408,1,0
1486908575,0,1
1486930184,1,0
1486944585,22,0
1486951776,0,1
1486955391,0,17
1486958982,0,1
1486966184,1,0
1486969806,1,0
1486973377,0,1
1486976971,0,1
1486980576,0,1
1486984187,1,0
1487005783,1,0
1487013029,0,1
1487016580,0,1
1487023786,0,1
1487030980,18,0
1487034591,1,0
1487041795,0,16
1487068468,1,0
1487103146,1,0
1487117375,13,1
1487120976,1,0
1487128192,0,18
1487135368,0,1
1487156988,1,0
1487203781,21,0
1487207383,1,0
1487214581,0,20
1487251206,1,0
1487290175,15,0
1487297378,1,0
1487300977,0,19
1487304594,1,0
1487315385,0,1
1487340575,1,0
1487376571,17,0
1487380176,1,0
1487387419,0,15
1487390993,0,1
1487416172,1,1
1487423379,1,0
1487430569,0,1
1487448580,0,1
1487452167,1,0
1487462991,19,0
1487473787,0,21
1487477367,0,3
1487499008,0,1
1487513369,1,0
1487520576,1,0
1487527769,0,1
1487535012,1,1
1487549375,10,0
1487552969,1,0
1487560193,0,20
1487567364,0,2
1487581769,1,0
1487596161,0,1
1487599791,1,0
1487614187,0,1
1487621363,1,0
1487635767,14,0
1487639378,1,0
1487642973,0,1
1487646584,0,5
1487650170,0,2
1487653765,0,1
1487660999,1,0
1487675370,0,1
1487682576,1,0
1487693360,0,1
1487718564,1,0
1487722182,26,0
1487732970,0,20
1487750984,0,1
1487758183,1,0
1487808568,10,0
1487812159,1,0
1487819376,0,19
1487822992,0,1
1487826570,0,1
1487876966,1,0
1487887786,0,1
1487894976,22,0
1487905788,0,14
1487912987,1,0
1487949000,0,1
1487954629,1,0
1487966965,0,1
1487970590,1,0
1487981375,25,0
1487985000,2,1
1487992190,0,26
1487995789,0,7
1487999380,0,1
1488024571,1,0
1488049775,0,1
1488067769,26,0
1488078596,0,7
1488154208,13,0
1488157792,5,0
1488164978,0,19
1488172182,0,4
1488190173,1,0
1488200982,0,1
1488204585,1,0
1488229782,1,0
1488233441,1,0
1488240641,18,0
1488244212,0,1
1488247779,0,1
1488251385,0,21
1488326989,17,0
1488337783,0,22
1488366595,1,0
1488413378,16,0
1488424186,0,15
1488427791,0,1
1488460175,1,0
1488474587,0,1
1488499772,18,0
1488503367,1,0
1488510571,0,18
1488514171,0,2
1488517764,0,1
1488521376,1,0
1488550164,0,1
1488553771,1,0
1488586179,15,0
1488589774,1,1
1488593364,1,0
1488596969,0,22
1488604188,0,1
1488672574,5,0
1488676171,2,0
1488683362,0,13
1488690562,0,1
1488701363,0,2
1488704969,1,0
1488708574,1,0
1488751758,0,1
1488758971,25,0
1488762570,2,0
1488770300,1,18
1488773860,0,3
1488777413,1,1
1488784726,1,1
1488791850,0,2
1488799088,2,0
1488806393,1,0
1488810478,1,0
1488813771,0,1
1488817479,0,2
1488820835,0,1
1488828181,2,0
1488842458,0,2
1488846238,21,0
1488849758,1,0
1488853343,0,1
1488857070,0,14
1488860463,0,1
1488863904,3,0
1488878505,0,1
1488882088,1,0
1488896407,1,1
1488899939,0,1
1488903719,0,2
1488906918,3,1
1488910989,2,1
1488917677,1,0
1488921807,0,1
1488925246,0,1
1488928488,1,0
1488932160,22,1
1488935750,1,0
1488939501,1,0
1488943411,0,10
1488950486,0,1
1488953803,0,1
1488972384,1,0
1488975420,0,2
1488979512,1,0
1488990166,9,1
1488993876,2,0
1488997162,1,3
1489004707,1,1
1489008200,0,9
1489011325,1,2
1489015402,1,0
1489018666,28,1
1489026284,0,3
1489029557,0,20
1489033658,1,1
1489036667,0,1
1489044454,1,0
1489047418,0,1
1489051568,0,1
1489055003,1,0
1489069370,1,0
1489083985,0,1
1489105897,22,0
1489110492,1,0
1489115978,0,18
1489141145,0,1
1489148225,1,0
1489166680,0,1
1489170190,1,2
1489173059,1,0
1489176553,1,0
1489183806,1,0
1489191037,13,1
1489199012,0,4
1489201797,1,20
1489205419,0,1
1489241429,1,0
1489255789,0,1
1489266556,0,1
1489270189,1,0
1489277418,26,0
1489284574,0,1
1489288204,1,28
1489302598,0,1
1489309752,0,1
1489313415,1,1
1489324142,1,0
1489327819,1,0
1489331410,0,1
1489334945,0,1
1489342185,2,0
1489345799,0,1
1489363842,10,0
1489371020,1,0
1489374585,1,19
1489378155,0,2
1489381812,0,1
1489385390,1,1
1489396143,0,1
1489399783,1,0
1489403347,1,0
1489414211,0,1
1489417793,0,1
1489424979,1,0
1489446592,1,1
1489453787,16,0
1489457412,0,1
1489461018,3,0
1489464561,0,14
1489468159,0,2
1489471771,1,0
1489475372,0,1
1489479006,1,1
1489482558,1,0
1489486158,1,1
1489493352,0,1
1489500569,0,1
1489504190,1,0
1489511378,1,0
1489514969,0,1
1489522137,1,1
1489536635,21,0
1489540150,0,1
1489543749,1,1
1489547408,0,22
1489554552,0,1
1489572574,0,1
1489579797,1,0
1489623046,15,1
1489626634,2,0
1489630154,0,1
1489633809,1,9
1489637401,0,1
1489640971,1,1
1489655375,1,0
1489658961,0,1
1489677113,1,0
1489698616,1,0
1489709451,12,1
1489713036,1,1
1489720187,0,14
1489727390,0,1
1489756182,1,0
1489781395,0,1
1489784981,1,0
1489795839,16,0
1489806631,0,18
1489810230,0,1
1489828229,0,1
1489831844,0,1
1489839023,1,0
1489846241,1,0
1489864232,4,0
1489882261,11,0
1489893044,0,21
1489911041,0,1
1489918220,1,0
1489968670,21,0
1489972974,1,0
1489980125,0,13
1489983670,0,1
1489990793,1,0
1490005261,0,1
1490023259,1,0
1490055080,43,0
1490058645,2,0
1490062224,0,1
1490065845,0,17
1490123420,0,1
1490141485,14,1
1490145081,1,0
1490152230,0,9
1490155822,1,0
1490173845,0,1
1490177462,2,0
1490191825,0,1
1490195437,1,0
1490209854,0,1
1490217059,1,0
1490227870,20,0
1490238629,0,24
1490252989,0,1
1490260659,1,0
1490293726,0,1
1490310586,1,0
1490314258,27,0
1490321408,0,1
1490325023,0,42
1490328630,0,1
1490353826,0,1
1490357426,2,0
1490371812,0,1
1490400667,16,0
1490411420,0,14
1490415027,0,1
1490422221,1,0
1490436627,0,1
1490451026,1,0
1490465547,0,1
1490472595,0,1
1490476228,1,0
1490487047,23,1
1490490606,2,1
1490494211,1,0
1490497816,0,24
1490501408,1,1
1490508627,1,0
1490512217,0,1
1490519417,0,2
1490523025,1,1
1490530213,1,0
1490537422,1,1
1490544623,0,1
1490548221,0,1
1490551828,2,1
1490555401,1,0
1490573456,27,0
1490577026,1,0
1490580620,0,2
1490584217,0,26
1490587822,0,1
1490595138,1,0
1490598643,0,2
1490602205,2,0
1490612999,2,0
1490616630,0,1
1490623836,0,1
1490631019,1,0
1490634615,0,1
1490645422,1,1
