DateTime,AddedIPs,RemovedIPs
1489675254,8,6
1489677184,8,2
1489679063,4,3
1489681025,7,4
1489682909,3,2
1489684863,7,3
1489686761,2,6
1489688694,7,2
1489690603,5,5
1489692562,1,1
1489694528,2,4
1489696386,1,5
1489698269,6,7
1489700204,8,6
1489702130,5,4
1489704038,3,3
1489705944,6,2
1489707885,2,1
1489709781,4,44
1489712128,0,4
1489714099,6,2
1489716107,4,7
1489717952,0,3
1489720111,3,11
1489722020,10,11
1489723955,12,17
1489725848,10,12
1489727783,9,6
1489729712,3,5
1489731628,3,5
1489733548,4,2
1489735475,2,4
1489737383,5,4
1489739306,2,1
1489741314,1,4
1489743155,5,4
1489745324,2,9
1489747236,6,3
1489749146,7,6
1489751061,6,8
1489753000,7,9
1489754907,6,6
1489756835,3,7
1489758753,3,4
1489760665,6,5
1489762608,3,9
1489764492,2,6
1489766516,2,5
1489768360,2,3
1489770296,5,5
1489772194,5,3
1489774136,7,2
1489776026,6,6
1489777980,2,4
1489779853,3,4
1489781807,6,2
1489783709,2,2
1489785662,2,2
1489787567,5,7
1489789740,3,5
1489791739,2,7
1489793578,2,1
1489795469,1,2
1489797421,7,2
1489799395,4,3
1489801262,3,5
1489803210,2,3
1489805068,4,0
1489807000,12,11
1489808916,9,12
1489810848,7,15
1489812792,14,13
1489814667,4,5
1489816617,3,4
1489818512,1,4
1489820552,3,3
1489822380,10,5
1489824557,3,5
1489826423,5,5
1489828357,8,0
1489830267,2,3
1489832222,5,2
1489834114,2,4
1489836052,2,0
1489837956,5,8
1489839870,4,16
1489841790,5,5
1489843732,3,3
1489845746,6,4
1489847546,2,5
1489849473,4,3
1489851421,4,3
1489853329,4,7
1489855267,45,3
1489857159,5,3
1489859094,4,4
1489860975,3,3
1489862920,1,5
1489864844,3,2
1489866788,7,3
1489868665,4,4
1489870617,3,5
1489872511,2,5
1489874571,3,4
1489876373,4,1
1489878199,1,3
1489880183,3,1
1489882100,3,0
1489884020,4,4
1489885934,7,6
1489887858,3,4
1489889771,5,3
1489891701,3,1
1489893639,12,8
1489895563,6,7
1489897452,7,8
1489899388,7,16
1489901299,2,5
1489903292,1,3
1489905445,5,1
1489907314,1,2
1489909300,5,7
1489911169,3,6
1489913103,3,9
1489914994,3,7
1489916945,2,2
1489918856,2,5
1489920776,1,1
1489922658,6,3
1489924613,6,6
1489926497,4,3
1489928538,1,6
1489930383,2,6
1489932380,3,4
1489934208,2,4
1489936190,6,4
1489938032,9,5
1489939985,6,4
1489941868,3,48
1489943832,3,5
1489945711,7,4
1489947669,1,3
1489949560,1,2
1489951496,3,3
1489953381,2,3
1489955349,3,4
1489957312,7,4
1489959177,2,4
1489961329,17,3
1489963237,6,5
1489965154,4,2
1489967054,6,2
1489969001,4,2
1489970927,3,4
1489972836,4,7
1489974783,23,2
1489976679,3,5
1489978597,8,4
1489980516,16,16
1489982538,18,9
1489984363,9,6
1489986527,7,8
1489988433,5,3
1489990367,9,3
1489992267,4,3
1489994199,5,1
1489996123,4,2
1489998031,319,4
1489999982,1718,3
1490001875,611,3
1490003802,3,0
1490005727,7,3
1490007716,9,4
1490009561,6,2
1490011508,9,3
1490013395,9,2
1490015339,14,1
1490017247,3,0
1490019149,3,3
1490021156,8,3
1490023251,7,4
1490025152,9,5
1490027081,3,2
1490028989,9,5
1490030910,9,2
1490032933,8,3
1490034760,9,1
1490036945,7,3
1490038858,8,4
1490041047,3,4
1490043192,2,7
1490045059,3,1
1490046979,3,1
1490048936,2,12
1490050915,2,1
1490052752,1,4
1490054661,5,1
1490056606,1,2
1490058551,5,2
1490060435,1,23
1490062877,5,4
1490064811,3,3
1490066738,7,13
1490068592,6,17
1490070500,12,11
1490072514,10,9
1490074418,1,5
1490076276,9,3
1490078195,7,2
1490080130,5,6
1490082048,2,3
1490084342,5,291
1490086377,13,1710
1490088251,5,622
1490090231,2,4
1490092375,2,11
1490094279,4,8
1490096185,2,7
1490098172,3,6
1490100059,3,10
1490101979,2,11
1490103871,3,6
1490105835,4,3
1490107708,4,8
1490109656,8,5
1490111570,7,9
1490113526,7,4
1490115391,7,10
1490117333,7,11
1490119302,5,8
1490121178,9,13
1490123315,12,7
1490125484,6,7
1490127390,5,4
1490129312,50,3
1490131219,13,4
1490133155,2,3
1490135076,4,2
1490136999,5,3
1490138921,6,0
1490142020,5,8
1490143943,2,3
1490145851,2,12
1490147788,0,5
1490149693,8,2
1490151686,8,8
1490153550,7,7
1490155471,12,12
1490157394,11,9
1490159329,7,9
1490161236,3,1
1490163159,6,4
1490165069,5,9
1490166975,4,4
1490168899,6,3
1490170833,5,14
1490172753,6,36
1490174656,10,2
1490176586,15,4
1490178520,10,4
1490180511,9,3
1490182362,3,2
1490184267,6,5
1490186184,11,1
1490188127,6,5
1490190027,7,2
1490191935,5,3
1490193858,9,3
1490195806,7,8
1490197750,5,3
1490199648,3,6
1490201544,6,3
1490203461,7,10
1490205390,10,2
1490207321,18,8
1490209338,5,3
1490211423,42,14
1490213306,8,1
1490215213,4,17
1490217152,4,56
1490219075,0,2
1490220990,8,2
1490222919,3,4
1490224836,4,9
1490226746,4,4
1490228652,4,2
1490230582,3,1
1490232495,3,2
1490234504,6,0
1490236350,5,8
1490238264,12,6
1490240190,11,12
1490242133,14,6
1490244029,12,13
1490245960,6,7
1490247873,4,6
1490249781,27,4
1490251699,3,6
1490253637,4,4
1490255564,1,4
1490257464,4,6
1490259414,2,6
1490261320,6,12
1490263341,1,10
1490265159,4,11
1490267098,9,7
1490269003,8,6
1490270936,3,7
1490272824,4,11
1490274743,14,5
1490276681,4,5
1490278592,9,4
1490280526,5,7
1490282546,7,7
1490284367,4,5
1490286281,6,8
1490288207,15,5
1490290125,37,9
1490292117,6,4
1490293953,5,11
1490295884,5,4
1490297809,12,23
1490299738,13,5
1490301641,7,4
1490303575,55,1
1490305466,10,3
1490307855,4,6
1490309798,4,4
1490311696,11,2
1490313744,3,4
1490315565,2,1
1490317505,3,3
1490319399,2,2
1490321359,3,7
1490323245,2,6
1490325172,4,14
1490327074,9,10
1490329025,13,12
1490330913,10,14
1490332864,5,1
1490334754,4,5
1490336715,3,2
1490338615,4,5
1490340541,2,7
1490342553,6,34
1490344382,6,3
1490346273,4,3
1490348228,4,5
1490350110,3,3
1490352055,8,8
1490353951,5,7
1490355899,13,5
1490357779,17,4
1490360011,4,12
1490361866,3,5
1490363823,3,6
1490365978,9,9
1490367873,6,4
1490369910,10,2
1490371753,7,3
1490373634,4,4
1490375601,7,36
1490377477,17,43
1490379329,1,4
1490381316,5,8
1490383223,7,9
1490385150,7,14
1490387065,5,11
1490388983,9,34
1490390899,8,32
1490392908,4,5
1490394748,2,2
1490396668,6,6
1490398595,2,7
1490400503,5,5
1490402420,4,1
1490404355,4,0
1490406247,6,4
1490408189,0,5
1490410115,3,2
1490412022,7,7
1490413961,14,13
1490415883,11,13
1490417791,10,12
1490419715,6,6
1490421707,4,2
1490423541,3,4
1490425357,5,5
1490427161,0,3
1490429103,4,7
1490431017,2,3
1490432953,6,4
1490434839,2,7
1490436771,5,2
1490438660,24,9
1490440615,4,5
1490442521,2,33
1490444468,4,11
1490446358,0,6
1490448300,0,5
1490450185,2,5
1490452128,5,10
1490454116,4,7
1490455975,3,9
1490458133,4,7
