DateTime,Entries,UniqueIPs
1489716107,413,413
1489717952,410,410
1489720111,402,402
1489722020,401,401
1489723955,396,396
1489725848,394,394
1489727783,397,397
1489729712,395,395
1489731628,393,393
1489733548,395,395
1489735475,393,393
1489737383,394,394
1489739306,395,395
1489741314,392,392
1489743155,393,393
1489745324,386,386
1489747236,389,389
1489749146,390,390
1489751061,388,388
1489753000,386,386
1489754907,386,386
1489756835,382,382
1489758753,381,381
1489760665,382,382
1489762608,376,376
1489764492,372,372
1489766516,369,369
1489768360,368,368
1489770296,368,368
1489772194,370,370
1489774136,375,375
1489776026,375,375
1489777980,373,373
1489779853,372,372
1489781807,376,376
1489783709,376,376
1489785662,376,376
1489787567,374,374
1489789740,372,372
1489791739,367,367
1489793578,368,368
1489795469,367,367
1489797421,372,372
1489799395,373,373
1489801262,371,371
1489803210,370,370
1489805068,374,374
1489807000,375,375
1489808916,372,372
1489810848,364,364
1489812792,365,365
1489814667,364,364
1489816617,363,363
1489818512,360,360
1489820552,360,360
1489822380,365,365
1489824557,363,363
1489826423,363,363
1489828357,371,371
1489830267,370,370
1489832222,373,373
1489834114,371,371
1489836052,373,373
1489837956,370,370
1489839870,358,358
1489841790,358,358
1489843732,358,358
1489845746,360,360
1489847546,357,357
1489849473,358,358
1489851421,359,359
1489853329,356,356
1489855267,398,398
1489857159,400,400
1489859094,400,400
1489860975,400,400
1489862920,396,396
1489864844,397,397
1489866788,401,401
1489868665,401,401
1489870617,399,399
1489872511,396,396
1489874571,395,395
1489876373,398,398
1489878199,396,396
1489880183,398,398
1489882100,401,401
1489884020,401,401
1489885934,402,402
1489887858,401,401
1489889771,403,403
1489891701,405,405
1489893639,409,409
1489895563,408,408
1489897452,407,407
1489899388,398,398
1489901299,395,395
1489903292,393,393
1489905445,397,397
1489907314,396,396
1489909300,394,394
1489911169,391,391
1489913103,385,385
1489914994,381,381
1489916945,381,381
1489918856,378,378
1489920776,378,378
1489922658,381,381
1489924613,381,381
1489926497,382,382
1489928538,377,377
1489930383,373,373
1489932380,372,372
1489934208,370,370
1489936190,372,372
1489938032,376,376
1489939985,378,378
1489941868,333,333
1489943832,331,331
1489945711,334,334
1489947669,332,332
1489949560,331,331
1489951496,331,331
1489953381,330,330
1489955349,329,329
1489957312,332,332
1489959177,330,330
1489961329,344,344
1489963237,345,345
1489965154,347,347
1489967054,351,351
1489969001,353,353
1489970927,352,352
1489972836,349,349
1489974783,370,370
1489976679,368,368
1489978597,372,372
1489980516,372,372
1489982538,381,381
1489984363,384,384
1489986527,383,383
1489988433,385,385
1489990367,391,391
1489992267,392,392
1489994199,396,396
1489996123,398,398
1489998031,713,713
1489999982,2428,2428
1490001875,3036,3036
1490003802,3039,3039
1490005727,3043,3043
1490007716,3048,3048
1490009561,3052,3052
1490011508,3058,3058
1490013395,3065,3065
1490015339,3078,3078
1490017247,3081,3081
1490019149,3081,3081
1490021156,3086,3086
1490023251,3089,3089
1490025152,3093,3093
1490027081,3094,3094
1490028989,3098,3098
1490030910,3105,3105
1490032933,3110,3110
1490034760,3118,3118
1490036945,3122,3122
1490038858,3126,3126
1490041047,3125,3125
1490043192,3120,3120
1490045059,3122,3122
1490046979,3124,3124
1490048936,3114,3114
1490050915,3115,3115
1490052752,3112,3112
1490054661,3116,3116
1490056606,3115,3115
1490058551,3118,3118
1490060435,3096,3096
1490062877,3097,3097
1490064811,3097,3097
1490066738,3091,3091
1490068592,3080,3080
1490070500,3081,3081
1490072514,3082,3082
1490074418,3078,3078
1490076276,3084,3084
1490078195,3089,3089
1490080130,3088,3088
1490082048,3087,3087
1490084342,2801,2801
1490086377,1104,1104
1490088251,487,487
1490090231,485,485
1490092375,476,476
1490094279,472,472
1490096185,467,467
1490098172,464,464
1490100059,457,457
1490101979,448,448
1490103871,445,445
1490105835,446,446
1490107708,442,442
1490109656,445,445
1490111570,443,443
1490113526,446,446
1490115391,443,443
1490117333,439,439
1490119302,436,436
1490121178,432,432
1490123315,437,437
1490125484,436,436
1490127390,437,437
1490129312,484,484
1490131219,493,493
1490133155,492,492
1490135076,494,494
1490136999,496,496
1490138921,502,502
1490142020,499,499
1490143943,498,498
1490145851,488,488
1490147788,483,483
1490149693,489,489
1490151686,489,489
1490153550,489,489
1490155471,489,489
1490157394,491,491
1490159329,489,489
1490161236,491,491
1490163159,493,493
1490165069,489,489
1490166975,489,489
1490168899,492,492
1490170833,483,483
1490172753,453,453
1490174656,461,461
1490176586,472,472
1490178520,478,478
1490180511,484,484
1490182362,485,485
1490184267,486,486
1490186184,496,496
1490188127,497,497
1490190027,502,502
1490191935,504,504
1490193858,510,510
1490195806,509,509
1490197750,511,511
1490199648,508,508
1490201544,511,511
1490203461,508,508
1490205390,516,516
1490207321,526,526
1490209338,528,528
1490211423,556,556
1490213306,563,563
1490215213,550,550
1490217152,498,498
1490219075,496,496
1490220990,502,502
1490222919,501,501
1490224836,496,496
1490226746,496,496
1490228652,498,498
1490230582,500,500
1490232495,501,501
1490234504,507,507
1490236350,504,504
1490238264,510,510
1490240190,509,509
1490242133,517,517
1490244029,516,516
1490245960,515,515
1490247873,513,513
1490249781,536,536
1490251699,533,533
1490253637,533,533
1490255564,530,530
1490257464,528,528
1490259414,524,524
1490261320,518,518
1490263341,509,509
1490265159,502,502
1490267098,504,504
1490269003,506,506
1490270936,502,502
1490272824,495,495
1490274743,504,504
1490276681,503,503
