DateTime,AddedIPs,RemovedIPs
1489639451,1,0
1489641628,2,0
1489642359,1,0
1489643319,3,0
1489645468,0,1
1489646182,0,1
1489647680,2,0
1489649124,0,1
1489649775,2,0
1489652667,4,0
1489660842,1,0
1489662519,0,1
1489665703,1,0
1489666353,0,2
1489667051,0,1
1489668507,1,0
1489669307,1,0
1489670651,2,0
1489672110,0,2
1489673083,1,0
1489673790,1,0
1489674512,0,1
1489675244,1,0
1489678815,2,0
1489685566,0,1
1489686261,0,40
1489689852,0,4
1489692027,0,2
1489692745,0,1
1489693465,1,0
1489694899,1,1
1489695628,1,2
1489696362,1,0
1489698498,0,2
1489699238,1,0
1489699958,0,1
1489700662,1,2
1489702122,1,0
1489704263,0,1
1489705716,1,0
1489707168,2,0
1489708590,0,1
1489711467,1,1
1489714570,2,2
1489718896,1,1
1489719710,1,1
1489720371,1,0
1489721054,1,0
1489723301,1,0
1489723945,0,1
1489725371,0,1
1489727565,0,3
1489728252,0,1
1489728994,0,2
1489730502,1,1
1489734095,0,1
1489736171,0,1
1489737693,2,1
1489739794,0,1
1489741305,5,0
1489744106,2,0
1489747226,0,1
1489748672,1,0
1489749381,3,0
1489753724,2,0
1489755443,0,1
1489756122,1,0
1489756821,0,2
1489761150,0,1
1489764767,0,1
1489766889,1,0
1489767640,5,0
1489771463,1,0
1489772184,2,0
1489772930,2,0
1489777318,1,0
1489777948,2,0
1489778666,2,0
1489779387,0,1
1489780912,2,1
1489781553,0,1
1489782262,0,1
1489786825,0,2
1489787558,3,0
1489788529,3,2
1489790658,4,0
1489792838,1,1
1489793539,1,0
1489795709,0,1
1489797862,0,1
1489804810,0,1
1489805543,0,1
1489806262,0,1
1489808415,3,0
1489809157,0,1
1489811301,1,1
1489815174,0,2
1489816586,0,1
1489818073,0,1
1489823780,0,2
1489824543,2,0
1489827400,0,1
1489828105,1,0
1489830257,0,1
1489833192,0,1
1489833848,1,0
1489837449,1,0
1489839650,0,2
1489841069,3,0
1489842494,0,1
1489844443,1,0
1489846582,3,0
1489852357,1,0
1489853319,1,1
1489854750,2,0
1489855446,1,0
1489856191,0,2
1489857634,0,1
1489858370,0,1
1489859061,0,1
1489861245,1,0
1489863371,0,1
1489864830,0,1
1489866247,0,1
1489866994,0,1
1489872043,1,0
1489872761,1,1
1489873467,0,2
1489874172,1,1
1489876364,0,2
1489878515,0,1
1489879218,2,0
1489884973,3,1
1489895065,0,2
1489897241,0,1
1489897938,1,0
1489900118,2,0
1489910667,0,2
1489911371,1,0
1489914524,0,1
1489915233,1,0
1489918100,1,0
1489919537,2,0
1489920260,0,1
1489921700,1,0
1489923864,1,1
1489926035,1,0
1489926754,4,0
1489928182,2,0
1489931803,1,0
1489933450,1,0
1489934200,2,0
1489935717,0,2
1489938511,0,1
1489939284,0,1
1489940649,0,1
1489947138,0,1
1489955056,1,1
1489957944,0,1
1489958652,0,1
1489959398,1,0
1489960099,1,1
1489960922,1,0
1489962979,1,0
1489965144,0,1
1489965865,1,1
1489966571,3,0
1489967311,1,0
1489968098,0,1
1489970918,0,1
1489983863,0,1
1489985310,0,1
1489991787,1,0
1489992497,0,1
1489993314,1,0
1489993930,2,0
1489994671,0,1
1489997785,1,0
1490001401,2,0
1490004266,0,1
1490005712,2,1
1490007144,53,0
1490008121,1,1
1490009559,1,0
1490012448,0,1
1490013866,1,1
1490015330,1,0
1490016760,1,0
1490017447,0,1
1490018521,0,1
1490019886,2,1
1490024192,3,0
1490026339,1,0
1490029292,1,0
1490030650,2,0
1490031400,3,0
1490034978,0,1
1490041036,1,0
1490042424,8,0
1490043182,4,0
1490045329,0,1
1490046770,0,1
1490049141,0,1
1490052743,0,1
1490056337,0,2
1490057778,1,0
1490058540,2,0
1490064298,1,0
1490070980,0,1
1490071704,2,0
1490076745,1,0
1490077456,2,0
1490080118,2,1
1490080823,1,0
1490083694,0,1
1490085846,0,1
1490086584,3,0
1490087294,0,2
1490088029,1,0
1490090921,1,0
1490091616,1,1
1490092362,1,0
1490093050,0,106
1490094502,1,0
1490095234,0,1
1490096667,1,1
1490102660,1,0
1490103426,1,0
1490104891,1,0
1490105536,14,0
1490108703,1,1
1490110099,0,1
1490112976,1,0
1490116575,4,0
1490117297,0,2
1490121619,0,1
1490122345,88,0
1490127147,0,1
1490128594,5,0
1490129302,9,0
1490130737,4,0
1490135057,2,0
1490139395,0,1
1490140103,1,1
1490142263,1,0
1490143933,0,1
1490144666,0,1
1490145391,1,1
1490146810,2,0
1490147547,1,0
1490149959,0,1
1490152101,0,1
1490153540,1,0
1490154984,1,1
1490156441,1,0
1490157858,0,2
1490158580,3,0
1490162893,0,1
1490163634,3,0
1490164346,2,0
1490165058,0,1
1490165777,1,1
1490167239,0,1
1490168657,0,1
1490169377,1,0
1490170115,2,0
1490172251,0,1
1490172982,2,0
1490175860,4,0
1490176571,1,0
1490177297,0,1
1490180916,0,1
1490181610,1,0
1490182352,0,1
1490186661,5,0
1490188821,1,0
1490190253,1,0
1490190977,0,1
1490191727,0,47
1490193145,1,0
1490195299,1,0
1490196019,0,1
1490196754,1,0
1490198188,1,0
1490198926,0,1
1490199633,1,0
1490203236,1,1
1490203946,1,0
1490204660,1,0
1490206094,3,0
1490208258,0,5
1490208980,4,0
1490216172,1,0
1490216899,0,1
1490217626,1,1
1490219060,0,1
1490220520,1,0
1490221221,0,1
1490221958,1,0
1490222652,1,0
1490224826,2,0
1490225537,2,0
1490226978,4,0
1490227698,1,0
1490229858,3,0
1490232757,1,1
1490241377,2,0
1490242124,0,1
1490244989,0,1
1490247864,3,1
1490250034,0,3
1490250742,0,3
1490251462,0,1
1490252914,1,0
1490254342,1,0
1490255779,0,1
1490257233,1,0
1490257940,4,0
1490258922,1,1
1490260343,2,0
1490261803,0,1
1490262500,0,2
1490263327,1,0
1490264666,2,0
1490266115,1,0
1490266903,1,0
1490267554,0,1
1490268252,0,1
1490271868,1,0
1490272584,1,1
1490273313,0,3
1490274093,0,1
1490274732,0,1
1490276894,1,0
1490279066,0,1
1490281319,1,1
1490282664,1,0
1490284104,0,1
1490284907,0,1
1490289162,0,1
1490289854,0,1
1490290616,0,1
1490292102,2,1
1490294191,0,1
1490294916,1,0
1490295681,0,1
1490296346,0,1
1490299305,1,0
1490299932,2,0
1490302109,1,1
1490302900,1,0
1490306521,1,1
1490308112,3,1
1490308822,1,1
1490310514,0,2
1490311963,0,1
1490312647,1,0
1490313394,0,4
1490318438,0,2
1490320572,2,0
1490324187,1,0
1490325637,0,1
1490331382,1,0
1490333549,0,3
1490334245,1,0
1490334993,1,0
1490338598,0,1
1490340037,0,1
1490342910,1,0
1490344364,0,4
1490345787,1,0
1490347233,2,0
1490350825,0,1
1490351543,0,1
1490352258,0,1
1490352984,1,1
1490353715,3,0
1490357298,2,0
1490358046,0,1
1490358746,0,2
1490360917,2,0
1490362362,2,0
1490363047,0,1
1490365969,2,0
1490367392,0,1
1490368091,1,0
1490368824,0,1
1490373157,3,0
1490375299,1,0
1490378891,1,0
1490380608,2,1
1490382113,2,0
1490382743,2,0
1490385691,0,1
1490386361,0,2
1490387790,1,1
1490389318,0,1
1490392115,0,1
1490394261,0,1
1490394990,0,1
1490397163,0,1
1490397853,2,0
1490400751,1,0
1490406515,2,1
1490410106,0,1
1490412262,0,1
1490417313,0,1
1490420205,0,2
1490420912,0,1
1490425304,1,1
1490428885,0,1
1490431000,1,0
1490433395,0,1
1490434113,2,0
1490435549,0,1
1490439420,0,1
1490443304,0,2
1490446905,1,2
1490448257,0,1
1490449697,4,0
1490454103,0,1
1490454757,2,0
1490456911,0,1
1490459075,0,1
1490461301,0,1
1490466252,0,1
1490467704,0,2
1490469142,0,1
1490470572,0,1
1490473715,1,0
1490474421,2,0
1490475155,0,1
1490476820,2,0
1490478249,1,0
1490478986,2,0
1490479695,1,0
1490482582,1,0
1490483322,1,0
1490484020,0,1
1490485448,3,0
1490492660,0,1
1490493385,1,1
1490495542,2,0
1490504514,1,0
1490505133,1,0
1490513053,1,0
1490515717,1,0
1490520038,0,1
1490521468,26,0
1490523624,3,0
1490524335,2,0
1490526519,1,1
1490527946,1,0
1490532990,1,2
1490538022,1,0
1490540894,2,1
1490541634,1,0
1490544510,2,0
1490546176,1,0
1490552413,3,0
1490553164,0,1
1490556737,0,1
1490558183,0,1
1490559619,0,1
1490560348,0,2
1490561048,1,0
1490563228,0,1
1490564666,0,1
1490566103,0,1
1490567538,1,0
1490568980,1,1
1490569721,0,1
1490570420,1,0
1490571135,1,0
1490571861,0,1
1490574975,1,0
1490575710,1,1
1490577154,3,0
1490583694,1,0
1490588665,0,1
1490590106,0,1
1490598750,0,1
1490601707,0,1
1490605295,1,0
1490607402,0,174
1490612497,2,0
1490615317,1,0
1490616092,1,0
1490617457,3,0
1490623941,0,1
1490626113,5,0
1490627550,1,0
1490628981,1,0
1490630481,3,0
1490631146,0,2
1490631852,1,0
1490633293,4,0
1490641472,0,1
1490642908,5,0
1490646748,2,0
