DateTime,Entries,UniqueIPs
1489528102,1701,1701
1489529535,1701,1701
1489530278,1699,1699
1489532492,1700,1700
1489536098,1699,1699
1489539688,1698,1698
1489540351,1696,1696
1489544663,1696,1696
1489547545,1695,1695
1489548269,1696,1696
1489548971,1695,1695
1489550517,1694,1694
1489551852,1694,1694
1489552591,1693,1693
1489556076,1692,1692
1489559341,1691,1691
1489560745,1690,1690
1489561467,1690,1690
1489562189,1689,1689
1489562910,1691,1691
1489563610,1690,1690
1489565070,1689,1689
1489568932,1688,1688
1489570355,1686,1686
1489571787,1685,1685
1489572495,1684,1684
1489573232,1683,1683
1489573939,1684,1684
1489574661,1685,1685
1489578264,1682,1682
1489579715,1680,1680
1489580446,1683,1683
1489582597,1682,1682
1489589062,1681,1681
1489590128,1680,1680
1489593866,1679,1679
1489594576,1678,1678
1489596750,1679,1679
1489598450,1678,1678
1489601315,1676,1676
1489602756,1674,1674
1489604534,1675,1675
1489607312,1674,1674
1489609857,1676,1676
1489611760,1675,1675
1489612608,1674,1674
1489614729,1675,1675
1489615496,1674,1674
1489616907,1673,1673
1489619064,1672,1672
1489626516,1671,1671
1489640184,1670,1670
1489643319,1670,1671
1489644090,1668,1669
1489645468,1667,1668
1489648346,1666,1667
1489649124,1665,1666
1489649775,1666,1667
1489652667,1669,1670
1489657937,1668,1669
1489660842,1669,1670
1489661547,1667,1668
1489667804,1666,1667
1489668507,1667,1668
1489669307,1668,1669
1489670651,1670,1671
1489672110,1669,1670
1489673083,1670,1671
1489675244,1671,1672
1489678815,1671,1672
1489679555,1669,1670
1489686977,1668,1669
1489690593,1667,1668
1489692027,1666,1667
1489693465,1665,1666
1489695628,1664,1665
1489697048,1663,1664
1489701371,1645,1646
1489702122,1644,1645
1489702817,1627,1628
1489704263,1626,1627
1489706409,1623,1624
1489707168,1622,1623
1489708590,1619,1620
1489709300,1618,1619
1489710758,1617,1618
1489711467,1618,1619
1489712493,1617,1618
1489714570,1615,1616
1489716097,1613,1614
1489717453,1612,1613
1489718896,1611,1612
1489719710,1609,1610
1489720371,1610,1611
1489721054,1610,1611
1489722497,1609,1610
1489723301,1610,1611
1489725371,1439,1440
1489730502,1440,1441
1489736907,1316,1317
1489739055,1315,1316
1489741305,1318,1319
1489741948,1317,1318
1489743390,1315,1316
1489744106,1316,1317
1489746407,1315,1316
1489747226,1314,1315
1489747935,1313,1314
1489748672,1314,1315
1489749381,1315,1316
1489750110,1308,1309
1489750815,1306,1307
1489751546,1302,1303
1489752270,1298,1299
1489752991,1294,1295
1489753724,1289,1290
1489755443,1273,1274
1489756122,1267,1268
1489756821,1261,1262
1489757571,1256,1257
1489758249,1252,1253
1489758995,1250,1251
1489759703,1240,1241
1489760408,1236,1237
1489761848,1226,1227
1489762598,1222,1223
1489763327,1219,1220
1489764047,1212,1213
1489764767,1207,1208
1489766185,1197,1198
1489767640,1196,1197
1489768349,1191,1192
1489770127,1172,1173
1489770752,1165,1166
1489771463,1157,1158
1489772184,1147,1148
1489772930,1137,1138
1489773678,1129,1130
1489774364,1116,1117
1489775054,1112,1113
1489775787,1108,1109
1489777318,1109,1110
1489777948,1108,1109
1489778666,1106,1107
1489779387,1104,1105
1489780912,1105,1106
1489781553,1099,1100
1489782262,1094,1095
1489783238,1091,1092
1489783948,1090,1091
1489784680,1084,1085
1489785378,1081,1082
1489786101,1079,1080
1489786825,1075,1076
1489787558,1074,1075
1489788529,417,417
1489789261,416,416
1489789945,415,415
1489790658,419,419
1489791371,418,418
1489792838,417,417
1489793539,418,418
1489794267,417,417
1489795709,416,416
1489799325,414,414
1489804121,413,413
1489804810,412,412
1489806262,411,411
1489808415,407,407
1489811301,408,408
1489818073,407,407
1489819463,406,406
1489820911,405,405
1489821624,404,404
1489824543,406,406
1489826646,405,405
1489828105,406,406
1489829566,405,405
1489831704,403,403
1489832435,402,402
1489833192,401,401
1489833848,402,402
1489834581,401,401
1489841069,404,404
1489843484,403,403
1489844443,404,404
1489846582,407,407
1489850174,406,406
1489851617,405,405
1489852357,406,406
1489853319,407,407
1489854750,409,409
1489855446,410,410
1489858370,408,408
1489861245,408,408
1489862659,407,407
1489869138,406,406
1489872043,407,407
1489872761,408,408
1489874172,409,409
1489879218,410,410
1489884973,413,413
1489892897,412,412
1489897938,413,413
1489900118,415,415
1489901563,414,414
1489911371,415,415
1489915233,416,416
1489921700,417,417
1489923157,416,416
1489923864,416,416
1489926035,417,417
1489926754,420,420
1489928182,421,421
1489931803,422,422
1489932774,421,421
1489933450,422,422
1489934200,424,424
1489937071,423,423
1489942100,422,422
1489955056,423,423
1489957302,422,422
1489959398,422,422
1489960099,423,423
1489960922,424,424
1489962979,425,425
1489965865,426,426
1489966571,429,429
1489967311,430,430
1489970177,429,429
1489982529,428,428
1489986100,427,427
1489991787,428,428
1489993314,429,429
1489993930,430,430
1489997785,431,431
1490001401,433,433
1490003537,432,432
1490005712,434,434
1490007144,487,487
1490008121,488,488
1490009559,489,489
1490013866,490,490
1490016760,491,491
1490018521,490,490
1490019886,491,491
1490024192,494,494
1490026339,495,495
1490029292,496,496
1490030650,497,497
1490031400,500,500
1490041036,501,501
1490042424,509,509
1490043182,513,513
1490045329,511,511
1490055629,510,510
1490057778,511,511
1490058540,513,513
1490068105,512,512
1490071704,514,514
1490072503,513,513
1490076102,512,512
1490076745,513,513
1490077456,515,515
