DateTime,AddedIPs,RemovedIPs
1490301390,4,3
1490302111,1,6
1490302903,5,6
1490303568,5,4
1490304260,3,5
1490305006,4,3
1490305695,1,1
1490306524,5,5
1490307150,4,2
1490308114,6,6
1490308826,7,9
1490309565,1,5
1490310517,4,6
1490311226,4,1
1490311965,1,2
1490312650,2,0
1490313397,2,1
1490314119,1,1
1490314826,4,7
1490315557,5,0
1490316249,5,5
1490316985,3,2
1490317694,1,5
1490318441,4,12
1490319155,4,2
1490319865,1,0
1490320575,2,6
1490321324,2,6
1490322030,10,0
1490322759,4,14
1490323449,2,0
1490324190,5,5
1490324897,3,0
1490325640,4,10
1490326354,8,4
1490327067,2,4
1490327804,3,5
1490328506,5,1
1490329230,5,0
1490329938,4,8
1490330667,3,3
1490331386,6,5
1490332136,2,3
1490332824,6,0
1490333552,2,3
1490334248,1,0
1490334996,2,5
1490335705,3,0
1490336427,3,4
1490337163,6,5
1490337850,8,0
1490338601,1,7
1490339311,9,0
1490340039,4,45
1490340747,7,0
1490341468,2,8
1490342174,5,0
1490342913,2,7
1490343629,1,0
1490344367,3,8
1490345053,3,0
1490345790,3,9
1490346496,7,4
1490347236,5,0
1490347950,4,7
1490348664,3,0
1490349374,4,5
1490350102,4,6
1490350828,4,2
1490351546,2,2
1490352260,5,3
1490352987,4,9
1490353717,1,1
1490354429,1,3
1490355162,5,13
1490355854,5,0
1490356586,4,0
1490357301,0,2
1490358049,1,3
1490358749,4,6
1490359469,4,2
1490360174,1,0
1490360920,4,6
1490361616,1,0
1490362365,3,10
1490363049,4,0
1490363793,6,8
1490364495,1,0
1490365232,1,1
1490365971,7,7
1490366652,2,0
1490367395,2,5
1490368827,4,3
1490369537,4,1
1490370260,4,3
1490370979,3,1
1490371719,2,10
1490372419,4,4
1490373160,1,4
1490373850,1,0
1490374592,4,4
1490375302,3,0
1490376033,3,7
1490376748,5,0
1490377467,3,3
1490378178,6,0
1490378894,2,3
1490379649,2,8
1490380611,12,2
1490381305,5,2
1490382116,3,3
1490382746,2,3
1490383470,4,3
1490384175,1,3
1490384906,6,2
1490385694,3,3
1490386363,4,5
1490387052,3,4
1490387793,1,2
1490388495,1,5
1490389321,4,2
1490389943,2,0
1490390663,2,5
1490391393,5,9
1490392118,2,0
1490392891,5,12
1490393542,1,0
1490394264,4,13
1490394993,3,4
1490395719,4,0
1490396516,5,9
1490397165,3,4
1490397856,2,3
1490398589,2,0
1490399301,4,8
1490400100,4,3
1490400754,4,7
1490401455,5,1
1490402190,4,4
1490402899,1,1
1490403718,2,3
1490404343,9,3
1490405073,0,3
1490405789,0,4
1490406518,4,5
1490407285,5,3
1490407962,6,7
1490408652,2,4
1490409405,5,9
1490410109,3,6
1490410927,8,3
1490411545,1,0
1490412265,3,11
1490412973,5,9
1490413720,2,4
1490414495,3,5
1490415152,6,3
1490415872,5,4
1490416589,3,8
1490417316,5,0
1490418103,1,4
1490418761,1,7
1490419462,5,3
1490420208,4,2
1490420915,1,3
1490421700,3,0
1490422359,3,9
1490423052,3,0
1490423807,3,5
1490424502,3,0
1490425307,5,5
1490425937,2,3
1490426673,2,7
1490427374,5,0
1490428119,6,9
1490428888,4,0
1490429551,1,1
1490430256,2,8
1490431003,5,6
1490431703,6,4
1490432632,9,2
1490433398,9,5
1490434115,4,4
1490434828,4,2
1490435552,4,6
1490436529,6,3
1490437216,6,8
1490437952,6,0
1490438649,5,2
1490439423,10,3
1490440103,3,5
1490440831,3,3
1490441803,7,6
1490442511,3,3
1490443307,4,4
1490443950,3,2
1490444653,3,0
1490445398,8,3
1490446111,2,5
1490446907,1,4
1490447556,3,3
1490448260,4,4
1490449000,5,2
1490449699,7,2
1490450501,8,0
1490451138,4,1
1490451875,6,5
1490452594,0,5
1490453320,4,2
1490454106,2,1
1490454759,2,2
1490455469,7,2
1490456193,8,1
1490456913,3,3
1490457725,7,10
1490458336,1,3
1490459078,3,0
1490459811,8,6
1490460507,4,5
1490461304,2,0
1490461936,3,2
1490462672,5,3
1490463418,5,6
1490464110,5,3
1490464902,5,0
1490465559,1,6
1490466255,2,0
1490466996,7,9
1490467707,5,0
1490468511,3,11
1490469145,2,0
1490469868,5,7
1490470575,2,0
1490471314,0,7
1490472277,5,6
1490472975,5,2
1490473718,2,3
1490474424,9,13
1490475157,4,0
1490476111,4,8
1490476823,3,1
1490477563,5,5
1490478251,7,8
1490478989,6,11
1490479698,5,1
1490480438,6,4
