DateTime,Entries,UniqueIPs
1490321324,22784,23276
1490322030,22794,23286
1490322759,22784,23276
1490323449,22786,23278
1490324190,22786,23278
1490324897,22789,23281
1490325640,22783,23275
1490326354,22787,23279
1490327067,22785,23277
1490327804,22783,23275
1490328506,22787,23279
1490329230,22792,23284
1490329938,22788,23280
1490330667,22788,23280
1490331386,22789,23281
1490332136,22788,23280
1490332824,22794,23286
1490333552,22793,23285
1490334248,22794,23286
1490334996,22791,23283
1490335705,22794,23286
1490336427,22793,23285
1490337163,22794,23286
1490337850,22802,23294
1490338601,22796,23288
1490339311,22805,23297
1490340039,22764,23256
1490340747,22771,23263
1490341468,22765,23257
1490342174,22770,23262
1490342913,22765,23257
1490343629,22766,23258
1490344367,22761,23253
1490345053,22764,23256
1490345790,22758,23250
1490346496,22761,23253
1490347236,22766,23258
1490347950,22763,23255
1490348664,22766,23258
1490349374,22765,23257
1490350102,22763,23255
1490350828,22765,23257
1490351546,22765,23257
1490352260,22767,23259
1490352987,22762,23254
1490353717,22762,23254
1490354429,22760,23252
1490355162,22752,23244
1490355854,22757,23249
1490356586,22761,23253
1490357301,22759,23251
1490358049,22757,23249
1490358749,22755,23247
1490359469,22757,23249
1490360174,22758,23250
1490360920,22756,23248
1490361616,22757,23249
1490362365,22750,23242
1490363049,22754,23246
1490363793,22752,23244
1490364495,22753,23245
1490365232,22753,23245
1490365971,22753,23245
1490366652,22755,23247
1490367395,22752,23244
1490368827,22752,23245
1490369537,22755,23248
1490370260,22756,23249
1490370979,22758,23251
1490371719,22750,23243
1490372419,22750,23243
1490373160,22747,23240
1490373850,22748,23241
1490374592,22748,23241
1490375302,22751,23244
1490376033,22747,23240
1490376748,22752,23245
1490377467,22752,23245
1490378178,22758,23251
1490378894,22757,23250
1490379649,22751,23244
1490380611,22761,23254
1490381305,22764,23257
1490382116,22764,23257
1490382746,22763,23256
1490383470,22764,23257
1490384175,22762,23255
1490384906,22766,23259
1490385694,22766,23259
1490386363,22765,23258
1490387052,22764,23257
1490387793,22763,23256
1490388495,22759,23252
1490389321,22761,23254
1490389943,22763,23256
1490390663,22760,23253
1490391393,22756,23249
1490392118,22758,23251
1490392891,22751,23244
1490393542,22752,23245
1490394264,22743,23236
1490394993,22742,23235
1490395719,22746,23239
1490396516,22742,23235
1490397165,22741,23234
1490397856,22740,23233
1490398589,22742,23235
1490399301,22738,23231
1490400100,22739,23232
1490400754,22736,23229
1490401455,22740,23233
1490402190,22740,23233
1490402899,22740,23233
1490403718,22739,23232
1490404343,22745,23238
1490405073,22742,23235
1490405789,22738,23231
1490406518,22737,23230
1490407285,22739,23232
1490407962,22738,23231
1490408652,22736,23229
1490409405,22732,23225
1490410109,22729,23222
1490410927,22734,23227
1490411545,22735,23228
1490412265,22727,23220
1490412973,22722,23216
1490413720,22720,23214
1490414495,22718,23212
1490415152,22722,23215
1490415872,22723,23216
1490416589,22718,23211
1490417316,22723,23216
1490418103,22720,23213
1490418761,22714,23207
1490419462,22716,23209
1490420208,22718,23211
1490420915,22716,23209
1490421700,22719,23212
1490422359,22713,23206
1490423052,22716,23209
1490423807,22714,23207
1490424502,22717,23210
1490425307,22717,23210
1490425937,22716,23209
1490426673,22711,23204
1490427374,22716,23209
1490428119,22713,23206
1490428888,22717,23210
1490429551,22717,23210
1490430256,22711,23204
1490431003,22710,23203
1490431703,22712,23205
1490432632,22719,23212
1490433398,22721,23216
1490434115,22721,23216
1490434828,22723,23218
1490435552,22721,23216
1490436529,22724,23219
1490437216,22722,23217
1490437952,22728,23223
1490438649,22731,23226
1490439423,22738,23233
1490440103,22737,23231
1490440831,22737,23231
1490441803,22738,23232
1490442511,22738,23232
1490443307,22738,23232
1490443950,22739,23233
1490444653,22742,23236
1490445398,22747,23241
1490446111,22744,23238
1490446907,22741,23235
1490447556,22741,23235
1490448260,22741,23235
1490449000,22744,23238
1490449699,22749,23243
1490450501,22757,23251
1490451138,22760,23254
1490451875,22761,23255
1490452594,22756,23250
1490453320,22758,23252
1490454106,22759,23253
1490454759,22759,23253
1490455469,22764,23258
1490456193,22771,23265
1490456913,22771,23265
1490457725,22768,23262
1490458336,22766,23260
1490459078,22769,23263
1490459811,22771,23265
1490460507,22770,23264
1490461304,22772,23266
1490461936,22773,23267
1490462672,22774,23269
1490463418,22773,23268
1490464110,22775,23270
1490464902,22780,23275
1490465559,22775,23270
1490466255,22777,23272
1490466996,22775,23270
1490467707,22780,23275
1490468511,22772,23267
1490469145,22774,23269
1490469868,22772,23267
1490470575,22774,23269
1490471314,22767,23262
1490472277,22766,23261
1490472975,22769,23264
1490473718,22768,23263
1490474424,22765,23259
1490475157,22769,23263
1490476111,22765,23259
