DateTime,Entries,UniqueIPs
1490294194,5651,5651
1490294919,5663,5663
1490295684,5668,5668
1490296349,5683,5683
1490297052,5674,5674
1490297802,5683,5683
1490298506,5681,5681
1490299308,5677,5677
1490299935,5672,5672
1490300668,5660,5660
1490301390,5656,5656
1490302111,5646,5646
1490302903,5648,5648
1490303568,5644,5644
1490304260,5641,5641
1490305006,5636,5636
1490305695,5632,5632
1490306524,5625,5625
1490307150,5615,5615
1490308114,5623,5623
1490308826,5612,5612
1490309565,5601,5601
1490310517,5612,5612
1490311226,5611,5611
1490311965,5603,5603
1490312650,5612,5612
1490313397,5584,5584
1490314119,5608,5608
1490314826,5601,5601
1490315557,5590,5590
1490316249,5593,5593
1490316985,5585,5585
1490317694,5582,5582
1490318441,5577,5577
1490319155,5589,5589
1490319865,5587,5587
1490320575,5600,5600
1490321324,5594,5594
1490322030,5591,5591
1490322759,5597,5597
1490323449,5585,5585
1490324190,5609,5609
1490324897,5587,5587
1490325640,5588,5588
1490326354,5586,5586
1490327067,5580,5580
1490327804,5578,5578
1490328506,5576,5576
1490329230,5569,5569
1490329938,5569,5569
1490330667,5535,5535
1490331386,5553,5553
1490332136,5557,5557
1490332824,5584,5584
1490333552,5575,5575
1490334248,5564,5564
1490334996,5570,5570
1490335705,5568,5568
1490336427,5565,5565
1490337163,5570,5570
1490337850,5577,5577
1490338601,5559,5559
1490339311,5591,5591
1490340039,5581,5581
1490340747,5590,5590
1490341468,5601,5601
1490342174,5605,5605
1490342913,5593,5593
1490343629,5600,5600
1490344367,5607,5607
1490345053,5602,5602
1490345790,5595,5595
1490346496,5604,5604
1490347236,5602,5602
1490347950,5597,5597
1490348664,5614,5614
1490349374,5608,5608
1490350102,5589,5589
1490350828,5606,5606
1490351546,5612,5612
1490352260,5619,5619
1490352987,5623,5623
1490353717,5629,5629
1490354429,5628,5628
1490355162,5631,5631
1490355854,5649,5649
1490356586,5644,5644
1490357301,5641,5641
1490358049,5636,5636
1490358749,5662,5662
