DateTime,AddedIPs,RemovedIPs
1490108475,5,7
1490109329,4,0
1490110228,4,6
1490110945,1,0
1490112324,1,7
1490113129,5,0
1490114425,7,9
1490115380,4,0
1490116220,1,1
1490117117,2,0
1490118006,4,10
1490119525,4,3
1490120423,2,0
1490120896,2,0
1490122361,0,8
1490123660,4,6
1490124630,1,4
1490125533,2,0
1490126728,6,6
1490127575,1,0
1490128761,2,3
1490129720,3,0
1490130620,1,5
1490131793,3,7
1490132547,1,2
1490133925,3,3
1490134821,2,0
1490137354,6,14
1490138425,5,0
1490139623,9,1
1490140519,4,0
1490141419,1,4
1490142327,1,0
1490144497,6,27
1490145622,6,0
1490146903,7,3
1490148069,3,2
1490149821,5,4
1490150724,1,0
1490151709,3,3
1490152458,6,0
1490153427,3,4
1490154327,4,0
1490155253,3,6
1490156118,3,1
1490157024,2,2
1490158515,8,1
1490159422,4,3
1490160316,1,0
1490161347,6,7
1490162176,5,0
1490163022,4,7
1490163836,2,0
1490164820,3,5
1490165699,6,1
1490166079,3,4
1490166931,6,0
1490167826,2,4
1490168729,3,0
1490169592,6,4
1490170524,3,1
1490171615,1,3
1490172534,7,3
1490172975,1,0
1490173824,4,7
1490174981,3,2
1490175751,1,0
1490176582,1,0
1490177421,2,2
1490178500,1,1
1490179502,4,7
1490181020,3,5
1490182111,4,0
1490182955,2,7
1490183775,4,0
1490184620,0,2
1490186720,7,7
1490188217,6,3
1490190150,4,4
1490191824,5,3
1490193920,5,6
1490195127,6,6
1490196024,3,0
1490196504,1,0
1490197519,5,15
1490198730,2,5
1490199622,2,0
1490200096,1,0
1490200949,2,5
1490202053,4,4
1490203830,5,3
1490204549,2,0
1490206463,7,3
1490207388,3,8
1490208331,1,1
1490209278,2,2
1490210131,6,0
1490211033,1,4
1490212002,7,0
1490213720,3,4
1490214578,3,4
1490215346,5,6
1490216254,3,0
1490217158,4,2
1490218945,11,4
1490219987,3,4
1490220923,2,0
1490221823,1,1
1490222546,5,0
1490223379,7,0
1490224220,1,4
1490225426,3,4
1490227283,5,5
1490228261,3,0
1490229674,1,7
1490230512,3,1
1490231722,0,3
1490232625,1,3
1490233527,1,0
1490235016,3,1
1490236826,5,11
1490237779,7,1
1490238620,2,3
1490240726,6,6
1490242224,1,2
1490244785,5,0
1490246423,3,67
1490247629,3,4
1490248524,2,0
1490249419,3,3
1490250495,2,0
1490251325,3,10
1490252163,3,0
1490253022,1,2
1490254090,4,0
1490255126,3,4
1490256580,4,2
1490258552,5,6
1490260469,5,0
1490261301,2,0
1490262147,5,9
1490262977,4,0
1490263822,0,2
1490264896,3,1
1490265751,9,7
1490266562,3,0
1490267424,1,3
1490268520,4,1
1490269534,6,8
1490270731,6,3
1490271621,6,0
1490272924,2,7
1490273718,2,0
1490275047,5,2
1490276116,5,6
1490277385,4,0
1490278224,2,9
1490279424,7,8
1490280375,2,2
1490281500,4,2
1490282058,9,1
1490282879,4,0
1490284058,7,12
1490285128,5,3
1490287225,5,11
1490289623,6,3
1490290431,6,6
1490292327,10,2
1490293825,6,4
1490294551,3,0
1490296459,10,4
1490297309,3,0
1490298331,4,5
1490299201,5,4
1490300084,2,0
1490300904,2,0
1490301754,2,5
1490303087,4,3
1490304024,6,0
1490304923,3,6
1490305352,1,1
1490306185,7,0
1490307019,2,2
1490308421,5,8
1490309922,7,9
1490310862,6,0
1490312116,6,6
1490313169,3,1
1490314122,2,4
1490315418,1,7
1490316329,3,5
1490317828,1,4
1490318908,2,0
1490319754,3,7
1490321127,5,4
1490323046,5,8
1490323345,0,2
1490325257,7,4
1490326226,2,4
1490327098,0,5
1490328616,3,5
1490329965,4,8
1490332823,4,9
1490334153,2,5
1490335531,4,6
1490336418,3,0
1490337326,1,9
1490338524,4,0
1490339428,3,7
1490340383,1,0
1490341359,4,5
1490342179,2,1
1490343038,0,8
1490344106,2,2
1490344963,0,5
1490345781,2,0
1490346647,2,3
1490347719,3,0
1490348730,4,3
1490349375,1,1
1490350230,4,5
1490350459,3,1
1490351420,5,10
1490352305,1,0
1490354067,3,5
1490355267,4,4
1490356579,5,0
1490357431,20,5
1490358516,28,1
1490359535,31,8
1490360403,2,2
1490361293,4,1
1490362222,6,7
1490363776,6,4
1490365820,8,16
1490366555,4,0
1490368049,6,5
1490368984,2,2
1490370031,8,3
1490370163,2,0
1490371507,5,3
1490372425,1,1
1490373752,10,5
1490374597,3,2
1490375434,22,4
1490376633,32,4
1490377689,3,2
1490378175,0,1
1490380221,10,5
1490381675,13,8
1490382635,9,8
1490383532,6,0
1490384427,4,7
1490385303,3,0
1490386199,3,7
1490388157,7,10
1490389409,7,1
1490390427,5,1
1490390912,2,2
1490392521,12,5
1490393527,4,12
1490394442,2,2
1490396117,6,6
1490397258,3,5
1490398517,6,7
1490400093,7,6
1490400921,2,1
1490401824,0,5
1490403661,1,2
1490404809,2,0
1490406029,3,3
1490407206,5,6
1490408126,4,1
1490409044,4,3
1490409942,7,1
1490410575,5,0
1490411436,5,8
1490412237,2,0
1490413228,1,4
1490415256,3,4
1490416304,18,0
1490418921,25,8
1490419848,4,2
1490420742,4,0
1490421752,4,9
1490422830,4,3
1490423722,2,4
1490424901,1,7
1490425845,5,5
1490426905,6,2
1490427940,7,9
1490429149,6,5
1490430027,4,2
1490430837,2,4
1490432125,12,0
1490433866,16,10
1490434832,12,8
1490435920,6,13
1490438004,8,15
1490439072,9,2
1490440500,9,8
1490441441,4,9
1490442339,2,4
1490442981,3,1
1490443832,6,4
1490444743,4,2
1490445848,6,4
1490447296,7,13
1490448631,5,5
1490449556,11,2
1490451320,37,3
1490452829,29,18
1490453722,14,1
1490454858,23,11
1490455885,19,7
1490456738,17,1
1490458521,56,11
1490459719,24,15
1490460596,19,7
1490461534,14,5
1490462424,8,1
1490463633,2,12
1490464520,2,2
1490465420,3,9
1490466342,9,4
1490467360,31,16
1490468181,21,4
1490469039,23,10
1490469266,7,2
1490470223,18,3
1490471141,21,4
1490472703,31,6
1490473605,19,8
1490475289,15,13
1490476257,7,8
1490477425,5,7
1490478773,5,11
1490480663,5,19
1490481631,8,21
1490482521,2,7
1490483464,5,6
1490484318,3,3
1490485229,5,7
1490486789,8,8
1490488241,55,10
1490489343,25,5
1490490635,6,6
1490492554,1,16
1490493920,2,6
1490494835,4,3
1490496025,5,8
1490497339,10,12
1490498420,6,3
1490499636,8,10
1490500729,9,6
