DateTime,AddedIPs,RemovedIPs
1488964224,0,47
1488965174,0,1
1488966038,1,63
1488967539,0,56
1488969941,1,122
1488972627,0,1
1488974181,0,1
1488976190,0,1
1488978153,1,0
1488981018,1,0
1488981927,0,1
1488983554,2,0
1488984952,7,0
1488987024,0,3
1488992934,1,1
1489000360,1,0
1489002336,0,1
1489003618,1,0
1489005022,0,1
1489008922,1,0
1489010969,1,0
1489012742,0,1
1489017937,0,1
1489020873,1,1
1489028180,1,0
1489029020,1,0
1489038158,1,1
1489039754,1,0
1489046356,1,0
1489051185,1,0
1489052193,0,1
1489056160,1,1
1489058889,1,0
1489059945,0,1
1489062752,1,0
1489063682,0,1
1489066841,0,2
1489069825,1,0
1489071756,0,1
1489076060,1,0
1489082752,1,0
1489088372,0,1
1489090526,0,1
1489092041,0,5
1489094687,1,0
1489096551,1,0
1489098311,1,0
1489099363,0,2
1489103798,1,0
1489104625,0,1
1489111128,0,2
1489115823,1,0
1489116704,0,1
1489118561,0,1
1489120525,0,1
1489120963,0,1
1489122342,0,1
1489124563,0,9
1489126458,1,0
1489128149,0,1
1489130064,1,1
1489137021,0,6
1489139187,0,1
1489147552,0,1
1489149317,1,0
1489151421,0,1
1489152479,1,0
1489153295,2,6
1489155030,0,3
1489156221,0,1
1489158141,1,0
1489159204,1,0
1489160103,0,1
1489163426,0,2
1489167027,0,1
1489167951,1,0
1489169424,1,0
1489170308,0,1
1489172985,0,1
1489179944,0,1
1489183786,1,0
1489185762,1,0
1489187659,0,1
1489191146,0,1
1489196572,1,1
1489198462,0,2
1489200177,1,0
1489206622,0,1
1489208752,0,1
1489210230,0,1
1489215954,1,1
1489223155,0,1
1489224047,2,0
1489225559,0,1
1489227648,0,1
1489228525,0,1
1489229878,1,0
1489236992,1,0
1489238970,0,1
1489245202,1,0
1489246522,0,1
1489249816,0,1
1489252526,0,1
1489257958,1,0
1489259440,1,0
1489260669,1,0
1489263049,0,1
1489265109,0,3
1489267851,1,0
1489273118,0,1
1489275008,2,0
1489287116,0,1
1489295457,0,1
1489299075,0,1
1489300850,1,0
1489302662,0,1
1489304696,1,0
1489309352,1,0
1489312279,1,0
1489322453,0,1
1489323989,1,1
1489327187,0,1
1489329057,0,1
1489329777,1,0
1489331175,1,0
1489337161,1,0
1489341857,1,1
1489344923,1,0
1489345874,1,0
1489347788,3,0
1489350689,0,1
1489354232,0,1
1489355187,1,1
1489364123,1,0
1489367123,0,1
1489369522,0,1
1489372945,2,0
1489385428,0,1
1489386504,1,0
1489387339,1,0
1489389625,2,0
1489394549,0,2
1489400419,0,1
1489402467,0,1
1489415427,0,1
1489416917,2,0
1489426832,0,1
1489428328,1,1
1489429660,1,0
1489431953,0,2
1489433091,1,0
1489436103,0,1
1489439127,1,0
1489444827,0,2
1489445804,1,0
1489446620,0,1
1489446865,1,0
1489457725,0,1
1489462519,2,0
1489463728,1,0
1489464622,1,0
1489466724,1,0
1489470152,0,1
1489470979,1,0
1489473025,0,1
1489477526,0,1
1489480943,0,1
1489494278,0,1
1489495228,1,0
1489500623,0,1
1489503882,1,0
1489506977,1,1
1489512030,1,0
1489514718,0,2
1489515625,1,0
1489516518,0,1
1489526892,1,0
1489529723,0,1
1489530627,0,1
1489533632,1,0
1489535131,0,1
1489540528,1,0
1489541623,1,0
1489543529,0,2
1489556549,0,2
1489557377,1,0
1489563632,2,0
1489571127,1,0
1489574186,1,0
1489575377,1,0
1489580385,1,1
1489581400,2,0
1489586182,0,1
1489597836,1,1
1489598891,1,0
1489602918,0,1
1489605261,1,0
1489606234,1,0
1489607282,1,0
1489608870,1,0
1489617922,1,1
1489619422,0,1
1489623880,1,0
1489630073,0,1
1489631424,0,1
1489633316,1,0
1489635030,0,1
1489635924,1,1
1489636858,1,0
1489639525,0,1
1489640737,0,1
1489642830,0,1
1489659026,0,1
1489662334,1,0
1489664556,0,1
1489665907,1,0
1489667703,0,1
1489673127,0,1
1489676720,0,1
1489680338,1,0
1489682379,0,1
1489687463,1,0
1489692627,1,0
1489694488,1,0
1489696837,0,1
1489697766,2,0
1489704151,1,0
1489707756,1,0
1489711523,0,1
1489712608,0,1
1489720834,1,0
1489723754,0,1
1489725755,1,0
1489727420,0,1
1489733406,0,1
1489735834,1,0
1489738469,1,0
1489739428,0,1
1489745133,0,2
1489746886,1,0
1489750288,0,2
1489751782,1,0
1489753583,1,0
1489755047,1,0
1489756032,2,0
1489764080,1,0
1489765319,1,0
1489768517,0,2
1489770638,0,1
1489772742,1,0
1489776348,0,2
1489777805,0,1
1489782625,1,0
1489784513,1,0
1489787147,0,1
1489790562,0,1
1489792252,1,0
1489794518,1,0
1489796815,1,0
1489797756,1,0
1489799146,1,0
1489800499,1,0
1489804221,0,2
1489805136,0,1
1489806624,0,1
1489819551,1,0
1489825071,1,0
1489828529,1,0
1489830164,1,0
1489833788,0,1
1489835546,0,1
1489839063,3,0
1489842355,2,0
1489844756,0,1
1489845944,1,1
1489846855,0,1
1489848054,1,0
1489848926,1,1
1489849875,1,1
1489851036,1,0
1489852526,1,1
1489853731,0,1
1489855554,1,0
1489858432,0,1
1489860664,15,0
1489861702,5,0
1489863324,0,1
1489864536,0,1
1489865855,1,0
1489870880,1,0
1489872603,2,1
1489873589,1,0
1489878934,1,0
1489880542,1,0
1489894849,0,1
1489898574,1,0
1489899946,1,0
1489900849,1,0
1489904983,0,1
1489909277,1,1
1489911024,2,0
1489913157,1,0
1489921862,5,0
1489923794,0,1
1489925542,1,0
1489928739,0,8
1489931782,1,0
1489932627,1,0
1489934541,0,2
1489935935,0,1
1489936829,1,0
1489942520,0,1
1489944138,1,1
1489948915,2,0
1489957678,0,2
1489963344,0,1
1489965343,0,1
1489966233,0,1
1489967168,0,1
1489968920,1,1
1489974934,0,9
1489975995,0,1
1489977739,0,1
1489984946,1,0
1489986860,0,1
1489990225,0,1
1489993531,0,1
1489997035,1,0
1489998505,1,0
1490003779,1,0
1490007539,0,2
1490009440,0,1
1490018725,0,2
1490020939,0,1
1490024553,0,2
1490025593,1,1
1490027428,0,2
1490028381,1,1
1490031035,0,4
1490037271,0,1
1490040581,0,1
1490042432,0,3
1490047124,1,0
1490048425,1,0
1490049318,0,1
1490051320,0,1
1490057127,0,1
1490057777,1,0
1490066033,1,0
1490069425,0,1
1490075129,0,1
1490078549,0,1
1490081671,0,3
1490084424,1,0
1490090599,1,2
1490092231,0,1
1490099300,1,1
1490101818,1,1
1490103035,1,1
1490104519,0,1
1490105423,2,0
1490107530,1,0
1490108483,1,0
1490114432,1,1
1490118018,0,2
1490123664,2,0
1490128764,1,0
1490130623,1,0
1490131797,0,1
1490133936,1,0
1490137364,1,1
1490144503,1,0
