DateTime,AddedIPs,RemovedIPs
1490055032,2,1
1490057130,3,1
1490058626,0,4
1490059522,3,1
1490060439,1,4
1490062226,1,6
1490066040,3,2
1490067754,1,1
1490069429,1,3
1490070631,1,1
1490071353,0,1
1490072190,1,0
1490073026,0,2
1490075133,2,4
1490076331,2,2
1490077231,1,0
1490078556,1,4
1490079845,2,2
1490080772,3,0
1490081675,1,1
1490084430,2,1
1490085816,1,1
1490087432,1,0
1490088249,2,0
1490090606,1,1
1490091934,5,0
1490092781,1,6
1490093706,2,0
1490094615,0,1
1490095701,2,0
1490096565,1,3
1490099303,5,7
1490100269,4,3
1490100987,2,0
1490101822,1,3
1490103039,2,4
1490104523,3,2
1490105427,0,2
1490107535,3,5
1490108490,4,4
1490109345,2,0
1490110236,4,4
1490110961,1,0
1490112332,0,5
1490113136,3,0
1490114439,5,4
1490115387,2,0
1490116228,1,0
1490117125,1,0
1490118031,2,5
1490119535,2,1
1490122368,0,7
1490123669,1,5
1490124640,1,2
1490126747,2,4
1490127582,1,0
1490128767,0,1
1490130627,0,3
1490131801,2,3
1490133942,1,1
1490134837,1,0
1490137373,2,2
1490138441,3,0
1490139638,5,1
1490140528,2,0
1490141426,1,1
1490142334,1,0
1490144513,4,21
1490145642,4,0
1490146919,4,1
1490148090,0,1
1490149828,2,0
1490151731,2,2
1490152466,3,0
1490153435,1,4
1490154334,2,0
1490155275,2,3
1490156126,2,0
1490157031,0,1
1490158521,6,1
1490159429,2,1
1490160323,1,0
1490161367,1,4
1490162182,2,0
1490163029,2,2
1490164833,1,1
1490165707,2,1
1490166103,2,3
1490166939,2,0
1490167834,0,2
1490168736,1,0
1490169598,5,0
1490170531,1,1
1490171622,0,2
1490172542,1,2
1490172981,1,0
1490173831,2,3
1490174996,3,2
1490177428,1,2
1490179517,2,4
1490181027,2,2
1490182120,4,0
1490182981,1,3
1490183782,3,0
1490184627,0,2
1490186726,4,2
1490188224,3,2
1490190174,3,1
1490191831,2,1
1490193946,2,5
1490195154,2,2
1490196048,2,0
1490196512,1,0
1490197547,2,14
1490198753,0,3
1490199642,2,0
1490200972,2,2
1490202074,2,2
1490203838,3,2
1490204579,3,0
1490206470,4,1
1490207395,1,4
1490209315,1,2
1490210140,2,0
1490211043,0,1
1490212035,4,0
1490213729,2,2
1490214586,2,1
1490215367,2,2
1490216262,1,0
1490217168,1,2
1490218974,6,2
1490219994,1,3
1490220929,1,0
1490221830,1,1
1490222573,3,0
1490223385,2,0
1490224226,0,2
1490225435,1,2
1490227305,2,3
1490228269,1,0
1490229697,0,5
1490230518,2,1
1490231729,0,1
1490232633,0,1
1490233549,1,0
1490235023,2,0
1490236850,2,6
1490237786,4,0
1490238626,1,1
1490240749,5,3
1490242233,0,2
1490244791,4,0
1490246453,2,3
1490247657,1,2
1490248531,1,0
1490249426,0,1
1490250502,2,0
1490251358,0,8
1490252169,1,0
1490253029,0,2
1490254097,1,0
1490255145,2,2
1490256589,1,0
1490258583,3,2
1490260477,1,0
1490261308,1,0
1490262172,3,7
1490262984,3,0
1490263828,0,1
1490264903,2,1
1490265778,6,3
1490266568,2,0
1490267431,1,2
1490268531,2,0
1490269571,3,4
1490270761,2,3
1490271651,2,0
1490272955,1,4
1490273915,0,2
1490275054,4,0
1490276122,2,1
1490277392,1,0
1490278230,2,5
1490279430,3,5
1490280403,2,1
1490281533,3,1
1490282066,3,0
1490282893,2,0
1490284065,4,7
1490285152,4,2
1490287250,4,5
1490289653,1,1
1490290455,2,1
1490292356,8,2
1490293832,1,3
1490294578,1,0
1490296467,6,1
1490298360,1,2
1490299240,3,1
1490300091,2,0
1490301783,2,0
1490303110,2,1
1490304056,2,0
1490304930,1,2
1490305398,0,1
1490306192,2,0
1490307026,0,1
1490308427,1,3
1490309929,2,4
1490310871,3,0
1490312123,0,3
1490313176,1,1
1490314155,1,3
1490316360,3,7
1490318919,1,0
1490319776,1,2
1490321154,3,3
1490323053,1,3
1490325267,1,2
1490326233,2,2
1490327128,0,4
1490328623,1,3
1490329979,2,3
1490332857,2,5
1490334195,2,2
1490335558,1,3
1490336449,3,0
1490337332,0,3
1490339457,1,4
1490341398,1,0
1490342187,0,1
1490343045,0,6
1490344133,1,2
1490344999,0,2
1490345788,2,0
1490346656,1,0
1490347791,2,2
1490348766,1,0
1490350251,1,2
1490350466,0,1
1490351427,3,8
1490354077,3,3
1490355274,2,2
1490356586,1,0
1490357450,21,4
1490358542,25,1
1490359565,29,3
1490360465,0,2
1490361310,2,0
1490362231,4,5
1490363782,4,3
1490365826,5,9
1490366595,1,0
1490368085,1,2
1490369022,2,1
1490370065,6,3
1490371537,2,2
1490372461,1,1
1490373787,2,3
1490374603,1,1
1490375479,25,2
1490376641,25,3
1490377722,1,1
1490380228,9,2
1490381682,12,8
1490382675,4,6
1490383568,2,0
1490384469,2,4
1490385312,1,0
1490386238,0,5
1490388196,3,4
1490389448,2,0
1490390466,2,1
1490390979,0,4
1490392528,4,1
1490393545,0,9
1490394480,1,2
1490396123,2,2
1490397265,1,1
1490398524,3,2
1490400125,3,6
1490400927,0,1
1490401833,0,2
1490403703,0,2
1490404841,2,0
1490406076,1,1
1490407266,2,3
1490408134,4,1
1490409066,3,1
1490409970,6,1
1490410582,4,0
1490411462,4,6
1490413267,0,2
1490414397,1,3
1490415264,2,0
1490416315,18,0
1490418928,16,4
1490419895,4,0
1490420783,4,0
1490421804,1,4
1490422870,0,3
1490423729,1,1
1490424917,1,4
1490425878,3,3
1490426912,3,2
1490427983,6,6
1490430071,5,3
1490431079,3,2
1490432132,8,0
1490433929,15,7
1490434880,11,7
1490435933,6,9
1490438026,2,12
1490439079,4,1
1490440529,3,6
1490441487,3,5
1490442378,2,3
1490442988,1,1
1490443876,6,0
1490444791,4,2
1490445892,2,2
1490447340,6,2
1490448668,3,2
1490449597,11,2
1490451326,36,2
1490452873,29,7
1490453728,13,1
1490454685,18,8
1490454865,4,0
1490455921,18,4
1490456774,15,1
1490458528,55,11
1490459727,24,8
1490460652,16,6
1490461578,12,4
1490462431,5,1
1490463691,2,9
1490464529,2,2
1490465427,3,9
1490466384,8,4
1490467407,33,8
1490468187,18,4
1490469081,22,9
1490469274,6,1
1490470231,18,2
1490471186,21,3
1490472709,27,3
1490473657,17,8
1490475295,13,11
1490476311,3,2
1490477434,3,5
1490478782,0,7
1490480711,3,16
1490481670,3,16
1490482529,1,4
1490483515,4,4
1490484328,2,3
1490485281,4,6
1490486828,6,7
1490488297,60,7
1490489377,12,4
1490490680,2,5
1490492605,1,13
1490493927,2,3
1490494883,3,3
1490496032,2,4
1490497396,10,12
1490498426,4,2
1490499680,7,9
1490500736,7,5
1490501734,5,1
1490502633,0,2
1490503426,2,3
1490504730,2,3
1490505676,1,1
1490506207,2,1
1490507787,2,3
1490508690,0,3
1490509528,0,1
1490510777,1,2
1490512225,2,6
1490513731,2,2
1490515386,3,5
1490516429,4,2
1490517416,1,6
1490517821,0,1
1490519127,5,7
1490520086,5,3
1490522187,4,18
1490523118,1,2
1490524109,2,7
1490525028,1,6
1490526331,10,2
1490527297,25,2
1490528149,17,14
1490529323,29,0
1490530707,5,17
1490531975,3,8
1490532923,2,5
1490533751,3,10
1490535220,2,22
1490537770,6,9
1490538642,1,7
1490539627,2,2
1490540728,0,6
1490541675,1,5
1490542728,2,9
1490543786,1,3
1490544720,3,1
1490545834,8,12
1490546807,5,0
1490547934,2,7
1490550027,0,8
1490550982,2,2
1490551910,2,6
1490553848,6,8
1490555127,3,4
1490556092,2,2
1490556964,2,2
1490557353,0,5
1490559378,6,10
1490561026,4,6
1490562177,2,6
1490563287,0,4
1490564152,3,7
1490565326,1,5
1490566299,2,6
1490567434,2,4
1490569779,4,9
1490571929,1,4
1490572855,0,1
1490573734,1,2
1490574633,3,4
1490575531,4,4
1490576507,2,2
1490578228,8,3
1490579262,4,1
1490580930,5,4
1490581833,2,6
1490582732,1,2
1490583682,2,6
1490584524,3,1
1490585506,1,4
1490586331,3,1
1490587826,2,11
1490589750,3,11
1490590869,0,7
1490591730,2,0
1490592609,4,2
1490593532,1,5
