DateTime,AddedIPs,RemovedIPs
1490109306,247,0
1490110206,250,283
1490110927,216,128
1490112305,501,260
1490113117,260,1
1490114405,448,418
1490115364,351,0
1490116205,280,195
1490117105,278,0
1490117993,352,380
1490119506,572,199
1490120406,417,0
1490120884,174,0
1490122349,472,375
1490123646,332,185
1490124606,243,241
1490125506,170,86
1490126707,213,176
1490127564,171,1
1490128744,216,298
1490129705,158,0
1490130606,147,272
1490131773,228,226
1490132528,138,97
1490133904,206,173
1490134804,172,1
1490137337,409,539
1490138405,155,0
1490139605,215,236
1490140505,176,2
1490141404,148,245
1490142316,135,0
1490144482,407,536
1490145604,207,0
1490146886,216,377
1490148051,202,198
1490149806,297,263
1490150705,150,83
1490151690,144,175
1490152446,133,0
1490153410,139,260
1490154305,169,102
1490155236,168,214
1490156105,165,0
1490157005,127,256
1490159405,373,327
1490160305,156,1
1490161327,190,413
1490162165,148,0
1490163005,127,244
1490163813,128,0
1490164805,147,279
1490165689,143,0
1490166060,64,300
1490166906,143,0
1490167805,164,296
1490168706,238,0
1490169581,252,420
1490170504,195,59
1490171604,294,611
1490172523,258,142
1490172964,128,0
1490174046,298,297
1490174936,294,1
1490175728,239,457
1490176565,266,0
1490177405,261,495
1490178485,371,0
1490179487,281,555
1490181005,519,727
1490182095,345,1
1490182930,265,721
1490183764,273,0
1490184605,279,475
1490185806,363,582
1490186704,315,217
1490188205,485,349
1490189405,414,522
1490190128,208,189
1490191805,551,450
1490193005,371,572
1490193906,261,215
1490195109,357,441
1490196005,296,0
1490196486,132,0
1490197498,303,741
1490198708,348,421
1490199605,274,0
1490200085,147,0
1490200926,290,1012
1490202037,379,375
1490202912,311,0
1490203805,334,574
1490204530,297,0
1490206445,677,638
1490207343,320,0
1490208308,317,815
1490209204,261,274
1490210106,343,22
1490211006,325,306
1490211980,319,0
1490213706,427,328
1490214536,148,0
1490215327,156,398
1490216243,142,0
1490217144,153,208
1490218205,172,266
1490218927,120,93
1490219976,143,188
1490220905,151,21
1490221806,164,269
1490222528,113,1
1490223365,128,1
1490224207,120,298
1490225409,194,286
1490227262,256,294
1490228249,156,0
1490229661,227,345
1490230501,118,0
1490232605,323,501
1490233505,135,99
1490235005,199,206
1490236808,243,353
1490237764,138,0
1490238605,143,217
1490239810,162,252
1490240708,131,104
1490242205,264,210
1490243709,233,261
1490244774,146,77
1490246405,226,256
1490247605,167,336
1490248505,132,0
1490249404,148,188
1490250484,168,0
1490251310,116,772
1490252152,122,1
1490253246,193,271
1490254078,168,0
1490255105,224,559
1490256559,368,224
1490258533,447,407
1490260445,568,258
1490261289,216,2
1490262126,247,473
1490262965,233,0
1490264045,314,273
1490264884,246,1
1490265729,229,464
1490266548,255,0
1490267405,255,206
1490268507,369,1
1490269510,315,393
1490270709,375,236
1490271605,261,1
1490272908,406,323
1490273704,259,0
1490275034,408,337
1490276105,320,367
1490278205,728,570
1490279405,514,433
1490280355,332,158
1490281481,259,415
1490282046,118,0
1490282868,175,0
1490284041,214,703
1490285108,212,418
1490287328,656,772
1490289605,690,477
1490290414,309,743
1490292306,597,593
1490294530,713,353
1490296445,658,338
1490297289,351,1
1490298310,403,441
1490299190,321,187
1490300072,278,26
1490300885,277,1
1490301731,297,461
1490303063,320,192
1490304005,191,0
1490304905,154,329
1490305332,70,97
1490306165,162,0
1490307009,174,212
1490308409,239,285
1490309912,289,314
1490310845,157,27
1490312105,178,289
1490313157,175,124
1490314104,117,227
1490315405,215,322
1490316308,135,107
1490317808,196,265
1490318889,191,1
1490319734,133,376
1490321105,228,335
1490323329,364,427
1490324525,198,242
1490325245,132,1
1490326205,161,284
1490327075,151,91
1490328606,289,212
1490329948,243,317
1490332804,485,339
1490334131,238,363
1490335508,245,202
1490336405,246,1
1490337315,232,304
1490339405,555,487
1490340360,237,1
1490341332,269,634
1490342164,233,1
1490343012,229,320
1490344088,339,1
1490344934,279,730
1490345764,295,1
1490346620,260,368
1490347692,346,0
1490348709,291,553
1490349364,187,0
1490350445,340,561
1490351406,333,572
1490352284,286,191
1490354046,566,407
1490355243,370,493
1490357415,651,557
1490358490,347,0
1490359513,329,499
1490360390,272,478
1490361270,258,32
1490362205,254,484
1490363765,464,153
1490365805,595,795
1490366530,186,0
1490368023,507,513
1490368958,243,0
1490370139,324,668
1490371480,390,352
1490372405,287,0
1490373728,384,577
1490374586,267,0
1490375414,236,798
1490376610,357,526
1490377664,279,193
1490378164,132,0
1490380207,732,911
1490382612,626,501
1490383505,196,1
1490384404,221,267
1490385287,226,0
1490386175,219,275
1490388130,470,337
1490389384,270,171
1490390405,244,1
1490390887,112,1
1490392504,348,249
1490393516,181,281
1490394422,174,1
1490396106,316,257
1490397245,181,281
1490398505,248,244
1490400068,268,258
1490400905,174,0
1490401806,162,313
1490403639,314,269
1490404793,200,0
1490406010,206,305
1490407195,208,162
1490408107,119,20
1490409014,123,272
1490409915,130,101
1490410564,92,0
1490411407,129,206
1490412211,104,1
1490413205,154,337
1490415244,312,166
1490416290,215,252
1490418905,461,295
1490419820,134,259
1490420713,162,1
1490421725,160,289
1490422810,185,0
1490423705,174,346
1490424890,201,137
1490426045,227,292
1490426885,141,0
1490427911,172,521
1490429122,222,321
1490430004,169,1
1490430826,180,504
1490432105,270,2
1490433829,251,533
1490434812,194,484
1490435880,167,0
1490437991,372,1121
1490439061,199,192
1490440485,257,380
1490441411,191,522
1490442315,159,199
1490442964,126,1
1490443809,148,394
1490444714,153,0
1490445811,211,531
1490447262,317,1534
1490448610,229,1333
1490449518,168,221
1490451305,383,286
1490452805,295,425
1490453705,192,0
1490454845,260,380
1490455845,186,552
1490456718,197,0
1490458505,360,490
1490459705,279,599
1490460572,184,195
1490461508,196,405
1490462405,198,1
1490463605,197,555
1490464506,190,0
1490465405,148,620
1490466314,138,0
1490467333,186,865
1490468169,174,0
1490469245,205,454
1490470205,169,612
1490471112,159,227
1490472691,307,334
1490473583,161,0
1490475278,284,325
1490476212,143,373
1490477405,179,315
1490478762,199,100
1490480634,273,242
1490481605,154,265
1490482505,153,0
1490483434,153,303
1490484306,154,0
1490485205,156,402
1490486754,235,187
1490488219,240,269
1490489306,192,92
1490490613,203,195
1490491818,172,279
1490492527,89,0
1490493906,222,311
1490494805,129,1
1490496005,173,401
1490497319,237,208
1490498405,213,0
1490499611,250,394
1490500712,231,185
1490501705,185,22
1490502605,185,275
1490503341,128,97
1490504704,281,189
1490505611,180,0
1490506093,78,0
1490507765,272,527
1490508611,154,314
1490509504,141,0
1490510710,198,539
1490512194,428,317
1490513704,288,449
1490515311,282,593
1490516106,132,0
1490517005,154,525
1490517727,136,0
1490519104,215,512
1490520004,245,0
1490521894,330,476
1490522164,44,0
1490523034,140,560
1490524089,201,0
1490524928,116,685
1490526304,243,326
1490527205,151,0
1490528107,143,479
1490529305,236,0
1490530688,230,521
1490531957,232,450
1490532905,166,175
1490533733,158,338
1490535143,249,469
1490537730,466,602
1490538606,180,426
1490539539,148,135
1490540704,216,303
1490541605,165,0
1490542924,285,588
1490543764,155,0
1490544626,159,299
1490545805,232,443
1490546723,152,128
1490547906,226,301
1490548805,171,0
1490550126,204,784
1490550963,162,0
1490551812,138,281
1490553006,201,389
1490553744,101,0
1490555104,232,428
1490556013,136,0
1490556902,137,383
1490557325,74,149
1490559321,355,257
1490560934,253,372
1490562147,188,374
1490563205,166,1
1490564134,142,320
1490565305,178,110
1490566219,115,210
1490567405,171,312
1490569762,325,320
1490571905,268,317
1490572805,107,260
1490573705,125,13
1490574605,140,289
1490575506,117,120
1490576486,122,214
1490578205,243,231
1490579244,140,83
1490580906,244,166
1490581806,140,227
1490582705,136,99
1490583662,154,758
1490584504,125,1
1490585489,143,1707
1490586305,109,398
1490587805,241,227
1490589005,168,281
1490589726,116,122
1490590789,145,199
1490591705,141,21
1490592586,133,315
1490593505,167,109
1490594500,142,235
1490595246,93,1
1490596206,178,292
1490597105,169,92
1490598207,189,208
1490599205,162,0
1490600570,224,451
1490601473,154,1
1490602592,193,244
1490603405,121,270
1490604125,166,122
1490604964,123,0
1490605800,148,184
1490606884,200,1
1490608919,401,633
1490610906,363,300
1490612506,293,411
1490613305,161,0
1490614206,165,314
1490615105,162,111
1490616304,238,268
1490617204,190,1
1490618161,197,347
1490619479,234,116
1490620287,156,267
1490621405,219,338
1490622129,111,113
1490623236,228,263
1490624105,200,0
1490625006,219,316
1490625905,172,112
1490627105,252,267
1490628005,177,0
1490628905,144,361
1490630547,306,396
1490631607,214,1
1490632806,258,436
1490633705,230,1
1490634609,181,230
1490635806,240,270
1490636603,188,115
1490637661,182,247
1490638505,167,0
1490639405,150,295
1490640305,191,1
1490640964,126,0
1490641805,200,382
1490642632,173,0
1490643725,167,303
1490645105,245,292
1490646006,192,0
1490646832,149,287
1490648105,210,100
1490650128,368,187
1490651106,156,349
1490652057,154,207
1490652906,113,0
1490653740,136,0
1490654704,156,410
1490656204,225,203
1490658005,236,293
1490658905,139,1
1490659804,127,314
1490660793,171,1
