DateTime,Entries,UniqueIPs
1490094846,53057,53057
1490095643,53214,53214
1490096527,53017,53017
1490097364,53169,53169
1490099285,53298,53298
1490100244,53045,53045
1490100965,53189,53189
1490101804,53058,53058
1490103012,52899,52899
1490104505,53089,53089
1490105405,53011,53011
1490106605,52925,52925
1490107510,53091,53091
1490108457,53088,53088
1490109306,53335,53335
1490110206,53302,53302
1490110927,53390,53390
1490112305,53631,53631
1490113117,53890,53890
1490114405,53920,53920
1490115364,54271,54271
1490116205,54356,54356
1490117105,54634,54634
1490117993,54606,54606
1490119506,54979,54979
1490120406,55396,55396
1490120884,55570,55570
1490122349,55667,55667
1490123646,55814,55814
1490124606,55816,55816
1490125506,55900,55900
1490126707,55937,55937
1490127564,56107,56107
1490128744,56025,56025
1490129705,56183,56183
1490130606,56058,56058
1490131773,56060,56060
1490132528,56101,56101
1490133904,56134,56134
1490134804,56305,56305
1490137337,56175,56175
1490138405,56330,56330
1490139605,56309,56309
1490140505,56483,56483
1490141404,56386,56386
1490142316,56521,56521
1490144482,56392,56392
1490145604,56599,56599
1490146886,56438,56438
1490148051,56442,56442
1490149806,56476,56476
1490150705,56543,56543
1490151690,56512,56512
1490152446,56645,56645
1490153410,56524,56524
1490154305,56591,56591
1490155236,56545,56545
1490156105,56710,56710
1490157005,56581,56581
1490159405,56627,56627
1490160305,56782,56782
1490161327,56559,56559
1490162165,56707,56707
1490163005,56590,56590
1490163813,56718,56718
1490164805,56586,56586
1490165689,56729,56729
1490166060,56493,56493
1490166906,56636,56636
1490167805,56504,56504
1490168706,56742,56742
1490169581,56574,56574
1490170504,56710,56710
1490171604,56393,56393
1490172523,56509,56509
1490172964,56637,56637
1490174046,56638,56638
1490174936,56931,56931
1490175728,56713,56713
1490176565,56979,56979
1490177405,56745,56745
1490178485,57116,57116
1490179487,56842,56842
1490181005,56634,56634
1490182095,56978,56978
1490182930,56522,56522
1490183764,56795,56795
1490184605,56599,56599
1490185806,56380,56380
1490186704,56478,56478
1490188205,56614,56614
1490189405,56506,56506
1490190128,56525,56525
1490191805,56626,56626
1490193005,56425,56425
1490193906,56471,56471
1490195109,56387,56387
1490196005,56683,56683
1490196486,56815,56815
1490197498,56377,56377
1490198708,56304,56304
1490199605,56578,56578
1490200085,56725,56725
1490200926,56003,56003
1490202037,56007,56007
1490202912,56318,56318
1490203805,56078,56078
1490204530,56375,56375
1490206445,56414,56414
1490207343,56734,56734
1490208308,56236,56236
1490209204,56223,56223
1490210106,56544,56544
1490211006,56563,56563
1490211980,56882,56882
1490213706,56981,56981
1490214536,57129,57129
1490215327,56887,56887
1490216243,57029,57029
1490217144,56974,56974
1490218205,56880,56880
1490218927,56907,56907
1490219976,56862,56862
1490220905,56992,56992
1490221806,56887,56887
1490222528,56999,56999
1490223365,57126,57126
1490224207,56948,56948
1490225409,56856,56856
1490227262,56818,56818
1490228249,56974,56974
1490229661,56856,56856
1490230501,56974,56974
1490232605,56796,56796
1490233505,56832,56832
1490235005,56825,56825
1490236808,56715,56715
1490237764,56853,56853
1490238605,56779,56779
1490239810,56689,56689
1490240708,56716,56716
1490242205,56770,56770
1490243709,56742,56742
1490244774,56811,56811
1490246405,56781,56781
1490247605,56612,56612
1490248505,56744,56744
1490249404,56704,56704
1490250484,56872,56872
1490251310,56216,56216
1490252152,56337,56337
1490253246,56259,56259
