DateTime,AddedIPs,RemovedIPs
1490120897,6,3
1490122362,24,41
1490123662,24,22
1490124632,17,28
1490125535,21,12
1490126732,17,24
1490127576,14,9
1490128762,24,24
1490129722,27,10
1490130621,10,21
1490131794,20,20
1490132548,7,13
1490133929,26,17
1490134824,16,8
1490137355,35,58
1490138426,27,5
1490139624,14,29
1490140522,14,11
1490141421,12,29
1490142328,16,4
1490144500,26,25
1490145626,14,12
1490146907,27,27
1490148073,13,20
1490149822,27,32
1490150725,13,10
1490151712,18,15
1490152460,14,12
1490153429,15,14
1490154328,15,8
1490155257,21,16
1490156121,18,8
1490157025,19,20
1490158516,20,17
1490159424,16,23
1490160317,16,5
1490161350,13,27
1490162177,11,8
1490163024,14,16
1490163835,15,11
1490164821,18,22
1490165701,15,8
1490166083,10,17
1490166932,11,9
1490167828,5,18
1490168731,21,9
1490169593,30,26
1490170525,22,6
1490171617,22,24
1490172536,12,7
1490172976,7,9
1490173826,17,15
1490174987,13,32
1490175753,21,8
1490176584,15,7
1490177422,15,23
1490178502,10,14
1490179504,10,20
1490181021,30,36
1490182114,14,13
1490182958,19,30
1490183776,15,14
1490184622,13,14
1490186721,27,23
1490188218,33,19
1490190155,31,32
1490191825,16,50
1490193925,42,56
1490195132,16,44
1490196026,8,6
1490196505,6,6
1490197520,14,64
1490198732,38,36
1490199623,17,5
1490200097,10,3
1490200952,11,72
1490202055,15,25
1490202932,23,7
1490203832,17,33
1490204554,26,4
1490206464,25,43
1490207389,21,42
1490208338,10,14
1490209284,20,23
1490210133,25,14
1490211035,17,25
1490212007,20,3
1490213723,38,35
1490214579,16,32
1490215351,17,16
1490216256,19,4
1490217160,14,17
1490218947,27,36
1490219989,10,15
1490220924,12,10
1490221824,10,26
1490222550,10,8
1490223380,7,7
1490224221,10,24
1490225428,14,21
1490227285,30,31
1490228263,11,14
1490229677,28,25
1490230513,14,10
1490231723,13,14
1490232627,23,21
1490233531,15,13
1490235017,21,19
1490236830,25,38
1490237781,7,11
1490238621,22,16
1490240729,25,33
1490242226,24,31
1490243723,18,9
1490244786,15,9
1490246428,34,19
1490247631,23,28
1490248526,14,8
1490249421,20,20
1490250497,11,7
1490251328,16,25
1490252164,14,5
1490253024,11,11
1490254091,11,5
1490255127,14,30
1490256583,22,26
1490258555,25,26
1490260471,35,26
1490261302,11,8
1490262149,16,27
1490262978,20,10
1490263823,19,14
1490264897,17,5
1490265755,12,29
1490266563,16,9
1490267426,16,18
1490268523,30,10
1490269540,17,29
1490270733,14,22
1490271624,10,14
1490272929,26,19
1490273910,12,12
1490275048,23,11
1490276117,9,25
1490277387,27,14
1490278225,14,24
1490278464,3,4
1490279425,16,29
1490280380,14,14
1490281509,21,20
1490282060,7,3
1490282880,20,5
1490284059,12,32
1490285133,19,15
1490287231,42,44
1490287354,4,1
1490289628,58,53
1490290434,14,19
1490292328,26,31
1490293826,35,30
1490294553,16,11
1490296460,35,33
1490297310,24,6
1490298336,24,29
1490299203,18,22
1490300085,12,9
1490300906,19,8
1490301758,20,27
1490303086,19,20
1490304028,24,14
1490304925,15,28
1490305356,7,9
1490306186,19,9
1490307021,20,15
1490308422,28,29
1490309924,25,25
1490310865,21,6
1490312118,17,27
1490313171,23,13
1490314127,19,22
1490315419,17,20
1490316332,19,13
1490317829,23,19
1490318910,18,10
1490319760,17,31
1490321131,20,23
1490323047,28,25
1490323349,15,10
1490325260,35,29
1490326227,25,28
1490327102,11,5
1490328618,21,27
1490329972,20,21
1490332829,29,47
1490334160,24,34
1490335535,19,18
1490336422,21,4
1490337327,11,12
1490338527,22,7
1490339429,11,26
1490340387,25,11
1490341364,14,31
1490342180,12,6
1490343039,18,12
1490344110,19,6
1490344970,20,26
1490345782,12,8
1490346650,16,16
1490347725,21,8
1490348738,21,16
1490349377,9,6
1490350236,16,29
1490350461,4,2
1490351422,15,31
1490352311,20,13
1490354069,45,21
1490355268,25,94
1490356581,32,16
1490357435,24,26
1490358520,20,13
1490359539,22,22
1490360406,21,15
1490361296,19,8
1490362223,33,25
1490363777,39,19
1490365821,38,35
1490366561,20,3
1490368055,23,39
1490368990,14,3
1490370036,19,37
1490370167,3,1
1490371511,38,19
1490372432,21,6
1490373758,24,28
1490374598,21,9
1490375439,12,203
1490376635,29,29
1490377694,17,12
1490378177,8,4
1490380222,220,54
1490381677,28,11
1490382640,17,45
1490383536,21,8
1490384434,17,25
1490385302,21,3
1490386204,18,35
1490388163,42,32
1490389413,17,16
1490390434,19,11
1490390917,7,2
1490392523,23,19
1490393533,13,13
1490394446,13,7
1490396118,27,24
1490397259,16,28
1490398518,17,18
1490400100,17,29
1490400922,11,4
1490401828,13,27
1490403665,27,25
1490404816,19,4
1490406036,19,18
1490407237,15,10
1490408125,11,9
1490409045,10,19
1490409947,15,11
1490410577,10,4
1490411441,7,15
1490412242,10,6
1490413235,9,23
1490415258,25,27
1490416308,19,31
1490418922,65,36
1490419853,20,20
1490420749,27,3
1490421754,14,30
1490422832,24,6
1490423724,8,19
1490424902,19,16
1490425847,19,15
1490426906,25,9
1490427941,18,22
1490429155,21,16
1490430031,18,5
1490430839,21,25
1490432126,15,8
1490433875,32,38
1490434837,18,30
1490435924,11,19
1490438006,45,24
1490439074,17,11
1490440501,30,17
1490441447,22,17
1490442345,22,13
1490442983,13,9
1490443839,14,16
1490444750,20,5
1490445855,25,21
1490447304,24,29
1490448637,19,24
1490449561,11,8
1490451321,29,21
1490452836,31,32
1490453723,19,7
1490454645,14,15
1490454859,6,1
1490455893,17,26
1490456743,17,5
1490458523,25,37
1490459721,20,29
1490460603,19,12
1490461542,19,15
1490462425,10,6
1490463639,30,30
1490464522,18,11
1490465422,24,26
1490466349,16,4
1490467367,21,31
1490468182,10,5
1490469044,19,20
1490469268,1,2
1490470225,24,20
1490471147,23,16
1490472704,28,24
1490473612,18,6
1490475290,30,35
1490476262,11,30
1490477426,18,17
1490478774,21,19
1490480671,27,24
1490481638,19,19
1490482523,22,7
1490483472,12,23
1490484320,18,9
1490485235,16,29
1490486795,25,21
1490488247,23,21
1490489348,18,15
1490490642,24,15
1490492559,28,24
1490493921,23,30
1490494843,11,8
1490496026,18,35
1490497345,27,15
1490498421,22,5
1490499643,20,21
1490500731,14,19
1490501725,11,8
1490502627,12,20
1490503379,13,10
1490504725,17,17
1490505634,13,3
1490506128,8,3
1490507782,27,30
1490508648,12,21
1490509522,15,5
1490510741,16,31
1490512215,52,31
1490513725,25,33
1490515344,23,27
1490516423,15,3
1490517410,12,31
1490517771,9,3
1490519121,23,31
1490520042,15,7
1490521908,32,32
1490522182,6,2
1490523078,12,37
1490524103,17,4
1490524970,14,47
1490526326,17,15
1490527241,12,8
1490528136,16,29
1490529317,16,7
1490530702,18,30
1490531970,26,45
1490532917,21,16
1490533746,22,20
1490535179,21,30
1490537758,45,26
1490538635,22,19
1490539577,24,12
1490540723,41,32
1490541633,19,6
1490542937,47,39
1490543781,26,8
1490544656,12,26
1490546762,46,39
1490547928,22,15
1490548843,10,11
1490550143,21,216
1490550976,20,6
1490551865,14,20
1490553784,35,36
1490555121,21,28
1490556051,23,8
1490556934,8,26
1490557347,10,12
1490559359,40,23
1490560977,22,28
1490562164,23,27
1490563240,31,7
1490564147,15,21
1490565321,11,11
1490566259,20,16
1490567428,16,25
1490569774,31,25
1490571923,27,28
1490572847,16,20
1490573728,11,5
1490574628,17,16
1490575525,11,10
1490576502,17,12
1490578222,34,26
1490579257,9,11
1490580924,39,14
1490581827,15,12
1490582726,11,10
1490583676,10,12
1490584519,28,5
1490585501,18,22
1490586325,13,27
1490587821,24,27
1490589744,26,59
1490590802,15,21
1490591724,11,6
1490592599,16,24
1490593526,16,13
1490594520,21,20
1490595263,17,2
1490596226,21,27
1490597127,17,13
1490598220,21,24
1490599224,18,6
1490600584,22,24
1490601514,19,15
1490602607,23,6
1490603429,14,29
1490604159,20,9
1490604987,10,1
1490605827,19,18
1490606897,16,9
1490608946,29,57
1490610921,43,36
1490612531,39,38
1490613325,17,10
1490614228,29,33
1490615126,17,22
1490616325,21,23
1490617228,15,3
1490618186,16,26
1490619522,31,23
1490620413,24,10
1490621425,15,25
1490622145,12,13
1490623253,27,29
1490624134,20,6
1490625029,18,24
1490625925,18,10
1490627126,32,19
1490628028,19,3
1490628918,17,26
1490630570,33,38
1490631629,20,7
1490632823,14,31
1490633719,20,6
1490634627,24,24
1490635826,29,31
1490636837,21,15
1490637676,21,14
1490638531,15,5
1490639429,17,34
1490640324,18,7
1490640977,11,5
1490641829,23,30
1490642650,20,6
1490643623,17,30
1490643743,3,2
1490645126,21,36
1490646031,13,8
1490646847,19,22
1490648118,26,19
1490650140,25,34
1490651124,20,23
1490652077,16,27
1490652928,9,6
1490653787,19,20
1490654722,17,12
1490656217,22,19
1490658025,16,21
1490658928,9,9
1490659827,17,36
1490660805,14,10
1490661745,19,26
1490662658,14,3
1490663728,19,22
1490665225,30,35
1490666183,17,6
1490667027,7,22
1490667896,4,5
