DateTime,Entries,UniqueIPs
1490095682,2540,2540
1490096558,2514,2514
1490097376,2515,2515
1490099298,2508,2508
1490100264,2486,2486
1490100982,2509,2509
1490101816,2494,2494
1490103033,2462,2462
1490104518,2463,2463
1490105421,2457,2457
1490107529,2444,2444
1490108478,2433,2433
1490109333,2438,2438
1490110229,2432,2432
1490110946,2437,2437
1490112326,2424,2424
1490113131,2433,2433
1490114428,2407,2407
1490115381,2413,2413
1490116222,2402,2402
1490117118,2408,2408
1490118005,2401,2401
1490119527,2433,2433
1490120426,2442,2442
1490120897,2445,2445
1490122362,2428,2428
1490123662,2430,2430
1490124632,2419,2419
1490125535,2428,2428
1490126732,2421,2421
1490127576,2426,2426
1490128762,2426,2426
1490129722,2443,2443
1490130621,2432,2432
1490131794,2432,2432
1490132548,2426,2426
1490133929,2435,2435
1490134824,2443,2443
1490137355,2420,2420
1490138426,2442,2442
1490139624,2427,2427
1490140522,2430,2430
1490141421,2413,2413
1490142328,2425,2425
1490144500,2426,2426
1490145626,2428,2428
1490146907,2428,2428
1490148073,2421,2421
1490149822,2416,2416
1490150725,2419,2419
1490151712,2422,2422
1490152460,2424,2424
1490153429,2425,2425
1490154328,2432,2432
1490155257,2437,2437
1490156121,2447,2447
1490157025,2446,2446
1490158516,2449,2449
1490159424,2442,2442
1490160317,2453,2453
1490161350,2439,2439
1490162177,2442,2442
1490163024,2440,2440
1490163835,2444,2444
1490164821,2440,2440
1490165701,2447,2447
1490166083,2440,2440
1490166932,2442,2442
1490167828,2429,2429
1490168731,2441,2441
1490169593,2445,2445
1490170525,2461,2461
1490171617,2459,2459
1490172536,2464,2464
1490172976,2462,2462
1490173826,2464,2464
1490174987,2445,2445
1490175753,2458,2458
1490176584,2466,2466
1490177422,2458,2458
1490178502,2454,2454
1490179504,2444,2444
1490181021,2438,2438
1490182114,2439,2439
1490182958,2428,2428
1490183776,2429,2429
1490184622,2428,2428
1490186721,2432,2432
1490188218,2446,2446
1490190155,2445,2445
1490191825,2411,2411
1490193925,2397,2397
1490195132,2369,2369
1490196026,2371,2371
1490196505,2371,2371
1490197520,2321,2321
1490198732,2323,2323
1490199623,2335,2335
1490200097,2342,2342
1490200952,2281,2281
1490202055,2271,2271
1490202932,2287,2287
1490203832,2271,2271
1490204554,2293,2293
1490206464,2275,2275
1490207389,2254,2254
1490208338,2250,2250
1490209284,2247,2247
1490210133,2258,2258
1490211035,2250,2250
1490212007,2267,2267
1490213723,2270,2270
1490214579,2254,2254
1490215351,2255,2255
1490216256,2270,2270
1490217160,2267,2267
1490218947,2258,2258
1490219989,2253,2253
1490220924,2255,2255
1490221824,2239,2239
1490222550,2241,2241
1490223380,2241,2241
1490224221,2227,2227
1490225428,2220,2220
1490227285,2219,2219
1490228263,2216,2216
1490229677,2219,2219
1490230513,2223,2223
1490231723,2222,2222
1490232627,2224,2224
1490233531,2226,2226
1490235017,2228,2228
1490236830,2215,2215
1490237781,2211,2211
1490238621,2217,2217
1490240729,2209,2209
1490242226,2202,2202
1490243723,2211,2211
1490244786,2217,2217
1490246428,2232,2232
1490247631,2227,2227
1490248526,2233,2233
1490249421,2233,2233
1490250497,2237,2237
1490251328,2228,2228
1490252164,2237,2237
1490253024,2237,2237
1490254091,2243,2243
1490255127,2227,2227
1490256583,2223,2223
1490258555,2222,2222
1490260471,2231,2231
1490261302,2234,2234
1490262149,2223,2223
1490262978,2233,2233
1490263823,2238,2238
1490264897,2250,2250
1490265755,2233,2233
1490266563,2240,2240
1490267426,2238,2238
1490268523,2258,2258
1490269540,2246,2246
1490270733,2238,2238
1490271624,2234,2234
1490272929,2241,2241
1490273910,2241,2241
1490275048,2253,2253
1490276117,2237,2237
1490277387,2250,2250
1490278225,2240,2240
1490278464,2239,2239
1490279425,2226,2226
1490280380,2226,2226
1490281509,2227,2227
1490282060,2231,2231
1490282880,2246,2246
1490284059,2226,2226
1490285133,2230,2230
1490287231,2228,2228
1490287354,2231,2231
1490289628,2236,2236
1490290434,2231,2231
1490292328,2226,2226
1490293826,2231,2231
1490294553,2236,2236
1490296460,2238,2238
1490297310,2256,2256
1490298336,2251,2251
1490299203,2247,2247
1490300085,2250,2250
1490300906,2261,2261
1490301758,2254,2254
1490303086,2253,2253
