DateTime,AddedIPs,RemovedIPs
1489951229,2,0
1489952119,1,1
1489953052,1,1
1489955728,1,0
1489956752,1,0
1489957670,0,1
1489959032,2,0
1489959950,1,1
1489960921,0,1
1489963343,1,0
1489965340,1,1
1489966232,0,3
1489967160,2,0
1489968919,3,1
1489970719,1,2
1489971951,0,2
1489972979,2,0
1489974076,0,1
1489974932,3,0
1489975994,0,1
1489977025,1,0
1489979672,1,1
1489980919,2,2
1489982450,1,0
1489984945,1,2
1489987778,0,1
1489988725,1,0
1489990224,0,2
1489992150,1,2
1489994431,3,0
1489997034,0,1
1489999420,0,1
1490000671,0,3
1490002190,0,2
1490002951,1,0
1490006734,2,1
1490007538,1,2
1490009439,1,3
1490011395,1,1
1490013744,1,0
1490016032,2,0
1490017232,0,4
1490020938,3,0
1490022624,0,1
1490023710,1,0
1490024552,0,1
1490025592,0,1
1490027427,0,2
1490030139,9,0
1490031034,0,2
1490033422,1,3
1490034225,1,0
1490035223,1,1
1490036179,0,1
1490037270,1,2
1490038239,0,1
1490040580,2,0
1490042431,0,3
1490043925,3,4
1490044829,2,0
1490047123,1,2
1490048424,1,0
1490051319,1,2
1490052919,0,1
1490053342,0,2
1490054185,1,0
1490055028,1,0
1490056106,2,0
1490057126,3,0
1490057776,1,1
1490058621,2,0
1490059518,0,2
1490062221,1,1
1490063298,1,0
1490064326,0,2
1490064978,1,0
1490066031,0,2
1490066898,1,0
1490067747,0,2
1490069424,0,1
1490070627,1,0
1490075128,1,1
1490076326,2,3
1490077225,2,0
1490078547,1,3
1490079834,0,1
1490081670,0,1
1490084423,2,1
1490085811,1,3
1490087427,2,1
1490088242,2,1
1490090596,2,5
1490092230,2,3
1490093125,1,0
1490094062,0,4
1490095689,1,0
1490096559,0,3
1490099299,1,1
1490100265,1,0
1490100982,1,0
1490101817,0,3
1490103034,1,2
1490104519,0,1
1490105422,0,1
1490107530,2,0
1490108482,0,5
1490109335,1,0
1490110230,0,2
1490112327,1,2
1490113132,2,0
1490114432,0,1
1490115382,1,0
1490116223,1,4
1490117119,1,0
1490118011,0,1
1490119530,2,1
1490120429,1,2
1490122363,1,1
1490123663,3,0
1490124634,2,0
1490126737,1,0
1490127577,2,0
1490128763,0,1
1490129722,1,0
1490130622,1,2
1490131796,1,0
1490132550,2,0
1490133933,0,2
1490137360,2,4
1490139626,15,4
1490141421,0,2
1490142329,4,0
1490144503,0,2
1490146909,4,2
1490148077,0,2
1490149823,2,2
1490150726,2,0
1490153430,1,0
1490154329,1,1
1490156122,2,0
1490158517,1,0
1490159425,0,1
1490161354,1,1
1490163025,1,0
1490164824,1,2
1490165702,1,0
1490166090,0,1
1490167829,1,0
1490168732,1,0
1490170526,1,0
1490172537,0,1
1490172977,2,0
1490173827,4,0
1490174991,2,2
1490175758,1,0
1490176584,0,1
1490178503,3,0
1490181022,2,3
1490182115,1,0
1490182966,2,0
1490183777,1,0
1490184623,1,1
1490186722,3,4
1490190161,0,4
1490191827,3,1
1490193931,1,0
1490195137,0,1
1490196506,1,1
1490197528,1,1
1490198737,0,1
1490199626,1,0
1490200098,2,0
1490200958,1,9
1490202063,1,0
1490206465,2,1
1490207390,0,2
1490208344,1,1
1490210134,2,1
1490212012,3,0
1490213724,1,1
1490214582,1,5
1490215358,0,1
1490218956,1,3
1490219990,2,0
1490220925,0,1
1490221826,3,2
1490222560,1,0
1490223381,2,1
1490224222,1,1
1490225429,1,2
1490227291,3,4
1490228264,1,0
1490229684,3,0
1490230514,0,1
1490232628,0,2
1490233538,2,0
1490235018,2,1
1490236836,3,1
1490237781,1,2
1490238622,1,0
1490240733,2,2
1490242226,0,1
1490243724,0,1
1490244787,1,0
1490246436,0,2
1490247638,1,4
1490249422,1,0
1490251335,1,1
1490253025,2,1
1490254092,1,1
1490255134,2,1
1490256584,1,2
1490258563,2,4
1490260472,2,1
1490261303,0,2
