DateTime,Entries,UniqueIPs
1489930103,167,167
1489931781,168,168
1489932626,167,167
1489933811,169,169
1489934540,165,165
1489935926,167,167
1489937733,167,167
1489938926,169,169
1489939814,167,167
1489941298,169,169
1489942519,171,171
1489945143,170,170
1489947055,173,173
1489951229,175,175
1489952119,175,175
1489953052,175,175
1489955728,176,176
1489956752,177,177
1489957670,176,176
1489959032,178,178
1489959950,178,178
1489960921,177,177
1489963343,178,178
1489965340,178,178
1489966232,175,175
1489967160,177,177
1489968919,179,179
1489970719,178,178
1489971951,176,176
1489972979,178,178
1489974076,177,177
1489974932,180,180
1489975994,179,179
1489977025,180,180
1489979672,180,180
1489980919,180,180
1489982450,181,181
1489984945,180,180
1489987778,179,179
1489988725,180,180
1489990224,178,178
1489992150,177,177
1489994431,180,180
1489997034,179,179
1489999420,178,178
1490000671,175,175
1490002190,173,173
1490002951,174,174
1490006734,175,175
1490007538,174,174
1490009439,172,172
1490011395,172,172
1490013744,173,173
1490016032,175,175
1490017232,171,171
1490020938,174,174
1490022624,173,173
1490023710,174,174
1490024552,173,173
1490025592,172,172
1490027427,170,170
1490030139,179,179
1490031034,177,177
1490033422,175,175
1490034225,176,176
1490035223,176,176
1490036179,175,175
1490037270,174,174
1490038239,173,173
1490040580,175,175
1490042431,172,172
1490043925,171,171
1490044829,173,173
1490047123,172,172
1490048424,173,173
1490051319,172,172
1490052919,171,171
1490053342,169,169
1490054185,170,170
1490055028,171,171
1490056106,173,173
1490057126,176,176
1490057776,176,176
1490058621,178,178
1490059518,176,176
1490062221,176,176
1490063298,177,177
1490064326,175,175
1490064978,176,176
1490066031,174,174
1490066898,175,175
1490067747,173,173
1490069424,172,172
1490070627,173,173
1490075128,173,173
1490076326,172,172
1490077225,174,174
1490078547,172,172
1490079834,171,171
1490081670,170,170
1490084423,171,171
1490085811,169,169
1490087427,170,170
1490088242,171,171
1490090596,168,168
1490092230,167,167
1490093125,168,168
1490094062,164,164
1490095689,165,165
1490096559,162,162
1490099299,162,162
1490100265,163,163
1490100982,164,164
1490101817,161,161
1490103034,160,160
1490104519,159,159
1490105422,158,158
1490107530,160,160
1490108482,155,155
1490109335,156,156
1490110230,154,154
1490112327,153,153
1490113132,155,155
1490114432,154,154
1490115382,155,155
1490116223,152,152
1490117119,153,153
1490118011,152,152
1490119530,153,153
1490120429,152,152
1490122363,152,152
1490123663,155,155
1490124634,157,157
1490126737,158,158
1490127577,160,160
1490128763,159,159
1490129722,160,160
1490130622,159,159
1490131796,160,160
1490132550,162,162
1490133933,160,160
1490137360,158,158
1490139626,169,169
1490141421,167,167
1490142329,171,171
1490144503,169,169
1490146909,171,171
1490148077,169,169
1490149823,169,169
1490150726,171,171
1490153430,172,172
1490154329,172,172
1490156122,174,174
1490158517,175,175
1490159425,174,174
1490161354,174,174
1490163025,175,175
1490164824,174,174
1490165702,175,175
1490166090,174,174
1490167829,175,175
1490168732,176,176
1490170526,177,177
1490172537,176,176
1490172977,178,178
1490173827,182,182
1490174991,182,182
1490175758,183,183
1490176584,182,182
1490178503,185,185
1490181022,184,184
1490182115,185,185
1490182966,187,187
1490183777,188,188
1490184623,188,188
1490186722,187,187
1490190161,183,183
1490191827,185,185
1490193931,186,186
1490195137,185,185
1490196506,185,185
1490197528,185,185
1490198737,184,184
1490199626,185,185
1490200098,187,187
1490200958,179,179
1490202063,180,180
1490206465,181,181
1490207390,179,179
1490208344,179,179
1490210134,180,180
1490212012,183,183
1490213724,183,183
1490214582,179,179
1490215358,178,178
1490218956,176,176
1490219990,178,178
1490220925,177,177
1490221826,178,178
1490222560,179,179
1490223381,180,180
1490224222,180,180
1490225429,179,179
1490227291,178,178
1490228264,179,179
1490229684,182,182
1490230514,181,181
1490232628,179,179
1490233538,181,181
1490235018,182,182
1490236836,184,184
1490237781,183,183
1490238622,184,184
1490240733,184,184
1490242226,183,183
1490243724,182,182
1490244787,183,183
1490246436,181,181
1490247638,178,178
1490249422,179,179
1490251335,179,179
1490253025,180,180
1490254092,180,180
1490255134,181,181
1490256584,180,180
1490258563,178,178
1490260472,179,179
1490261303,177,177
1490262156,175,175
1490262979,174,174
1490263824,173,173
1490264898,174,174
1490265763,174,174
1490266564,177,177
1490267427,176,176
1490269552,176,176
1490270741,175,175
1490271632,175,175
1490272938,174,174
1490273911,172,172
1490276118,173,173
1490277387,175,175
1490278226,175,175
1490280387,174,174
1490281511,173,173
1490282061,175,175
1490284060,174,174
1490285140,176,176
1490287237,176,176
1490289637,179,179
1490290435,176,176
1490292336,174,174
1490293827,171,171
1490294559,172,172
1490296461,172,172
1490297311,173,173
1490298345,170,170
1490299205,173,173
1490300086,171,171
1490301766,168,168
1490303094,169,169
1490304037,171,171
1490304926,173,173
1490305372,172,172
1490306187,174,174
1490307022,175,175
1490308423,161,161
1490309925,162,162
1490310866,163,163
1490312119,159,159
1490313172,159,159
1490315422,158,158
1490316341,159,159
1490317830,160,160
1490319765,160,160
1490321137,157,157
1490323048,156,156
1490323358,155,155
1490325261,155,155
1490326228,154,154
1490328618,154,154
1490329972,155,155
1490332837,156,156
1490334169,154,154
1490335545,154,154
1490336432,153,153
1490337328,151,151
1490340399,151,151
1490341375,150,150
1490343040,148,148
1490344119,151,151
1490344979,150,150
1490347731,151,151
1490348747,151,151
1490349377,149,149
1490350247,148,148
1490350462,149,149
1490351422,148,148
1490352323,148,148
1490355269,149,149
1490356582,150,150
1490357441,149,149
1490358529,150,150
1490360442,148,148
1490361297,149,149
1490362224,150,150
1490363778,149,149
1490368065,150,150
1490370046,149,149
1490371518,148,148
1490372442,148,148
1490373768,149,149
1490374599,150,150
1490375453,151,151
1490376637,152,152
1490377707,155,155
1490378177,156,156
1490380223,161,161
1490381678,164,164
1490382651,166,166
1490383546,164,164
1490384445,163,163
1490386214,164,164
1490388173,165,165
1490389425,167,167
1490390440,169,169
1490392523,168,168
1490393540,169,169
1490394455,171,171
1490396119,171,171
1490397260,168,168
1490400105,172,172
1490400923,174,174
1490403676,173,173
1490406047,173,173
1490407247,173,173
1490413247,174,174
1490416309,171,171
1490418923,172,172
1490419873,171,171
1490421772,171,171
1490423725,170,170
1490424903,171,171
1490426907,172,172
1490427954,172,172
1490430043,173,173
1490430840,171,171
1490432127,173,173
1490433889,174,174
1490434851,173,173
1490435928,170,170
1490438009,172,172
1490439074,173,173
1490440503,174,174
1490441467,173,173
1490442357,172,172
1490442984,173,173
1490443850,173,173
1490444763,174,174
1490445868,173,173
1490447314,172,172
1490448644,172,172
1490449576,173,173
1490451322,171,171
1490452848,170,170
1490454656,168,168
1490455900,170,170
1490456751,169,169
1490458524,170,170
1490459723,168,168
1490460623,167,167
1490462427,170,170
1490463653,168,168
1490464524,169,169
1490465423,165,165
1490466360,164,164
1490467380,163,163
1490468183,168,168
1490469056,167,167
1490470226,166,166
1490471157,165,165
1490472705,164,164
1490475291,163,163
1490476280,162,162
1490477427,161,161
1490478776,161,161
1490480683,158,158
1490481656,156,156
1490482524,157,157
1490483486,155,155
1490485250,156,156
1490486807,155,155
1490488259,157,157
1490489359,158,158
1490490656,159,159
1490492573,158,158
1490493922,153,153
1490494858,154,154
1490496027,152,152
1490499655,150,150
1490502628,150,150
1490504726,151,151
1490507783,151,151
1490508662,153,153
1490510754,152,152
1490512219,153,153
1490513726,150,150
1490515356,151,151
1490516424,151,151
1490517411,150,150
1490519122,152,152
1490520056,151,151
1490521908,151,151
1490523089,151,151
1490524104,150,150
1490524986,149,149
1490526327,151,151
1490528139,153,153
1490529318,154,154
1490530703,152,152
1490531971,151,151
1490532918,153,153
1490533747,152,152
1490535197,154,154
1490537759,158,158
1490538637,157,157
1490539591,158,158
1490540724,158,158
1490541646,159,159
1490542938,155,155
1490543782,156,156
1490544678,155,155
1490545828,153,153
1490546777,152,152
1490547929,149,149
1490550145,144,144
1490550977,146,146
1490551881,144,144
1490553802,141,141
1490555122,140,140
1490556945,141,141
1490559362,143,143
1490560993,142,142
1490562169,139,139
1490563255,140,140
1490564148,137,137
1490565322,138,138
1490567429,142,142
1490569775,141,141
1490571924,139,139
1490572850,139,139
1490573729,140,140
1490574628,140,140
1490575526,139,139
1490576503,138,138
1490578223,142,142
1490579258,143,143
1490580925,144,144
1490581828,147,147
1490583677,148,148
1490584520,147,147
1490587822,148,148
1490589745,148,148
1490592599,147,147
1490593528,146,146
1490594521,145,145
1490595264,146,146
1490596227,147,147
1490597128,147,147
1490598221,146,146
1490599225,145,145
1490600584,144,144
1490601515,145,145
1490605829,144,144
1490608951,142,142
1490610922,142,142
1490612538,141,141
1490614229,140,140
1490616326,140,140
1490618187,142,142
1490621426,143,143
1490623254,143,143
1490624135,141,141
1490625031,139,139
1490627127,140,140
1490628030,141,141
1490628919,140,140
1490632825,138,138
1490633720,139,139
1490637678,135,135
1490638532,135,135
1490639431,134,134
1490641832,135,135
1490642659,136,136
1490643624,136,136
1490645127,135,135
1490646032,136,136
1490646858,137,137
1490648119,137,137
1490650141,136,136
