DateTime,Entries,UniqueIPs
1490133911,19059,19059
1490134812,19154,19154
1490137344,19053,19053
1490138412,19131,19131
1490139614,19113,19113
1490140512,19203,19203
1490141412,19183,19183
1490142322,19245,19245
1490144488,19190,19190
1490145613,19305,19305
1490146894,19243,19243
1490148058,19237,19237
1490149811,19258,19258
1490150716,19287,19287
1490151699,19273,19273
1490152452,19346,19346
1490153419,19298,19298
1490154315,19330,19330
1490155244,19322,19322
1490156111,19408,19408
1490157012,19341,19341
1490158510,19395,19395
1490159413,19363,19363
1490160311,19442,19442
1490161336,19380,19380
1490162171,19449,19449
1490163012,19398,19398
1490163822,19460,19460
1490164813,19401,19401
1490165694,19467,19467
1490166068,19358,19358
1490166919,19433,19433
1490167817,19367,19367
1490168716,19455,19455
1490169587,19306,19306
1490170514,19321,19321
1490171610,19055,19055
1490172529,19101,19101
1490172970,19142,19142
1490174054,19147,19147
1490174942,19230,19230
1490175739,19159,19159
1490176572,19220,19220
1490177413,19176,19176
1490178493,19274,19274
1490179493,19186,19186
1490181012,19153,19153
1490182101,19229,19229
1490182942,19137,19137
1490183770,19199,19199
1490184613,19182,19182
1490186710,19171,19171
1490188211,19205,19205
1490190136,19182,19182
1490191812,19248,19248
1490193912,19213,19213
1490195119,19192,19192
1490196013,19270,19270
1490196494,19320,19320
1490197507,19191,19191
1490198715,19113,19113
1490199612,19185,19185
1490200090,19223,19223
1490200937,18870,18870
1490202043,18871,18871
1490202922,18964,18964
1490203816,18895,18895
1490204537,18979,18979
1490206454,18987,18987
1490207377,18816,18816
1490208319,18805,18805
1490209266,18667,18667
1490210114,18749,18749
1490211013,18638,18638
1490211988,18730,18730
1490213712,18741,18741
1490214543,18818,18818
1490215333,18661,18661
1490216249,18735,18735
1490217151,18690,18690
1490218212,185,185
1490218935,18662,18662
1490219982,18630,18630
1490220913,18712,18712
1490221813,18673,18673
1490222534,18725,18725
1490223372,18802,18802
1490224212,18688,18688
1490225417,18617,18617
1490227269,18592,18592
1490228255,18679,18679
1490229667,18605,18605
1490230507,18662,18662
1490231713,18696,18696
1490232613,18615,18615
1490233514,18651,18651
1490235010,18664,18664
1490236815,18595,18595
1490237772,18676,18676
1490238612,18610,18610
1490240717,18611,18611
1490242212,18667,18667
1490243717,18647,18647
1490244780,18684,18684
1490246411,18701,18701
1490247617,18612,18612
1490248512,18683,18683
1490249412,18668,18668
1490250490,18780,18780
1490251316,18660,18660
1490252158,18730,18730
1490253253,18718,18718
1490254084,18782,18782
1490255113,18686,18686
1490256571,18706,18706
1490258540,18656,18656
1490260460,18705,18705
1490261295,18767,18767
1490262134,18627,18627
1490262971,18694,18694
1490264052,18665,18665
1490264891,18731,18731
1490265739,18587,18587
1490266554,18651,18651
1490267412,18630,18630
1490268514,18730,18730
1490269522,18613,18613
1490270719,18590,18590
1490271611,18651,18651
1490272914,18646,18646
1490273710,18734,18734
1490275041,18688,18688
1490276111,18606,18606
1490278212,18611,18611
1490278455,18623,18623
1490279413,18566,18566
1490280363,18599,18599
1490281490,18594,18594
1490282052,18647,18647
1490282874,18709,18709
1490284049,18603,18603
1490285115,18586,18586
1490287338,18574,18574
1490289612,18645,18645
1490290420,18426,18426
1490292315,18409,18409
1490294540,18442,18442
1490296452,18464,18464
1490297299,18578,18578
1490298317,18533,18533
1490299196,18536,18536
1490300078,18621,18621
1490300895,18715,18715
1490301743,18601,18601
1490303070,18611,18611
1490304010,18698,18698
1490304916,18636,18636
1490305340,18624,18624
1490306173,18690,18690
1490307014,18653,18653
1490308415,18650,18650
1490309918,18626,18626
1490310853,18703,18703
1490312111,18658,18658
1490313163,18683,18683
1490314111,18646,18646
1490315411,18585,18585
1490316318,18607,18607
1490317818,18604,18604
1490318896,18704,18704
1490319742,18605,18605
1490321115,18573,18573
1490323337,18558,18558
1490324536,18549,18549
1490325252,18610,18610
1490326213,18545,18545
1490327085,18578,18578
1490328611,18602,18602
1490329954,18553,18553
1490332812,18611,18611
1490334140,18555,18555
1490335516,18575,18575
1490336411,18655,18655
1490337321,18575,18575
1490339413,18577,18577
1490340370,18645,18645
1490341345,18539,18539
1490342171,18613,18613
1490343023,18585,18585
1490344098,18673,18673
1490344949,18583,18583
1490345774,18684,18684
1490346632,18671,18671
1490347704,18778,18778
1490348718,18700,18700
1490349370,18752,18752
1490350452,18715,18715
1490351414,18651,18651
1490352292,18672,18672
1490354058,18722,18722
1490355254,18649,18649
1490356572,18771,18771
1490357653,18698,18698
1490358503,18771,18771
1490359521,18733,18733
1490360397,18654,18654
1490361283,18726,18726
1490362212,18632,18632
1490363771,18699,18699
1490365811,18582,18582
1490366542,18638,18638
1490368034,18700,18700
1490368969,18779,18779
1490370147,18668,18668
1490371488,18660,18660
1490372413,18761,18761
1490373739,18709,18709
1490374592,18788,18788
1490375422,18686,18686
1490376625,18667,18667
1490377675,18692,18692
1490378170,18744,18744
1490380212,18661,18661
1490381671,18765,18765
1490382623,18685,18685
1490383517,18761,18761
1490384413,18676,18676
1490385293,18747,18747
1490386184,18652,18652
1490388141,18591,18591
1490389396,18585,18585
1490390413,18655,18655
1490390896,18703,18703
1490392514,18646,18646
1490393522,18559,18559
1490394430,18625,18625
1490396112,18596,18596
1490397252,18516,18516
1490398512,18466,18466
1490400085,18430,18430
1490400913,18509,18509
1490401814,18356,18356
1490403648,18350,18350
1490404799,18438,18438
1490406018,18348,18348
1490407201,18340,18340
1490408118,18402,18402
1490409029,18333,18333
1490409928,18339,18339
1490410570,18393,18393
1490411419,18333,18333
1490412219,18374,18374
1490413213,18261,18261
1490415251,18323,18323
1490416297,18293,18293
1490418912,18365,18365
1490419828,18262,18262
1490420725,18336,18336
1490421741,18259,18259
1490422817,18349,18349
1490423715,18285,18285
1490424896,18339,18339
1490426052,18371,18371
1490426896,18435,18435
1490427922,18366,18366
1490429131,18356,18356
1490430013,18439,18439
1490430832,18401,18401
1490432112,18521,18521
1490433843,18490,18490
1490434822,18447,18447
1490435886,18539,18539
1490437997,18420,18420
1490439067,18465,18465
1490440493,18500,18500
1490441421,18454,18454
1490442324,18452,18452
1490442974,18511,18511
1490443818,18457,18457
1490444726,18522,18522
1490445830,18476,18476
1490447279,18425,18425
1490448621,18336,18336
1490449535,18351,18351
1490451312,18395,18395
1490452814,18336,18336
1490453714,18409,18409
1490454852,18307,18307
1490455862,18248,18248
1490456726,18348,18348
1490458512,18381,18381
1490459712,18334,18334
1490460581,18370,18370
1490461518,18365,18365
1490462416,18446,18446
1490463616,18407,18407
1490464513,18505,18505
1490465413,18437,18437
1490466325,18498,18498
1490467342,18341,18341
1490468176,18417,18417
1490469258,18373,18373
1490470215,18254,18254
1490471127,18246,18246
1490472698,18307,18307
1490473591,18386,18386
1490475284,18389,18389
1490476232,18286,18286
1490477414,18212,18212
1490478768,18271,18271
1490480646,18311,18311
1490481614,18239,18239
1490482514,18319,18319
1490483447,18269,18269
1490484312,18349,18349
1490485216,18233,18233
1490486773,18264,18264
1490488231,18260,18260
1490489318,18310,18310
1490490623,18333,18333
1490492537,18350,18350
1490493912,18309,18309
1490494816,18383,18383
1490496012,18268,18268
1490497331,18320,18320
1490498412,18440,18440
1490499621,18415,18415
1490500719,18455,18455
1490501712,18561,18561
1490502612,18540,18540
1490503351,18562,18562
1490504712,18612,18612
1490505619,18725,18725
1490506106,18770,18770
1490507771,18742,18742
1490508621,18738,18738
1490509513,18815,18815
1490510721,18762,18762
1490512200,18914,18914
1490513712,18944,18944
1490515323,18848,18848
1490516408,18927,18927
1490517402,18829,18829
1490517741,18858,18858
1490519112,18786,18786
1490520020,18895,18895
1490521901,18907,18907
1490522173,18936,18936
1490523048,18855,18855
1490524096,18938,18938
1490524940,18796,18796
1490526312,18810,18810
1490527215,18890,18890
1490528122,18817,18817
1490529311,18913,18913
1490530694,18866,18866
1490531963,18866,18866
1490532911,18884,18884
1490533739,18848,18848
1490535152,18818,18818
1490537741,18725,18725
1490538613,18637,18637
1490539557,18667,18667
1490540714,18669,18669
1490541615,18731,18731
1490542931,18643,18643
1490543772,18699,18699
1490544636,18667,18667
1490545814,18617,18617
1490546732,18656,18656
1490547914,18640,18640
1490548815,18730,18730
1490550133,18622,18622
1490550970,18697,18697
1490551823,18685,18685
1490553015,18628,18628
1490553762,18680,18680
1490555112,18639,18639
1490556026,18705,18705
1490556913,18611,18611
1490557332,18596,18596
1490559339,18662,18662
1490560951,18644,18644
1490562154,18591,18591
1490563216,18671,18671
1490564140,18615,18615
1490565312,18667,18667
1490566230,18624,18624
1490567413,18597,18597
1490569767,18631,18631
1490571912,18651,18651
1490572811,18592,18592
1490573712,18666,18666
1490574615,18611,18611
1490575514,18632,18632
1490576492,18623,18623
1490578211,18645,18645
1490579250,18685,18685
1490580914,18724,18724
1490581813,18703,18703
1490582712,18720,18720
1490583669,18697,18697
1490584510,18744,18744
1490585495,18660,18660
1490586312,18660,18660
1490587812,18676,18676
1490589013,18637,18637
1490589734,18652,18652
1490590795,18643,18643
1490591713,18711,18711
1490592592,18645,18645
1490593520,18668,18668
1490594509,18624,18624
1490595254,18669,18669
1490596216,18607,18607
1490597113,18641,18641
1490598213,18632,18632
1490599215,18715,18715
1490600577,18599,18599
1490601479,18657,18657
1490602599,18649,18649
1490603412,18586,18586
1490604140,18581,18581
1490604973,18633,18633
1490605813,18597,18597
1490606891,18676,18676
1490608931,18550,18550
1490610913,18577,18577
1490612513,18551,18551
1490613313,18611,18611
1490614214,18552,18552
1490615113,18587,18587
1490616315,18547,18547
1490617211,18652,18652
1490618174,18585,18585
1490619485,18648,18648
1490620293,18603,18603
1490621412,18556,18556
1490622137,18571,18571
1490623242,18563,18563
1490624116,18655,18655
1490625018,18605,18605
1490625916,18639,18639
1490627112,18633,18633
1490628012,18691,18691
1490628911,18620,18620
1490630561,18591,18591
1490631617,18665,18665
1490632813,18587,18587
1490633711,18671,18671
1490634617,18641,18641
1490635813,18611,18611
1490636609,18618,18618
1490637667,18597,18597
1490638515,18669,18669
1490639413,18604,18604
1490640313,18692,18692
1490640971,18743,18743
1490641816,18603,18603
1490642639,18663,18663
1490643733,18588,18588
1490645113,18526,18526
1490646018,18595,18595
1490646840,18510,18510
1490648112,18565,18565
1490650134,18600,18600
1490651114,18469,18469
1490652065,18441,18441
1490652914,18501,18501
1490653746,18561,18561
1490654711,18422,18422
1490656210,18411,18411
1490658015,18386,18386
1490658915,18438,18438
1490659814,18325,18325
1490660799,18391,18391
1490661736,18276,18276
1490662652,18331,18331
1490663715,18300,18300
1490665215,18210,18210
1490666174,18265,18265
1490667015,18173,18173
1490667889,18228,18228
1490668814,18078,18078
1490670312,17974,17974
1490671211,18027,18027
1490672531,17853,17853
1490673370,17901,17901
1490674213,17827,17827
1490675111,17886,17886
1490676133,17689,17689
1490677242,17666,17666
1490678415,17752,17752
1490679331,17672,17672
1490681412,17473,17473
1490682312,17531,17531
1490683332,17365,17365
1490684334,17325,17325
1490685313,17381,17381
1490686212,17280,17280
