DateTime,AddedIPs,RemovedIPs
1487495136,1,0
1487502862,1,0
1487507260,1,0
1487509825,1,0
1487511770,0,1
1487517331,1,0
1487518836,1,0
1487519718,3,0
1487520597,1,0
1487521588,1,0
1487523683,2,0
1487524522,2,0
1487528063,1,0
1487533245,1,0
1487538929,1,0
1487541801,1,0
1487546130,1,1
1487547765,1,0
1487558062,1,0
1487561431,1,0
1487567724,0,2
1487572823,0,1
1487573717,1,0
1487580144,0,1
1487581022,1,0
1487581834,1,0
1487597434,0,1
1487601025,0,1
1487616030,1,0
1487617789,1,0
1487634995,1,0
1487644953,0,1
1487654797,1,0
1487660196,1,0
1487662948,0,1
1487670331,0,1
1487673239,0,1
1487676920,0,1
1487689818,1,0
1487695628,0,1
1487714085,0,1
1487719558,3,0
1487731368,0,2
1487752834,0,1
1487754627,0,1
1487760334,0,3
1487762746,1,0
1487764867,0,1
1487766580,0,1
1487770229,0,1
1487770982,0,1
1487778044,1,0
1487802044,1,0
1487806963,2,0
1487809241,1,0
1487825704,0,2
1487827555,2,0
1487828594,1,0
1487837253,0,1
1487841071,1,0
1487842382,1,0
1487843243,3,0
1487844364,0,1
1487848211,0,1
1487850211,0,1
1487856254,1,0
1487857596,0,1
1487865377,0,1
1487873942,1,0
1487878420,0,1
1487889664,0,2
1487900668,1,0
1487901577,1,1
1487902466,2,0
1487903540,2,0
1487904869,0,1
1487915472,1,0
1487916926,1,0
1487928826,0,1
1487934646,0,1
1487942126,1,0
1487946586,0,1
1487950789,0,2
1487961891,0,1
1487963687,0,1
1487964584,0,1
1487967354,0,1
1487986998,1,0
1488002724,0,1
1488011101,0,1
1488022103,0,1
1488023729,0,1
1488025049,0,1
1488038721,1,0
1488039258,1,0
1488052830,0,2
1488064847,1,1
1488069625,0,1
1488072025,0,1
1488074378,0,1
1488086379,0,1
1488087705,0,1
1488093403,1,0
1488094230,0,2
1488098093,0,1
1488099418,1,0
1488100885,1,0
1488104128,2,0
1488108500,1,1
1488110490,0,1
1488112942,2,0
1488120315,1,0
1488130099,1,0
1488132034,1,0
1488134542,1,0
1488148939,1,0
1488152127,1,1
1488168230,2,0
1488177931,1,0
1488179728,2,0
1488180627,0,1
1488181524,2,0
1488183860,1,0
1488184822,1,1
1488188431,0,1
1488190156,1,0
1488202181,1,0
1488207927,0,2
1488212059,1,1
1488213933,1,0
1488215065,0,1
1488222931,1,1
1488226830,1,0
1488248398,1,0
1488249319,1,0
1488261922,0,1
1488262825,1,1
1488264089,0,1
1488267753,0,1
1488269667,1,0
1488278725,0,1
1488283527,0,1
1488285320,1,0
1488286307,1,0
1488287123,1,0
1488289950,1,0
1488292435,2,0
1488317620,0,1
1488321318,0,1
1488336156,1,0
1488338432,0,1
1488353638,0,1
1488357626,0,2
1488359419,0,1
1488364228,2,0
1488369923,0,1
1488371905,0,1
1488376767,1,0
1488381023,0,1
1488387319,1,0
1488391825,0,1
1488396629,0,1
1488402624,0,1
1488421484,1,0
1488432626,4,1
1488433364,2,0
1488435262,1,0
1488440119,0,1
1488448344,0,1
1488453640,1,0
1488457823,1,0
1488458639,1,0
1488460231,0,4
1488464290,1,0
1488471028,0,2
1488472191,0,3
1488473130,1,0
1488474629,0,1
1488475701,1,0
1488482905,1,0
1488490950,1,0
1488493824,0,1
1488506730,0,1
1488508839,0,1
1488510338,0,1
1488510862,3,0
1488511827,1,0
