DateTime,Entries,UniqueIPs
1487507260,179,179
1487509825,180,180
1487511770,179,179
1487517331,180,180
1487518836,181,181
1487519718,184,184
1487520597,185,185
1487521588,186,186
1487523683,188,188
1487524522,190,190
1487528063,191,191
1487533245,192,192
1487538929,193,193
1487541801,194,194
1487546130,194,194
1487547765,195,195
1487558062,196,196
1487561431,197,197
1487567724,195,195
1487572823,194,194
1487573717,195,195
1487580144,194,194
1487581022,195,195
1487581834,196,196
1487597434,195,195
1487601025,194,194
1487616030,195,195
1487617789,196,196
1487634995,197,197
1487644953,196,196
1487654797,197,197
1487660196,198,198
1487662948,197,197
1487670331,196,196
1487673239,195,195
1487676920,194,194
1487689818,195,195
1487695628,194,194
1487714085,193,193
1487719558,196,196
1487731368,194,194
1487752834,193,193
1487754627,192,192
1487760334,189,189
1487762746,190,190
1487764867,189,189
1487766580,188,188
1487770229,187,187
1487770982,186,186
1487778044,187,187
1487802044,188,188
1487806963,190,190
1487809241,191,191
1487825704,189,189
1487827555,191,191
1487828594,192,192
1487837253,191,191
1487841071,192,192
1487842382,193,193
1487843243,196,196
1487844364,195,195
1487848211,194,194
1487850211,193,193
1487856254,194,194
1487857596,193,193
1487865377,192,192
1487873942,193,193
1487878420,192,192
1487889664,190,190
1487900668,191,191
1487901577,191,191
1487902466,193,193
1487903540,195,195
1487904869,194,194
1487915472,195,195
1487916926,196,196
1487928826,195,195
1487934646,194,194
1487942126,195,195
1487946586,194,194
1487950789,192,192
1487961891,191,191
1487963687,190,190
1487964584,189,189
1487967354,188,188
1487986998,189,189
1488002724,188,188
1488011101,187,187
1488022103,186,186
1488023729,185,185
1488025049,184,184
1488038721,185,185
1488039258,186,186
1488052830,184,184
1488064847,184,184
1488069625,183,183
1488072025,182,182
1488074378,181,181
1488086379,180,180
1488087705,179,179
1488093403,180,180
1488094230,178,178
1488098093,177,177
1488099418,178,178
1488100885,179,179
1488104128,181,181
1488108500,181,181
1488110490,180,180
1488112942,182,182
1488120315,183,183
1488130099,184,184
1488132034,185,185
1488134542,186,186
1488148939,187,187
1488152127,187,187
1488168230,189,189
1488177931,190,190
1488179728,192,192
1488180627,191,191
1488181524,193,193
1488183860,194,194
1488184822,194,194
1488188431,193,193
1488190156,194,194
1488202181,195,195
1488207927,193,193
1488212059,193,193
1488213933,194,194
1488215065,193,193
1488222931,193,193
1488226830,194,194
1488248398,195,195
1488249319,196,196
1488261922,195,195
1488262825,195,195
1488264089,194,194
1488267753,193,193
1488269667,194,194
1488278725,193,193
1488283527,192,192
1488285320,193,193
1488286307,194,194
1488287123,195,195
1488289950,196,196
1488292435,198,198
1488317620,197,197
1488321318,196,196
1488336156,197,197
1488338432,196,196
1488353638,195,195
1488357626,193,193
1488359419,192,192
1488364228,194,194
1488369923,193,193
1488371905,192,192
1488376767,193,193
1488381023,192,192
1488387319,193,193
1488391825,192,192
1488396629,191,191
1488402624,190,190
1488421484,191,191
1488432626,194,194
1488433364,196,196
1488435262,197,197
1488440119,196,196
1488448344,195,195
1488453640,196,196
1488457823,197,197
1488458639,198,198
1488460231,194,194
1488464290,195,195
1488471028,193,193
1488472191,190,190
1488473130,191,191
1488474629,190,190
1488475701,191,191
1488482905,192,192
1488490950,193,193
1488493824,192,192
1488506730,191,191
1488508839,190,190
1488510338,189,189
1488510862,192,192
1488511827,193,193
1488523234,192,192
1488526939,191,191
1488530435,191,191
1488531685,196,196
1488532475,198,198
1488549681,197,197
1488551398,196,196
1488596281,197,197
1488602727,199,199
1488620575,200,200
1488627629,198,198
1488629664,199,199
1488636342,197,197
1488638066,195,195
1488641872,195,195
1488645239,194,194
1488648503,195,195
1488649541,197,197
1488652099,199,199
1488653141,198,198
1488654338,196,196
1488660164,173,173
1488660981,174,174
1488661825,174,174
1488666587,175,175
1488679531,174,174
1488680443,175,175
1488697824,174,174
