DateTime,AddedIPs,RemovedIPs
1487954644,87,84
1487960405,68,44
1487964244,46,68
1487970012,80,93
1487976007,96,106
1487983684,103,109
1487991364,81,111
1487999284,172,161
1488003123,65,65
1488008884,72,65
1488012723,38,40
1488016575,93,66
1488024484,51,41
1488026405,49,38
1488032163,40,40
1488036006,74,71
1488043684,80,66
1488049443,78,76
1488055205,53,70
1488064804,67,104
1488068645,26,44
1488076323,127,107
1488082085,123,142
1488089763,154,148
1488095524,71,58
1488099364,82,59
1488107043,90,62
1488114738,84,62
1488122406,82,81
1488126252,34,37
1488132009,82,97
1488139685,69,73
1488143537,48,54
1488150483,62,100
1488157444,82,111
1488164168,50,51
1488168965,124,132
1488176651,149,157
1488183611,112,87
1488191282,89,71
1488195123,38,43
1488201138,69,71
1488206884,49,34
1488210724,33,53
1488212643,54,48
1488218418,85,77
1488224165,106,96
1488233764,84,102
1488237605,60,71
1488243363,79,104
1488247209,45,51
1488253204,141,188
1488260882,145,140
1488266644,72,60
1488272411,43,41
1488276243,99,69
1488283926,48,44
1488285843,75,79
1488295445,73,64
1488299285,42,40
1488303125,55,41
1488305283,59,47
1488312971,87,86
1488318974,76,95
1488324723,45,54
1488330724,118,106
1488336484,115,115
1488342245,92,107
1488349923,145,158
1488355683,121,95
1488361445,53,37
1488365284,39,38
1488367206,42,40
1488374883,72,73
1488378968,60,42
1488380884,41,41
1488386644,86,70
1488396244,110,77
1488402011,80,101
1488408005,44,52
1488411844,73,114
1488419524,97,97
1488427209,65,64
1488431284,167,174
1488435124,75,73
1488438963,70,65
1488444724,92,71
1488450484,55,43
1488454324,30,44
1488460084,85,77
1488467764,79,74
1488475684,79,67
1488481444,85,68
1488487211,83,95
1488492963,48,62
1488496804,44,60
1488500644,54,64
1488506411,93,103
1488512164,45,56
1488517923,160,175
1488523683,77,78
1488525606,74,50
1488529445,42,54
1488535211,92,72
1488541208,41,35
1488545283,66,73
1488551043,47,42
1488556811,96,73
1488562563,60,41
1488566409,54,38
1488570243,89,90
1488577923,84,88
1488585843,59,101
1488593524,108,90
1488597364,45,80
