DateTime,Entries,UniqueIPs
1487931364,7042,7042
1487939045,7054,7054
1487944812,7064,7064
1487948644,7063,7063
1487954644,7066,7066
1487960405,7090,7090
1487964244,7068,7068
1487970012,7055,7055
1487976007,7045,7045
1487983684,7039,7039
1487991364,7009,7009
1487999284,7020,7020
1488003123,7020,7020
1488008884,7027,7027
1488012723,7025,7025
1488016575,7052,7052
1488024484,7062,7062
1488026405,7073,7073
1488032163,7073,7073
1488036006,7076,7076
1488043684,7090,7090
1488049443,7092,7092
1488055205,7075,7075
1488064804,7038,7038
1488068645,7020,7020
1488076323,7040,7040
1488082085,7021,7021
1488089763,7027,7027
1488095524,7040,7040
1488099364,7063,7063
1488107043,7091,7091
1488114738,7113,7113
1488122406,7114,7114
1488126252,7111,7111
1488132009,7096,7096
1488139685,7092,7092
1488143537,7086,7086
1488150483,7048,7048
1488157444,7019,7019
1488164168,7018,7018
1488168965,7010,7010
1488176651,7002,7002
1488183611,7027,7027
1488191282,7045,7045
1488195123,7040,7040
1488201138,7038,7038
1488206884,7053,7053
1488210724,7033,7033
1488212643,7039,7039
1488218418,7047,7047
1488224165,7057,7057
1488233764,7039,7039
1488237605,7028,7028
1488243363,7003,7003
1488247209,6997,6997
1488253204,6950,6950
1488260882,6955,6955
1488266644,6967,6967
1488272411,6969,6969
1488276243,6999,6999
1488283926,7003,7003
1488285843,6999,6999
1488295445,7008,7008
1488299285,7010,7010
1488303125,7024,7024
1488305283,7036,7036
1488312971,7037,7037
1488318974,7018,7018
1488324723,7009,7009
1488330724,7021,7021
1488336484,7021,7021
1488342245,7006,7006
1488349923,6993,6993
1488355683,7019,7019
1488361445,7035,7035
1488365284,7036,7036
1488367206,7038,7038
1488374883,7037,7037
1488378968,7055,7055
1488380884,7055,7055
1488386644,7071,7071
1488396244,7104,7104
1488402011,7083,7083
1488408005,7075,7075
1488411844,7034,7034
1488419524,7034,7034
1488427209,7035,7035
1488431284,7028,7028
1488435124,7030,7030
1488438963,7035,7035
1488444724,7056,7056
1488450484,7068,7068
1488454324,7054,7054
1488460084,7062,7062
1488467764,7067,7067
1488475684,7079,7079
1488481444,7096,7096
1488487211,7084,7084
1488492963,7070,7070
1488496804,7054,7054
1488500644,7044,7044
1488506411,7034,7034
1488512164,7023,7023
1488517923,7008,7008
1488523683,7007,7007
1488525606,7031,7031
1488529445,7019,7019
1488535211,7039,7039
1488541208,7045,7045
1488545283,7038,7038
1488551043,7043,7043
1488556811,7066,7066
1488562563,7085,7085
1488566409,7101,7101
1488570243,7100,7100
1488577923,7096,7096
1488585843,7054,7054
1488593524,7072,7072
1488597364,7037,7037
1488603124,7027,7027
1488606974,7027,7027
1488614884,7055,7055
1488620644,7080,7080
1488628323,7097,7097
1488632164,7098,7098
1488640085,7096,7096
1488644168,7087,7087
1488649924,7098,7098
1488655923,7100,7100
1488659765,7116,7116
1488661692,7114,7114
1488665523,7106,7106
1488671285,7088,7088
1488677045,7065,7065
1488678973,7076,7076
1488686643,7023,7023
1488692405,7045,7045
1488700083,7070,7070
1488705845,7085,7085
1488711614,7104,7104
1488717606,7130,7130
