DateTime,Entries,UniqueIPs
1489507318,14988,15335
1489509168,14989,15336
1489511071,14994,15341
1489513004,14999,15347
1489516820,14995,15344
1489518746,15005,15355
1489522587,15008,15358
1489524519,15019,15370
1489526438,15027,15379
1489528368,15031,15382
1489534116,15023,15377
1489536097,15026,15380
1489537963,15023,15377
1489541774,15018,15374
1489543710,15011,15367
1489547544,15003,15361
1489549457,15003,15361
1489551383,15001,15356
1489553449,15000,15354
1489559340,15001,15354
1489561308,15002,15354
1489565069,14984,15336
1489566988,14981,15335
1489568931,14993,15348
1489570834,14986,15341
1489572753,14989,15343
1489576577,14991,15346
1489578762,14984,15339
1489580676,14975,15330
1489582595,14984,15338
1489584778,14990,15344
1489586675,14995,15349
1489588588,14996,15348
1489590520,14984,15338
1489594360,14974,15327
1489598448,14955,15307
1489600357,14956,15308
1489602282,14963,15316
1489604532,14968,15321
1489606362,14961,15314
1489608274,14957,15307
1489610450,14956,15306
1489612607,14953,15304
1489614515,14952,15303
1489616433,14959,15311
1489618355,14952,15306
1489624126,14937,15291
1489627971,14936,15289
1489629872,14937,15290
1489631776,14943,15296
1489633698,14932,15285
1489635623,14930,15282
1489637554,14921,15275
1489639450,14923,15277
1489641389,14933,15287
1489643318,14930,15284
1489647142,14914,15269
1489649122,14917,15272
1489650991,14917,15272
1489652901,14921,15276
1489654913,14916,15272
1489656772,14919,15277
1489658673,14923,15282
1489662735,14913,15272
1489664649,14905,15264
1489666582,14911,15270
1489668506,14905,15264
1489670434,14909,15268
1489672345,14939,15299
1489674258,14939,15299
1489676194,14936,15296
1489678121,14933,15293
1489680128,14935,15295
1489683873,14915,15274
1489687725,14903,15263
1489689644,14911,15271
1489691550,14913,15275
1489693464,14907,15268
1489695389,14909,15271
1489697341,14918,15280
1489699237,14924,15287
1489701158,14932,15295
1489703330,14945,15308
1489707166,14951,15316
1489709071,14958,15323
1489711018,14964,15329
1489714838,14960,15325
1489716765,14959,15326
1489718667,14961,15328
1489720869,14957,15321
1489722781,14960,15324
1489728520,14940,15301
1489730500,14946,15308
1489732364,14944,15307
1489734524,14939,15302
1489736442,14941,15304
1489738356,14941,15303
1489740261,14933,15295
1489742439,14940,15302
1489744346,14938,15300
1489746405,14948,15310
1489748480,14949,15311
1489750343,14946,15308
1489752269,14943,15304
1489754193,14940,15301
1489756121,14928,15289
1489758040,14929,15290
1489760218,14927,15288
1489762129,14919,15282
1489764046,14923,15287
1489767855,14925,15289
1489770125,14927,15291
1489771987,14917,15280
1489773876,14921,15284
1489775786,14912,15278
1489777725,14899,15265
1489781552,14902,15267
1489783454,14896,15261
1489785376,14896,15261
1489787299,14897,15262
1489789260,14887,15252
1489793057,14867,15233
1489794987,14872,15238
1489796924,14871,15236
1489798899,14875,15241
1489800785,14882,15248
1489802675,14881,15247
1489804602,14893,15260
1489806508,14895,15262
1489808414,14894,15261
1489810364,14896,15263
1489812266,14898,15265
1489814185,14894,15261
1489816108,14907,15276
1489818072,14900,15269
1489819977,14901,15270
1489821862,14910,15279
1489823778,14908,15278
1489825706,14919,15289
1489827691,14920,15290
1489829565,14918,15288
1489831454,14915,15282
1489833376,14908,15275
1489835318,14914,15281
1489837240,14906,15273
1489839170,14902,15269
1489841068,14906,15272
1489843012,14913,15279
1489844906,14914,15280
1489846840,14923,15291
1489848760,14912,15282
1489850656,14924,15298
1489852575,14928,15300
1489854507,14938,15311
1489856500,14932,15304
1489858369,14922,15294
1489860267,14930,15305
1489864119,14912,15291
1489866037,14914,15297
1489867957,14913,15295
1489872041,14886,15268
1489873958,14881,15263
1489875872,14894,15276
1489877788,14910,15292
1489879695,14915,15297
1489881719,14911,15293
1489883553,14905,15288
1489885725,14895,15275
1489887638,14893,15272
1489889557,14904,15283
1489891465,14883,15259
1489893377,14892,15268
1489895298,14894,15269
1489897240,14868,15244
1489899177,14878,15254
1489901081,14878,15253
1489906910,14875,15249
1489908804,14867,15241
1489910665,14874,15248
1489912583,14867,15244
1489914523,14863,15239
1489916431,14873,15249
1489918353,14856,15232
1489920258,14857,15234
1489924095,14851,15230
1489926034,14842,15221
1489927937,14858,15237
1489929867,14870,15250
1489931801,14872,15253
1489937563,14850,15232
1489939472,14847,15231
1489941391,14854,15239
1489943324,14856,15243
1489945479,14851,15236
1489947394,14835,15219
1489949311,14838,15219
1489951241,14838,15219
1489953184,14836,15218
1489955054,14841,15223
1489962748,14807,15187
1489964910,14808,15188
1489970653,14805,15185
1489974498,14806,15187
1489976430,14798,15179
1489978334,14800,15181
1489980252,14808,15189
1489982176,14817,15198
1489984102,14819,15200
1489987956,14812,15194
1489989871,14807,15188
1489991785,14799,15180
1489993718,14796,15178
1489995627,14794,15176
1489997541,14790,15171
1489999452,14802,15183
1490003316,14794,15173
1490005249,14791,15169
1490007143,14788,15164
1490009077,14794,15171
1490011010,14791,15168
1490012906,14792,15171
1490014902,14794,15173
1490016756,14793,15172
1490018920,14803,15182
1490020834,14804,15182
1490022748,14809,15187
1490024664,14806,15185
1490026592,14810,15189
1490028509,14812,15190
1490030432,14808,15186
1490032382,14804,15182
1490034263,14818,15198
1490036196,14808,15187
1490040102,14795,15174
1490043860,14784,15162
1490045796,14781,15159
1490047700,14779,15157
1490049608,14780,15158
1490053696,14776,15153
1490055628,14780,15159
1490059484,14766,15146
1490061399,14753,15133
1490063342,14755,15135
1490065320,14753,15134
1490067144,14747,15128
1490069309,14753,15134
1490071211,14744,15125
1490073160,14749,15131
1490075073,14750,15132
1490077242,14759,15141
1490081075,14761,15142
