DateTime,AddedIPs,RemovedIPs
1489528368,16,0
1489534116,19,32
1489536097,14,0
1489537963,10,13
1489541774,12,28
1489543710,9,13
1489547544,11,10
1489549457,14,11
1489551383,19,9
1489553449,13,13
1489559340,19,40
1489561308,17,18
1489565069,20,44
1489566988,17,21
1489568931,15,15
1489570834,13,12
1489572753,15,21
1489576577,16,13
1489578762,4,16
1489580676,5,15
1489582595,16,16
1489584778,13,12
1489586675,13,13
1489588588,10,17
1489590520,12,8
1489594360,15,41
1489598448,10,34
1489600357,6,0
1489602282,20,3
1489604532,13,6
1489606362,11,6
1489608274,10,10
1489610450,16,19
1489612607,11,19
1489614515,12,18
1489616433,11,7
1489618355,13,0
1489624126,16,36
1489627971,9,0
1489629872,5,17
1489631776,21,15
1489633698,7,9
1489635623,9,14
1489637554,10,25
1489639450,21,27
1489641389,21,18
1489643318,16,17
1489647142,22,44
1489649122,16,28
1489650991,13,25
1489652901,9,24
1489654913,10,16
1489656772,14,16
1489658673,10,13
1489662735,8,31
1489664649,8,11
1489666582,6,15
1489668506,7,20
1489670434,11,33
1489672345,38,0
1489674258,13,7
1489676194,10,21
1489678121,11,14
1489680128,18,6
1489683873,9,5
1489687725,11,12
1489689644,9,9
1489691550,16,12
1489693464,15,12
1489695389,12,14
1489697341,12,11
1489699237,14,3
1489701158,14,15
1489703330,16,12
1489707166,20,39
1489709071,16,19
1489711018,16,23
1489714838,12,36
1489716765,16,10
1489718667,14,12
1489720869,12,0
1489722781,11,12
1489728520,14,46
1489730500,23,0
1489732364,13,10
1489734524,10,27
1489736442,20,17
1489738356,14,17
1489740261,17,16
1489742439,9,16
1489744346,11,16
1489746405,16,14
1489748480,10,16
1489750343,10,13
1489752269,7,12
1489754193,4,12
1489756121,8,17
1489758040,10,17
1489760218,12,0
1489762129,15,9
1489764046,16,10
1489767855,15,24
1489770125,10,4
1489771987,6,12
1489773876,7,14
1489775786,9,21
1489777725,7,14
1489781552,20,21
1489783454,12,16
1489785376,18,9
1489787299,11,16
1489789260,17,4
1489793057,16,7
1489794987,9,3
1489796924,9,6
1489798899,10,17
1489800785,16,11
1489802675,16,18
1489804602,17,0
1489806508,16,15
1489808414,12,20
1489810364,16,20
1489812266,18,19
1489814185,19,15
1489816108,27,11
1489818072,15,9
1489819977,21,21
1489821862,23,21
1489823778,12,20
1489825706,18,18
1489827691,11,22
1489829565,16,9
1489831454,17,15
1489833376,9,16
1489835318,8,12
1489837240,5,10
1489839170,5,8
1489841068,13,7
1489843012,13,8
1489844906,12,5
1489846840,14,9
1489848760,19,6
1489850656,21,12
1489852575,16,18
1489854507,12,10
1489856500,10,18
1489858369,10,19
1489860267,14,20
1489864119,19,37
1489866037,22,10
1489867957,12,4
1489872041,14,27
1489873958,9,18
1489875872,18,0
1489877788,19,19
1489879695,20,20
1489881719,8,18
1489883553,14,14
1489885725,17,17
1489887638,10,24
1489889557,12,13
1489891465,15,0
1489893377,10,18
1489895298,21,0
1489897240,10,23
1489899177,14,23
1489901081,19,17
1489906910,17,65
1489908804,18,29
1489910665,10,20
1489912583,8,0
1489914523,11,16
1489916431,19,0
1489918353,11,17
1489920258,15,0
1489924095,10,25
1489926034,9,14
1489927937,20,13
1489929867,19,21
1489931801,16,10
1489937563,15,41
1489939472,18,17
1489941391,24,8
1489943324,23,4
1489945479,13,15
1489947394,22,12
1489949311,17,18
1489951241,13,0
1489953184,10,29
1489955054,11,0
1489962748,11,78
1489964910,20,0
1489970653,19,43
1489974498,22,34
1489976430,9,0
1489978334,18,20
1489980252,13,0
1489982176,14,16
1489984102,14,17
1489987956,27,49
1489989871,8,25
1489991785,9,25
1489993718,15,19
1489995627,8,23
1489997541,18,13
1489999452,15,15
1490003316,16,29
1490005249,14,19
1490007143,5,18
1490009077,7,20
1490011010,6,13
1490012906,7,7
1490014902,15,0
1490016756,15,10
1490018920,13,17
1490020834,14,11
1490022748,7,0
1490024664,6,18
1490026592,11,12
1490028509,11,9
1490030432,6,12
1490032382,8,20
1490034263,19,6
1490036196,3,7
1490040102,7,9
1490043860,10,27
1490045796,6,16
1490047700,11,21
1490049608,6,0
1490053696,16,37
1490055628,16,20
1490059484,11,36
1490061399,5,12
1490063342,15,14
1490065320,11,21
1490067144,9,12
1490069309,10,0
1490071211,8,22
1490073160,23,17
1490075073,21,0
1490077242,19,15
1490081075,18,17
1490082993,12,10
1490085180,9,11
1490087082,6,7
1490089000,10,0
1490098881,8,21
1490102658,18,28
1490104585,8,4
1490106534,14,11
1490110585,15,22
1490112500,5,10
1490114429,1,12
1490116389,2,6
1490118255,21,15
1490120178,12,0
1490122097,14,12
1490124022,12,17
1490126191,13,0
1490128118,18,19
1490130127,9,20
1490133874,8,35
1490135794,9,0
1490137713,11,0
1490139620,16,23
1490143453,17,21
1490147308,15,15
1490149228,10,16
1490153054,20,17
1490156907,19,30
1490158934,13,23
1490160751,9,0
1490162674,9,0
1490164598,14,20
1490166499,15,17
1490168429,15,0
1490170348,10,13
1490174179,11,29
1490176101,10,16
1490178042,9,19
1490179952,10,0
1490183794,14,20
1490185722,13,5
1490187724,17,16
1490189548,18,0
1490191726,21,34
1490193630,15,10
1490195803,18,10
1490199630,17,11
1490201536,20,0
1490203452,22,12
1490205375,7,5
1490207313,9,18
1490209326,12,0
1490214991,13,32
1490216898,11,15
1490218811,13,11
1490220741,14,12
1490222650,16,5
1490224585,10,10
1490228454,21,0
1490230368,17,18
1490232263,9,0
1490234188,20,4
1490242123,7,40
1490244026,19,11
1490245957,20,18
1490247862,27,19
1490249778,12,19
1490251697,18,0
1490253620,12,19
1490257453,6,36
1490259394,10,12
1490261312,12,10
1490268991,11,37
1490270933,16,9
1490272821,7,9
1490278589,5,54
1490280516,9,11
1490282430,7,13
1490286269,9,29
1490288205,22,0
1490292101,13,6
1490293950,6,12
1490295882,5,9
1490297798,15,14
1490299735,12,13
1490303564,14,30
1490305463,17,16
1490308612,18,37
1490310514,14,0
1490312448,12,17
1490314601,11,12
1490316517,21,16
1490318437,15,0
1490320357,21,8
1490322265,16,12
1490324186,18,15
1490326103,19,14
1490328092,25,14
1490329934,19,0
1490332133,23,0
1490334024,28,18
1490335946,19,28
1490339784,15,26
1490341964,6,25
1490343868,23,13
1490345786,9,13
1490347710,13,16
1490349727,14,9
1490351542,6,15
1490353714,11,10
1490355648,11,11
1490359465,20,9
1490363312,18,15
1490367134,12,27
1490369060,13,19
1490370976,19,0
1490372898,19,22
1490376745,12,9
1490378671,8,4
1490382515,24,16
1490384448,20,3
1490386360,26,19
1490388264,25,11
1490390191,16,12
1490392114,24,10
1490394016,14,0
1490395983,17,14
1490397852,30,0
1490399804,21,26
1490401703,15,0
1490403715,15,20
1490405560,13,0
1490407470,21,7
1490411314,15,37
1490413241,21,12
1490415149,15,0
1490417050,9,21
1490418982,14,15
1490422868,30,41
1490428594,12,69
1490430518,5,16
1490432628,9,17
1490434606,6,23
1490436525,10,19
1490438426,5,9
1490440351,4,8
1490442280,7,7
1490444186,6,4
1490446107,8,9
1490448044,15,11
1490449960,15,17
1490451871,17,13
1490453792,11,19
1490455710,18,21
1490457721,13,20
1490459807,8,17
1490461727,9,11
1490463867,13,6
1490465776,12,12
1490467701,13,0
1490469624,21,13
1490471867,15,20
1490473713,12,14
1490475734,19,0
1490477559,18,13
1490479484,7,13
1490481408,12,13
1490483321,20,19
1490485243,30,18
1490487155,15,6
1490490988,10,30
1490492905,8,9
1490494833,15,12
1490496760,15,21
1490498655,17,14
1490500588,16,19
1490502517,13,17
1490504512,19,12
1490506622,12,23
1490508506,10,0
1490510424,14,0
1490512349,7,20
1490514271,13,20
1490516200,11,9
1490518120,7,10
1490520037,15,11
1490521958,14,16
1490523855,7,14
1490525777,4,18
1490527702,5,0
1490531560,3,18
1490533474,17,18
1490535400,16,21
1490537321,13,22
1490539234,18,0
1490541157,23,0
1490543061,13,16
1490545489,8,17
1490547398,9,27
1490549309,13,19
1490551330,7,17
1490553163,22,17
1490555073,15,14
1490557000,11,13
1490558923,16,8
1490560834,8,10
1490562750,15,0
1490566589,17,0
1490570419,19,33
1490572360,16,0
1490574270,15,0
1490576194,14,19
1490578111,12,0
1490580129,13,21
1490581962,15,13
1490583881,11,21
1490585795,17,14
1490587721,7,17
1490589634,7,17
1490591545,17,0
1490593452,12,27
1490595391,23,6
1490597314,19,13
1490599243,12,20
1490601186,2,18
1490604987,7,32
1490606914,6,0
1490608924,8,13
1490610756,8,7
1490612916,9,5
1490614826,11,5
1490616752,7,5
1490618662,19,8
1490620579,11,14
1490628256,18,53
1490630192,14,9
1490632105,13,10
1490634285,4,12
1490636208,9,8
1490638114,7,8
1490640017,11,21
1490643860,17,8
1490645798,11,7
1490647713,19,0
1490649637,14,9
1490653453,14,15
1490655410,21,7
1490657306,13,0
1490659300,19,9
1490661137,9,13
1490663069,16,0
1490665007,11,13
1490666923,14,6
1490668842,11,20
1490670762,20,10
1490672662,14,11
1490674576,9,13
1490676505,14,11
