DateTime,AddedIPs,RemovedIPs
1489509168,42,24
1489511071,24,40
1489513004,33,26
1489516820,28,32
1489518746,36,30
1489522587,46,35
1489524519,50,45
1489526438,34,50
1489528368,44,35
1489534116,43,41
1489536097,40,43
1489537963,37,41
1489541774,35,41
1489543710,43,37
1489547544,51,39
1489549457,51,45
1489551383,44,51
1489553449,39,42
1489559340,44,51
1489561308,51,43
1489565069,39,51
1489566988,35,41
1489568931,35,35
1489570834,37,32
1489572753,41,39
1489576577,35,40
1489578762,27,37
1489580676,20,27
1489582595,43,20
1489584778,39,36
1489586675,40,38
1489588588,33,44
1489590520,35,26
1489594360,30,38
1489598448,47,35
1489600357,26,46
1489602282,41,23
1489604532,36,44
1489606362,30,34
1489608274,34,29
1489610450,35,33
1489612607,38,39
1489614515,32,34
1489616433,33,34
1489618355,35,33
1489624126,42,35
1489627971,27,42
1489629872,23,24
1489631776,49,27
1489633698,28,48
1489635623,36,27
1489637554,37,35
1489639450,47,35
1489641389,44,56
1489643318,45,45
1489647142,52,45
1489649122,53,52
1489650991,31,51
1489652901,33,36
1489654913,29,31
1489656772,52,25
1489658673,29,48
1489662735,27,37
1489664649,30,27
1489666582,23,30
1489668506,19,24
1489670434,30,16
1489672345,64,31
1489674258,48,62
1489676194,47,48
1489678121,31,46
1489680128,43,33
1489683873,33,44
1489687725,40,30
1489689644,38,37
1489691550,44,41
1489693464,43,44
1489695389,48,42
1489697341,48,47
1489699237,45,44
1489701158,39,43
1489703330,48,39
1489707166,47,54
1489709071,42,45
1489711018,52,44
1489714838,28,52
1489716765,49,30
1489718667,46,46
1489720869,46,49
1489722781,39,42
1489728520,50,43
1489730500,52,49
1489732364,39,55
1489734524,34,33
1489736442,39,37
1489738356,34,40
1489740261,30,36
1489742439,31,29
1489744346,39,34
1489746405,31,39
1489748480,31,32
1489750343,24,27
1489752269,29,23
1489754193,18,30
1489756121,21,17
1489758040,41,22
1489760218,38,39
1489762129,46,33
1489764046,43,50
1489767855,38,46
1489770125,37,41
1489771987,27,32
1489773876,29,25
1489775786,31,26
1489777725,24,35
1489781552,47,26
1489783454,35,45
1489785376,40,38
1489787299,38,42
1489789260,38,34
1489793057,50,37
1489794987,28,54
1489796924,56,26
1489798899,35,57
1489800785,47,37
1489802675,44,43
1489804602,43,41
1489806508,35,40
1489808414,36,37
1489810364,52,42
1489812266,52,49
1489814185,38,51
1489816108,52,39
1489818072,46,58
1489819977,53,45
1489821862,43,45
1489823778,37,47
1489825706,43,38
1489827691,36,47
1489829565,53,36
1489831454,40,49
1489833376,30,41
1489835318,29,31
1489837240,27,27
1489839170,18,30
1489841068,35,17
1489843012,41,35
1489844906,38,31
1489846840,50,45
1489848760,48,51
1489850656,44,49
1489852575,47,46
1489854507,48,46
1489856500,31,47
1489858369,25,32
1489860267,32,24
1489864119,43,30
1489866037,52,41
1489867957,48,49
1489872041,48,51
1489873958,43,47
1489875872,47,49
1489877788,55,47
1489879695,51,55
1489881719,34,45
1489883553,39,33
1489885725,59,45
1489887638,35,56
1489889557,45,33
1489891465,57,51
1489893377,38,53
1489895298,59,38
1489897240,44,57
1489899177,50,44
1489901081,40,56
1489906910,51,41
1489908804,50,45
1489910665,27,52
1489912583,26,29
1489914523,37,26
1489916431,51,37
1489918353,33,50
1489920258,31,38
1489924095,23,31
1489926034,25,20
1489927937,46,24
1489929867,49,44
1489931801,52,47
1489937563,34,57
1489939472,43,33
1489941391,49,42
1489943324,47,48
1489945479,36,52
1489947394,45,35
1489949311,55,46
1489951241,44,49
1489953184,37,42
1489955054,39,33
1489962748,35,44
1489964910,49,35
1489970653,49,50
1489974498,46,53
1489976430,46,45
1489978334,47,46
1489980252,41,45
1489982176,50,41
1489984102,53,52
1489987956,49,54
1489989871,28,52
1489991785,29,26
1489993718,41,28
1489995627,35,41
1489997541,36,39
1489999452,48,34
1490003316,43,47
1490005249,34,45
1490007143,19,32
1490009077,24,21
1490011010,27,23
1490012906,31,27
1490014902,37,31
1490016756,35,36
1490018920,34,34
1490020834,38,29
1490022748,35,36
1490024664,43,41
1490026592,46,44
1490028509,29,49
1490030432,25,27
1490032382,15,23
1490034263,48,18
1490036196,25,46
1490040102,26,20
1490043860,30,27
1490045796,23,31
1490047700,32,22
1490049608,26,28
1490053696,45,30
1490055628,39,46
1490059484,42,41
1490061399,29,43
1490063342,50,27
1490065320,35,50
1490067144,35,36
1490069309,35,34
1490071211,32,34
1490073160,54,35
1490075073,52,53
1490077242,52,51
1490081075,41,58
1490082993,29,40
1490085180,35,28
1490087082,26,32
1490089000,36,27
1490098881,28,39
1490102658,48,27
1490104585,30,47
1490106534,33,29
1490110585,49,34
1490112500,20,43
1490114429,16,22
1490116389,17,17
1490118255,55,15
1490120178,34,56
1490122097,44,34
1490124022,27,47
1490126191,28,26
1490128118,54,23
1490130127,33,56
1490133874,36,26
1490135794,25,36
1490137713,29,28
1490139620,45,31
1490143453,44,48
1490147308,53,44
1490149228,39,50
1490153054,54,40
1490156907,53,51
1490158934,37,55
1490160751,29,41
1490162674,33,26
1490164598,41,34
1490166499,35,41
1490168429,36,38
1490170348,33,38
1490174179,31,34
1490176101,25,28
1490178042,24,29
1490179952,29,21
1490183794,29,28
1490185722,33,31
1490187724,42,31
1490189548,52,38
1490191726,46,57
1490193630,41,43
1490195803,40,42
1490199630,50,42
1490201536,45,44
1490203452,47,46
1490205375,19,51
1490207313,41,21
1490209326,35,35
1490214991,36,34
1490216898,31,34
1490218811,36,28
1490220741,39,40
1490222650,40,39
1490224585,43,39
1490228454,40,48
1490230368,47,39
1490232263,40,47
1490234188,52,39
1490242123,30,50
1490244026,43,30
1490245957,49,47
1490247862,58,49
1490249778,36,58
1490251697,41,31
1490253620,38,46
1490257453,31,43
1490259394,26,34
1490261312,45,25
1490268991,30,42
1490270933,35,30
1490272821,29,34
1490278589,19,30
1490280516,18,20
1490282430,29,21
1490286269,19,27
1490288205,55,19
1490292101,43,47
1490293950,25,43
1490295882,32,24
1490297798,45,32
1490299735,39,44
1490303564,42,43
1490305463,48,41
1490308612,37,46
1490310514,41,37
1490312448,45,43
1490314601,37,44
1490316517,52,40
1490318437,39,52
1490320357,48,37
1490322265,39,45
1490324186,44,41
1490326103,46,45
1490328092,60,47
1490329934,45,59
1490332133,43,44
1490334024,60,50
1490335946,45,59
1490339784,34,44
1490341964,21,36
1490343868,40,21
1490345786,31,41
1490347710,30,28
1490349727,25,30
1490351542,18,28
1490353714,25,16
1490355648,33,23
1490359465,52,34
1490363312,43,51
1490367134,46,41
1490369060,33,49
1490370976,44,31
1490372898,48,37
1490376745,34,54
1490378671,29,35
1490382515,47,31
1490384448,49,43
1490386360,51,53
1490388264,52,49
1490390191,44,51
1490392114,42,47
1490394016,42,41
1490395983,46,36
1490397852,56,48
1490399804,47,62
1490401703,39,41
1490403715,44,38
1490405560,33,47
1490407470,47,33
1490411314,44,47
1490413241,54,42
1490415149,36,57
1490417050,39,33
1490418982,44,45
1490422868,57,42
1490428594,33,58
1490430518,22,37
1490432628,25,22
1490434606,29,23
1490436525,25,27
1490438426,26,26
1490440351,14,23
1490442280,21,20
1490444186,18,19
1490446107,29,17
1490448044,33,28
1490449960,37,30
1490451871,41,37
1490453792,40,40
1490455710,35,36
1490457721,30,34
1490459807,38,31
1490461727,29,37
1490463867,44,37
1490465776,40,41
1490467701,38,37
1490469624,42,39
1490471867,44,43
1490473713,47,44
1490475734,51,46
1490477559,38,51
1490479484,26,40
1490481408,46,26
1490483321,43,40
1490485243,58,47
1490487155,52,58
1490490988,45,54
1490492905,39,42
1490494833,34,42
1490496760,39,33
1490498655,41,42
1490500588,47,42
1490502517,32,35
1490504512,45,36
1490506622,36,50
1490508506,30,38
1490510424,40,31
1490512349,28,39
1490514271,33,34
1490516200,29,34
1490518120,27,27
1490520037,39,27
1490521958,35,36
1490523855,22,37
1490525777,22,23
1490527702,25,23
1490531560,24,23
1490533474,34,19
1490535400,33,39
1490537321,47,31
1490539234,50,45
1490541157,53,46
1490543061,40,54
1490545489,36,49
1490547398,30,35
1490549309,22,28
1490551330,37,25
1490553163,54,32
1490555073,48,51
1490557000,33,42
1490558923,57,37
1490560834,26,49
1490562750,42,30
1490566589,39,44
1490570419,49,42
1490572360,36,45
1490574270,48,37
1490576194,37,52
1490578111,38,34
1490580129,38,40
1490581962,35,35
1490583881,43,37
1490585795,56,42
1490587721,40,56
1490589634,30,40
1490591545,25,37
1490593452,55,24
1490595391,43,48
1490597314,44,51
1490599243,29,44
1490601186,12,30
1490604987,28,14
1490606914,18,28
1490608924,22,17
1490610756,31,20
1490612916,25,27
1490614826,16,27
1490616752,25,19
1490618662,36,21
1490620579,31,36
1490628256,36,35
1490630192,44,36
1490632105,36,39
1490634285,21,39
1490636208,36,16
1490638114,38,33
1490640017,32,42
1490643860,51,34
1490645798,46,47
1490647713,55,48
1490649637,40,53
1490653453,41,39
1490655410,49,42
1490657306,45,45
1490659300,37,50
1490661137,46,43
