DateTime,AddedIPs,RemovedIPs
1485218558,8,3
1485229633,3,8
1485240716,5,7
1485251702,9,6
1485262879,3,12
1485273705,8,14
1485284660,7,11
1485295488,10,12
1485306486,7,12
1485317513,12,6
1485328565,3,7
1485339465,8,10
1485350336,8,7
1485361309,8,11
1485372195,6,9
1485383284,10,10
1485394047,3,10
1485404880,9,6
1485415859,3,8
1485426939,8,9
1485437691,1,5
1485448772,9,5
1485459812,5,12
1485470852,3,15
1485481822,5,7
1485492732,4,11
1485503771,8,14
1485514784,5,11
1485526095,18,7
1485536918,11,20
1485548153,6,15
1485559102,9,10
1485569874,9,17
1485580809,9,16
1485591828,5,15
1485602839,12,13
1485613925,4,9
1485624978,1,11
1485636000,13,14
1485646973,4,14
1485657991,13,9
1485669075,10,13
1485680014,8,7
1485690830,8,10
1485701707,7,13
1485712882,12,9
1485723709,4,7
1485734780,10,14
1485745701,6,10
1485756495,8,10
1485767526,6,5
1485778581,4,6
1485789879,9,10
1485800972,8,8
1485811918,16,9
1485822840,4,4
1485833613,4,5
1485844404,6,4
1485855281,7,4
1485866208,5,9
1485877170,3,6
1485888200,4,13
1485899231,11,4
1485910326,8,7
1485921288,4,8
1485932366,2,6
1485943229,6,8
1485954472,7,6
1485965479,8,2
1485976699,8,6
1485987758,5,7
1485998869,9,11
1486009774,8,11
1486020624,4,13
1486031775,3,10
1486042681,7,9
1486053573,7,5
1486064375,6,7
1486075470,7,10
1486086465,7,14
1486097120,4,9
1486108056,5,6
1486119022,6,6
1486130158,7,10
1486141239,7,7
1486151859,3,8
1486162663,2,7
1486173418,3,12
1486184160,8,5
1486195240,5,4
1486206468,6,6
1486217791,11,9
1486228621,8,5
1486239653,2,6
1486250536,7,4
1486261424,8,6
1486272736,4,7
1486282802,4,7
1486293834,3,7
1486304726,6,7
1486315579,5,5
1486326420,5,10
1486337226,8,9
1486348288,6,11
1486359357,4,3
1486370358,9,9
1486380666,4,4
1486391435,12,4
1486402577,4,10
1486413189,3,4
1486424026,4,5
1486434952,8,4
1486445875,6,2
1486456803,1,8
1486467651,5,8
1486478660,12,6
1486489647,11,7
1486499974,5,6
1486510737,10,6
1486521793,5,3
1486532914,7,6
1486543682,4,5
1486554463,7,3
1486565193,9,8
1486576195,7,4
1486586859,9,10
1486596795,6,7
1486607591,4,9
1486618553,10,8
1486629366,5,6
1486640322,8,6
1486651262,9,8
1486662176,3,11
1486673269,7,17
1486683867,5,17
1486694882,2,3
1486705911,9,7
1486716954,6,9
1486727893,9,8
1486738348,5,6
1486748730,4,11
1486759582,8,5
1486770450,5,7
1486781266,8,12
1486792025,2,7
1486803103,7,10
1486813916,2,6
1486824856,4,17
1486835969,6,14
1486846837,2,6
1486858100,4,6
1486868978,6,9
1486879862,5,14
1486890097,6,12
1486900601,9,5
1486910434,2,4
1486921013,3,12
1486931728,7,10
1486942723,6,7
1486953783,7,6
1486964817,2,8
1486975865,3,12
1486986763,2,8
1486997776,8,7
1487008879,1,7
1487019752,8,9
1487030765,3,8
1487041169,5,6
1487050641,4,5
1487061055,6,4
1487071490,4,5
1487082386,5,11
1487093512,8,5
1487104499,7,8
1487115453,4,10
1487125899,4,6
1487136970,3,7
1487147879,4,6
1487158810,9,6
1487169696,7,4
1487180351,4,7
1487191434,8,8
1487202462,6,4
1487213176,5,6
1487224101,5,9
1487234714,2,7
1487245825,3,9
1487256715,4,8
1487267591,6,7
1487278176,5,3
1487289044,4,3
1487299547,9,9
1487310044,4,5
1487321017,3,2
1487332075,1,7
1487343101,4,7
1487353479,8,5
1487364271,2,6
1487375026,10,9
1487385931,3,8
1487396372,3,5
1487407279,5,11
1487417236,7,4
1487427843,8,6
1487438643,7,7
1487449675,1,4
1487460639,3,8
1487471746,5,4
1487482386,2,3
1487493302,1,3
1487503974,2,8
1487514516,2,4
1487525157,2,3
1487536058,7,4
1487547130,5,5
1487558043,3,10
1487568628,4,6
1487579543,5,5
1487590405,2,4
1487601349,5,5
1487612186,3,8
1487623152,7,2
1487634183,4,7
1487645281,2,7
1487656324,9,7
1487667193,5,4
1487678018,6,2
1487689072,3,6
1487700063,2,5
1487711312,4,7
1487721816,3,12
1487732865,3,5
1487743390,3,8
1487754369,5,2
1487765286,5,7
1487776278,4,8
1487787163,7,8
1487798574,5,7
1487809263,7,11
1487820245,2,4
1487831307,3,6
1487842200,9,9
1487853054,9,4
1487864096,4,8
1487874983,7,9
1487885956,5,7
1487896852,8,3
1487907808,7,10
1487918698,4,5
1487929395,5,5
1487940439,8,7
1487951526,6,5
1487962275,5,6
1487973150,5,5
1487984082,5,2
1487994648,9,4
1488005781,2,10
1488016749,5,8
1488027327,5,5
1488038466,7,4
1488048959,6,8
1488060099,7,3
1488071049,4,11
1488082038,5,3
1488092993,5,6
1488103934,4,6
1488114957,9,8
1488126102,5,11
1488136920,9,5
1488147809,4,9
1488158905,2,7
1488169865,9,8
1488180967,6,4
1488191871,5,17
1488202755,6,7
1488213820,7,4
1488224812,6,10
1488235801,5,14
1488246678,8,5
1488257637,4,8
1488268440,4,6
1488279304,2,13
1488290473,9,13
1488301456,7,4
1488312105,6,6
1488323299,11,10
1488334291,12,6
1488345359,2,8
1488356293,7,2
1488367031,6,6
1488378407,6,8
1488389044,8,11
1488400030,5,10
1488411149,1,5
1488422184,6,5
1488433092,11,3
1488443898,8,7
1488454680,9,7
1488465488,15,8
1488476293,7,4
1488487119,6,9
1488498169,7,5
1488509149,2,1
1488520076,8,3
1488531116,8,11
1488542185,10,3
1488553176,10,5
1488564369,3,6
1488575080,6,6
1488586091,3,4
1488597150,10,4
1488608177,7,3
1488619192,6,5
1488630219,5,5
1488641279,4,11
1488652313,14,5
1488663346,9,5
1488674365,4,8
1488685309,11,2
1488696139,4,5
1488707172,4,2
1488718093,3,5
1488729030,13,8
1488739905,7,5
1488750985,12,6
1488762051,6,3
1488772865,4,3
1488783725,9,3
1488794859,6,3
1488805942,9,9
1488816668,11,5
1488827664,9,8
1488838812,5,7
1488849845,6,8
1488860863,5,5
1488871771,13,7
1488882730,8,4
1488893760,6,3
1488904790,8,4
1488915799,2,6
1488926749,3,5
1488937688,9,1
1488948680,6,7
1488959672,8,6
1488970867,3,6
1488982056,5,8
1488993101,4,3
1489004133,6,4
1489015198,5,3
1489026256,6,6
1489037275,3,5
1489048336,9,2
1489059330,3,4
1489070404,4,5
1489081435,9,7
1489092476,6,6
1489103468,6,14
1489114453,7,7
1489125382,2,5
1489136453,8,3
1489147428,7,3
1489158486,9,7
1489169683,7,6
1489180672,7,5
1489191585,7,2
1489202621,6,4
1489213541,8,5
1489224435,4,7
1489235497,9,5
1489246215,5,9
1489256935,7,4
1489267903,11,3
1489278978,9,3
1489289999,10,4
1489300933,8,12
1489311824,10,5
1489322832,8,7
1489333830,8,5
1489344758,8,5
1489355705,6,10
1489366744,3,9
1489377491,9,4
1489388495,7,2
1489399372,5,7
1489410269,6,9
1489421286,7,4
1489432283,6,3
1489443352,7,4
1489454443,7,6
1489465367,8,5
1489476446,11,4
1489487557,9,7
1489498565,8,1
1489509554,7,6
1489520640,10,4
1489531651,10,6
1489542649,6,4
1489553760,6,2
1489564800,7,6
1489575742,4,0
1489586669,10,8
1489597606,3,5
1489608865,6,6
1489620005,4,5
1489630734,9,7
1489641582,6,2
1489652519,4,4
1489663431,5,5
1489674439,7,4
1489685541,3,9
1489696541,5,6
1489707618,6,6
1489718634,3,1
1489729660,5,3
1489740713,3,3
1489751654,7,3
1489762505,13,5
1489773647,7,4
1489784671,9,12
1489795694,7,4
1489806696,6,4
1489817618,5,3
1489828028,7,4
1489839126,13,3
1489850166,12,5
1489861214,7,3
1489872228,8,6
1489883141,13,6
1489893965,12,4
1489904900,11,3
1489915858,4,1
1489926835,9,3
1489937776,8,2
1489948569,4,4
1489959501,7,2
1489970365,6,3
1489981388,12,2
1489992420,1,1
1490003436,5,6
1490014322,12,4
1490025206,6,6
1490036187,6,6
1490047309,12,5
1490058495,9,3
1490069459,11,6
1490080154,8,3
1490091077,6,4
1490101909,6,6
1490112944,5,2
1490123989,11,4
1490135030,7,8
1490146015,9,2
1490157148,13,5
1490167969,9,4
1490178978,23,2
1490189909,8,2
1490200698,8,1
1490211613,12,4
1490222433,10,3
1490233302,8,1
1490244211,11,5
1490255259,8,5
1490266255,15,4
1490277336,11,2
1490288423,14,6
1490299682,8,4
1490310708,5,6
1490321689,6,1
1490332660,12,6
1490343537,5,2
1490354605,13,6
1490365918,2,10
1490376946,19,9
1490388011,10,5
1490399028,11,2
1490409972,17,3
1490420815,10,0
1490431657,9,0
1490442696,14,3
1490453454,9,4
1490464558,11,13
1490475715,18,7
1490486637,7,1
1490497676,9,9
1490508700,12,5
1490519730,6,3
1490530613,7,9
1490541515,11,5
1490552632,5,8
1490563703,11,6
1490574687,11,9
1490585732,10,5
1490596752,6,2
1490607833,6,4
1490618871,9,3
1490629905,11,11
1490640962,9,8
1490651977,10,5
1490663043,6,5
1490674071,7,7
