DateTime,Entries,UniqueIPs
1485218558,1667,1667
1485229633,1662,1662
1485240716,1660,1660
1485251702,1663,1663
1485262879,1654,1654
1485273705,1648,1648
1485284660,1644,1644
1485295488,1642,1642
1485306486,1637,1637
1485317513,1643,1643
1485328565,1639,1639
1485339465,1637,1637
1485350336,1638,1638
1485361309,1635,1635
1485372195,1632,1632
1485383284,1632,1632
1485394047,1625,1625
1485404880,1628,1628
1485415859,1623,1623
1485426939,1622,1622
1485437691,1618,1618
1485448772,1622,1622
1485459812,1615,1615
1485470852,1603,1603
1485481822,1601,1601
1485492732,1594,1594
1485503771,1588,1588
1485514784,1582,1582
1485526095,1593,1593
1485536918,1584,1584
1485548153,1575,1575
1485559102,1574,1574
1485569874,1566,1566
1485580809,1559,1559
1485591828,1549,1549
1485602839,1548,1548
1485613925,1543,1543
1485624978,1533,1533
1485636000,1532,1532
1485646973,1522,1522
1485657991,1526,1526
1485669075,1523,1523
1485680014,1524,1524
1485690830,1522,1522
1485701707,1516,1516
1485712882,1519,1519
1485723709,1516,1516
1485734780,1512,1512
1485745701,1508,1508
1485756495,1506,1506
1485767526,1507,1507
1485778581,1505,1505
1485789879,1504,1504
1485800972,1504,1504
1485811918,1511,1511
1485822840,1511,1511
1485833613,1510,1510
1485844404,1512,1512
1485855281,1515,1515
1485866208,1511,1511
1485877170,1508,1508
1485888200,1499,1499
1485899231,1506,1506
1485910326,1507,1507
1485921288,1503,1503
1485932366,1499,1499
1485943229,1497,1497
1485954472,1498,1498
1485965479,1504,1504
1485976699,1506,1506
1485987758,1504,1504
1485998869,1502,1502
1486009774,1499,1499
1486020624,1490,1490
1486031775,1483,1483
1486042681,1481,1481
1486053573,1483,1483
1486064375,1482,1482
1486075470,1479,1479
1486086465,1472,1472
1486097120,1467,1467
1486108056,1466,1466
1486119022,1466,1466
1486130158,1463,1463
1486141239,1463,1463
1486151859,1458,1458
1486162663,1453,1453
1486173418,1444,1444
1486184160,1447,1447
1486195240,1448,1448
1486206468,1448,1448
1486217791,1450,1450
1486228621,1453,1453
1486239653,1449,1449
1486250536,1452,1452
1486261424,1454,1454
1486272736,1451,1451
1486282802,1448,1448
1486293834,1444,1444
1486304726,1443,1443
1486315579,1443,1443
1486326420,1438,1438
1486337226,1437,1437
1486348288,1432,1432
1486359357,1433,1433
1486370358,1433,1433
1486380666,1433,1433
1486391435,1441,1441
1486402577,1435,1435
1486413189,1434,1434
1486424026,1433,1433
1486434952,1437,1437
1486445875,1441,1441
1486456803,1434,1434
1486467651,1431,1431
1486478660,1437,1437
1486489647,1441,1441
1486499974,1440,1440
1486510737,1444,1444
1486521793,1446,1446
1486532914,1447,1447
1486543682,1446,1446
1486554463,1450,1450
1486565193,1451,1451
1486576195,1454,1454
1486586859,1453,1453
1486596795,1452,1452
1486607591,1447,1447
1486618553,1449,1449
1486629366,1448,1448
1486640322,1450,1450
1486651262,1451,1451
1486662176,1443,1443
1486673269,1433,1433
1486683867,1421,1421
1486694882,1420,1420
1486705911,1422,1422
1486716954,1419,1419
1486727893,1420,1420
1486738348,1419,1419
1486748730,1412,1412
1486759582,1415,1415
1486770450,1413,1413
1486781266,1409,1409
1486792025,1404,1404
1486803103,1401,1401
1486813916,1397,1397
1486824856,1384,1384
1486835969,1376,1376
1486846837,1372,1372
1486858100,1370,1370
1486868978,1367,1367
1486879862,1358,1358
1486890097,1352,1352
1486900601,1356,1356
1486910434,1354,1354
1486921013,1345,1345
1486931728,1342,1342
1486942723,1341,1341
1486953783,1342,1342
1486964817,1336,1336
1486975865,1327,1327
1486986763,1321,1321
1486997776,1322,1322
1487008879,1316,1316
1487019752,1315,1315
1487030765,1310,1310
1487041169,1309,1309
1487050641,1308,1308
1487061055,1310,1310
1487071490,1309,1309
1487082386,1303,1303
1487093512,1306,1306
1487104499,1305,1305
1487115453,1299,1299
1487125899,1297,1297
1487136970,1293,1293
1487147879,1291,1291
1487158810,1294,1294
1487169696,1297,1297
1487180351,1294,1294
1487191434,1294,1294
1487202462,1296,1296
1487213176,1295,1295
1487224101,1291,1291
1487234714,1286,1286
1487245825,1280,1280
1487256715,1276,1276
1487267591,1275,1275
1487278176,1277,1277
1487289044,1278,1278
1487299547,1278,1278
1487310044,1277,1277
1487321017,1278,1278
1487332075,1272,1272
1487343101,1269,1269
1487353479,1272,1272
1487364271,1268,1268
1487375026,1269,1269
1487385931,1264,1264
1487396372,1262,1262
1487407279,1256,1256
1487417236,1259,1259
1487427843,1261,1261
1487438643,1261,1261
1487449675,1258,1258
1487460639,1253,1253
1487471746,1254,1254
1487482386,1253,1253
1487493302,1251,1251
1487503974,1245,1245
1487514516,1243,1243
1487525157,1242,1242
1487536058,1245,1245
1487547130,1245,1245
1487558043,1238,1238
1487568628,1236,1236
1487579543,1236,1236
1487590405,1234,1234
1487601349,1234,1234
1487612186,1229,1229
1487623152,1234,1234
1487634183,1231,1231
1487645281,1226,1226
1487656324,1228,1228
1487667193,1229,1229
1487678018,1233,1233
1487689072,1230,1230
1487700063,1227,1227
1487711312,1224,1224
1487721816,1215,1215
1487732865,1213,1213
1487743390,1208,1208
1487754369,1211,1211
1487765286,1209,1209
1487776278,1205,1205
1487787163,1204,1204
1487798574,1202,1202
1487809263,1198,1198
1487820245,1196,1196
1487831307,1193,1193
1487842200,1193,1193
1487853054,1198,1198
1487864096,1194,1194
1487874983,1192,1192
1487885956,1190,1190
1487896852,1195,1195
1487907808,1192,1192
1487918698,1191,1191
1487929395,1191,1191
1487940439,1192,1192
1487951526,1193,1193
1487962275,1192,1192
1487973150,1192,1192
1487984082,1195,1195
1487994648,1200,1200
1488005781,1192,1192
1488016749,1189,1189
1488027327,1189,1189
1488038466,1192,1192
1488048959,1190,1190
1488060099,1194,1194
1488071049,1187,1187
1488082038,1189,1189
1488092993,1188,1188
1488103934,1186,1186
1488114957,1187,1187
1488126102,1181,1181
1488136920,1185,1185
1488147809,1180,1180
1488158905,1175,1175
1488169865,1176,1176
1488180967,1178,1178
1488191871,1166,1166
1488202755,1165,1165
1488213820,1168,1168
1488224812,1164,1164
1488235801,1155,1155
1488246678,1158,1158
1488257637,1154,1154
1488268440,1152,1152
1488279304,1141,1141
1488290473,1137,1137
1488301456,1140,1140
1488312105,1140,1140
1488323299,1141,1141
1488334291,1147,1147
1488345359,1141,1141
1488356293,1146,1146
1488367031,1146,1146
1488378407,1144,1144
1488389044,1141,1141
1488400030,1136,1136
1488411149,1132,1132
1488422184,1133,1133
1488433092,1141,1141
1488443898,1142,1142
1488454680,1144,1144
1488465488,1151,1151
1488476293,1154,1154
1488487119,1151,1151
1488498169,1153,1153
1488509149,1154,1154
1488520076,1159,1159
1488531116,1156,1156
1488542185,1163,1163
1488553176,1168,1168
1488564369,1165,1165
1488575080,1165,1165
1488586091,1164,1164
1488597150,1170,1170
1488608177,1174,1174
1488619192,1175,1175
1488630219,1175,1175
1488641279,1168,1168
1488652313,1177,1177
1488663346,1181,1181
1488674365,1177,1177
1488685309,1186,1186
1488696139,1185,1185
1488707172,1187,1187
1488718093,1185,1185
1488729030,1190,1190
1488739905,1192,1192
1488750985,1198,1198
1488762051,1201,1201
1488772865,1202,1202
1488783725,1208,1208
1488794859,1211,1211
1488805942,1211,1211
1488816668,1217,1217
1488827664,1218,1218
1488838812,1216,1216
1488849845,1214,1214
1488860863,1214,1214
1488871771,1220,1220
1488882730,1224,1224
1488893760,1227,1227
1488904790,1231,1231
1488915799,1227,1227
1488926749,1225,1225
1488937688,1233,1233
1488948680,1232,1232
1488959672,1234,1234
1488970867,1231,1231
1488982056,1228,1228
1488993101,1229,1229
1489004133,1231,1231
1489015198,1233,1233
1489026256,1233,1233
1489037275,1231,1231
1489048336,1238,1238
1489059330,1237,1237
1489070404,1236,1236
1489081435,1238,1238
1489092476,1238,1238
1489103468,1230,1230
1489114453,1230,1230
1489125382,1227,1227
1489136453,1232,1232
1489147428,1236,1236
1489158486,1238,1238
1489169683,1239,1239
1489180672,1241,1241
1489191585,1246,1246
1489202621,1248,1248
1489213541,1251,1251
1489224435,1248,1248
1489235497,1252,1252
1489246215,1248,1248
1489256935,1251,1251
1489267903,1259,1259
1489278978,1265,1265
1489289999,1271,1271
1489300933,1267,1267
1489311824,1272,1272
1489322832,1273,1273
1489333830,1276,1276
1489344758,1279,1279
1489355705,1275,1275
1489366744,1269,1269
1489377491,1274,1274
1489388495,1279,1279
1489399372,1277,1277
1489410269,1274,1274
1489421286,1277,1277
1489432283,1280,1280
1489443352,1283,1283
1489454443,1284,1284
1489465367,1287,1287
1489476446,1294,1294
1489487557,1296,1296
1489498565,1303,1303
1489509554,1304,1304
1489520640,1310,1310
1489531651,1314,1314
1489542649,1316,1316
1489553760,1320,1320
1489564800,1321,1321
1489575742,1325,1325
1489586669,1327,1327
1489597606,1325,1325
1489608865,1325,1325
1489620005,1324,1324
1489630734,1326,1326
1489641582,1330,1330
1489652519,1330,1330
1489663431,1330,1330
1489674439,1333,1333
1489685541,1327,1327
1489696541,1326,1326
1489707618,1326,1326
1489718634,1328,1328
1489729660,1330,1330
1489740713,1330,1330
1489751654,1334,1334
1489762505,1342,1342
1489773647,1345,1345
1489784671,1342,1342
1489795694,1345,1345
1489806696,1347,1347
1489817618,1349,1349
1489828028,1352,1352
1489839126,1362,1362
1489850166,1369,1369
1489861214,1373,1373
1489872228,1375,1375
1489883141,1382,1382
1489893965,1390,1390
1489904900,1398,1398
1489915858,1401,1401
1489926835,1407,1407
1489937776,1413,1413
1489948569,1413,1413
1489959501,1418,1418
1489970365,1421,1421
1489981388,1431,1431
1489992420,1431,1431
1490003436,1430,1430
1490014322,1438,1438
1490025206,1438,1438
1490036187,1438,1438
1490047309,1445,1445
1490058495,1451,1451
1490069459,1456,1456
1490080154,1461,1461
1490091077,1463,1463
1490101909,1463,1463
1490112944,1466,1466
1490123989,1473,1473
1490135030,1472,1472
1490146015,1479,1479
1490157148,1487,1487
1490167969,1492,1492
1490178978,1513,1513
1490189909,1519,1519
1490200698,1526,1526
1490211613,1534,1534
1490222433,1541,1541
1490233302,1548,1548
1490244211,1554,1554
1490255259,1557,1557
1490266255,1568,1568
1490277336,1577,1577
1490288423,1585,1585
1490299682,1589,1589
1490310708,1588,1588
1490321689,1593,1593
1490332660,1599,1599
1490343537,1602,1602
1490354605,1609,1609
1490365918,1601,1601
1490376946,1611,1611
1490388011,1616,1616
1490399028,1625,1625
1490409972,1639,1639
1490420815,1649,1649
1490431657,1658,1658
1490442696,1669,1669
1490453454,1674,1674
1490464558,1672,1672
1490475715,1683,1683
1490486637,1689,1689
1490497676,1689,1689
1490508700,1696,1696
1490519730,1699,1699
1490530613,1697,1697
1490541515,1703,1703
1490552632,1700,1700
1490563703,1705,1705
1490574687,1707,1707
1490585732,1712,1712
1490596752,1716,1716
1490607833,1718,1718
1490618871,1724,1724
1490629905,1724,1724
1490640962,1725,1725
1490651977,1730,1730
1490663043,1731,1731
1490674071,1731,1731
