DateTime,AddedIPs,RemovedIPs
1485040650,69,0
1485051381,41,1193
1485062426,57,0
1485072953,28,0
1485080768,18,0
1485091044,128,0
1485101847,95,0
1485112638,118,0
1485123437,123,0
1485131250,77,1307
1485148871,45,0
1485156054,37,0
1485166558,5,0
1485177461,67,0
1485188256,99,0
1485199060,88,0
1485209846,117,0
1485218610,29,1289
1485234938,60,0
1485250702,33,0
1485260460,19,0
1485271054,104,0
1485281863,80,0
1485292676,112,0
1485299863,73,0
1485308759,55,1529
1485318793,44,0
1485328928,52,0
1485336053,28,0
1485346554,11,0
1485357468,172,0
1485368178,92,0
1485378977,95,0
1485389869,144,1330
1485400672,50,0
1485411422,150,0
1485422200,25,0
1485432976,293,0
1485443776,101,0
1485454576,105,0
1485465377,136,0
1485476272,86,1583
1485487040,51,0
1485497861,57,0
1485508623,41,0
1485519413,106,0
1485530177,144,0
1485540977,126,0
1485551779,121,0
1485562616,153,901
1485573393,7,0
1485584268,2,0
1485595034,53,0
1485605784,67,0
1485616577,138,0
1485627378,97,0
1485638178,122,0
1485649042,131,1591
1485659818,33,0
1485670652,33,0
1485681482,29,0
1485692178,118,0
1485702979,101,0
1485713779,122,0
1485724578,125,0
1485735453,149,1484
1485746260,41,0
1485757054,14,0
1485767847,29,0
1485778580,142,0
1485789379,98,0
1485800179,140,0
1485810979,116,0
1485821856,127,687
1485832634,39,0
1485843423,27,0
1485864979,150,0
1485875779,90,0
1485886580,118,0
1485897380,138,0
1485904579,97,0
1485911810,43,615
1485919222,25,1
1485927487,39,0
1485938135,47,0
1485949038,47,0
1485958602,126,0
1485969404,102,0
1485980202,105,0
1485991008,116,0
1485998135,26,619
1486006526,82,0
1486016298,37,0
1486024025,71,0
1486032090,69,0
1486041433,137,0
1486052205,138,0
1486063019,119,0
1486073833,145,0
1486077403,56,0
1486085346,53,605
1486095678,60,0
1486102844,49,0
1486110928,35,0
1486121000,157,0
1486131422,172,0
1486138656,77,0
1486170932,0,539
1486253732,0,748
1486307796,327,1
1486318609,150,0
1486329418,139,0
1486336628,89,0
1486347388,208,1052
1486355555,20,0
1486365389,74,0
1486373099,100,0
1486383508,94,0
1486394225,155,0
1486405021,121,0
1486415827,126,0
1486423031,76,0
1486430177,35,654
1486439534,105,0
1486449629,54,0
1486459978,26,0
1486470929,78,0
1486480651,160,0
1486491371,105,0
1486502173,121,0
1486513046,119,743
1486523820,44,0
1486534663,47,0
1486545414,47,0
1486556173,141,0
1486566973,89,0
1486577773,118,0
1486588573,98,0
1486599432,132,983
1486610264,48,1
1486621041,56,0
1486631847,91,0
1486642588,126,0
1486653374,141,0
1486664175,116,0
1486674975,125,0
1486685834,204,866
1486707463,43,0
1486718128,88,0
1486728975,127,0
1486739775,129,0
1486750576,134,0
1486761376,124,0
1486772271,130,81
1486782999,55,0
1486804644,24,0
1486815376,178,0
1486826175,108,0
1486836976,136,0
1486847775,117,0
1486858708,124,456
1486869442,46,0
1486880155,72,0
1486891093,90,0
1486901777,141,0
1486912576,112,0
1486923376,110,0
1486934176,129,0
1486945067,127,725
1486955741,62,0
1486966582,76,0
1486977328,7,0
1486988177,158,0
1486998977,105,0
1487009777,121,0
1487020576,127,0
1487027776,95,0
1487038529,52,584
1487045817,57,0
1487053088,35,0
1487063796,56,0
1487074732,157,0
1487085481,113,0
1487096279,121,0
1487107060,136,0
1487114305,78,0
1487121370,88,510
1487132197,71,0
1487151822,62,0
1487161605,113,0
1487171925,174,0
1487182716,126,0
1487193523,139,0
1487200717,171,0
1487207802,48,576
1487217467,84,0
1487225942,60,0
1487236600,52,0
1487246127,69,0
1487254747,169,0
1487265490,125,0
1487276271,137,0
1487287064,138,0
1487297844,59,536
1487319384,74,0
1487330417,58,0
1487341046,169,0
1487351905,136,0
1487362845,130,0
1487373432,153,0
1487384155,45,465
1487402251,7,0
1487409427,12,0
1487420168,11,0
1487431056,206,0
1487441850,131,0
1487452645,119,0
1487459846,87,0
1487466986,37,607
1487475825,5,0
1487485057,74,0
1487503007,95,0
1487513855,159,0
1487524686,129,0
1487535442,165,0
1487546246,148,0
1487557008,116,610
1487567809,28,0
1487578619,32,0
1487585858,65,0
1487596648,178,0
1487607465,131,0
1487618244,154,0
1487629080,151,0
1487636723,107,964
1487646996,61,0
1487657738,53,0
1487668530,45,0
1487690182,294,0
1487700981,179,0
1487711781,169,0
1487722615,174,637
1487740644,113,1
1487751427,142,0
1487762221,174,0
1487772980,245,0
1487783728,117,0
1487794579,215,0
1487805388,53,0
1487816131,245,578
1487826929,78,0
1487837830,31,0
1487848627,113,0
1487859405,68,0
1487870182,292,0
1487880984,162,0
1487891783,153,0
1487902528,52,513
1487924236,14,0
1487935005,14,0
1487945781,47,0
1487956581,210,0
1487967380,118,0
1487978206,104,0
1487989041,155,365
1488010646,35,0
1488021462,11,0
1488032219,107,0
1488042990,106,0
1488053780,185,0
1488064604,151,0
1488075343,53,581
1488086278,27,0
1488097020,16,0
1488107728,9,0
1488118582,145,0
1488129382,118,0
1488140182,142,0
1488150982,137,0
1488161754,38,1025
1488176266,326,0
1488187107,46,0
1488205108,207,0
1488215902,135,0
1488226688,117,0
1488237480,143,0
1488248128,69,678
1488274344,51,0
1488284465,50,0
