DateTime,Entries,UniqueIPs
1490166761,6657,6657
1490167707,6753,6753
1490168668,6857,6857
1490169718,8379,8379
1490170829,9824,9824
1490171779,10372,10372
1490172750,10497,10497
1490173704,10585,10585
1490174653,10574,10574
1490175626,10603,10603
1490176582,10598,10598
1490177562,10623,10623
1490178516,10634,10634
1490179473,10633,10633
1490180508,10627,10627
1490181620,10629,10629
1490182579,10622,10622
1490183539,10611,10611
1490184511,10611,10611
1490185454,10616,10616
1490186422,10639,10639
1490187385,10626,10626
1490188335,10625,10625
1490189302,10621,10621
1490190267,10615,10615
1490191304,10607,10607
1490192422,10636,10636
1490193393,10632,10632
1490194335,10642,10642
1490195411,10669,10669
1490196498,10659,10659
1490197461,10676,10676
1490198514,10678,10678
1490199645,10651,10651
1490200584,10621,10621
1490201541,10668,10668
1490202510,10650,10650
1490203458,10675,10675
1490204424,10673,10673
1490205387,10625,10625
1490206356,10641,10641
1490207318,10672,10672
1490208270,10683,10683
1490209334,10694,10694
1490210427,10744,10744
1490211649,10723,10723
1490212602,10673,10673
1490213554,10703,10703
1490214512,10717,10717
1490215470,10631,10631
1490217149,10667,10667
1490218109,10639,10639
1490219071,10635,10635
1490220115,10622,10622
1490221232,10628,10628
1490222185,10621,10621
1490223134,10626,10626
1490224109,10613,10613
1490225055,10608,10608
1490226020,10602,10602
1490226990,10589,10589
1490227950,10575,10575
1490228915,10561,10561
1490229869,10589,10589
1490230902,10583,10583
1490232032,10593,10593
1490232990,10588,10588
1490233943,10575,10575
1490234933,10555,10555
1490235853,10556,10556
1490236823,10538,10538
1490237792,10546,10546
1490238755,10556,10556
1490239716,10545,10545
1490240673,10524,10524
1490241706,10517,10517
1490242823,10541,10541
1490243781,10543,10543
1490244749,10539,10539
1490245703,10557,10557
1490246655,10574,10574
1490247621,10574,10574
1490248590,10568,10568
1490249560,10566,10566
1490250512,10579,10579
1490251474,10563,10563
1490252511,10550,10550
1490253634,10545,10545
1490254586,10528,10528
1490255561,10482,10482
1490256509,9006,9006
1490257458,7418,7418
1490258503,7074,7074
1490259411,6799,6799
1490260355,6749,6749
1490261317,6598,6598
1490262269,6547,6547
1490263338,6498,6498
1490264426,6380,6380
1490265393,6307,6307
1490266335,6533,6533
1490267302,6670,6670
1490268265,6768,6768
1490269220,6855,6855
1490270180,6882,6882
1490271141,6889,6889
1490272100,6884,6884
1490273052,6896,6896
1490274104,6900,6900
1490275222,6892,6892
1490276207,6899,6899
1490277157,6902,6902
1490278124,6923,6923
1490279076,6960,6960
1490280034,7017,7017
1490280987,7039,7039
1490281943,7052,7052
1490282906,7068,7068
1490283850,7108,7108
1490284918,7070,7070
1490286044,7103,7103
1490286986,7104,7104
1490287980,7118,7118
1490289175,7123,7123
1490290121,7127,7127
1490291062,7124,7124
1490292114,7125,7125
1490293216,7149,7149
1490294203,7142,7142
1490295404,7144,7144
1490296358,7156,7156
1490297319,7135,7135
1490298284,7137,7137
1490299317,7147,7147
1490300414,7141,7141
1490301398,7148,7148
1490302347,7141,7141
1490303298,7168,7168
1490304270,7170,7170
1490305224,7173,7173
1490306177,7183,7183
1490307159,7180,7180
1490308123,7170,7170
1490309067,7167,7167
1490310127,7162,7162
1490311236,7176,7176
1490312177,7166,7166
1490313153,7167,7167
1490314129,7157,7157
1490315063,7166,7166
1490316042,7182,7182
1490316993,7190,7190
1490317962,7186,7186
1490318910,7186,7186
1490319875,7174,7174
1490320913,7174,7174
1490322039,7181,7181
1490322987,7163,7163
1490323950,7169,7169
1490324907,7171,7171
1490325856,7159,7159
1490326823,7165,7165
1490327812,7153,7153
1490328750,7137,7137
1490329718,7132,7132
1490330676,7133,7133
1490331714,7145,7145
1490332832,7148,7148
1490333802,7143,7143
1490334748,7143,7143
1490335714,7129,7129
1490336666,7104,7104
1490337642,7112,7112
1490338610,7106,7106
1490339553,7087,7087
1490340516,7094,7094
1490341480,7078,7078
1490342531,7041,7041
1490343638,7073,7073
1490344580,6963,6963
1490345543,6969,6969
1490346505,6964,6964
1490347454,6948,6948
1490348425,6944,6944
1490349383,6922,6922
1490350364,6904,6904
1490351318,6879,6879
1490352268,6606,6606
1490353307,6594,6594
1490354438,6585,6585
1490355653,6541,6541
1490356597,6532,6532
1490357570,6531,6531
1490358513,6553,6553
1490359478,6562,6562
1490360511,6589,6589
1490361624,6595,6595
1490362588,6612,6612
1490363543,6580,6580
1490364503,6541,6541
1490365452,6478,6478
1490366427,6374,6374
1490367403,6210,6210
1490368372,6197,6197
1490369315,6179,6179
1490370268,6162,6162
1490371305,6185,6185
1490372426,6184,6184
1490373389,6147,6147
1490374341,6171,6171
1490375310,6183,6183
1490376255,6179,6179
1490377225,6195,6195
1490378187,6187,6187
1490379159,6174,6174
1490380115,6190,6190
1490381066,6183,6183
1490382125,6193,6193
1490383220,6200,6200
1490384184,6186,6186
1490385144,6191,6191
1490386095,6177,6177
1490387061,6182,6182
1490388023,6169,6169
1490388975,6151,6151
1490389951,6164,6164
1490390894,6153,6153
1490391852,6195,6195
1490392899,6234,6234
1490394020,6250,6250
1490395002,6252,6252
1490395987,6242,6242
1490396925,6253,6253
1490397866,6251,6251
1490398829,6242,6242
1490399808,6229,6229
1490400764,6258,6258
1490401708,6244,6244
1490402664,6242,6242
1490403726,6222,6222
1490404823,6231,6231
1490405798,6229,6229
1490406759,6230,6230
1490407703,6226,6226
1490408667,6233,6233
1490409615,6231,6231
1490410581,6197,6197
1490411554,6196,6196
1490412499,6177,6177
1490413449,6165,6165
1490414505,6146,6146
1490415625,6152,6152
1490416598,6133,6133
1490417539,6123,6123
1490418503,6109,6109
1490419470,6097,6097
1490420417,6095,6095
1490421385,6076,6076
1490422368,6139,6139
1490423315,6238,6238
1490424264,6255,6255
1490425315,6275,6275
1490426412,6284,6284
1490427383,6282,6282
1490428338,6308,6308
1490429304,6293,6293
1490430265,6305,6305
1490431213,6315,6315
1490432183,6298,6298
1490433139,6316,6316
1490434124,6302,6302
1490435054,6305,6305
1490436092,6286,6286
1490436995,6285,6285
1490437961,6288,6288
1490438917,6286,6286
1490439866,6253,6253
1490440840,6245,6245
1490441812,6262,6262
1490442752,6262,6262
1490443706,6280,6280
1490444663,6276,6276
1490445615,6270,6270
1490446580,6243,6243
1490447564,6244,6244
1490448506,6238,6238
1490449462,6234,6234
1490450511,6260,6260
1490451618,6258,6258
1490452603,6235,6235
1490453577,6235,6235
1490454498,6221,6221
1490455477,6219,6219
1490456417,6238,6238
1490457385,6221,6221
1490458344,6235,6235
1490459301,6274,6274
1490460274,6266,6266
1490461314,6273,6273
1490462418,6267,6267
1490463429,6254,6254
1490464357,6265,6265
1490465297,6246,6246
1490466265,6243,6243
1490467221,6230,6230
1490468178,6225,6225
1490469154,6218,6218
1490470097,6228,6228
1490471058,6215,6215
1490472285,6232,6232
1490473240,6226,6226
1490474195,6230,6230
1490475166,6229,6229
1490476120,6214,6214
1490477066,6231,6231
1490478035,6223,6223
1490478998,6200,6200
1490479956,6196,6196
1490480916,6192,6192
1490481872,6181,6181
1490482919,6174,6174
1490484031,6176,6176
1490484976,6163,6163
1490485948,6165,6165
1490486910,6164,6164
1490487854,6155,6155
1490488818,6164,6164
