DateTime,AddedIPs,RemovedIPs
1490153059,20,17
1490154019,34,11
1490154995,29,16
1490155958,27,14
1490156912,20,22
1490157870,19,11
1490158939,17,19
1490160023,22,18
1490161000,12,13
1490161952,4,19
1490162904,7,12
1490163861,10,11
1490164830,35,28
1490165788,44,14
1490166761,34,26
1490167707,116,30
1490168668,149,23
1490169718,1488,44
1490170829,1398,31
1490171779,577,42
1490172750,121,30
1490173704,68,20
1490174653,34,15
1490175626,31,13
1490176582,20,30
1490177562,38,12
1490178516,22,15
1490179473,27,17
1490180508,20,16
1490181620,18,17
1490182579,13,14
1490183539,12,13
1490184511,27,15
1490185454,28,17
1490186422,30,17
1490187385,28,11
1490188335,24,17
1490189302,19,23
1490190267,25,14
1490191304,15,21
1490192422,35,20
1490193393,17,24
1490194335,21,13
1490195411,17,20
1490196498,21,15
1490197461,17,26
1490198514,17,22
1490199645,19,15
1490200584,10,22
1490201541,26,13
1490202510,23,25
1490203458,18,21
1490204424,21,20
1490205387,11,30
1490206356,23,19
1490207318,25,17
1490208270,28,33
1490209334,20,22
1490210427,32,23
1490211649,22,26
1490212602,12,10
1490213554,24,8
1490214512,34,21
1490215470,7,11
1490217149,41,36
1490218109,9,1
1490219071,19,43
1490220115,17,4
1490221232,25,16
1490222185,12,11
1490223134,21,19
1490224109,21,20
1490225055,9,1
1490226020,21,23
1490226990,13,43
1490227950,17,8
1490228915,14,3
1490229869,30,12
1490230902,19,5
1490232032,25,35
1490232990,15,0
1490233943,17,30
1490234933,9,12
1490235853,10,3
1490236823,17,17
1490237792,28,11
1490238755,25,22
1490239716,23,32
1490240673,9,12
1490241706,15,14
1490242823,35,16
1490243781,14,26
1490244749,24,15
1490245703,15,0
1490246655,23,22
1490247621,16,21
1490248590,8,12
1490249560,22,23
1490250512,22,23
1490251474,24,47
1490252511,38,47
1490253634,29,31
1490254586,16,31
1490255561,26,22
1490256509,17,25
1490257458,20,10
1490258503,31,24
1490259411,13,16
1490260355,31,9
1490261317,22,29
1490262269,12,8
1490263338,10,29
1490264426,17,14
1490265393,11,25
1490266335,56,26
1490267302,47,32
1490268265,44,32
1490269220,44,24
1490270180,19,9
1490271141,26,22
1490272100,19,11
1490273052,15,24
1490274104,14,12
1490275222,15,19
1490276207,12,28
1490277157,13,9
1490278124,17,14
1490279076,16,32
1490280034,25,9
1490280987,13,18
1490281943,17,30
1490282906,20,14
1490283850,13,16
1490284918,15,12
1490286044,12,15
1490286986,22,12
1490287980,20,10
1490289175,20,30
1490290121,25,17
1490291062,15,0
1490292114,20,41
1490293216,35,20
1490294203,17,14
1490295404,20,39
1490296358,21,33
1490297319,20,20
1490298284,18,24
1490299317,28,18
1490300414,19,30
1490301398,20,26
1490302347,16,11
1490303298,12,15
1490304270,18,20
1490305224,29,13
1490306177,19,18
1490307159,21,5
1490308123,12,11
1490309067,18,19
1490310127,13,18
1490311236,26,12
1490312177,16,36
1490313153,11,16
1490314129,11,24
1490315063,21,16
1490316042,18,15
1490316993,16,24
1490317962,16,28
1490318910,16,14
1490319875,16,22
1490320913,13,20
1490322039,20,11
1490322987,11,21
1490323950,14,13
1490324907,23,27
1490325856,9,8
1490326823,18,14
1490327812,8,8
1490328750,28,12
1490329718,8,12
1490330676,17,17
1490331714,19,27
1490332832,21,17
1490333802,7,16
1490334748,15,7
1490335714,17,15
1490336666,11,10
1490337642,16,18
1490338610,16,16
1490339553,19,20
1490340516,11,10
1490341480,13,16
1490342531,22,18
1490343638,32,10
1490344580,6,9
1490345543,21,15
1490346505,20,20
1490347454,12,5
1490348425,16,21
1490349383,9,15
1490350364,15,17
1490351318,8,10
1490352268,13,18
1490353307,20,10
1490354438,16,13
1490355653,18,21
1490356597,12,16
1490357570,15,11
1490358513,17,1
1490359478,19,28
1490360511,19,1
1490361624,16,19
1490362588,13,27
1490363543,24,2
1490364503,23,16
1490365452,13,17
1490366427,25,15
1490367403,17,30
1490368372,18,13
1490369315,10,23
1490370268,11,13
1490371305,13,20
1490372426,17,22
1490373389,13,12
1490374341,10,16
1490375310,20,23
1490376255,13,11
1490377225,19,19
1490378187,9,11
1490379159,19,18
1490380115,23,40
1490381066,19,3
1490382125,26,24
1490383220,22,35
1490384184,11,0
1490385144,17,47
1490386095,14,3
1490387061,21,18
1490388023,19,21
1490388975,9,31
1490389951,15,30
1490390894,14,10
1490391852,11,17
1490392899,21,49
1490394020,23,14
1490395002,17,48
1490395987,14,25
1490396925,22,23
1490397866,11,19
1490398829,10,6
1490399808,9,18
1490400764,8,14
1490401708,9,5
1490402664,11,13
1490403726,19,37
1490404823,20,13
1490405798,16,17
1490406759,15,25
1490407703,24,24
1490408667,16,15
1490409615,16,16
1490410581,9,23
1490411554,18,14
1490412499,16,36
1490413449,9,10
1490414505,8,18
1490415625,13,20
1490416598,7,17
1490417539,22,12
1490418503,21,18
1490419470,5,7
1490420417,12,21
1490421385,11,16
1490422368,15,22
1490423315,22,38
1490424264,13,29
1490425315,28,12
1490426412,24,9
1490427383,11,19
1490428338,25,21
1490429304,10,19
1490430265,12,10
1490431213,20,14
1490432183,12,8
1490433139,17,13
1490434124,5,6
1490435054,12,7
1490436092,12,17
1490436995,16,20
1490437961,25,12
1490438917,15,15
1490439866,27,32
1490440840,14,1
1490441812,15,29
1490442752,13,3
1490443706,19,41
1490444663,8,23
1490445615,8,0
1490446580,10,18
1490447564,16,29
1490448506,10,16
1490449462,14,15
1490450511,25,12
1490451618,11,17
1490452603,11,16
1490453577,9,21
1490454498,22,32
1490455477,15,22
1490456417,19,20
1490457385,8,31
1490458344,22,22
1490459301,33,63
1490460274,19,26
1490461314,24,11
1490462418,18,15
1490463429,14,17
1490464357,9,19
1490465297,6,21
1490466265,25,11
1490467221,18,20
1490468178,11,23
1490469154,20,30
1490470097,18,10
1490471058,14,25
1490472285,28,17
1490473240,27,16
1490474195,15,17
1490475166,14,11
1490476120,19,17
1490477066,21,7
1490478035,15,16
1490478998,12,15
1490479956,22,19
1490480916,13,23
1490481872,12,20
1490482919,14,11
1490484031,15,13
1490484976,11,14
1490485948,8,7
1490486910,22,8
1490487854,13,19
1490488818,18,19
1490489791,10,15
1490490750,25,13
1490491727,8,17
1490492673,9,8
1490493703,14,8
1490494846,25,24
1490495797,7,22
1490496766,15,17
1490497704,14,0
1490498662,9,22
1490499634,16,41
1490500601,7,18
1490501558,20,1
1490502522,19,25
1490503463,9,1
1490504525,16,41
1490505616,18,3
1490506637,10,27
1490507547,4,19
1490508510,9,15
1490509462,15,13
1490510428,15,10
1490511384,16,16
1490512361,20,22
1490513305,9,4
1490514278,10,12
1490515316,26,20
1490516428,24,13
1490517390,10,14
1490518347,22,16
1490519305,31,16
1490520258,17,10
1490521217,12,19
1490522191,6,27
1490523152,26,19
1490524116,20,27
1490525073,9,15
1490526105,15,17
1490527227,17,21
1490528187,11,7
1490529144,6,18
1490530128,10,28
1490531067,11,15
1490532036,21,9
1490533001,29,20
1490533960,30,25
1490534908,22,24
1490535877,18,7
1490536915,12,9
1490538033,18,11
1490538984,8,7
1490539943,31,26
1490540907,25,33
1490541860,14,14
1490542823,16,17
1490543813,17,25
1490544749,12,18
1490545706,21,46
1490546652,25,57
1490547698,20,1
1490548821,32,27
1490549810,11,2
1490550779,12,20
1490551724,14,26
1490552667,33,5
1490553630,21,22
1490554602,23,19
1490555557,12,0
1490556544,19,24
1490557472,7,1
1490558498,14,8
1490559630,27,21
1490560587,23,15
1490561537,14,26
1490562510,17,27
1490563454,10,2
1490564422,17,16
1490565387,9,26
1490566354,18,19
1490567315,29,13
1490568271,17,14
1490569297,11,0
1490570432,23,41
1490571397,8,16
1490572365,12,16
1490573328,27,17
1490574282,32,5
1490575233,34,26
1490576200,18,6
1490577166,23,19
1490578116,16,14
1490579064,22,11
1490580141,25,29
1490581225,23,3
1490582194,8,19
1490583144,16,13
1490584097,14,1
1490585063,10,12
1490586018,7,12
1490586983,7,17
1490587951,11,0
1490588899,19,15
1490589852,19,9
1490590913,23,31
1490592024,16,1
1490592998,15,22
1490593943,15,27
1490594916,17,18
1490595874,11,19
1490596847,10,15
1490597786,18,19
1490598762,14,18
1490599708,12,14
1490600666,25,17
1490601718,15,0
1490602820,28,11
1490603787,28,37
1490604745,16,0
1490605696,22,9
1490606662,14,13
1490607625,22,22
1490608574,11,6
1490609552,13,16
1490610494,12,18
1490611449,20,20
1490612509,19,12
1490613631,15,25
1490614592,12,13
1490615549,10,2
1490616504,13,10
1490617469,15,15
1490618416,28,12
1490619386,20,12
1490620362,10,16
1490621314,15,19
1490622263,17,9
1490623346,24,15
1490624432,35,16
1490625395,19,15
1490626345,28,13
1490627303,19,19
1490628271,17,14
1490629226,17,11
1490630197,17,15
1490631157,21,19
1490632111,20,17
1490633061,13,16
1490634298,31,21
1490635228,22,18
1490636212,9,21
1490637157,17,6
1490638119,20,14
1490639055,11,19
1490640029,12,24
1490640985,18,27
1490641964,17,14
1490642919,28,42
1490643866,13,9
1490644913,16,29
