DateTime,Entries,UniqueIPs
1490148116,2506,2506
1490149240,2505,2505
1490150199,2501,2501
1490151152,2505,2505
1490152112,2505,2505
1490153059,2501,2501
1490154019,2501,2501
1490154995,2498,2498
1490155958,2502,2502
1490156912,2507,2507
1490157870,2508,2508
1490158939,2501,2501
1490160023,2500,2500
1490161000,2500,2500
1490161952,2495,2495
1490162904,2497,2497
1490163861,2493,2493
1490164830,2491,2491
1490165788,2480,2480
1490166761,2484,2484
1490167707,2476,2476
1490168668,2471,2471
1490169718,2432,2432
1490170829,2406,2406
1490171779,2447,2447
1490172750,2441,2441
1490173704,2444,2444
1490174653,2450,2450
1490175626,2448,2448
1490176582,2449,2449
1490177562,2454,2454
1490178516,2452,2452
1490179473,2452,2452
1490180508,2451,2451
1490181620,2446,2446
1490182579,2447,2447
1490183539,2456,2456
1490184511,2464,2464
1490185454,2482,2482
1490186422,2476,2476
1490187385,2474,2474
1490188335,2473,2473
1490189302,2477,2477
1490190267,2489,2489
1490191304,2493,2493
1490192422,2502,2502
1490193393,2500,2500
1490194335,2506,2506
1490195411,2508,2508
1490196498,2508,2508
1490197461,2510,2510
1490198514,2512,2512
1490199645,2515,2515
1490200584,2516,2516
1490201541,2512,2512
1490202510,2508,2508
1490203458,2501,2501
1490204424,2500,2500
1490205387,2493,2493
1490206356,2487,2487
1490207318,2491,2491
1490208270,2490,2490
1490209334,2489,2489
1490210427,2494,2494
1490211649,2489,2489
1490212602,2485,2485
1490213554,2490,2490
1490214512,2499,2499
1490215470,2496,2496
1490217149,2499,2499
1490218109,2499,2499
1490219071,2504,2504
1490220115,2505,2505
1490221232,2509,2509
1490222185,2500,2500
1490223134,2496,2496
1490224109,2495,2495
1490225055,2493,2493
1490226020,2493,2493
1490226990,2490,2490
1490227950,2490,2490
1490228915,2494,2494
1490229869,2503,2503
1490230902,2507,2507
1490232032,2513,2513
1490232990,2518,2518
1490233943,2518,2518
1490234933,2518,2518
1490235853,2521,2521
1490236823,2522,2522
1490237792,2526,2526
1490238755,2529,2529
1490239716,2534,2534
1490240673,2538,2538
1490241706,2537,2537
1490242823,2539,2539
1490243781,2541,2541
1490244749,2549,2549
1490245703,2549,2549
1490246655,2556,2556
1490247621,2564,2564
1490248590,2567,2567
1490249560,2577,2577
1490250512,2587,2587
1490251474,2592,2592
1490252511,2597,2597
1490253634,2608,2608
1490254586,2613,2613
1490255561,2617,2617
1490256509,2622,2622
1490257458,2632,2632
1490258503,2631,2631
1490259411,2634,2634
1490260355,2638,2638
1490261317,2631,2631
1490262269,2625,2625
1490263338,2614,2614
1490264426,2609,2609
1490265393,2604,2604
1490266335,2600,2600
1490267302,2622,2622
1490268265,2626,2626
1490269220,2638,2638
1490270180,2641,2641
1490271141,2636,2636
1490272100,2632,2632
1490273052,2637,2637
1490274104,2629,2629
1490275222,2633,2633
1490276207,2630,2630
1490277157,2629,2629
1490278124,2621,2621
1490279076,2623,2623
1490280034,2623,2623
1490280987,2625,2625
1490281943,2628,2628
1490282906,2626,2626
1490283850,2622,2622
1490284918,2620,2620
1490286044,2618,2618
1490286986,2623,2623
1490287980,2632,2632
1490289175,2636,2636
1490290121,2645,2645
1490291062,2645,2645
1490292114,2653,2653
1490293216,2663,2663
1490294203,2669,2669
1490295404,2658,2658
1490296358,2654,2654
1490297319,2650,2650
1490298284,2654,2654
1490299317,2664,2664
1490300414,2656,2656
1490301398,2656,2656
1490302347,2652,2652
1490303298,2649,2649
1490304270,2656,2656
1490305224,2660,2660
1490306177,2664,2664
1490307159,2663,2663
1490308123,2662,2662
1490309067,2669,2669
1490310127,2665,2665
1490311236,2669,2669
1490312177,2669,2669
1490313153,2667,2667
1490314129,2661,2661
1490315063,2665,2665
1490316042,2651,2651
1490316993,2632,2632
1490317962,2628,2628
1490318910,2628,2628
1490319875,2629,2629
1490320913,2634,2634
1490322039,2632,2632
1490322987,2632,2632
1490323950,2617,2617
1490324907,2614,2614
1490325856,2612,2612
1490326823,2608,2608
1490327812,2608,2608
1490328750,2607,2607
1490329718,2601,2601
1490330676,2594,2594
1490331714,2594,2594
1490332832,2588,2588
1490333802,2585,2585
1490334748,2591,2591
1490335714,2592,2592
1490336666,2595,2595
1490337642,2591,2591
1490338610,2594,2594
1490339553,2584,2584
1490340516,2581,2581
1490341480,2577,2577
1490342531,2582,2582
1490343638,2583,2583
1490344580,2581,2581
1490345543,2578,2578
1490346505,2571,2571
1490347454,2570,2570
1490348425,2567,2567
1490349383,2568,2568
1490350364,2572,2572
1490351318,2568,2568
1490352268,2566,2566
1490353307,2557,2557
1490354438,2547,2547
1490355653,2546,2546
1490356597,2537,2537
1490357570,2537,2537
1490358513,2537,2537
1490359478,2539,2539
1490360511,2538,2538
1490361624,2544,2544
1490362588,2541,2541
1490363543,2548,2548
1490364503,2556,2556
1490365452,2555,2555
1490366427,2562,2562
1490367403,2561,2561
1490368372,2561,2561
1490369315,2559,2559
1490370268,2559,2559
1490371305,2563,2563
1490372426,2564,2564
1490373389,2564,2564
1490374341,2557,2557
1490375310,2551,2551
1490376255,2544,2544
1490377225,2541,2541
1490378187,2542,2542
1490379159,2533,2533
1490380115,2521,2521
1490381066,2509,2509
1490382125,2505,2505
1490383220,2499,2499
1490384184,2495,2495
1490385144,2489,2489
1490386095,2483,2483
1490387061,2475,2475
1490388023,2472,2472
1490388975,2470,2470
1490389951,2464,2464
1490390894,2468,2468
1490391852,2461,2461
1490392899,2463,2463
1490394020,2460,2460
1490395002,2460,2460
1490395987,2463,2463
1490396925,2460,2460
1490397866,2458,2458
1490398829,2458,2458
1490399808,2460,2460
1490400764,2455,2455
1490401708,2449,2449
1490402664,2449,2449
1490403726,2449,2449
1490404823,2441,2441
1490405798,2446,2446
1490406759,2449,2449
1490407703,2440,2440
1490408667,2437,2437
1490409615,2434,2434
1490410581,2434,2434
1490411554,2433,2433
1490412499,2431,2431
1490413449,2424,2424
1490414505,2422,2422
1490415625,2421,2421
1490416598,2421,2421
1490417539,2424,2424
1490418503,2424,2424
1490419470,2420,2420
1490420417,2420,2420
1490421385,2419,2419
1490422368,2417,2417
1490423315,2413,2413
1490424264,2405,2405
1490425315,2403,2403
1490426412,2404,2404
1490427383,2400,2400
1490428338,2405,2405
1490429304,2406,2406
1490430265,2407,2407
1490431213,2407,2407
1490432183,2406,2406
1490433139,2412,2412
1490434124,2412,2412
1490435054,2413,2413
1490436092,2414,2414
1490436995,2415,2415
1490437961,2414,2414
1490438917,2413,2413
1490439866,2416,2416
1490440840,2416,2416
1490441812,2416,2416
1490442752,2416,2416
1490443706,2412,2412
1490444663,2407,2407
1490445615,2400,2400
1490446580,2402,2402
1490447564,2395,2395
1490448506,2390,2390
1490449462,2388,2388
1490450511,2383,2383
1490451618,2379,2379
1490452603,2381,2381
1490453577,2373,2373
1490454498,2376,2376
1490455477,2378,2378
1490456417,2387,2387
1490457385,2387,2387
1490458344,2385,2385
1490459301,2381,2381
1490460274,2379,2379
1490461314,2375,2375
1490462418,2381,2381
1490463429,2381,2381
1490464357,2377,2377
1490465297,2376,2376
1490466265,2375,2375
1490467221,2376,2376
1490468178,2371,2371
1490469154,2374,2374
1490470097,2374,2374
1490471058,2370,2370
1490472285,2369,2369
1490473240,2376,2376
1490474195,2383,2383
1490475166,2386,2386
1490476120,2387,2387
1490477066,2390,2390
1490478035,2393,2393
1490478998,2391,2391
1490479956,2392,2392
1490480916,2389,2389
1490481872,2386,2386
1490482919,2380,2380
1490484031,2383,2383
1490484976,2385,2385
1490485948,2385,2385
1490486910,2397,2397
1490487854,2396,2396
1490488818,2399,2399
1490489791,2399,2399
1490490750,2404,2404
1490491727,2404,2404
1490492673,2399,2399
1490493703,2407,2407
1490494846,2410,2410
1490495797,2408,2408
1490496766,2412,2412
1490497704,2419,2419
1490498662,2421,2421
1490499634,2426,2426
1490500601,2426,2426
1490501558,2439,2439
1490502522,2440,2440
1490503463,2442,2442
1490504525,2444,2444
1490505616,2453,2453
1490506637,2452,2452
1490507547,2450,2450
1490508510,2449,2449
1490509462,2459,2459
1490510428,2463,2463
1490511384,2468,2468
1490512361,2472,2472
1490513305,2469,2469
1490514278,2469,2469
1490515316,2469,2469
1490516428,2467,2467
1490517390,2462,2462
1490518347,2468,2468
1490519305,2465,2465
1490520258,2466,2466
1490521217,2468,2468
1490522191,2468,2468
1490523152,2474,2474
1490524116,2478,2478
1490525073,2482,2482
1490526105,2481,2481
1490527227,2479,2479
1490528187,2477,2477
1490529144,2473,2473
1490530128,2470,2470
1490531067,2468,2468
1490532036,2471,2471
1490533001,2478,2478
1490533960,2485,2485
1490534908,2489,2489
1490535877,2490,2490
1490536915,2488,2488
1490538033,2488,2488
1490538984,2485,2485
1490539943,2487,2487
1490540907,2485,2485
1490541860,2481,2481
1490542823,2484,2484
1490543813,2484,2484
1490544749,2482,2482
1490545706,2485,2485
1490546652,2485,2485
1490547698,2493,2493
1490548821,2496,2496
1490549810,2492,2492
1490550779,2491,2491
1490551724,2493,2493
1490552667,2498,2498
1490553630,2501,2501
1490554602,2495,2495
1490555557,2487,2487
1490556544,2483,2483
1490557472,2482,2482
1490558498,2488,2488
1490559630,2483,2483
1490560587,2480,2480
1490561537,2481,2481
1490562510,2486,2486
1490563454,2486,2486
1490564422,2488,2488
1490565387,2484,2484
1490566354,2482,2482
1490567315,2487,2487
1490568271,2481,2481
1490569297,2480,2480
1490570432,2480,2480
1490571397,2476,2476
1490572365,2470,2470
1490573328,2457,2457
1490574282,2449,2449
1490575233,2451,2451
1490576200,2451,2451
1490577166,2446,2446
1490578116,2446,2446
1490579064,2450,2450
1490580141,2457,2457
1490581225,2452,2452
1490582194,2447,2447
1490583144,2447,2447
1490584097,2447,2447
1490585063,2448,2448
1490586018,2444,2444
1490586983,2445,2445
1490587951,2436,2436
1490588899,2433,2433
1490589852,2437,2437
1490590913,2440,2440
