DateTime,Entries,UniqueIPs
1490163854,5274,5498
1490164828,5265,5489
1490165786,5258,5482
1490166759,5256,5484
1490167705,5249,5477
1490168666,5244,5472
1490169716,5238,5465
1490170827,5234,5461
1490171778,5230,5461
1490172748,5236,5467
1490173702,5238,5474
1490174650,5238,5476
1490175624,5239,5479
1490176581,5235,5475
1490177560,5241,5482
1490178514,5236,5477
1490179471,5237,5480
1490180506,5238,5481
1490181618,5237,5480
1490182577,5237,5481
1490183537,5241,5486
1490184509,5244,5490
1490185451,5256,5507
1490186420,5252,5506
1490187382,5251,5505
1490188332,5252,5506
1490189300,5246,5500
1490190264,5252,5512
1490191296,5255,5514
1490192420,5267,5526
1490193391,5259,5518
1490194332,5261,5524
1490195409,5255,5520
1490196496,5257,5522
1490197459,5249,5515
1490198512,5250,5517
1490199643,5249,5517
1490200582,5247,5515
1490201539,5246,5519
1490202508,5243,5516
1490203455,5239,5518
1490204422,5237,5519
1490205385,5229,5514
1490206354,5234,5520
1490207315,5231,5517
1490208267,5234,5520
1490209332,5235,5528
1490210424,5237,5532
1490211647,5238,5537
1490212600,5238,5539
1490213551,5247,5553
1490214510,5256,5570
1490215468,5256,5572
1490217147,5254,5571
1490218107,5260,5577
1490219070,5250,5567
1490220113,5257,5575
1490221230,5260,5578
1490222183,5256,5574
1490223131,5256,5574
1490224107,5255,5573
1490225053,5259,5577
1490226018,5257,5575
1490226987,5254,5572
1490227948,5256,5577
1490228913,5260,5582
1490229867,5274,5596
1490230900,5281,5603
1490232030,5270,5593
1490232987,5277,5600
1490233940,5264,5586
1490234931,5255,5577
1490235851,5261,5583
1490236820,5262,5583
1490237790,5265,5586
1490238753,5262,5583
1490239714,5250,5571
1490240671,5248,5569
1490241704,5253,5574
1490242821,5262,5583
1490243779,5246,5567
1490244747,5250,5572
1490245701,5252,5574
1490246653,5255,5577
1490247619,5254,5576
1490248588,5252,5574
1490249558,5259,5582
1490250510,5261,5584
1490251471,5252,5573
1490252509,5255,5575
1490253632,5249,5569
1490254584,5235,5555
1490255558,5226,5546
1490256508,5219,5538
1490257456,5221,5539
1490258501,5215,5533
1490259409,5206,5523
1490260353,5215,5532
1490261315,5205,5522
1490262267,5210,5527
1490263336,5197,5514
1490264424,5194,5511
1490265391,5183,5500
1490266333,5191,5508
1490267300,5190,5517
1490268263,5186,5512
1490269218,5198,5525
1490270178,5202,5529
1490271139,5198,5525
1490272098,5201,5528
1490273051,5196,5523
1490274102,5196,5523
1490275220,5193,5520
1490276205,5192,5519
1490277154,5193,5520
1490278122,5187,5514
1490279075,5175,5502
1490280032,5181,5508
1490280985,5174,5501
1490281940,5157,5484
1490282905,5158,5485
1490283849,5159,5483
1490284916,5164,5488
1490286042,5162,5486
1490286984,5168,5493
1490287978,5175,5500
1490289172,5169,5494
1490290119,5173,5498
1490291060,5179,5504
1490292112,5163,5488
1490293214,5177,5501
1490294201,5179,5503
1490295402,5156,5481
1490296356,5147,5472
1490297317,5144,5469
1490298282,5138,5463
1490299315,5144,5469
1490300412,5143,5469
1490301395,5137,5462
1490302345,5137,5462
1490303295,5139,5464
1490304268,5144,5469
1490305222,5145,5470
1490306175,5141,5465
1490307157,5145,5469
1490308121,5141,5465
1490309064,5142,5465
1490310125,5137,5460
1490311234,5143,5466
1490312174,5134,5457
1490313151,5132,5455
1490314127,5119,5442
1490315060,5123,5446
1490316040,5120,5441
1490316991,5109,5430
1490317960,5095,5415
1490318908,5097,5417
1490319873,5100,5419
1490320911,5094,5414
1490322037,5096,5416
1490322985,5086,5406
1490323949,5082,5403
1490324904,5081,5402
1490325853,5085,5406
1490326821,5084,5405
1490327810,5081,5402
1490328748,5092,5413
1490329716,5086,5407
1490330673,5087,5408
1490331712,5085,5406
1490332830,5089,5410
1490333800,5084,5405
1490334745,5087,5409
1490335712,5089,5411
1490336664,5092,5414
1490337639,5084,5405
1490338608,5076,5397
1490339551,5072,5393
1490340514,5069,5390
1490341477,5069,5390
1490342529,5064,5385
1490343636,5071,5392
1490344577,5068,5389
1490345541,5068,5389
1490346503,5067,5388
1490347452,5070,5390
1490348423,5066,5384
1490349381,5063,5381
1490350361,5056,5373
1490351316,5053,5370
1490352266,5043,5360
1490353305,5042,5359
1490354436,5042,5359
1490355650,5037,5353
1490356595,5031,5346
1490357567,5033,5348
1490358510,5039,5354
1490359476,5031,5346
1490360509,5040,5355
1490361622,5038,5352
1490362586,5043,5357
1490363541,5052,5366
1490364501,5055,5369
1490365449,5049,5363
1490366425,5059,5373
1490367401,5050,5364
1490368370,5051,5365
1490369312,5043,5357
1490370266,5042,5356
1490371303,5044,5358
1490372424,5046,5359
1490373387,5046,5359
1490374339,5042,5355
1490375308,5029,5342
1490376252,5033,5346
1490377222,5032,5345
1490378185,5033,5346
1490379157,5026,5340
1490380113,5028,5327
1490381063,5036,5335
1490382123,5032,5324
1490383218,5028,5312
1490384182,5033,5317
1490385141,5011,5292
1490386093,5014,5295
1490387059,5007,5288
1490388021,5007,5287
1490388973,5003,5283
1490389949,4987,5266
1490390892,4986,5265
1490391849,4981,5260
1490392897,4975,5254
1490394018,4980,5259
1490395000,4981,5260
1490395985,4980,5259
1490396923,4976,5255
1490397864,4975,5254
1490398827,4977,5256
1490399806,4970,5249
1490400761,4965,5244
1490401705,4967,5246
1490402662,4972,5251
1490403724,4961,5240
1490404820,4961,5240
1490405795,4961,5240
1490406756,4958,5236
1490407701,4954,5232
1490408664,4957,5235
