DateTime,AddedIPs,RemovedIPs
1490148116,9,15
1490149240,27,32
1490150199,8,44
1490151152,23,26
1490152112,6,12
1490153059,12,3
1490154019,28,4
1490154995,27,5
1490155958,19,5
1490156912,14,6
1490157870,12,12
1490158939,14,2
1490160023,19,9
1490161000,10,7
1490161952,2,17
1490162904,5,6
1490163861,10,6
1490164830,40,12
1490165788,46,5
1490166761,26,8
1490167707,126,17
1490168668,159,12
1490169718,1656,20
1490170829,1565,16
1490171779,605,13
1490172750,117,14
1490173704,58,10
1490174653,26,5
1490175626,25,2
1490176582,11,20
1490177562,31,6
1490178516,17,5
1490179473,18,9
1490180508,14,9
1490181620,11,15
1490182579,8,7
1490183539,4,9
1490184511,22,8
1490185454,9,11
1490186422,25,7
1490187385,22,6
1490188335,19,15
1490189302,12,15
1490190267,5,8
1490191304,5,17
1490192422,21,14
1490193393,15,10
1490194335,11,5
1490195411,16,7
1490196498,16,8
1490197461,10,16
1490198514,16,15
1490199645,18,6
1490200584,8,16
1490201541,23,2
1490202510,19,20
1490203458,15,10
1490204424,13,9
1490205387,8,22
1490206356,16,18
1490207318,18,7
1490208270,15,25
1490209334,8,5
1490210427,22,14
1490211649,13,18
1490212602,5,13
1490213554,18,0
1490214512,21,15
1490215470,5,7
1490217149,32,15
1490218109,4,0
1490219071,6,27
1490220115,14,0
1490221232,13,5
1490222185,10,8
1490223134,16,10
1490224109,11,16
1490225055,6,0
1490226020,11,17
1490226990,7,44
1490227950,13,3
1490228915,12,0
1490229869,10,14
1490230902,17,0
1490232032,13,14
1490232990,8,0
1490233943,14,12
1490234933,10,3
1490235853,7,0
1490236823,10,6
1490237792,19,5
1490238755,17,8
1490239716,17,12
1490240673,7,0
1490241706,9,15
1490242823,19,5
1490243781,8,4
1490244749,10,8
1490245703,13,0
1490246655,6,8
1490247621,6,12
1490248590,3,7
1490249560,13,21
1490250512,12,16
1490251474,8,42
1490252511,29,36
1490253634,14,9
1490254586,12,11
1490255561,23,9
1490256509,14,10
1490257458,9,3
1490258503,16,6
1490259411,5,1
1490260355,16,1
1490261317,20,12
