DateTime,Entries,UniqueIPs
1490171779,16555,18211
1490172750,16648,18314
1490173704,16695,18362
1490174653,16717,18383
1490175626,16737,18406
1490176582,16729,18397
1490177562,16752,18422
1490178516,16762,18434
1490179473,16770,18443
1490180508,16774,18448
1490181620,16774,18444
1490182579,16771,18445
1490183539,16766,18440
1490184511,16777,18454
1490185454,16775,18452
1490186422,16791,18470
1490187385,16808,18486
1490188335,16813,18490
1490189302,16812,18487
1490190267,16812,18484
1490191304,16803,18472
1490192422,16808,18479
1490193393,16811,18484
1490194335,16817,18490
1490195411,16823,18499
1490196498,16827,18507
1490197461,16825,18501
1490198514,16822,18502
1490199645,16831,18514
1490200584,16821,18506
1490201541,16837,18527
1490202510,16838,18526
1490203458,16841,18531
1490204424,16846,18535
1490205387,16833,18521
1490206356,16833,18519
1490207318,16844,18530
1490208270,16837,18520
1490209334,16838,18523
1490210427,16845,18531
1490211649,16840,18526
1490212602,16839,18518
1490213554,16851,18536
1490214512,16855,18542
1490215470,16851,18540
1490217149,16863,18557
1490218109,16866,18561
1490219071,16848,18540
1490220115,16857,18554
1490221232,16864,18562
1490222185,16867,18564
1490223134,16870,18570
1490224109,16867,18565
1490225055,16872,18571
1490226020,16869,18565
1490226990,16837,18528
1490227950,16845,18538
1490228915,16855,18550
1490229869,16856,18546
1490230902,16868,18563
1490232032,16868,18562
1490232990,16876,18570
1490233943,16876,18572
1490234933,16882,18579
1490235853,16884,18586
1490236823,16885,18590
1490237792,16900,18604
1490238755,16907,18613
1490239716,16913,18618
1490240673,16916,18625
1490241706,16911,18619
1490242823,16923,18633
1490243781,16927,18637
1490244749,16931,18639
1490245703,16944,18652
1490246655,16942,18650
1490247621,16937,18644
1490248590,16934,18640
1490249560,16927,18632
1490250512,16923,18628
1490251474,16898,18594
1490252511,16887,18587
1490253634,16891,18592
1490254586,16892,18593
1490255561,16905,18607
1490256509,16907,18611
1490257458,16913,18617
1490258503,16924,18627
1490259411,16928,18631
1490260355,16942,18646
1490261317,16944,18654
1490262269,16943,18653
1490263338,16937,18649
1490264426,16941,18650
1490265393,16938,18649
1490266335,16962,18693
1490267302,16990,18738
1490268265,17010,18766
1490269220,17020,18787
1490270180,17027,18793
1490271141,17034,18799
1490272100,17039,18796
1490273052,17035,18792
1490274104,17034,18788
1490275222,17032,18785
1490276207,17020,18776
1490277157,17024,18779
1490278124,17031,18786
1490279076,17024,18774
1490280034,17034,18784
1490280987,17036,18784
1490281943,17034,18779
1490282906,17042,18787
1490283850,17038,18786
1490284918,17036,18784
1490286044,17031,18775
1490286986,17035,18778
1490287980,17041,18787
1490289175,17037,18783
1490290121,17041,18787
1490291062,17050,18796
1490292114,17043,18790
1490293216,17040,18790
1490294203,17041,18791
1490295404,17046,18797
1490296358,17041,18792
1490297319,17046,18800
1490298284,17043,18796
1490299317,17046,18797
1490300414,17036,18787
1490301398,17035,18790
1490302347,17038,18792
1490303298,17033,18789
1490304270,17028,18786
1490305224,17037,18791
1490306177,17037,18791
1490307159,17047,18799
1490308123,17051,18802
1490309067,17049,18801
1490310127,17050,18799
1490311236,17058,18803
1490312177,17039,18777
1490313153,17037,18776
1490314129,17037,18774
1490315063,17039,18777
1490316042,17041,18779
1490316993,17040,18777
1490317962,17041,18779
1490318910,17043,18783
1490319875,17033,18773
1490320913,17034,18775
1490322039,17044,18788
1490322987,17044,18789
