DateTime,AddedIPs,RemovedIPs
1490154995,113,113
1490155958,144,144
1490156912,107,107
1490157870,103,103
1490158939,156,156
1490160023,140,140
1490161000,64,64
1490161952,84,84
1490162904,122,122
1490163861,106,106
1490164830,94,94
1490165788,89,89
1490166761,169,169
1490167707,131,131
1490168668,159,159
1490169718,1663,1663
1490170829,1865,1865
1490171779,1829,1829
1490172750,431,431
1490173704,320,320
1490174653,132,132
1490175626,194,194
1490176582,115,115
1490177562,202,202
1490178516,153,153
1490179473,101,101
1490180508,70,70
1490181620,65,65
1490182579,58,58
1490183539,139,139
1490184511,138,138
1490185454,104,104
1490186422,156,156
1490187385,110,110
1490188335,120,120
1490189302,138,138
1490190267,86,86
1490191304,76,76
1490192422,151,151
1490193393,78,78
1490194335,86,86
1490195411,108,108
1490196498,117,117
1490197461,95,95
1490198514,151,151
1490199645,118,118
1490200584,66,66
1490201541,147,147
1490202510,138,138
1490203458,108,108
1490204424,84,84
1490205387,71,71
1490206356,151,151
1490207318,131,131
1490208270,86,86
1490209334,105,105
1490210427,138,138
1490211649,119,119
1490212602,105,105
1490213554,110,110
1490214512,100,100
1490215470,71,71
1490217149,191,191
1490218109,80,80
1490219071,108,108
1490220115,102,102
1490221232,119,119
1490222185,70,70
1490223134,116,116
1490224109,89,89
1490225055,58,58
1490226020,107,107
1490226990,95,95
1490227950,105,105
1490228915,101,101
1490229869,70,70
1490230902,125,125
1490232032,114,114
1490232990,78,78
1490233943,106,106
1490234933,124,124
1490235853,77,77
1490236823,123,123
1490237792,97,97
1490238755,128,128
1490239716,131,131
1490240673,67,67
1490241706,126,126
1490242823,135,135
1490243781,91,91
1490244749,103,103
1490245703,127,127
1490246655,78,78
1490247621,109,109
1490248590,95,95
1490249560,120,120
1490250512,130,130
1490251474,79,79
1490252511,79,79
1490253634,155,155
1490254586,79,79
1490255561,116,116
1490256509,172,172
1490257458,82,82
1490258503,153,153
1490259411,84,84
1490260355,101,101
1490261317,105,105
1490262269,73,73
1490263338,71,71
1490264426,105,105
1490265393,85,85
1490266335,613,613
1490267302,344,344
1490268265,241,241
1490269220,232,232
1490270180,112,112
1490271141,56,56
1490272100,55,55
1490273052,51,51
1490274104,63,63
1490275222,47,47
1490276207,41,41
1490277157,141,141
1490278124,155,155
1490279076,210,210
1490280034,337,337
1490280987,247,247
1490281943,172,172
1490282906,133,133
1490283850,131,131
1490284918,123,123
1490286044,107,107
1490286986,95,95
1490287980,111,111
1490289175,109,109
1490290121,95,95
1490291062,84,84
1490292114,106,106
1490293216,142,142
