DateTime,AddedIPs,RemovedIPs
1488672037,2,2
1488675626,0,2
1488679225,2,4
1488682825,4,4
1488686427,2,0
1488693625,1,1
1488697225,0,1
1488704425,0,1
1488708031,3,0
1488715226,0,1
1488718827,0,1
1488722426,1,2
1488726025,5,2
1488729627,1,2
1488733226,1,0
1488736826,1,1
1488740426,4,3
1488744026,6,1
1488747626,1,1
1488751227,1,1
1488754825,5,1
1488758432,3,1
1488762027,0,2
1488765627,1,2
1488769226,2,2
1488780032,2,4
1488783629,2,1
1488787227,0,2
1488790827,0,2
1488794433,0,1
1488798029,0,15
1488801626,0,3
1488805227,0,1
1488808826,1,0
1488812433,2,0
1488816034,1,1
1488819626,0,1
1488823224,2,2
1488826831,12,1
1488830432,1,2
1488834027,4,1
1488837626,2,4
1488841226,7,3
1488844827,3,5
1488848427,4,2
1488852033,2,0
1488855627,3,0
1488859227,1,3
1488862826,1,2
1488870027,3,3
1488873628,0,3
1488877226,1,4
1488880832,5,0
1488884427,16,1
1488888033,5,1
1488891628,2,2
1488895227,2,0
1488898827,0,3
1488902427,3,1
1488906028,1,0
1488909627,1,0
1488913229,3,1
1488916828,1,1
1488920428,4,1
1488927629,3,1
1488931234,5,2
1488934831,1,2
1488938428,2,2
1488942030,0,2
1488945629,0,2
1488949228,0,3
1488952837,1,1
1488956438,0,3
1488960026,2,5
1488967228,1,1
1488974427,2,0
1488978027,3,1
1488981628,1,0
1488985227,1,1
1488988835,3,0
1488992427,2,0
1488996030,0,1
1489003227,2,1
1489010427,1,1
1489014028,0,4
1489017629,4,3
1489021228,1,0
1489024827,2,2
1489028428,2,3
1489032028,0,2
1489035631,2,2
1489039227,2,1
1489046427,0,2
1489050028,0,1
1489053635,1,2
1489057236,0,2
1489060827,0,1
1489064428,1,1
1489068028,0,1
1489071627,0,1
1489075244,1,1
1489078830,1,1
1489086028,0,1
1489089626,0,2
1489093227,1,1
1489096833,3,0
1489100433,2,2
1489104027,3,3
1489107626,5,1
1489111228,2,2
1489114827,0,3
1489118426,0,2
1489122026,1,2
1489125627,3,2
1489129227,1,0
1489132828,0,1
1489140033,2,3
1489143627,1,1
1489147231,0,1
1489150826,6,0
1489154427,0,3
1489158026,0,1
1489161627,2,1
1489165226,0,5
1489168827,1,2
1489172433,1,1
1489176027,1,0
1489179627,1,1
1489186828,2,2
1489190428,4,2
1489194028,1,3
1489197629,3,0
1489201228,7,1
1489204828,4,4
1489208427,3,2
1489212029,2,0
1489215628,0,1
1489219227,1,2
1489222828,3,0
1489230029,1,2
1489233638,1,2
1489237229,1,1
1489240829,2,1
1489244428,3,5
1489248028,1,0
1489251627,0,1
1489255226,0,2
1489262429,1,0
1489266028,4,0
1489269633,2,0
1489273227,2,1
1489276828,3,0
1489280428,0,1
1489284029,2,2
1489287629,1,1
1489291228,1,3
1489294829,0,1
1489298429,1,2
1489302029,1,1
1489309228,1,0
1489312829,0,1
1489316429,3,1
1489320027,1,2
1489323628,1,1
1489330829,0,2
1489334429,0,1
1489338028,0,1
1489345228,2,1
1489348828,2,2
1489352429,3,3
1489356027,0,2
1489359634,17,2
1489363237,3,5
1489366829,3,2
1489370428,2,1
1489374033,1,3
1489377635,0,1
1489381229,2,1
1489384837,1,2
1489388429,0,1
1489395628,1,0
1489399230,2,0
1489402830,1,0
1489406428,1,2
1489410037,1,1
1489417233,0,1
1489420828,1,0
1489424439,2,1
1489428028,7,1
1489431630,0,2
1489435231,2,15
1489438834,4,2
1489442433,2,3
1489446032,3,0
1489449630,4,1
1489453229,6,0
1489456831,0,1
1489460430,4,0
1489464030,1,1
1489467628,0,1
1489471228,0,3
1489474828,0,2
1489478427,0,2
1489482030,1,0
1489485627,4,2
1489489228,0,1
1489492827,0,3
1489496427,1,2
1489500027,2,4
1489503627,2,6
1489507228,1,11
1489510826,3,10
1489514428,1,0
1489518028,1,0
1489521628,4,1
1489525227,3,2
1489528827,2,2
1489532426,2,0
1489536027,0,3
1489539627,2,3
1489543227,1,2
1489546827,1,0
1489550426,3,1
1489554027,2,0
1489557626,0,1
1489561227,1,1
1489564829,0,1
1489568427,0,2
1489572026,2,0
1489575626,0,1
1489579226,3,1
1489582827,2,0
1489586426,0,3
1489590027,1,0
1489593626,2,3
1489597227,1,1
1489600826,0,2
1489604443,4,2
1489608030,0,1
1489611627,1,2
1489615226,1,1
1489618827,1,4
1489622427,1,1
1489626026,0,1
1489629627,2,2
1489633226,3,2
1489636827,0,2
1489640427,2,6
1489644026,0,3
1489647625,1,1
1489651226,2,1
1489658425,2,2
1489662025,1,2
1489665629,2,1
1489669247,2,0
1489672828,0,3
1489676429,2,0
1489680028,0,2
1489683628,0,1
1489694426,5,1
1489698027,2,0
1489701627,2,1
1489705227,2,3
1489712433,1,0
1489716028,0,2
1489719627,4,0
1489723227,1,0
1489726826,2,1
1489730427,1,4
1489734028,2,0
1489737627,0,2
1489741228,2,0
1489744826,2,3
1489748426,1,1
1489752026,1,1
1489759226,1,3
1489762826,2,0
1489766429,0,4
1489770026,2,1
1489773637,1,1
1489777229,1,3
1489780829,2,0
1489784426,0,1
1489788027,9,0
1489791628,4,2
1489795228,1,1
1489798839,2,3
1489802428,1,1
1489806027,2,2
1489809627,3,4
1489813226,1,3
1489816826,0,2
1489820427,0,1
1489824033,0,1
1489827626,2,5
1489831229,3,0
1489834826,2,1
1489838426,1,6
1489842026,2,1
1489845627,2,3
1489849226,2,3
1489852827,0,2
1489856425,1,0
1489867242,2,1
1489870826,3,2
1489874427,2,1
1489878027,1,0
1489881627,0,3
1489885226,0,2
1489888826,0,2
1489892425,0,1
1489896025,2,1
1489899627,2,1
1489903226,0,2
1489906825,1,2
1489917626,1,1
1489921226,1,0
1489928426,1,1
1489932026,0,1
1489939227,0,1
1489942827,1,0
1489946428,0,1
1489950027,1,0
1489957228,0,3
1489960825,1,1
1489964425,0,6
1489968025,0,16
1489971625,1,3
1489975224,0,1
1489982425,1,2
1489986024,1,0
1489989624,1,0
1489993224,2,0
1489996824,1,1
1490000424,1,0
1490007625,1,0
1490011225,4,2
1490014825,0,2
1490022025,2,1
1490025625,0,3
1490029226,2,4
1490032830,1,0
1490036431,14,0
1490040031,8,3
1490047228,2,2
1490050826,6,1
1490054427,4,2
1490058027,0,3
1490061626,3,1
1490065226,3,2
1490068827,1,3
1490072426,1,4
1490076025,1,3
1490079625,0,1
1490086825,2,0
1490090426,0,1
1490094025,1,1
1490101225,1,2
1490104825,1,3
1490108425,2,2
1490112024,1,1
1490115625,1,1
1490119225,0,2
1490122825,1,0
1490126426,2,2
1490130030,2,2
1490133629,0,3
1490137240,3,3
1490140827,2,0
1490144436,2,2
1490148028,3,1
1490151641,0,2
1490155226,0,2
1490158828,1,1
1490162427,1,4
1490166026,2,3
1490169626,0,2
1490173225,1,1
1490180427,0,1
1490184043,2,1
1490187626,3,0
1490191229,0,1
1490194826,2,2
1490198424,1,1
1490202026,3,0
1490205625,2,1
1490209226,1,3
1490212832,0,1
1490216431,2,0
1490220030,2,3
1490223631,1,0
1490227238,1,1
1490230828,5,0
1490234430,0,1
1490238030,0,2
1490241628,0,1
1490245227,0,2
1490248827,2,3
1490256027,0,1
1490259629,1,2
1490263227,1,1
1490266826,2,2
1490270427,1,2
1490274026,1,0
1490277627,2,1
1490281227,1,1
1490288425,0,2
1490292026,2,0
1490295627,3,0
1490299225,0,4
1490302835,1,2
1490306425,0,3
1490310026,0,1
1490317225,0,4
1490320826,3,0
1490324425,2,2
1490328026,1,2
1490331624,0,1
1490338827,0,1
1490342426,0,2
1490346027,3,1
1490349627,4,2
1490353226,0,2
1490364028,2,0
1490367625,2,3
1490371225,4,0
1490374829,1,2
1490378425,4,0
1490385625,1,0
1490389227,1,3
1490392826,2,6
1490396428,2,2
1490400026,0,1
1490403627,2,3
1490407226,2,1
1490410824,0,1
1490414427,1,1
1490418034,1,1
1490421624,1,1
1490425225,1,0
1490428824,1,0
1490432426,1,0
1490436025,0,2
1490439625,1,0
1490443228,1,2
1490446827,0,1
1490450428,0,4
1490454028,0,2
1490457624,1,0
1490461225,3,2
1490464826,2,1
1490472025,0,1
1490475625,2,3
1490479225,2,4
1490482825,1,2
1490486426,2,2
1490493625,0,1
1490497225,1,1
1490500825,2,1
1490504426,0,3
1490508026,2,0
1490511627,1,1
1490518825,1,0
1490522425,0,1
1490526026,1,0
1490536826,2,1
1490540425,2,0
1490544025,1,1
1490547624,4,0
1490551225,3,0
1490554825,1,2
1490558425,1,1
1490562025,1,1
1490565625,1,0
1490569226,1,3
1490572824,0,1
1490576425,1,2
1490580024,0,1
1490587224,0,1
1490590825,1,0
1490594425,0,2
1490598024,0,2
1490601624,1,1
1490605224,1,4
1490608824,2,2
1490612425,4,0
1490616025,13,3
1490619625,4,0
1490623225,6,0
1490626826,7,1
1490630426,2,0
1490634027,6,2
1490637628,3,0
1490641228,1,4
1490644828,3,7
1490648426,4,9
1490652027,6,1
1490655626,2,3
1490659226,2,4
1490662826,2,3
