DateTime,AddedIPs,RemovedIPs
1488842501,282,114
1488846076,172,127
1488849669,144,136
1488853268,143,121
1488856892,133,89
1488860498,135,96
1488864078,121,122
1488867675,126,119
1488871286,127,111
1488874906,141,123
1488878487,153,115
1488882078,143,133
1488885687,154,108
1488889314,137,128
1488892901,144,115
1488896489,128,112
1488900090,127,122
1488903707,119,109
1488907309,126,113
1488910901,135,103
1488914499,139,117
1488918107,123,113
1488921715,162,123
1488925308,131,110
1488928903,157,90
1488932507,144,114
1488936115,123,107
1488939713,130,112
1488943306,117,115
1488946907,149,94
1488950516,132,122
1488954121,136,116
1488957717,161,103
1488961317,147,106
1488964920,122,103
1488968531,132,129
1488972124,134,119
1488975717,126,132
1488979324,138,101
1488982934,120,101
1488986534,144,117
1488990127,139,127
1488993732,130,108
1488997335,133,117
1489000941,159,108
1489004535,148,107
1489008134,131,117
1489011737,134,110
1489015340,132,104
1489018942,129,108
1489022536,106,106
1489026142,123,93
1489029749,132,92
1489033344,117,124
1489036937,117,111
1489040539,138,124
1489044148,163,136
1489047749,120,132
1489051340,144,128
1489054942,118,154
1489058542,114,173
1489062140,136,149
1489065741,209,181
1489069344,205,144
1489072954,238,134
1489076562,184,149
1489080162,201,141
1489083761,183,138
1489087364,135,141
1489090964,122,117
1489094566,112,134
1489098159,129,132
1489101752,114,121
1489105360,133,134
1489108977,121,119
1489112559,101,139
1489116157,127,134
1489119759,126,123
1489123358,109,136
1489126958,109,131
1489130550,131,131
1489134150,120,116
1489137753,134,133
1489141360,176,121
1489144959,165,129
1489148557,163,112
1489152167,172,104
1489155765,146,121
1489159376,160,107
1489162971,147,113
1489166575,134,108
1489170173,150,114
1489173782,140,133
1489177372,136,122
1489180975,178,102
1489184581,145,109
1489188178,154,125
1489191780,135,110
1489195382,136,113
1489199015,145,120
1489202585,138,110
1489206182,110,108
1489209781,122,121
1489213382,104,96
1489216985,126,128
1489220584,113,105
1489224184,125,111
1489227784,124,114
1489231381,99,111
1489234982,104,119
1489238585,97,116
1489242187,91,135
1489245781,93,124
1489249380,96,99
1489252979,97,99
1489256573,86,135
1489260176,84,140
1489263773,58,124
1489267369,64,138
1489270967,77,123
1489274563,85,118
1489278163,83,86
1489281762,80,120
1489285359,97,124
1489288958,123,117
1489292557,99,112
1489296159,102,100
1489299758,102,120
1489303357,94,116
1489306956,107,128
1489310554,109,108
1489314156,126,138
1489317757,107,91
1489321355,111,131
1489324956,144,136
1489328552,104,133
1489332156,135,125
1489335754,118,101
1489339358,116,109
1489342955,95,131
1489346555,102,129
1489350152,102,125
1489353751,104,132
1489357348,104,132
1489360947,93,128
1489364547,108,103
1489368145,88,133
1489371743,76,115
1489375340,91,114
1489378941,112,110
1489382538,97,119
1489386140,135,118
1489389741,86,99
1489393344,117,116
1489396941,116,125
1489400538,110,117
1489404142,101,134
1489407737,89,133
1489411336,131,126
1489414938,111,138
1489418534,124,142
1489422134,122,168
1489425738,221,157
1489429336,236,263
1489432928,234,269
1489436534,119,163
1489440128,144,278
1489443712,160,316
1489447306,170,280
1489450906,166,188
1489454509,147,159
1489458107,149,160
1489461710,125,140
1489465312,95,114
1489468910,104,122
1489472501,112,133
1489476101,90,116
1489479699,98,154
1489483297,125,135
1489486899,117,122
1489490495,114,151
1489494096,112,148
1489497696,111,155
1489501318,125,124
1489504908,251,137
1489508509,264,114
1489512115,215,124
1489515718,131,128
1489519319,144,144
1489522917,128,128
1489526512,110,147
1489530112,122,129
1489533705,97,157
1489537307,103,152
1489540907,124,131
1489544502,108,132
1489548097,84,121
1489551697,104,144
1489555296,93,125
1489558896,81,125
1489562494,97,150
1489566085,96,146
1489569695,114,123
1489573291,94,135
1489576896,161,141
1489580508,296,115
1489584114,223,136
1489587717,220,117
1489591321,139,141
1489594917,131,134
1489598517,117,137
1489602119,128,138
1489605716,122,143
1489609313,122,142
1489612918,114,149
1489616513,101,140
1489620111,110,151
1489623708,109,131
1489627305,116,102
1489630907,98,116
1489634500,93,152
1489638094,95,129
1489641695,103,118
1489645302,102,141
1489648890,91,174
1489652499,90,108
1489656096,101,139
1489659694,96,143
1489663299,95,127
1489666882,112,135
1489670482,120,189
1489674077,102,200
1489677677,124,237
1489681267,100,191
1489684866,122,192
1489688459,124,173
1489692063,136,168
1489695660,114,132
1489699257,132,118
1489702851,102,141
1489706451,105,122
1489710051,121,132
1489713650,100,130
1489717243,98,110
1489720848,102,116
1489724450,99,109
1489728051,107,106
1489731653,106,104
1489735244,91,112
1489738844,94,109
1489742444,97,119
1489746042,101,158
1489749645,92,146
1489753240,110,167
1489756837,87,151
1489760436,101,151
1489764034,116,150
1489767637,102,132
1489771236,123,113
1489774830,119,135
1489778436,145,117
1489782032,151,140
1489785636,115,157
1489789233,130,149
1489792827,113,157
1489796427,113,127
1489800027,112,122
1489803623,116,139
1489807225,101,144
