DateTime,Entries,UniqueIPs
1488882078,24237,24237
1488885687,24283,24283
1488889314,24292,24292
1488892901,24321,24321
1488896489,24337,24337
1488900090,24342,24342
1488903707,24352,24352
1488907309,24365,24365
1488910901,24397,24397
1488914499,24419,24419
1488918107,24429,24429
1488921715,24468,24468
1488925308,24489,24489
1488928903,24556,24556
1488932507,24586,24586
1488936115,24602,24602
1488939713,24620,24620
1488943306,24622,24622
1488946907,24677,24677
1488950516,24687,24687
1488954121,24707,24707
1488957717,24765,24765
1488961317,24806,24806
1488964920,24825,24825
1488968531,24828,24828
1488972124,24843,24843
1488975717,24837,24837
1488979324,24874,24874
1488982934,24893,24893
1488986534,24920,24920
1488990127,24932,24932
1488993732,24954,24954
1488997335,24970,24970
1489000941,25021,25021
1489004535,25062,25062
1489008134,25076,25076
1489011737,25100,25100
1489015340,25128,25128
1489018942,25149,25149
1489022536,25149,25149
1489026142,25179,25179
1489029749,25219,25219
1489033344,25212,25212
1489036937,25218,25218
1489040539,25232,25232
1489044148,25259,25259
1489047749,25247,25247
1489051340,25263,25263
1489054942,25227,25227
1489058542,25168,25168
1489062140,25155,25155
1489065741,25183,25183
1489069344,25244,25244
1489072954,25348,25348
1489076562,25383,25383
1489080162,25443,25443
1489083761,25488,25488
1489087364,25482,25482
1489090964,25487,25487
1489094566,25465,25465
1489098159,25462,25462
1489101752,25455,25455
1489105360,25454,25454
1489108977,25456,25456
1489112559,25418,25418
1489116157,25411,25411
1489119759,25414,25414
1489123358,25387,25387
1489126958,25365,25365
1489130550,25365,25365
1489134150,25369,25369
1489137753,25370,25370
1489141360,25425,25425
1489144959,25461,25461
1489148557,25512,25512
1489152167,25580,25580
1489155765,25605,25605
1489159376,25658,25658
1489162971,25692,25692
1489166575,25718,25718
1489170173,25754,25754
1489173782,25761,25761
1489177372,25775,25775
1489180975,25851,25851
1489184581,25887,25887
1489188178,25916,25916
1489191780,25941,25941
1489195382,25964,25964
1489199015,25989,25989
1489202585,26017,26017
1489206182,26019,26019
1489209781,26020,26020
1489213382,26028,26028
1489216985,26026,26026
1489220584,26034,26034
1489224184,26048,26048
1489227784,26058,26058
1489231381,26046,26046
