DateTime,AddedIPs,RemovedIPs
1488885618,146,104
1488889246,127,120
1488892821,124,109
1488896417,118,98
1488900020,112,115
1488903639,111,99
1488907240,118,103
1488910826,123,90
1488914431,129,105
1488918039,119,108
1488921647,148,104
1488925240,119,101
1488928835,139,81
1488932441,135,99
1488936050,110,103
1488939643,110,103
1488943238,95,102
1488946837,124,82
1488950445,125,112
1488954049,124,104
1488957640,145,95
1488961239,137,103
1488964849,111,99
1488968462,121,123
1488972054,127,106
1488975649,118,104
1488979253,126,93
1488982864,108,97
1488986462,124,109
1488990061,123,109
1488993661,125,99
1488997266,125,110
1489000877,148,101
1489004468,134,92
1489008064,115,105
1489011668,112,92
1489015272,129,91
1489018867,118,104
1489022460,103,91
1489026067,117,84
1489029671,127,79
1489033269,110,113
1489036864,104,104
1489040464,133,118
1489044071,159,127
1489047669,117,129
1489051272,138,125
1489054869,106,147
1489058466,99,158
1489062065,133,139
1489065669,208,168
1489069268,191,139
1489072879,230,127
1489076482,165,133
1489080091,178,139
1489083692,167,133
1489087290,124,138
1489090887,107,109
1489094489,102,129
1489098086,116,132
1489101682,108,114
1489105283,116,125
1489108894,111,108
1489112479,92,128
1489116078,111,125
1489119678,125,115
1489123279,102,127
1489126880,106,121
1489130477,123,120
1489134076,105,111
1489137678,127,119
1489141282,165,115
1489144883,153,116
1489148480,144,104
1489152085,158,98
1489155687,133,110
1489159287,139,95
1489162892,139,106
1489166494,126,101
1489170096,135,101
1489173699,125,124
1489177299,124,110
1489180905,149,95
1489184510,126,97
1489188108,142,109
1489191707,119,104
1489195307,126,104
1489198909,129,112
1489202508,129,104
1489206108,102,98
1489209707,113,115
1489213309,96,94
1489216945,118,120
1489220512,101,105
1489224112,112,107
1489227712,118,102
1489231307,95,107
1489234910,93,115
1489238513,92,106
1489242114,73,127
1489245707,86,119
1489249301,83,91
1489252905,84,94
1489256503,72,116
1489260105,66,130
1489263701,47,120
1489267297,51,127
1489270894,74,117
1489274493,77,110
1489278090,76,79
1489281690,73,109
1489285286,81,109
1489288882,84,111
1489292478,81,105
1489296080,81,94
1489299680,87,103
1489303279,82,111
1489306877,99,124
1489310475,102,103
1489314074,115,121
1489317679,98,82
1489321276,104,121
1489324871,131,125
1489328469,97,119
1489332073,117,111
1489335674,112,96
1489339282,104,94
1489342877,77,120
1489346477,93,119
1489350076,88,117
1489353670,93,96
1489357270,89,114
1489360871,80,117
1489364468,100,92
1489368066,80,118
1489371665,74,105
1489375261,87,108
1489378863,106,96
1489382458,86,109
1489386059,121,115
1489389658,80,84
1489393265,111,105
1489396867,101,120
1489400463,103,111
1489404064,94,122
1489407664,77,122
1489411257,112,111
1489414863,95,131
1489418452,102,129
1489422058,104,155
1489425665,202,145
1489429267,227,249
1489432859,223,267
1489436458,103,137
1489440054,131,262
1489443639,139,304
1489447229,156,269
1489450829,159,165
1489454426,142,143
1489458027,138,143
1489461625,111,130
1489465217,86,108
1489468820,86,116
1489472415,100,126
1489476017,85,108
1489479610,90,144
1489483211,106,125
1489486811,105,109
1489490410,107,145
1489494008,106,137
1489497607,97,135
1489501219,115,115
1489504826,230,122
1489508430,253,107
1489512038,202,117
1489515641,114,120
1489519235,107,132
1489522833,106,117
1489526429,97,136
1489530028,113,119
1489533624,88,138
1489537223,96,141
1489540828,104,119
