DateTime,Entries,UniqueIPs
1488846013,21928,21928
1488849607,21935,21935
1488853203,21958,21958
1488856827,21996,21996
1488860425,22031,22031
1488864009,22034,22034
1488867607,22037,22037
1488871219,22049,22049
1488874832,22074,22074
1488878415,22103,22103
1488882009,22116,22116
1488885618,22158,22158
1488889246,22165,22165
1488892821,22180,22180
1488896417,22200,22200
1488900020,22197,22197
1488903639,22209,22209
1488907240,22224,22224
1488910826,22257,22257
1488914431,22281,22281
1488918039,22292,22292
1488921647,22336,22336
1488925240,22354,22354
1488928835,22412,22412
1488932441,22448,22448
1488936050,22455,22455
1488939643,22462,22462
1488943238,22455,22455
1488946837,22497,22497
1488950445,22510,22510
1488954049,22530,22530
1488957640,22580,22580
1488961239,22614,22614
1488964849,22626,22626
1488968462,22624,22624
1488972054,22645,22645
1488975649,22659,22659
1488979253,22692,22692
1488982864,22703,22703
1488986462,22718,22718
1488990061,22732,22732
1488993661,22758,22758
1488997266,22773,22773
1489000877,22820,22820
1489004468,22862,22862
1489008064,22872,22872
1489011668,22892,22892
1489015272,22930,22930
1489018867,22944,22944
1489022460,22956,22956
1489026067,22989,22989
1489029671,23037,23037
1489033269,23034,23034
1489036864,23034,23034
1489040464,23049,23049
1489044071,23081,23081
1489047669,23069,23069
1489051272,23082,23082
1489054869,23041,23041
1489058466,22982,22982
1489062065,22976,22976
1489065669,23016,23016
1489069268,23068,23068
1489072879,23171,23171
1489076482,23203,23203
1489080091,23242,23242
1489083692,23276,23276
1489087290,23262,23262
1489090887,23260,23260
1489094489,23233,23233
1489098086,23217,23217
1489101682,23211,23211
1489105283,23202,23202
1489108894,23205,23205
1489112479,23169,23169
1489116078,23155,23155
1489119678,23165,23165
1489123279,23140,23140
1489126880,23125,23125
1489130477,23128,23128
1489134076,23122,23122
1489137678,23130,23130
1489141282,23180,23180
1489144883,23217,23217
1489148480,23257,23257
1489152085,23317,23317
1489155687,23340,23340
1489159287,23384,23384
1489162892,23417,23417
1489166494,23442,23442
1489170096,23476,23476
1489173699,23477,23477
1489177299,23491,23491
1489180905,23545,23545
1489184510,23574,23574
1489188108,23607,23607
1489191707,23622,23622
1489195307,23644,23644
1489198909,23661,23661
1489202508,23686,23686
1489206108,23690,23690
1489209707,23688,23688
1489213309,23690,23690
1489216945,23688,23688
1489220512,23684,23684
1489224112,23689,23689
1489227712,23705,23705
1489231307,23693,23693
1489234910,23671,23671
1489238513,23657,23657
1489242114,23603,23603
1489245707,23570,23570
1489249301,23562,23562
1489252905,23552,23552
1489256503,23508,23508
1489260105,23444,23444
1489263701,23371,23371
1489267297,23295,23295
1489270894,23252,23252
1489274493,23219,23219
1489278090,23216,23216
1489281690,23180,23180
1489285286,23152,23152
1489288882,23125,23125
1489292478,23101,23101
1489296080,23088,23088
1489299680,23072,23072
1489303279,23043,23043
1489306877,23018,23018
1489310475,23017,23017
1489314074,23011,23011
1489317679,23027,23027
1489321276,23010,23010
1489324871,23016,23016
1489328469,22994,22994
1489332073,23000,23000
1489335674,23016,23016
1489339282,23026,23026
1489342877,22983,22983
1489346477,22957,22957
1489350076,22928,22928
1489353670,22925,22925
1489357270,22900,22900
1489360871,22863,22863
1489364468,22871,22871
1489368066,22833,22833
1489371665,22802,22802
1489375261,22781,22781
1489378863,22791,22791
1489382458,22768,22768
1489386059,22774,22774
1489389658,22770,22770
1489393265,22776,22776
1489396867,22757,22757
1489400463,22749,22749
1489404064,22721,22721
1489407664,22676,22676
1489411257,22677,22677
1489414863,22641,22641
1489418452,22614,22614
1489422058,22563,22563
1489425665,22620,22620
1489429267,22598,22598
1489432859,22554,22554
1489436458,22520,22520
1489440054,22389,22389
1489443639,22224,22224
1489447229,22111,22111
1489450829,22105,22105
1489454426,22104,22104
1489458027,22099,22099
1489461625,22080,22080
1489465217,22058,22058
1489468820,22028,22028
1489472415,22002,22002
1489476017,21979,21979
1489479610,21925,21925
1489483211,21906,21906
