DateTime,AddedIPs,RemovedIPs
1488868803,77,56
1488872643,57,50
1488876723,67,42
1488880574,52,39
1488886565,71,81
1488890405,47,42
1488894245,48,56
1488900002,53,44
1488901924,50,44
1488905765,62,33
1488909608,61,56
1488911522,58,57
1488915362,52,56
1488919203,68,61
1488923051,46,66
1488926882,48,70
1488928805,44,68
1488934563,72,65
1488938404,53,55
1488942483,49,73
1488944402,84,102
1488948243,78,85
1488952082,68,85
1488955929,83,63
1488959764,62,46
1488963606,70,50
1488965522,51,40
1488969363,54,48
1488973204,55,53
1488977043,38,45
1488980882,57,53
1488986645,54,36
1488990484,49,65
1488992407,62,58
1488994323,76,44
1488998164,55,56
1489002006,66,56
1489005845,57,73
1489009684,53,69
1489013524,45,64
1489017365,44,83
1489021442,68,60
1489023364,57,58
1489027204,41,63
1489031043,89,91
1489034883,84,95
1489038722,76,94
1489042564,78,48
1489046405,60,49
1489048325,68,49
1489052164,49,43
1489056005,44,46
1489059843,45,43
1489063684,41,53
1489067523,51,42
1489071364,45,44
1489075210,58,37
1489077123,62,54
1489081204,67,44
1489085043,73,58
1489088883,54,67
1489092723,60,60
1489096574,51,83
1489100415,41,71
1489102323,55,63
1489106164,77,67
1489110004,58,65
1489113845,47,65
1489117683,79,79
1489121525,94,98
1489125605,73,81
1489127523,101,74
1489131362,55,53
1489135204,58,46
1489139043,50,41
1489142882,48,50
1489146722,46,53
1489150563,50,47
1489154404,57,50
1489156325,53,58
1489160165,53,60
1489164005,68,59
1489165923,60,56
1489171685,62,48
1489173603,48,62
1489175524,108,102
1489179367,62,52
1489185122,67,103
1489189203,32,75
1489193042,89,88
1489196882,73,54
1489202643,44,56
1489204563,86,82
1489210322,147,163
1489214404,73,61
1489216328,52,40
1489222083,56,39
1489225922,45,39
1489231682,43,43
1489233843,54,44
1489235763,47,43
1489239604,62,46
1489243443,43,49
1489247283,56,41
1489251122,52,47
1489254973,57,42
1489258805,58,63
1489260722,48,62
1489264562,59,48
1489268404,44,64
1489272242,40,64
1489276082,45,68
1489279922,68,53
1489281843,104,96
1489283773,131,145
1489287606,48,72
1489289523,83,82
1489293362,80,89
1489297203,61,76
1489301042,81,53
1489304883,55,32
1489308722,61,34
1489312573,57,39
1489316407,63,54
1489318322,48,545
1489320243,545,48
1489322163,57,57
1489324083,59,46
1489326003,57,43
1489327923,75,102
1489329842,118,96
1489335607,49,57
1489337522,55,39
1489341373,50,50
1489345206,52,42
1489349282,60,67
1489351203,58,63
1489355042,50,72
1489358882,54,69
1489362722,36,68
1489366563,80,54
1489370406,46,50
1489372323,36,66
1489376163,81,101
1489381923,96,105
1489383843,86,68
1489387683,55,50
1489391523,53,44
1489395363,56,48
1489401122,52,61
1489403043,57,39
1489404963,42,36
1489410723,41,44
1489412643,48,40
1489416483,46,52
1489422244,52,44
1489424163,60,44
1489428017,58,48
1489429922,67,68
1489433762,59,66
1489437603,62,66
1489441443,55,63
1489445283,49,68
1489449124,38,67
1489452962,66,64
1489456818,55,53
1489458723,46,64
1489462562,84,88
1489466403,92,92
1489470243,88,76
1489474083,64,61
1489477923,56,59
1489481762,56,46
1489485619,43,52
1489487522,41,40
1489493523,49,37
1489495443,57,39
1489499522,38,38
1489503364,41,54
1489507206,51,49
1489509123,63,46
1489512963,65,46
1489516804,66,47
1489522563,59,56
1489524482,67,49
1489526416,52,64
1489532163,47,82
1489536006,53,62
1489537922,71,60
1489541763,51,60
1489545603,46,60
1489551363,82,138
1489553283,98,89
1489557364,84,77
1489559524,60,78
1489563362,71,52
1489567204,47,56
1489571043,54,61
1489574882,124,127
1489576808,159,137
1489578722,36,39
1489582563,54,49
1489584738,56,42
1489588563,48,49
1489592404,49,54
1489596243,63,48
1489600323,57,39
1489604406,53,54
1489606323,73,63
1489610162,75,59
1489614004,58,72
1489617843,55,81
1489621683,37,62
1489627443,65,60
1489629363,55,60
1489633205,55,65
1489635122,99,390
1489637282,286,0
1489639203,79,101
1489643283,101,79
1489649046,62,64
1489650964,43,43
1489654805,54,38
1489656740,56,45
1489660564,42,39
1489664405,40,39
1489668243,38,41
1489672084,49,50
1489675926,38,46
1489680008,59,55
1489681922,54,44
1489683844,59,51
1489689604,64,50
1489693443,67,68
1489697283,58,50
1489703285,51,71
1489705206,50,70
1489709042,36,69
1489710965,83,58
1489714805,53,59
1489718644,49,65
1489720803,150,153
1489722722,206,220
1489726563,102,102
1489730406,94,76
1489732322,54,62
1489736404,46,40
1489740243,54,41
1489744323,51,55
1489746244,79,88
1489748164,125,99
1489752005,36,39
1489753923,48,46
1489760173,58,47
1489762083,46,56
1489765922,51,51
1489770007,56,45
1489771938,86,48
1489777684,52,61
1489779604,52,53
1489783443,61,68
1489787282,37,53
1489789216,60,70
1489794963,42,70
1489798806,94,60
1489800737,53,59
