DateTime,Entries,UniqueIPs
1488876723,7113,7113
1488880574,7126,7126
1488886565,7116,7116
1488890405,7121,7121
1488894245,7113,7113
1488900002,7122,7122
1488901924,7128,7128
1488905765,7157,7157
1488909608,7162,7162
1488911522,7163,7163
1488915362,7159,7159
1488919203,7166,7166
1488923051,7146,7146
1488926882,7124,7124
1488928805,7100,7100
1488934563,7107,7107
1488938404,7105,7105
1488942483,7081,7081
1488944402,7063,7063
1488948243,7056,7056
1488952082,7039,7039
1488955929,7059,7059
1488959764,7075,7075
1488963606,7095,7095
1488965522,7106,7106
1488969363,7112,7112
1488973204,7114,7114
1488977043,7107,7107
1488980882,7111,7111
1488986645,7129,7129
1488990484,7113,7113
1488992407,7117,7117
1488994323,7149,7149
1488998164,7148,7148
1489002006,7158,7158
1489005845,7142,7142
1489009684,7126,7126
1489013524,7107,7107
1489017365,7068,7068
1489021442,7076,7076
1489023364,7075,7075
1489027204,7053,7053
1489031043,7051,7051
1489034883,7040,7040
1489038722,7022,7022
1489042564,7052,7052
1489046405,7063,7063
1489048325,7082,7082
1489052164,7088,7088
1489056005,7086,7086
1489059843,7088,7088
1489063684,7076,7076
1489067523,7085,7085
1489071364,7086,7086
1489075210,7107,7107
1489077123,7115,7115
1489081204,7138,7138
1489085043,7153,7153
1489088883,7140,7140
1489092723,7140,7140
1489096574,7108,7108
1489100415,7078,7078
1489102323,7070,7070
1489106164,7080,7080
1489110004,7073,7073
1489113845,7055,7055
1489117683,7055,7055
1489121525,7051,7051
1489125605,7043,7043
1489127523,7070,7070
1489131362,7072,7072
1489135204,7084,7084
1489139043,7093,7093
1489142882,7091,7091
1489146722,7084,7084
1489150563,7087,7087
1489154404,7094,7094
1489156325,7089,7089
1489160165,7082,7082
1489164005,7091,7091
1489165923,7095,7095
1489171685,7109,7109
1489173603,7095,7095
1489175524,7101,7101
1489179367,7111,7111
1489185122,7075,7075
1489189203,7032,7032
1489193042,7033,7033
1489196882,7052,7052
1489202643,7040,7040
1489204563,7044,7044
1489210322,7028,7028
1489214404,7040,7040
1489216328,7052,7052
1489222083,7069,7069
