DateTime,AddedIPs,RemovedIPs
1489358709,1,0
1489359009,1,0
1489359612,1,0
1489360209,1,0
1489361108,0,1
1489361409,1,0
1489365308,1,0
1489367709,1,0
1489371909,1,0
1489372209,1,0
1489382108,1,0
1489383009,1,0
1489384509,1,0
1489384808,1,0
1489386608,1,0
1489387808,1,0
1489391708,1,0
1489392009,1,0
1489393509,0,1
1489394108,1,0
1489394408,0,1
1489395608,1,0
1489395908,8,0
1489396208,4,0
1489396509,206,0
1489396808,20,0
1489397109,27,0
1489398008,2,0
1489399808,1,0
1489400110,1,0
1489404008,1,0
1489411208,3,0
1489411509,61,0
1489412108,1,0
1489413908,1,1
1489414809,0,1
1489417208,1,0
1489419909,1,0
1489420508,0,1
1489424409,0,1
1489428010,0,1
1489431609,1,0
1489434909,0,1
1489436708,1,0
1489438808,2,0
1489442408,1,0
1489445708,1,0
1489447508,1,1
1489458308,1,0
1489460409,2,0
1489461008,0,1
1489461308,0,1
1489464609,0,1
1489476308,0,1
1489482309,200,0
1489482609,44,0
1489482909,30,0
1489485308,7,1
1489489209,1,0
1489495809,0,1
1489497608,43,0
1489497909,6,0
1489499408,66,0
1489499708,10,0
1489503008,1,0
1489507808,1,0
1489508409,1,0
1489509308,0,1
1489509609,0,1
1489509908,1,0
1489511408,1,0
1489517708,1,0
1489519508,1,0
1489520709,1,0
1489525209,1,3
1489528208,0,1
1489539008,1,0
1489539609,1,0
1489542612,1,0
1489544408,1,0
1489545309,1,0
1489547708,0,1
1489549808,0,1
1489568708,0,1
1489569308,47,0
1489569609,15,0
1489571408,1,0
1489572908,0,1
1489578908,1,0
1489581608,1,0
1489582508,1,0
1489583708,2,0
1489584608,5,0
1489585208,37,0
1489586409,1,0
1489590609,1,0
1489597208,1,0
1489598408,1,0
1489599010,1,1
1489599308,1,0
1489599909,1,0
1489601707,1,0
1489602009,2,0
1489602308,1,0
1489604409,1,0
1489611308,2,0
1489611609,1,0
1489623008,1,0
1489623608,1,0
1489629308,1,0
1489629609,1,0
1489629908,1,0
1489630508,2,0
1489631109,1,0
1489631708,3,0
1489632008,2,0
1489632308,2,0
1489632608,1,0
1489633209,2,0
1489633808,3,0
1489634408,1,0
1489634710,2,0
1489635609,1,0
1489636208,1,0
1489636808,1,0
1489637408,1,0
1489637708,2,0
1489638608,1,1
1489640108,1,0
1489640709,1,3
1489641008,1,0
1489641608,5,0
1489642209,1,0
1489643408,1,0
1489643708,1,1
1489645208,2,0
1489645519,1,0
1489645808,3,0
1489646108,1,0
1489646409,2,0
1489647008,1,0
1489647308,1,3
1489648209,2,0
1489648508,1,0
1489649108,1,0
1489649409,2,0
1489651209,1,0
1489651506,1,0
1489651808,1,0
1489652408,1,0
1489652709,0,1
1489653008,1,0
1489653608,1,0
1489655707,1,0
1489656008,11,0
1489656308,42,0
1489656608,2,0
1489656908,2,0
1489657208,2,0
1489657508,7,0
1489657808,6,0
1489658108,3,0
1489658409,4,0
1489658708,1,0
1489659310,1,0
1489661408,0,20
1489667108,0,1
1489668608,1,0
1489670708,1,0
1489676108,2,0
1489681509,0,1
1489685709,0,1
1489690808,1,0
1489700709,1,1
1489712709,0,1
1489716008,1,0
1489717208,2,0
1489720207,0,1
1489727408,1,0
1489728309,1,0
1489728608,1,0
1489740309,12,0
1489740608,31,0
1489740908,29,0
1489741209,1,0
1489741508,31,0
1489741809,2,0
1489745408,1,0
1489746310,1,0
1489747209,1,0
1489747808,1,0
1489748409,1,0
1489754408,0,1
1489756508,0,1
1489761009,1,0
1489761309,2,0
1489761908,1,0
1489765211,0,1
1489766108,1,0
1489768809,0,1
1489770009,1,0
1489770310,0,1
1489770609,1,0
1489772708,1,0
1489777210,1,0
1489780809,1,0
1489784408,1,0
1489785309,1,0
1489788609,1,0
1489800009,1,0
1489800308,1,0
1489800608,1,0
1489808708,1,0
1489809308,1,1
1489811108,1,0
1489824908,1,0
1489828808,1,0
1489829109,1,0
1489829408,1,0
1489830008,1,0
1489831508,1,0
1489832408,2,0
1489834208,1,0
1489840208,1,0
1489843808,0,1
1489844409,1,0
1489846208,1,0
1489851608,0,1
1489852508,1,0
1489853408,0,1
1489854908,0,1
1489856109,1,0
1489856408,2,0
1489857608,1,0
1489857908,3,0
1489858208,1,0
1489858508,1,0
1489859108,1,0
1489859407,2,3
1489860608,1,0
1489863008,1,0
1489865108,2,0
1489865708,1,0
1489868710,1,0
1489872008,2,0
1489872308,2,0
1489873808,2,0
1489875608,1,0
1489875909,1,0
1489876208,1,0
1489876508,1,0
1489876808,1,0
1489877108,1,0
1489877708,2,0
1489878308,1,0
1489878908,0,1
1489883409,1,0
1489884310,1,0
1489890309,1,0
1489899909,0,1
1489903808,1,0
1489904108,1,0
1489905308,1,0
1489907108,2,0
1489907708,1,0
1489908008,1,0
1489908608,1,0
1489911909,0,1
1489918508,1,0
1489931708,1,0
1489935008,1,0
1489936508,0,1
1489941608,1,0
1489941909,1,0
1489943708,1,0
1489946108,1,0
1489946708,1,0
1489947608,1,0
1489948208,1,0
1489950608,1,0
1489951209,1,0
1489956608,1,0
1489956909,2,0
1489959608,1,0
1489968608,5,0
1489968908,1,0
1489969208,1,0
1489975808,0,1
1489989609,1,0
1489997108,0,1
1490000408,1,0
1490001308,1,0
1490007908,1,0
1490012708,1,0
1490013608,1,0
1490014809,1,0
1490016008,12,0
1490016309,5,0
1490016909,17,0
1490017808,38,0
1490023208,1,0
1490024108,1,0
1490031308,0,1
1490036409,1,0
1490040908,0,1
1490043909,0,1
1490048108,0,1
1490058008,1,0
1490060710,0,1
1490070308,1,0
1490082008,1,0
1490084108,1,0
1490086508,22,0
1490086809,4,0
1490087109,1,0
1490087408,1,0
1490087708,68,0
1490094008,0,1
1490112009,1,0
1490118009,1,0
1490125810,1,0
1490128508,0,1
1490131208,0,1
1490136609,1,0
1490151608,0,1
1490168108,1,0
1490169008,1,0
1490172609,5,0
1490173208,1,0
1490174409,37,0
1490174709,63,0
1490178908,0,1
1490180108,1,0
1490182208,0,1
1490182808,1,0
1490187308,1,0
1490198408,0,2
1490201708,1,0
1490204408,0,1
1490207409,0,1
1490216108,1,0
1490217008,0,1
1490218808,1,0
1490223008,13,0
1490223309,1,0
1490224208,0,1
1490225408,1,0
1490226908,1,0
1490232609,1,0
1490237708,0,2
1490253009,1,0
1490253608,1,0
1490254508,0,1
1490258409,1,0
1490258708,0,1
1490259308,8,0
1490259908,2,0
1490262609,1,0
1490264408,1,0
1490264712,2,0
1490265909,1,0
1490268008,1,0
1490268308,1,0
1490268908,1,0
1490273708,2,0
1490274608,0,1
1490274909,1,1
1490275208,1,0
1490275808,1,0
1490277010,1,0
1490278508,1,0
1490278808,1,0
1490279109,1,2
1490280908,4,0
1490281212,2,0
1490281808,1,0
1490282108,1,0
1490286309,0,1
1490286608,3,0
1490286908,1,0
1490288709,1,0
1490293808,1,0
1490295608,1,0
1490301008,1,0
1490302507,1,0
1490307909,12,0
1490308508,4,0
1490310609,1,0
1490316908,1,0
1490319908,0,1
1490324411,1,0
1490330408,0,1
1490340609,0,1
1490340907,0,1
1490344808,1,0
1490347508,1,0
1490347808,20,0
1490348109,1,0
1490348408,73,0
1490348708,1,0
1490349008,2,0
1490350208,53,0
1490350808,6,0
1490355608,1,0
1490356508,0,1
1490361308,0,1
1490362808,0,1
1490363109,0,1
1490363708,0,1
1490367308,1,0
1490372709,0,1
1490374808,1,0
1490375708,1,0
1490377209,0,1
1490378108,0,1
1490382008,1,0
1490389508,1,0
1490391008,0,1
1490399707,0,1
1490414409,1,0
1490418008,1,0
1490420708,1,0
1490431209,1,0
1490432108,1,0
1490432408,3,0
1490432708,1,0
1490433308,1,0
1490433608,1,0
1490434209,3,0
1490434508,2,0
1490434809,2,0
1490435408,1,0
1490436009,1,0
1490442009,1,0
1490443509,1,0
1490443810,1,0
1490445908,1,0
1490450708,2,0
1490452508,0,4
1490459708,2,0
1490462107,3,0
1490462408,13,0
1490463010,8,0
1490463308,2,0
1490468408,1,0
1490471708,0,1
1490473809,1,0
1490475008,0,1
1490477708,1,0
1490482808,1,0
1490483408,1,0
1490487908,1,0
1490488809,0,1
1490493908,0,1
1490499608,1,0
1490500209,0,3
1490500508,1,0
1490503508,10,0
1490524209,0,1
1490524809,0,1
1490525108,3,1
1490529908,0,1
1490540408,1,0
1490542508,0,1
1490551508,1,0
1490552709,1,0
1490553308,1,0
1490554808,1,0
1490556908,1,0
1490557808,1,0
1490558108,1,0
1490558410,1,0
1490559608,1,0
1490561408,2,1
1490563808,2,0
1490564708,1,0
1490566208,17,0
1490566809,1,0
1490575208,1,0
1490575509,1,0
1490583609,1,0
1490584508,1,0
1490585108,0,1
1490587209,1,0
1490589008,1,0
1490600708,0,2
1490601008,0,1
1490604908,0,1
1490605208,0,1
1490606409,134,0
1490606708,84,0
1490607909,3,0
1490608808,13,0
1490609106,63,0
1490627708,1,0
1490630108,1,0
1490632209,1,0
1490636108,1,0
1490641808,0,1
1490663409,1,0
