DateTime,Entries,UniqueIPs
1489360209,306608,317461
1489361108,306607,317460
1489361409,306608,317461
1489365308,306609,317462
1489367709,306610,317463
1489371909,306610,317464
1489372209,306611,317465
1489382108,306612,317466
1489383009,306613,317467
1489384509,306614,317468
1489384808,306615,317469
1489386608,306616,317470
1489387808,306617,317471
1489391708,306618,317472
1489392009,306619,317473
1489393509,306618,317472
1489394108,306619,317473
1489394408,306618,317472
1489395608,306619,317473
1489395908,306627,317481
1489396208,306631,317485
1489396509,306836,317691
1489396808,306856,317711
1489397109,306883,317738
1489398008,306885,317740
1489399808,306886,317741
1489400110,306887,317742
1489404008,306888,317743
1489411208,306891,317746
1489411509,306951,317807
1489412108,306952,317808
1489413908,306952,317808
1489414809,306951,317807
1489417208,306952,317808
1489419909,306953,317809
1489420508,306952,317808
1489424409,306951,317807
1489428010,306950,317806
1489431609,306951,317807
1489434909,306950,317806
1489436708,306951,317807
1489438808,306953,317809
1489442408,306954,317810
1489445708,306955,317811
1489447508,306955,317811
1489458308,306956,317812
1489460409,306958,317814
1489461008,306957,317813
1489461308,306956,317812
1489464609,306955,317811
1489476308,306954,317810
1489482309,307154,318010
1489482609,307198,318054
1489482909,307228,318084
1489485308,307234,318090
1489489209,307235,318091
1489495809,307234,318090
1489497608,307277,318133
1489497909,307283,318139
1489499408,307349,318205
1489499708,307359,318215
1489503008,307360,318216
1489507808,307361,318217
1489508409,307362,318218
1489509308,307361,318217
1489509609,307361,318216
1489509908,307362,318217
1489511408,307363,318218
1489517708,307364,318219
1489519508,307365,318220
1489520709,307366,318221
1489525209,307365,318219
1489528208,307364,318218
1489539008,307365,318219
1489539609,307366,318220
1489542612,307367,318221
1489544408,307368,318222
1489545309,307369,318223
1489547708,307368,318222
1489549808,307367,318221
1489568708,307367,318220
1489569308,307414,318267
1489569609,307429,318282
1489571408,307430,318283
1489572908,307429,318282
1489578908,307430,318283
1489581608,307431,318284
1489582508,307432,318285
1489583708,307434,318287
1489584608,307439,318292
1489585208,307475,318329
1489586409,307476,318330
1489590609,307477,318331
1489597208,307478,318332
1489598408,307479,318333
1489599010,307479,318333
1489599308,307480,318334
1489599909,307481,318335
1489601707,307481,318336
1489602009,307483,318338
1489602308,307484,318339
1489604409,307485,318340
1489611308,307487,318342
1489611609,307488,318343
1489623008,307489,318344
1489623608,307490,318345
1489629308,307491,318346
1489629609,307492,318347
1489629908,307493,318348
1489630508,307494,318350
