DateTime,AddedIPs,RemovedIPs
1488380108,0,1
1488380409,0,1
1488380709,0,1
1488381609,0,3
1488382208,0,1
1488382810,0,3
1488383108,0,2
1488383708,0,2
1488387610,0,2
1488390009,0,2
1488391209,0,1
1488392708,0,1
1488404409,0,1
1488405608,0,1
1488406509,0,6
1488406809,0,2
1488407110,0,1
1488407408,0,1
1488408009,0,1
1488408309,0,1
1488411609,0,1
1488417609,0,1
1488446741,0,1
1488474609,0,1
1488477008,0,1
1488482708,21,0
1488483008,1,0
1488483608,13,0
1488483908,66,0
1488484209,2,0
1488486008,0,1
1488486308,31,0
1488487208,0,1
1488487510,10,3
1488488108,0,1
1488488709,0,2
1488489009,0,1
1488489308,0,1
1488489909,0,2
1488490208,0,1
1488490508,0,1
1488490809,0,1
1488491409,0,1
1488491708,1,0
1488492608,0,1
1488493209,0,1
1488494108,0,1
1488522909,0,1
1488524108,0,1
1488528908,0,1
1488530709,0,1
1488531608,0,1
1488533108,0,1
1488542708,0,1
1488545408,0,2
1488545709,0,1
1488550809,0,1
1488569709,0,1
1488571508,0,1
1488573608,0,1
1488574509,0,1
1488575108,4,0
1488575408,13,0
1488575709,12,0
1488576309,8,0
1488576909,11,0
1488579608,0,1
1488581408,7,0
1488582008,7,0
1488592809,0,1
1488605409,0,1
1488623108,0,1
1488625808,0,1
1488636309,0,1
1488672609,0,1
1488673209,0,3
1488673508,0,2
1488678009,0,1
1488698408,0,1
1488704409,0,1
1488727209,0,1
1488736208,0,1
1488741909,28,0
1488742209,38,0
1488742508,22,0
1488743408,7,0
1488744308,14,0
1488745508,1,1
1488797409,1,5
1488804309,0,1
1488808208,0,1
1488810609,0,1
1488810909,0,1
1488811808,0,2
1488813309,0,1
1488814809,0,1
1488816008,0,1
1488823509,0,1
1488835509,0,1
1488835808,0,2
1488836108,0,1
1488875109,0,2
1488875709,0,1
1488890709,0,1
1488891008,0,1
1488906908,0,1
1488907509,0,1
1488908108,0,1
1488910208,0,1
1488910509,0,2
1488910809,0,2
1488911109,0,2
1488911409,0,1
1488919509,0,1
1488920108,0,1
1488921608,0,1
1488924908,0,1
1488938709,0,1
1488956708,0,1
1488959408,0,1
1488959708,0,1
1488982508,57,0
1488986108,2,0
1488990308,0,1
1489005008,0,1
1489024509,0,1
1489033810,0,1
1489037109,0,1
1489039810,0,1
1489042208,0,1
1489048809,0,1
1489058711,0,1
1489067409,0,1
1489072508,0,1
1489077308,0,2
1489078809,0,1
1489082409,0,1
1489083009,0,1
1489083609,0,1
1489084508,0,2
1489084808,0,2
1489086608,0,1
1489086909,0,1
1489087508,1,0
1489107309,0,1
1489172708,0,1
1489174209,0,1
1489179909,0,1
1489183809,0,1
1489239008,0,1
1489239308,0,2
1489242310,0,1
1489250108,0,1
1489260009,59,0
1489266009,81,1
1489266309,60,0
1489269309,44,0
1489269608,7,0
1489269909,2,0
1489271410,0,1
1489275008,11,0
1489293308,0,1
1489333509,0,1
1489348508,0,1
1489349409,1,1
1489349708,43,0
1489350609,65,0
1489351509,3,0
1489351811,14,0
1489352109,3,0
1489352708,7,0
1489353608,13,0
1489353909,11,0
1489354209,25,1
1489355108,0,1
1489356309,0,1
1489356609,3,0
1489356908,0,2
1489360209,61,0
1489360509,25,0
1489360809,13,0
1489361109,13,0
1489361409,48,0
1489361708,39,0
1489362009,17,0
1489362308,13,0
1489362608,12,0
1489362908,6,0
1489363209,3,0
1489367109,0,1
1489367710,0,1
1489368908,0,1
1489380309,0,1
1489401609,0,1
1489404309,0,1
1489404908,0,1
1489408208,0,1
1489414809,0,1
1489429208,0,1
1489441509,37,0
1489441808,36,1
1489443009,29,0
1489443308,3,0
1489452308,15,0
1489468509,0,1
1489476908,0,1
1489479009,0,1
1489484409,0,1
1489487708,0,1
1489500008,0,1
1489514708,23,1
1489516509,1,0
1489521910,0,1
1489523709,1,0
1489525209,6,0
1489525808,9,0
1489526109,58,0
1489527608,20,0
1489528508,1,0
1489528809,8,0
1489529409,7,0
1489529708,17,0
1489532108,17,0
1489532710,10,0
1489533008,34,0
1489533610,0,1
1489534809,1,0
1489557608,0,1
1489566609,0,2
1489566908,0,2
1489567209,0,2
1489567509,0,2
1489567808,0,1
1489568109,0,2
1489568708,0,1
1489597208,0,1
1489609809,14,0
1489610708,0,1
1489611609,1,0
1489612209,10,0
1489612808,4,0
1489613109,3,0
1489614009,0,1
1489615209,2,0
1489616408,36,0
1489616709,5,0
1489618808,8,0
1489619409,6,0
1489619708,11,0
1489620909,0,1
1489623308,29,0
1489625408,0,1
1489631109,0,1
1489634409,0,1
1489639208,0,2
1489643708,0,1
1489644008,0,2
1489644308,0,1
1489646108,0,1
1489653908,0,1
1489666208,0,1
1489668609,0,1
1489676409,0,1
1489680908,0,4
1489681209,0,1
1489681510,0,1
1489685110,0,1
1489686608,0,2
1489687209,0,1
1489702809,0,1
1489710609,0,2
1489712108,0,1
1489712409,0,1
1489725009,0,2
1489755908,0,1
1489767009,0,1
1489771808,24,0
1489775409,12,2
1489775708,21,3
1489780209,51,0
1489780508,28,0
1489780809,10,0
1489781108,23,0
1489781413,19,0
1489781708,12,0
1489782009,10,0
1489784408,0,1
1489784709,0,1
1489792509,2,0
1489797910,0,1
1489807508,0,1
1489810809,0,1
1489817708,0,1
1489818008,0,3
1489818318,0,2
1489818609,0,3
1489820708,0,1
1489831508,0,1
1489831809,0,1
1489834508,0,1
1489837808,0,1
1489839009,6,0
1489839609,16,0
1489839909,0,1
1489840208,0,1
1489847709,0,2
1489852809,0,1
1489856408,0,1
1489858209,0,1
1489867510,0,1
1489869009,0,1
1489869308,0,3
1489869609,0,2
1489870208,36,0
1489870509,2,0
1489871408,0,3
1489872009,0,1
1489876809,0,1
1489877109,2,0
1489877409,3,0
1489878009,0,1
1489899609,0,1
1489899909,0,1
1489902309,0,1
1489903809,0,2
1489904409,0,1
1489911309,0,1
1489915210,0,1
1489921509,0,1
1489922709,0,1
1489934709,0,1
1489935308,1,0
1489941608,0,1
1489943709,0,1
1489950608,7,0
1489951209,6,0
1489952108,4,0
1489955110,12,0
1489956310,15,0
1489956608,0,1
1489957209,58,1
1489957509,18,0
1489957810,22,0
1489958108,2,0
1489958710,0,1
1489959009,20,0
1489959308,14,1
1489959608,23,0
1489959909,0,1
1489960208,25,0
1489960509,0,1
1489960809,1,2
1489961109,9,0
1489961408,21,0
1489961708,1,0
1489962008,11,1
1489962310,0,2
1489962609,16,1
1489963209,0,2
1489965909,14,0
1489967108,0,1
1489968309,0,1
1489973709,0,1
1489974009,0,1
1489975208,0,1
1489979109,0,1
1489981509,0,1
1489994409,0,1
1489996508,0,1
1489997709,0,1
1489998309,20,0
1489998609,0,1
1490001008,0,1
1490007008,0,1
1490016909,0,1
1490020508,0,1
1490029509,0,1
1490032508,0,1
1490033708,0,1
1490034309,0,1
1490040309,16,0
1490041809,0,2
1490046309,0,3
1490046609,0,1
1490046908,0,1
1490064310,0,1
1490073608,0,1
1490074208,0,1
1490076608,0,1
1490084108,0,2
1490084708,0,2
1490091609,0,1
1490092510,0,1
1490094008,0,1
1490098209,0,1
1490099708,0,1
1490102409,0,1
1490102709,0,1
1490104510,0,1
1490106310,0,1
1490108710,26,0
1490112610,20,0
1490115009,12,0
1490115308,12,0
1490116209,0,1
1490116509,0,1
1490116809,0,1
1490117409,0,2
1490117708,0,1
1490118009,0,2
1490118311,0,2
1490118608,0,2
1490119509,0,2
1490124608,4,0
1490126109,0,1
1490127309,0,1
1490132708,0,1
1490134808,0,1
1490136309,4,0
1490139010,0,1
1490139910,1,0
1490159708,0,1
1490176208,0,1
1490178609,0,1
1490187609,0,1
1490191808,0,2
1490192411,0,1
1490193009,0,1
1490200209,0,1
1490201709,0,1
1490202010,0,2
1490203509,0,1
1490203808,0,1
1490210108,18,0
1490223008,0,1
1490244607,0,1
1490273409,0,1
1490281809,0,1
1490286009,0,1
1490294408,0,1
1490299211,0,1
1490299509,3,0
1490299808,10,0
1490300108,3,0
