DateTime,AddedIPs,RemovedIPs
1485253510,0,1
1485268209,4,0
1485268511,4,0
1485272408,1,0
1485272709,1,0
1485275408,0,1
1485280809,0,1
1485309608,9,0
1485383710,5,0
1485439208,1,0
1485445208,1,0
1485458110,0,1
1485526807,3,0
1485530408,1,0
1485531908,1,0
1485538208,2,0
1485550508,1,0
1485571208,2,0
1485579910,1,0
1485618608,2,0
1485621308,1,0
1485690010,0,1
1485715509,2,0
1485715808,2,0
1485735609,1,0
1485739208,1,0
1485741308,1,0
1485770408,0,1
1485784208,2,0
1485784508,2,0
1485793810,1,0
1485795008,2,0
1485798608,2,0
1485803708,3,0
1485805208,2,0
1485805509,1,0
1485806409,1,0
1485809408,2,0
1485813309,1,0
1485816308,2,0
1485816608,1,0
1485826210,1,0
1485869708,1,0
1485877809,0,1
1485882008,1,0
1485898809,1,0
1485900611,1,0
1485903008,1,0
1485916508,1,0
1485963009,0,1
1485973809,2,0
1485975308,2,0
1485978308,1,0
1486045808,1,0
1486047910,1,0
1486048216,1,0
1486048808,2,0
1486050908,1,0
1486053309,1,0
1486054509,1,0
1486058708,3,0
1486061408,2,0
1486070708,1,0
1486077908,2,0
1486078209,1,0
1486078507,1,0
1486081208,1,0
1486084808,0,1
1486086309,2,0
1486124708,0,1
1486129509,4,0
1486129809,1,0
1486130408,2,0
1486130709,1,0
1486134310,1,0
1486135808,0,1
1486142408,2,1
1486144508,1,0
1486144808,1,0
1486145411,1,0
1486146909,1,0
1486151108,1,0
1486152908,1,0
1486153808,1,0
1486157408,0,1
1486164008,0,1
1486221908,2,0
1486243209,1,0
1486245609,1,0
1486259109,1,0
1486259408,1,0
1486261209,1,0
1486320608,3,0
1486386908,1,0
1486397411,5,0
1486403408,1,0
1486419308,1,0
1486419608,1,0
1486421409,3,0
1486421709,1,0
1486422008,0,1
1486480508,7,0
1486481108,1,0
1486481708,1,0
1486482008,1,0
1486483813,1,0
1486485608,1,0
1486486808,1,0
1486492208,2,0
1486561808,5,0
1486562107,1,0
1486572607,2,0
1486576809,0,1
1486584908,4,0
1486592408,1,0
1486607110,1,0
1486607409,5,0
1486607708,2,0
1486647308,1,0
1486650609,2,0
1486695608,0,1
1486698308,1,0
1486736709,0,1
1486740611,2,0
1486750810,1,0
1486752608,1,0
1486756508,1,0
1486757416,1,0
1486760108,1,0
1486762808,1,0
1486765508,1,0
1486791008,2,0
1486791308,3,0
1486830309,1,0
1486944308,3,0
1486961409,0,1
1486994409,2,0
1486994708,8,0
1486999510,1,0
1487013908,1,0
1487014208,1,0
1487016008,1,0
1487018408,2,0
1487022908,2,0
1487023208,2,0
1487028009,3,0
1487028308,1,0
1487028907,1,0
1487049908,0,1
1487086208,4,0
1487086509,1,0
1487098508,2,0
1487100909,0,2
1487101209,0,3
1487101510,0,3
1487101808,0,1
1487178908,1,0
1487287809,1,0
1487292309,1,0
1487364608,0,1
1487458809,1,0
1487461208,6,0
1487461508,5,0
1487466609,7,0
1487467509,1,0
1487467809,15,0
1487468108,2,0
1487472608,0,1
1487486409,5,3
1487486708,71,0
