DateTime,AddedIPs,RemovedIPs
1486945208,1,0
1486945509,2,0
1486959609,9,0
1486960508,0,1
1486974009,3,0
1486974309,2,0
1486988409,7,0
1487000708,2,0
1487001308,5,0
1487001609,252,0
1487002808,1,0
1487003108,8,0
1487008508,1,0
1487009113,159,0
1487012109,2,0
1487012408,2,0
1487012708,42,0
1487013009,5,0
1487017210,6,0
1487031908,10,0
1487032208,0,1
1487046009,6,1
1487061008,5,3
1487074808,5,0
1487089208,1,0
1487089509,4,0
1487090709,0,246
1487097608,1,0
1487097908,0,1
1487099110,1,0
1487101209,0,1
1487103610,8,0
1487118309,7,3
1487132408,5,0
1487139608,0,1
1487146808,3,0
1487147108,0,1
1487161209,6,0
1487161508,34,0
1487164509,1,0
1487175909,7,0
1487190008,6,0
1487204709,7,0
1487218209,1,0
1487218808,5,0
1487219409,1,0
1487220008,1,0
1487220908,1,0
1487233509,6,0
1487247609,10,0
1487262311,13,0
1487276408,17,0
1487291109,6,0
1487305208,6,0
1487319909,2,0
1487334008,8,0
1487336709,0,1
1487348709,7,0
1487349008,0,1
1487362808,5,0
1487377508,9,0
1487391609,2,0
1487406308,3,0
1487420408,6,0
1487431508,0,1
1487435109,9,0
1487449208,11,0
1487463908,4,0
1487476508,1,0
1487478008,12,0
1487492708,2,0
1487506808,8,0
1487519708,82,0
1487521510,2,0
1487535611,6,0
1487541007,0,1
1487550309,12,0
1487564408,3,0
1487579408,4,1
1487593210,6,0
1487598908,0,1
1487607909,11,0
1487617508,0,1
1487622008,20,0
1487622308,4,0
1487636709,11,0
1487650808,13,3
1487665510,4,0
1487678709,1,0
1487679609,9,0
1487694309,3,0
1487697309,0,1
1487708408,17,0
1487723107,9,0
1487737208,6,0
1487751909,8,0
1487753707,2,0
1487754009,114,0
1487754309,262,0
1487755212,1,0
1487757008,0,1
1487766009,5,0
1487780708,9,0
1487794808,13,0
1487807108,0,1
1487809509,13,0
1487823609,8,0
1487829308,1,0
1487838309,3,0
1487844308,11,0
1487844609,11,0
1487852409,6,0
1487867108,8,0
1487881208,13,0
1487891108,0,1
1487895909,14,0
1487897109,35,0
1487897408,88,0
1487897708,89,0
1487898008,10,0
1487907908,0,3
1487908208,0,7
1487908809,0,11
1487909109,0,3
1487910008,11,0
1487910608,0,1
1487916609,0,1
1487918108,0,1
1487924709,10,0
1487931608,0,1
1487933708,0,1
1487937008,0,1
1487938809,6,0
1487946308,0,1
1487951108,0,1
1487952308,0,3
1487952609,0,1
1487953509,9,0
1487956208,0,7
1487959508,0,1
1487967608,11,0
1487967908,16,0
1487974808,0,1
1487982009,0,1
1487982308,32,0
1487996408,9,0
1488001209,0,1
1488003608,1,0
1488011109,6,0
1488012309,0,1
1488025209,11,0
1488039910,19,0
1488044409,1,0
1488052508,0,1
1488054008,6,0
1488059409,0,1
1488060008,0,1
1488068709,10,0
1488082809,3,0
1488086108,0,1
1488096309,0,1
1488097811,3,0
1488111609,3,0
1488123308,0,1
1488126309,12,0
1488140409,11,0
1488155408,7,0
1488169209,8,0
1488183908,5,0
1488198008,5,0
1488204908,0,1
1488213010,8,0
1488226808,6,0
1488241508,7,0
1488253508,0,1
1488253809,0,1
1488255609,3,0
1488257408,0,1
1488270309,5,0
1488279008,0,1
1488284409,6,0
1488286208,0,1
1488290408,259,0
1488299109,15,0
1488312310,0,175
1488313208,9,0
1488317109,1,0
1488328208,9,0
1488342009,10,0
1488342309,1,0
1488356709,18,0
1488370811,3,0
1488371108,21,0
1488373208,0,1
1488381608,0,1
1488385508,25,0
1488399609,4,0
1488399909,15,0
1488414309,9,3
1488446741,256,0
1488456310,0,1
1488457209,7,0
1488471909,15,0
1488486008,5,0
1488486308,15,0
1488497408,0,1
1488501008,18,0
1488514809,6,0
1488515108,4,0
1488529508,6,0
1488543610,9,0
1488558008,17,0
1488561608,2,0
1488561909,1,0
1488562208,5,0
1488562507,3,0
1488573009,21,0
1488577808,1,0
1488579309,0,1
1488587108,15,0
1488589808,0,1
1488600909,5,0
1488601208,10,0
1488615609,12,0
1488629708,7,0
1488630009,4,0
1488644408,10,0
1488648908,1,0
1488658508,7,0
1488658809,2,0
1488673209,4,0
1488687308,7,0
1488701408,17,0
1488701708,79,0
1488702008,5,0
1488710708,1,0
1488716108,7,0
1488730808,15,0
1488744907,5,0
1488797409,276,10
1488799210,0,1
1488802208,0,1
1488802510,9,0
1488802808,3,0
1488806708,0,1
1488814508,0,1
1488817208,29,0
1488832208,23,0
1488837309,1,0
1488846008,13,0
1488860108,5,0
1488871809,22,0
1488874809,5,0
1488888908,9,0
1488898508,1,0
1488900608,0,1
1488903608,13,0
1488916208,15,0
1488917708,2,0
1488918008,10,0
1488931212,14,0
1488932408,4,0
1488946807,10,0
1488961208,8,0
1488975308,4,0
1488975908,1,0
1488980108,0,1
1488983707,3,0
1488987608,0,1
1488990008,9,0
1489004408,5,0
1489018808,4,0
1489024809,29,0
1489032908,7,0
1489033208,1,0
1489044609,0,1
1489047608,5,0
1489050609,3,0
1489061708,6,0
1489062009,1,0
1489076408,13,0
1489090808,15,0
1489105208,10,0
1489119309,3,0
1489119608,2,0
1489134008,7,0
1489146309,0,1
1489148108,6,0
1489148409,1,0
1489149009,0,1
1489162808,6,0
1489177208,19,0
1489191608,17,0
1489206009,11,0
1489219808,0,1
1489220409,6,0
1489234809,13,0
1489249208,16,3
1489249808,16,0
1489263608,20,0
1489278008,12,0
1489292409,3,0
1489306808,6,0
1489320908,3,0
1489321209,8,0
1489321509,0,1
1489335608,14,0
1489348810,0,1
1489350009,11,0
1489350908,1,0
1489351208,5,0
1489351509,3,0
1489351811,6,0
1489352109,1,0
1489364409,13,0
1489378809,6,0
1489393208,6,0
1489407608,15,0
1489422009,20,3
1489426208,13,0
1489426508,17,0
1489426809,7,0
1489427109,45,0
1489427408,8,0
1489428010,7,0
1489436409,21,0
1489450808,17,0
1489465208,4,0
1489479609,7,0
1489485308,0,1
1489493708,3,0
1489494008,0,1
1489508409,7,0
1489522808,12,0
1489537208,20,0
1489551608,9,0
1489566008,2,0
1489573808,217,0
1489574108,22,0
1489580409,9,0
1489594808,18,0
1489609208,7,0
1489617008,1,0
1489623608,8,0
1489635609,0,1
1489652408,5,0
1489666809,7,0
1489681208,15,253
1489695609,15,3
1489710008,8,0
1489724408,5,0
1489738808,6,0
1489740008,0,1
1489746908,14,0
1489747209,77,0
1489747509,46,0
1489753211,17,0
1489755608,0,1
1489764608,513,0
1489767609,29,0
1489770310,27,0
1489770908,73,0
1489771209,293,0
1489772408,1,0
1489780809,1,0
1489782008,17,4
1489796408,9,0
1489810809,9,0
1489825210,9,0
1489834508,6,0
1489835408,25,0
1489839609,9,0
1489848608,1,0
1489854009,11,0
1489859708,13,0
1489860910,0,1
1489868409,11,0
1489882809,2,3
1489897209,5,0
1489909209,0,1
1489911608,4,0
1489926009,7,0
1489940408,13,0
1489954815,11,0
1489969209,8,0
1489983608,8,0
1489997108,0,1
1489998008,3,0
1490001908,39,0
1490012408,9,0
1490016909,2,0
1490026808,11,6
1490030109,1,0
1490038208,47,0
