DateTime,Entries,UniqueIPs
1489627503,17439,656134511
1489631243,17495,656134567
1489632307,17496,656134568
1489634402,17474,656134545
1489637709,17473,656134544
1489641368,17499,656134571
1489643287,17498,656134570
1489645207,17472,656134544
1489648511,17506,656134579
1489652167,17501,656134574
1489656452,17482,656134555
1489659310,17504,656134577
1489662929,17495,656134568
1489666533,17496,656134569
1489667288,17497,656134570
1489670702,17502,656134574
1489673710,17485,656134556
1489675211,17486,656134556
1489677318,17486,656134556
1489679117,17489,656134559
1489679402,17489,656134559
1489680972,17488,656134558
1489681502,17488,656134558
1489683602,17486,656107678
1489684809,17483,656107675
1489686727,17483,656107675
1489688111,17484,656107676
1489688648,17467,656107661
1489692002,17433,656107626
1489693529,17433,656107626
1489695603,17481,656107675
1489696202,17481,656107675
1489696999,17481,656107675
1489698908,17481,656107675
1489699502,17481,656107675
1489702514,17480,656107674
1489706113,17479,656107673
1489706134,17479,656107673
1489708502,17479,656107673
1489709047,17484,656107678
1489709743,17458,656107654
1489713336,17453,656107648
1489716917,17475,656107670
1489720809,17476,656107671
1489724649,17488,656107682
1489727732,17500,656107694
1489731602,17506,656107701
1489735210,17529,656107724
1489738514,17529,656107724
1489742114,17526,656107721
1489742402,17526,656107721
1489745717,17530,656107725
1489749602,17521,656107715
1489753202,17521,656107715
1489756537,17515,656107709
1489758722,17516,656107710
1489760702,17516,656107710
1489762091,17516,656107710
1489763103,17517,656107711
1489763724,17518,656107712
1489765925,17516,656107711
1489766103,17517,656107712
1489767902,17518,656107713
1489769116,17518,656107713
1489770001,17516,656086209
1489771802,17512,656086205
1489772889,17513,656086206
1489773002,17513,656086206
1489774819,17517,656086210
1489776310,17517,656086210
1489776902,17515,656086208
1489778166,17516,656086209
1489778646,17511,656086204
1489779912,17513,656088252
1489781728,17513,656088252
1489785329,17510,656088249
1489789202,17502,656088240
1489791082,17502,656088240
1489792802,17517,656088256
1489793102,17517,656088256
1489795202,17519,656088258
1489796170,17538,656088278
1489796813,17538,656088278
1489798502,17538,656088278
1489800250,17541,656088281
1489803339,17551,656088291
1489807502,17526,656088263
1489810812,17548,656088285
1489814647,17551,656088288
1489818002,17553,656088290
1489821902,17549,656088286
1489825447,17540,656088277
1489826719,17540,656088277
1489828533,17531,656088268
1489832402,17523,656088260
1489835711,17509,656088245
1489839602,17525,656088261
1489842971,17522,656088258
1489843202,17531,656088267
1489846817,17532,656088269
1489850158,17538,656088275
1489853745,17538,656088275
1489855202,17538,656088275
1489856402,17544,656061139
1489857602,17548,656061143
1489858083,17549,656061144
1489861214,17545,656061140
1489861502,17544,656061140
1489863308,17544,656061140
1489864802,17544,656061140
1489866968,17543,656061140
1489868127,17550,656061147
1489869317,17550,656061147
1489872002,17546,656061143
1489872302,17546,656061143
1489875325,17545,656061142
1489875343,17560,656061157
1489877110,17561,656061158
1489877702,17561,656061158
1489879502,17560,656061157
1489881902,17561,656061158
1489882809,17563,656061161
1489884203,17563,656061161
1489886122,17567,656061165
1489886646,17567,656061165
1489890002,17552,656061150
1489893902,17515,656061111
1489897211,17543,656061139
1489901051,17544,656061140
1489904112,17545,656061141
1489904113,17541,656061137
1489908302,17544,656061140
1489911609,17520,656061116
1489913114,17521,656061117
1489915445,17546,656061142
1489916730,17549,656061145
1489918533,17548,656061144
1489918802,17550,656061146
1489920726,17551,656061147
1489922402,17558,656061154
1489924566,17558,656061154
1489926019,17557,656061153
1489929846,17555,656061151
1489933202,17555,656061151
1489937101,17534,656061130
1489940408,17534,656061129
1489942802,17534,656053705
1489943716,17555,656053727
1489945202,17556,656053471
1489945517,17556,656053471
1489947602,17561,656053476
1489948202,17561,656053476
1489949289,17568,656060644
1489951209,17568,656060644
1489951502,17568,656060644
1489955048,17567,656060643
1489956155,17567,656060643
1489956330,17568,656060644
1489956602,17567,656060643
1489958402,17565,656060641
1489958887,17565,656060641
1489960502,17565,656060641
1489962302,17561,656060637
1489965604,17557,656060633
