DateTime,AddedIPs,RemovedIPs
1489633698,18,46
1489637555,23,82
1489639451,13,37
1489641389,9,15
1489643319,3,16
1489645236,8,20
1489647143,9,10
1489649123,10,7
1489650992,15,15
1489652902,16,21
1489654914,14,26
1489656773,17,43
1489658674,15,42
1489660842,8,18
1489662736,60,810
1489664650,21,17
1489666583,364,0
1489668507,12,18
1489670434,20,16
1489672346,27,15
1489674259,16,13
1489676195,18,13
1489678123,19,12
1489680129,25,23
1489681964,18,14
1489683874,12,7
1489685801,28,20
1489687726,13,15
1489689645,15,17
1489691551,12,16
1489693465,16,17
1489695390,20,16
1489697342,13,17
1489699238,13,12
1489701159,9,14
1489703331,17,13
1489705346,8,10
1489707168,31,34
1489709072,326,0
1489712936,28,31
1489714839,11,8
1489716766,7,18
1489718668,7,10
1489720870,16,11
1489722783,8,17
1489724669,7,13
1489726588,13,8
1489728521,8,10
1489730501,8,14
1489732365,13,7
1489734525,24,28
1489736444,17,17
1489738357,12,12
1489740262,10,14
1489742440,16,18
1489744347,18,10
1489746406,11,14
1489748481,20,19
1489750344,3,763
1489752270,339,1
1489756122,54,20
1489758041,13,17
1489760219,19,17
1489762130,14,12
1489764047,16,17
1489765951,15,21
1489767856,9,7
1489770126,17,7
1489771988,18,16
1489773877,25,9
1489775787,23,11
1489777726,19,14
1489781553,30,46
1489783455,15,10
1489785377,11,19
1489787300,15,19
1489789261,7,5
1489791165,13,18
1489793058,9,10
1489794988,20,15
1489796925,301,0
1489798900,7,12
1489800786,6,6
1489802676,5,16
1489804603,18,25
1489806509,13,15
1489808415,7,15
1489810365,6,8
1489812267,12,12
1489814186,13,7
1489816110,9,4
1489818073,12,5
1489819978,7,12
1489821863,14,12
1489823779,10,26
1489825707,6,15
1489827692,7,12
1489829566,8,19
1489831455,19,24
1489835319,23,726
1489837241,16,8
1489839171,305,0
1489841069,18,17
1489843013,17,15
1489844907,7,4
1489846841,23,12
1489848761,20,8
1489850657,10,7
1489852576,16,13
1489854508,11,9
1489856501,9,11
1489858370,15,12
1489860268,13,6
1489862188,20,17
1489864120,31,14
1489866038,19,34
1489867958,11,14
1489869864,10,14
1489872042,9,14
1489873959,8,14
1489875873,12,21
1489877789,16,14
1489879696,16,12
1489881720,14,8
1489883554,295,0
1489885726,18,23
1489887639,8,9
1489889558,16,9
1489891466,6,6
1489893379,14,9
1489895299,12,11
1489897241,5,11
1489899178,12,11
1489901082,6,8
1489902998,7,7
1489904913,6,14
1489906910,7,9
1489908805,7,16
1489910666,9,20
1489912584,11,17
1489914524,22,20
1489916432,29,19
1489918354,15,20
1489920259,11,11
1489922174,25,634
1489924096,7,6
1489926035,249,0
1489927938,10,4
1489929868,17,9
1489931802,12,7
1489933709,14,5
1489935717,10,13
1489937564,30,26
1489941392,8,12
1489943325,16,7
1489945480,30,23
1489947395,8,5
1489949312,9,8
1489951242,18,16
1489953185,17,10
1489955055,13,10
1489956983,15,9
1489958908,13,9
1489960921,26,9
1489962749,12,11
1489964911,15,21
1489966838,8,9
1489968742,226,0
1489970654,16,9
1489972581,3,6
1489974499,11,5
1489976431,32,6
1489978335,10,8
1489980253,7,18
1489982176,10,6
1489984103,13,12
1489986100,16,7
1489987957,13,22
1489991786,28,13
1489995628,21,30
1489997542,4,5
1489999453,9,8
1490001400,4,9
1490003317,4,7
1490005250,16,14
1490007144,10,6
1490009077,33,636
1490011011,8,8
1490012907,281,0
1490014903,24,18
1490016757,44,14
1490018921,13,16
1490022749,39,24
1490024665,21,13
1490026593,17,10
1490028510,19,9
1490030433,14,6
1490032383,14,9
1490034264,18,9
1490036197,15,6
1490038136,10,8
1490040103,13,11
1490041941,6,11
1490043860,13,16
1490045797,27,26
1490049609,14,13
1490051795,26,27
1490053697,19,20
1490055629,268,0
1490057560,10,15
1490059485,13,9
1490061400,24,13
1490063344,13,6
1490065320,11,8
1490067145,31,21
1490071212,19,12
1490073161,31,15
1490075074,21,10
1490077243,5,7
1490079169,14,2
1490081076,17,10
1490082994,25,9
1490085181,14,7
1490087083,22,25
1490090921,30,32
1490092826,12,11
1490094747,11,611
1490096667,18,11
1490098882,283,0
1490100779,28,11
1490102659,11,5
1490104586,20,18
1490106535,20,3
1490108703,35,19
1490112501,35,20
1490114430,28,14
1490116390,29,9
1490118256,31,11
1490120178,33,6
1490122098,30,20
1490124023,13,8
1490126192,23,7
1490128119,15,9
1490130128,11,8
1490131951,7,5
1490133874,26,18
1490135795,6,14
1490139621,13,19
1490141551,245,0
1490143454,10,8
1490145390,14,7
1490147309,13,13
1490149229,20,5
1490151147,13,11
1490153055,7,8
1490154983,9,9
1490156909,19,10
1490158935,16,15
1490160752,13,4
1490162675,10,11
1490164599,33,17
1490166500,12,15
1490170349,40,13
1490172251,8,8
1490174179,13,7
1490176101,9,4
1490178043,10,13
1490179952,24,11
1490181883,11,767
1490183795,20,23
1490185723,383,0
1490187725,14,10
1490189549,16,15
