DateTime,Entries,UniqueIPs
1489670434,1165,1165
1489672346,1177,1177
1489674259,1180,1180
1489676195,1185,1185
1489678123,1192,1192
1489680129,1194,1194
1489681964,1198,1198
1489683874,1203,1203
1489685801,1211,1211
1489687726,1209,1209
1489689645,1207,1207
1489691551,1203,1203
1489693465,1202,1202
1489695390,1206,1206
1489697342,1202,1202
1489699238,1203,1203
1489701159,1198,1198
1489703331,1202,1202
1489705346,1200,1200
1489707168,1197,1197
1489709072,1523,1523
1489712936,1520,1520
1489714839,1523,1523
1489716766,1512,1512
1489718668,1509,1509
1489720870,1514,1514
1489722783,1505,1505
1489724669,1499,1499
1489726588,1504,1504
1489728521,1502,1502
1489730501,1496,1496
1489732365,1502,1502
1489734525,1498,1498
1489736444,1498,1498
1489738357,1498,1498
1489740262,1494,1494
1489742440,1492,1492
1489744347,1500,1500
1489746406,1497,1497
1489748481,1498,1498
1489750344,738,738
1489752270,1076,1076
1489756122,1110,1110
1489758041,1106,1106
1489760219,1108,1108
1489762130,1110,1110
1489764047,1109,1109
1489765951,1103,1103
1489767856,1105,1105
1489770126,1115,1115
1489771988,1117,1117
1489773877,1133,1133
1489775787,1145,1145
1489777726,1150,1150
1489781553,1134,1134
1489783455,1139,1139
1489785377,1131,1131
1489787300,1127,1127
1489789261,1129,1129
1489791165,1124,1124
1489793058,1123,1123
1489794988,1128,1128
1489796925,1429,1429
1489798900,1424,1424
1489800786,1424,1424
1489802676,1413,1413
1489804603,1406,1406
1489806509,1404,1404
1489808415,1396,1396
1489810365,1394,1394
1489812267,1394,1394
1489814186,1400,1400
1489816110,1405,1405
1489818073,1412,1412
1489819978,1407,1407
1489821863,1409,1409
1489823779,1393,1393
1489825707,1384,1384
1489827692,1379,1379
1489829566,1368,1368
1489831455,1363,1363
1489835319,660,660
1489837241,668,668
1489839171,973,973
1489841069,974,974
1489843013,976,976
1489844907,979,979
1489846841,990,990
1489848761,1002,1002
1489850657,1005,1005
1489852576,1008,1008
1489854508,1010,1010
1489856501,1008,1008
1489858370,1011,1011
1489860268,1018,1018
1489862188,1021,1021
1489864120,1038,1038
1489866038,1023,1023
1489867958,1020,1020
1489869864,1016,1016
1489872042,1011,1011
1489873959,1005,1005
1489875873,996,996
1489877789,998,998
1489879696,1002,1002
1489881720,1008,1008
1489883554,1303,1303
1489885726,1298,1298
1489887639,1297,1297
1489889558,1304,1304
1489891466,1304,1304
1489893379,1309,1309
1489895299,1310,1310
1489897241,1304,1304
1489899178,1305,1305
1489901082,1303,1303
1489902998,1303,1303
1489904913,1295,1295
1489906910,1293,1293
1489908805,1284,1284
1489910666,1273,1273
1489912584,1267,1267
1489914524,1269,1269
1489916432,1279,1279
1489918354,1274,1274
1489920259,1274,1274
1489922174,665,665
1489924096,666,666
1489926035,915,915
1489927938,921,921
1489929868,929,929
1489931802,934,934
1489933709,943,943
1489935717,940,940
1489937564,944,944
1489941392,940,940
1489943325,949,949
1489945480,956,956
1489947395,959,959
1489949312,960,960
1489951242,962,962
1489953185,969,969
1489955055,972,972
1489956983,978,978
1489958908,982,982
1489960921,999,999
1489962749,1000,1000
1489964911,994,994
1489966838,993,993
1489968742,1219,1219
1489970654,1226,1226
1489972581,1223,1223
1489974499,1229,1229
1489976431,1255,1255
1489978335,1257,1257
1489980253,1246,1246
1489982176,1250,1250
1489984103,1251,1251
1489986100,1260,1260
1489987957,1251,1251
1489991786,1266,1266
1489995628,1257,1257
1489997542,1256,1256
1489999453,1257,1257
1490001400,1252,1252
1490003317,1249,1249
1490005250,1251,1251
1490007144,1255,1255
1490009077,652,652
1490011011,652,652
1490012907,933,933
1490014903,939,939
1490016757,969,969
1490018921,966,966
1490022749,981,981
1490024665,989,989
1490026593,996,996
1490028510,1006,1006
1490030433,1014,1014
1490032383,1019,1019
1490034264,1028,1028
1490036197,1037,1037
1490038136,1039,1039
1490040103,1041,1041
1490041941,1036,1036
1490043860,1033,1033
1490045797,1034,1034
1490049609,1035,1035
1490051795,1034,1034
1490053697,1033,1033
1490055629,1301,1301
1490057560,1296,1296
1490059485,1300,1300
1490061400,1311,1311
1490063344,1318,1318
1490065320,1321,1321
1490067145,1331,1331
1490071212,1338,1338
1490073161,1354,1354
1490075074,1365,1365
1490077243,1363,1363
1490079169,1375,1375
1490081076,1382,1382
1490082994,1398,1398
1490085181,1405,1405
1490087083,1402,1402
1490090921,1400,1400
1490092826,1401,1401
1490094747,801,801
1490096667,808,808
1490098882,1091,1091
1490100779,1108,1108
1490102659,1114,1114
1490104586,1116,1116
1490106535,1133,1133
1490108703,1149,1149
1490112501,1164,1164
1490114430,1178,1178
1490116390,1198,1198
1490118256,1218,1218
1490120178,1245,1245
1490122098,1255,1255
1490124023,1260,1260
1490126192,1276,1276
1490128119,1282,1282
1490130128,1285,1285
1490131951,1287,1287
1490133874,1295,1295
1490135795,1287,1287
1490139621,1281,1281
1490141551,1526,1526
1490143454,1528,1528
1490145390,1535,1535
1490147309,1535,1535
1490149229,1550,1550
1490151147,1552,1552
1490153055,1551,1551
1490154983,1551,1551
1490156909,1560,1560
1490158935,1561,1561
1490160752,1570,1570
1490162675,1569,1569
1490164599,1585,1585
1490166500,1582,1582
1490170349,1609,1609
1490172251,1609,1609
1490174179,1615,1615
1490176101,1620,1620
1490178043,1617,1617
1490179952,1630,1630
1490181883,874,874
