DateTime,AddedIPs,RemovedIPs
1490238904,1351,1081
1490239805,1402,1017
1490240704,1399,1040
1490241605,1528,1059
1490242505,1204,1057
1490243405,1177,962
1490244304,1268,1012
1490245206,2286,1806
1490246106,1692,1338
1490247006,1540,1357
1490247905,1516,1311
1490248805,1511,1301
1490249705,1455,1293
1490250605,1458,1215
1490251507,1285,1192
1490252405,1418,1277
1490253307,21174,16626
1490254207,16988,14530
1490255107,11612,11478
1490256008,7805,7873
1490256908,12594,12883
1490257809,4559,4948
1490258710,6713,7032
1490259611,5372,5584
1490260510,5160,5294
1490261409,5317,5496
1490262310,5745,5764
1490263210,4821,4778
1490264111,5729,5360
1490265012,5560,5492
1490265912,5344,5156
1490266813,4319,4295
1490267711,6684,6535
1490268611,5289,5333
1490269511,5276,5209
1490270412,5360,5330
1490271312,5282,5303
1490272211,4632,4649
1490273113,7317,7292
1490274012,5057,5090
1490274911,5000,5195
1490275812,5655,5582
1490276714,6154,6162
1490277612,5590,5541
1490278514,6378,6248
1490279414,5878,5892
1490280314,4262,4169
1490281212,1696,1793
1490282112,1432,1753
1490283012,1423,1752
1490283911,1502,1748
1490284811,1466,1787
1490285717,7253,7305
1490286612,5462,5563
1490287513,2389,2546
1490288415,6403,6421
1490289312,4241,4345
1490290213,4913,4811
1490291113,3652,3021
1490292012,4209,3739
1490292913,3976,4182
1490293812,4435,4502
1490294713,3455,3455
1490295615,3282,3417
1490296514,2870,3068
1490297412,4050,4110
1490298312,2542,2348
1490299212,2534,2521
1490300112,3021,2970
1490301013,2924,2816
1490301914,2985,2953
1490302812,2212,2187
1490303711,631,627
1490304613,640,639
1490305510,654,616
1490306410,667,705
1490307311,660,714
1490308210,714,735
1490309111,611,692
1490310010,620,644
1490310911,717,732
1490311810,758,781
1490312710,841,914
1490313611,798,873
1490314509,775,765
1490315410,1054,1078
1490316309,946,945
1490317209,1089,1042
1490318109,1115,1056
1490319008,1098,1176
1490319908,1659,1802
1490320807,1881,2077
1490321709,1918,2031
1490322608,2340,2569
1490323507,2205,2442
1490324406,2438,2637
1490325307,1893,2097
1490326204,1036,958
1490327105,1079,1016
1490328005,1139,1164
1490328905,1026,998
1490329805,915,848
1490330704,1063,974
1490331605,844,791
1490332504,1181,1138
1490333404,1424,1331
1490334303,1079,1024
1490335204,1557,1426
1490336105,9034,8074
1490337006,8079,6921
1490337906,3976,3956
1490338807,7485,7246
1490339708,6585,6544
1490340608,6055,6106
1490341507,6683,6763
1490342408,5900,5960
1490343309,5661,5713
1490344208,5539,5677
1490345108,5041,5098
1490346009,5365,5284
1490346908,4931,4948
1490347809,4696,4675
1490348708,4235,4189
1490349607,4146,4081
1490350509,4551,4485
1490351408,4563,4451
1490352308,4332,4257
1490353207,4254,4250
1490354109,4396,4401
1490355008,4493,4513
1490355908,4567,4652
1490356808,4337,4346
1490357709,4327,4384
1490358610,4800,4789
1490359508,5208,5187
1490360409,5228,5208
1490361309,4497,4439
1490362208,5339,5224
1490363108,5403,5306
1490364009,5288,5253
1490364907,5441,5443
1490365808,4763,4787
1490366708,5525,5539
1490367609,4994,4968
1490368508,5567,5580
1490369409,4769,4762
1490370309,5076,5036
1490371208,4817,4796
1490372109,4547,4505
1490373010,3732,3723
1490373907,3474,3458
1490374810,2799,2787
1490375708,3628,3616
1490376607,3192,3181
1490377508,3515,3501
1490378407,2690,2686
1490379308,3566,3561
1490380208,2980,2958
1490381109,3384,3372
1490382009,2554,2538
1490382908,3473,3457
1490383807,2243,2201
1490384709,3073,3072
1490385606,2623,2628
1490386508,2910,2917
1490387407,3125,3127
1490388306,2830,2836
1490389206,2484,2483
1490390107,2630,2634
1490391006,2801,2804
1490391906,2411,2410
1490392807,2457,2459
1490393707,2158,2157
1490394607,2192,2193
1490395506,1905,1903
1490396406,2066,2061
1490397306,2124,2130
1490398206,2154,2162
1490399106,2201,2201
1490400005,2623,2618
1490400905,2453,2447
1490401806,2716,2715
1490402704,3316,3317
1490403605,3520,3518
1490404505,3652,3652
1490405406,3708,3705
1490406306,2896,2899
1490407206,2431,2435
1490408105,1099,1103
1490409005,930,936
1490409905,837,840
1490410804,1108,1117
1490411704,1034,1038
1490412604,933,937
1490413504,1056,1064
1490414404,1203,1211
1490415304,1044,1050
1490416204,996,997
1490417104,1077,1080
1490418004,1056,1063
1490418905,1149,1158
1490419804,1302,1313
1490420704,1408,1419
1490421603,1181,1193
1490422504,1122,1138
1490423404,1102,1116
1490424304,1010,1022
1490425203,1143,1679
1490426104,828,3433
1490427004,685,3674
1490427903,503,3920
1490428803,951,3101
1490429702,1123,2380
1490430603,963,899
1490431502,1426,742
1490432403,1500,608
1490433303,1277,831
1490434203,1119,720
1490435103,1076,691
1490436003,977,825
1490436903,815,973
1490437803,1124,847
1490438704,1573,720
1490439603,1059,818
1490440503,502,883
1490441403,678,920
1490442302,799,1048
1490443203,823,1104
1490444102,853,974
1490445003,723,988
1490445903,501,931
1490446803,752,896
1490447703,1103,836
1490448603,1139,852
1490449502,1262,657
1490450403,933,470
1490451304,997,870
1490452203,921,1039
1490453102,989,924
1490454003,908,614
1490454903,939,480
1490455803,676,433
1490456703,627,377
1490457603,691,376
1490458503,1525,302
1490459403,1138,268
1490460303,796,556
1490461203,828,767
1490462103,641,549
1490463003,875,820
1490463904,590,692
1490464803,660,893
1490465703,744,1034
1490466603,704,926
1490467503,534,701
1490468403,729,616
1490469303,616,707
1490470203,609,1049
1490471103,376,1105
1490472003,521,1126
1490472903,443,854
1490473803,451,974
1490474703,454,1000
1490475603,383,1806
1490476503,1348,1761
1490477402,672,1719
1490478303,737,1501
1490479202,747,1371
1490480103,810,1231
1490481003,703,1406
1490481902,1236,1455
1490482803,944,1666
1490483703,1141,1215
1490484602,649,405
1490485503,1081,256
1490486403,753,391
1490487303,452,394
1490488202,776,316
1490489103,710,411
1490490002,925,344
1490490903,944,493
1490491803,601,523
1490492703,677,436
1490493603,670,388
1490494503,543,623
1490495403,604,492
1490496303,593,535
1490497203,829,551
1490498103,721,474
1490499003,810,450
1490499904,745,315
1490500803,679,391
1490501703,699,457
1490502603,721,807
1490503503,645,726
1490504404,772,588
1490505303,835,745
1490506203,821,532
1490507103,794,849
1490508004,687,401
1490508903,839,198
1490509803,703,191
1490510703,845,181
1490511604,732,449
1490512503,778,683
1490513403,716,597
1490514304,691,1029
1490515204,827,1095
1490516103,766,780
1490517003,800,1063
1490517904,1009,1201
1490518804,1059,1168
1490519704,951,1096
1490520604,1191,1299
1490521503,934,945
1490522403,1098,1173
1490523304,922,824
1490524204,1232,1063
1490525104,989,987
1490526003,1394,1390
1490526904,1210,1228
1490527804,1081,983
1490528703,1099,969
1490529604,1061,1029
1490530503,1257,1263
1490531403,1098,1086
1490532304,1095,1112
1490533204,1323,1330
1490534103,1288,1107
1490535004,1283,967
1490535904,1199,1032
1490536803,1214,1005
1490537704,1080,1060
1490538604,1573,1280
1490539504,1071,952
1490540404,842,866
1490541304,1116,925
1490542204,1544,1114
1490543103,1570,1216
1490544003,942,876
1490544904,1082,1171
1490545804,1077,1236
1490546704,1054,1097
1490547603,870,917
1490548504,977,1083
1490549404,905,1116
1490550304,1044,1232
1490551203,668,831
1490552104,657,811
1490553004,950,1001
1490553904,936,1045
1490554804,896,981
1490555704,729,870
1490556604,778,963
1490557504,706,873
1490558404,640,777
1490559304,553,772
1490560203,682,913
1490561104,503,612
1490562004,450,578
1490562904,680,1172
1490563804,509,740
1490564703,516,669
1490565604,459,668
1490566504,523,586
1490567403,472,508
1490568303,438,485
1490569204,572,548
1490570104,635,636
1490571004,742,858
1490571903,619,731
1490572803,648,786
1490573703,761,1006
1490574603,752,869
1490575504,923,1057
1490576403,1029,1183
1490577304,1174,1336
1490578203,933,1071
1490579104,918,1137
1490580003,769,970
1490580903,722,822
1490581803,764,818
1490582703,867,683
1490583604,800,713
1490584504,809,686
1490585404,830,690
1490586304,919,749
1490587203,1120,890
1490588104,1087,938
1490589003,1205,936
1490589904,1176,900
1490590803,1081,985
1490591703,1113,1007
1490592603,1102,1063
1490593504,1126,955
1490594403,892,753
1490595304,1187,1006
1490596203,1035,860
1490597103,1086,1001
1490598003,933,834
1490598903,1116,815
1490599804,1207,1344
1490600703,928,982
1490601604,1034,1061
1490602504,817,828
1490603404,886,883
1490604304,868,924
1490605204,1148,1042
1490606103,859,809
1490607003,881,780
1490607903,1573,1118
1490608803,1495,1186
1490609704,1212,1124
1490610604,1117,1162
1490611504,964,1138
1490612404,835,996
1490613304,1281,1169
1490614203,1123,1050
1490615104,1233,1141
1490616003,1263,1285
1490616903,1001,989
1490617804,1290,1253
1490618703,1157,1142
1490619604,955,984
1490620504,1195,1209
1490621404,1026,945
1490622303,1721,1490
1490623204,1741,1338
1490624104,1368,1078
1490625004,1540,1190
1490625904,1258,1048
1490626803,1119,816
1490627704,1430,1257
1490628604,704,598
1490629503,710,595
1490630404,825,896
1490631304,1057,918
1490632204,1338,1012
1490633105,839,717
1490634004,986,743
1490634903,792,691
1490635804,930,818
1490636704,935,845
1490637603,847,781
1490638503,733,707
1490639404,595,571
1490640304,993,865
1490641204,824,734
1490642104,684,606
1490643004,614,581
1490643904,740,738
1490644804,742,776
1490645704,689,719
1490646604,739,708
1490647504,1709,1658
1490648403,3590,3196
1490649304,957,1142
1490650204,933,1090
1490651104,673,833
1490652005,916,1188
1490652904,806,974
1490653803,802,1040
1490654704,756,1133
1490655603,660,991
1490656503,1037,1331
1490657404,934,1321
1490658303,981,1255
1490659204,990,1208
1490660104,1143,1444
1490661004,1131,1304
1490661904,1052,1196
1490662804,1049,1222
1490663703,1383,1599
1490664603,1379,1436
1490665504,1382,1420
1490666403,1126,1256
1490667304,1091,1144
1490668204,920,1087
1490669103,1206,1340
1490670004,1311,1330
1490670904,1066,1222
1490671804,1183,1320
1490672704,1163,1270
1490673604,1034,931
1490674504,1285,1143
1490675404,1087,929
1490676303,1648,1243
1490677204,1335,1169
1490678104,1538,1124
1490679004,1368,1103
1490679904,1432,1292
1490680803,1154,1139
1490681704,1160,1181
1490682604,1231,1278
1490683504,1118,1282
1490684405,1133,1287
1490685304,1084,1251
1490686204,1113,1150
1490687105,890,1058
1490688005,1102,1324
