DateTime,AddedIPs,RemovedIPs
1483473913,317,297
1483488318,305,272
1483502711,293,321
1483517109,287,291
1483531509,311,305
1483545908,355,279
1483560316,296,310
1483574711,234,383
1483589107,254,333
1483603507,448,322
1483617912,277,325
1483632311,248,298
1483646714,280,295
1483661108,303,303
1483675508,324,282
1483689909,307,331
1483704312,264,331
1483718734,284,306
1483733111,219,438
1483747508,220,361
1483761907,317,243
1483776308,307,257
1483790712,325,234
1483805108,282,305
1483819511,521,284
1483833911,267,306
1483848308,153,424
1483862708,353,282
1483877111,297,313
1483891508,276,325
1483905914,273,275
1483920307,280,299
1483934708,305,303
1483949107,297,292
1483963511,302,253
1483977908,305,481
1483992308,245,243
1484006710,275,90
1484021108,124,165
1484035508,463,264
1484049922,283,263
1484064309,322,273
1484078710,263,278
1484093108,245,292
1484107508,290,305
1484121907,271,300
1484136308,237,282
1484150710,290,252
1484165112,305,278
1484179507,273,276
1484193908,233,318
1484208307,247,301
1484222710,232,286
1484237123,242,278
1484251511,287,243
1484265930,277,305
1484280366,276,283
1484294712,285,245
1484305705,236,209
1484316637,198,230
1484330964,254,278
1484345213,250,232
1484359750,122,397
1484374176,137,238
1484388308,311,247
1484402707,285,260
1484417119,258,282
1484431528,294,292
1484445944,253,268
1484460324,317,296
1484474725,277,269
1484489107,37,417
1484503507,603,299
1484517908,292,302
1484532307,287,341
1484546708,316,295
1484561113,327,235
1484575509,280,259
1484589908,267,258
1484604312,258,254
1484618707,241,294
1484633108,294,223
1484647507,283,0
1484661910,280,135
1484676309,261,287
1484690713,260,278
1484705133,291,294
1484719508,288,318
1484733908,254,269
1484748323,279,254
1484762714,280,247
1484777126,260,253
1484791549,274,311
1484805936,224,262
1484820307,261,282
1484834819,245,251
1484849111,258,271
1484863516,281,265
1484877992,243,286
1484892316,252,268
1484906708,244,285
1484921107,232,269
1484935507,286,272
1484949919,202,263
1484964317,185,260
1484978707,171,232
1484993109,173,237
1485007515,90,402
1485021921,191,255
1485036321,229,233
1485050707,214,267
1485065114,255,234
1485079511,238,234
1485093909,223,274
1485108308,240,179
1485122706,260,177
1485137107,258,164
1485151507,263,154
1485165912,242,105
1485180308,203,189
1485194708,227,199
1485209125,201,213
1485223506,208,268
1485237906,193,235
1485252307,215,205
1485266708,239,246
1485281107,245,257
1485295225,113,122
1485309624,100,289
1485324021,339,252
1485338425,71,248
1485352821,217,224
1485367224,196,223
1485381625,211,205
1485396023,203,232
1485410433,199,216
1485424822,72,322
1485439227,695,243
1485453624,232,241
1485468022,206,214
1485482423,211,193
1485496833,104,337
1485511219,66,258
1485525627,574,189
1485540022,209,211
1485554425,182,192
1485568820,183,199
1485583232,206,230
1485597623,195,222
1485612022,209,217
1485626418,191,216
1485640822,203,206
1485655222,209,198
1485669631,9,396
1485684021,617,179
1485698420,232,185
1485712821,238,193
1485727226,217,179
1485741624,234,207
1485756033,203,218
1485770423,203,202
1485784823,221,183
1485799224,237,211
1485813623,838,213
1485828026,202,226
1485842432,128,223
1485856826,336,220
1485871229,241,222
1485885634,1604,238
1485900054,4902,214
1485914452,298,199
1485928865,212,217
1485943248,251,241
1485957667,206,856
1485972049,230,188
1485986445,243,210
1486000847,201,221
1486015264,218,242
1486029649,257,243
1486044069,255,790
1486058423,217,5594
1486072821,235,416
1486087225,391,205
1486101635,253,242
1486116026,219,227
1486130425,225,242
1486144834,246,219
1486159226,218,209
1486173623,208,248
1486188037,222,240
1486202425,211,247
1486216824,100,508
1486231222,1379,364
1486245630,1315,183
1486260030,189,222
1486274436,231,208
1486288833,191,225
1486303228,205,235
1486317630,321,179
1486332028,944,197
