DateTime,Entries,UniqueIPs
1488163836,5496,5701
1488169835,5494,5698
1488175235,5488,5692
1488180035,5489,5693
1488185435,5488,5692
1488190835,5484,5688
1488196236,5481,5685
1488202236,5481,5685
1488208235,5480,5684
1488212436,5477,5681
1488218436,5473,5677
1488223235,5474,5678
1488228035,5472,5676
1488234036,5471,5675
1488239435,5467,5671
1488245436,5465,5669
1488250836,5465,5670
1488255635,5463,5668
1488261035,5463,5668
1488266435,5463,5668
1488271835,5460,5665
1488277238,5463,5668
1488283236,5465,5670
1488288635,5455,5660
1488293436,5455,5660
1488299436,5451,5656
1488304835,5451,5656
1488309636,5455,5659
1488315636,5443,5646
1488319836,5437,5640
1488326435,5438,5643
1488331836,5437,5641
1488336635,5428,5630
1488342635,5416,5618
1488347436,5404,5606
1488352835,5402,5603
1488357635,5396,5597
1488363035,5395,5596
1488368435,5390,5591
1488374435,5382,5583
1488379835,5380,5581
1488385236,5378,5579
1488390636,5371,5572
1488396032,5364,5565
1488401432,5362,5562
1488406232,5359,5559
1488412232,5345,5545
1488417632,5336,5536
1488423034,5339,5539
1488428431,5332,5532
1488433231,5325,5525
1488438630,5318,5518
1488444031,5311,5510
1488449431,5309,5509
1488455432,5307,5508
1488460833,5304,5505
1488465632,5304,5505
1488471632,5294,5495
1488476431,5292,5493
1488481831,5285,5486
1488487231,5286,5487
1488492632,5262,5463
1488498632,5263,5464
1488504031,5266,5467
1488509431,5259,5460
1488514832,5248,5449
1488520231,5253,5454
1488525632,5259,5460
1488531031,5256,5457
1488536432,5254,5455
1488541832,5256,5457
1488547231,5254,5454
1488552631,5248,5448
1488558632,5243,5443
1488563431,5242,5442
1488568832,5236,5436
1488573631,5230,5430
1488579633,5224,5424
1488585032,5225,5424
1488589831,5217,5416
1488595831,5209,5408
1488601233,5210,5409
1488606031,5209,5408
1488610831,5204,5403
1488614429,5205,5404
1488618032,5187,5385
1488622231,5185,5383
1488627631,5183,5381
1488638431,5180,5378
1488644435,5173,5371
1488649232,5162,5358
1488655232,5163,5359
1488660031,5159,5355
1488665431,5153,5348
1488674432,5133,5321
1488680432,5133,5321
1488684632,5129,5317
1488691831,5118,5307
1488695429,5116,5303
1488699631,5107,5294
1488709232,5104,5290
1488713432,5099,5283
1488717631,5082,5265
1488723031,5069,5250
1488726029,5069,5251
1488729631,5071,5253
1488733228,5064,5246
1488736832,5065,5247
1488740429,5054,5236
1488744631,5052,5235
1488751232,5042,5223
1488756031,5037,5218
1488761430,5023,5204
1488771631,5019,5200
1488777031,5016,5197
1488780629,5017,5198
1488783631,4998,5179
1488790831,4993,5174
1488794429,4996,5177
1488802229,5000,5180
1488808234,4983,5163
1488813032,4984,5164
1488819032,4983,5163
1488823831,4977,5157
1488829831,4965,5145
1488834633,4965,5145
1488840633,4961,5141
1488845430,4955,5135
1488851432,4945,5125
1488856831,4941,5121
1488861031,4943,5123
1488865230,4940,5120
1488870631,4938,5118
1488875431,4941,5122
1488880231,4933,5114
1488885032,4931,5111
1488891033,4932,5112
1488895831,4928,5108
1488899429,4929,5109
1488903031,4926,5105
1488908430,4916,5095
1488914431,4913,5092
1488919231,4902,5079
1488924031,4895,5072
1488927629,4896,5073
1488931231,4898,5075
1488934829,4900,5077
1488938431,4897,5072
1488942029,4888,5063
1488949229,4883,5059
1488952231,4886,5062
1488956431,4876,5051
1488960029,4878,5053
1488963632,4880,5055
1488967229,4872,5046
1488970832,4864,5037
1488974429,4867,5040
1488978631,4853,5026
1488982229,4854,5027
1488987631,4847,5019
1488993031,4837,5008
1488998431,4826,4997
1489003234,4821,4992
1489006829,4822,4993
1489011031,4813,4983
1489015231,4814,4984
1489020031,4811,4981
1489026031,4808,4978
1489030831,4804,4974
1489035631,4798,4968
1489042831,4790,4960
1489047031,4785,4955
1489056031,4780,4950
1489061433,4770,4940
1489066233,4768,4938
1489070431,4768,4938
1489075231,4754,4925
1489081831,4756,4927
1489085428,4748,4917
1489089030,4754,4923
1489093831,4749,4918
1489099231,4746,4915
1489105831,4736,4906
1489109428,4737,4907
1489113031,4736,4906
1489120830,4728,4898
1489125630,4720,4887
1489132829,4714,4881
1489137031,4709,4876
1489142430,4710,4877
1489146028,4703,4870
1489149631,4699,4866
1489155031,4693,4860
1489161631,4692,4858
1489168828,4688,4854
1489172431,4689,4855
1489176630,4686,4852
1489181431,4681,4847
1489188630,4674,4840
1489192229,4668,4834
1489199428,4661,4827
1489206629,4656,4822
1489210230,4658,4824
1489213228,4654,4819
1489217430,4648,4813
1489224630,4646,4811
1489231230,4641,4805
1489242634,4630,4794
1489249831,4627,4791
1489253429,4629,4793
1489256430,4621,4785
1489260028,4622,4786
1489263631,4613,4777
1489267229,4606,4770
1489270831,4607,4771
1489274429,4603,4767
1489277432,4605,4769
1489281630,4592,4755
1489285228,4593,4756
1489289430,4591,4754
1489293029,4592,4755
1489296030,4586,4749
1489303230,4587,4750
1489306829,4582,4745
1489314029,4578,4741
1489317630,4572,4735
1489321229,4575,4738
1489325430,4570,4733
1489332030,4572,4735
1489336231,4564,4727
1489339828,4568,4731
1489350029,4560,4723
1489357229,4555,4718
1489361431,4546,4709
1489365028,4547,4710
1489368632,4546,4709
1489375831,4546,4708
1489379428,4544,4706
1489386027,4543,4705
1489389630,4541,4703
1489400429,4532,4693
1489404030,4534,4695
1489408230,4532,4693
1489411829,4534,4695
1489418429,4537,4698
1489425630,4536,4697
1489429831,4534,4694
1489437631,4531,4691
1489441228,4533,4693
1489444231,4533,4693
1489447229,4532,4692
1489451430,4530,4690
1489462230,4523,4683
1489468830,4523,4684
1489472428,4518,4679
1489479628,4519,4680
1489484430,4510,4668
1489487430,4511,4669
