DateTime,AddedIPs,RemovedIPs
1488649232,82,97
1488655232,57,66
1488660031,131,113
1488665431,83,80
1488669029,44,49
1488674432,99,97
1488680432,93,133
1488684632,60,71
1488688229,53,43
1488691831,42,48
1488695429,59,45
1488699631,97,93
1488703229,106,78
1488709232,54,68
1488713432,95,94
1488717631,80,84
1488723031,71,83
1488726029,50,63
1488729631,41,41
1488733228,36,47
1488736832,91,79
1488740429,84,78
1488744631,90,71
1488751232,70,62
1488756031,129,146
1488761430,64,86
1488766231,69,92
1488771631,50,58
1488777031,93,95
1488780629,60,80
1488783631,61,44
1488787229,44,39
1488790831,54,36
1488794429,99,90
1488802229,152,115
1488808234,61,86
1488813032,72,60
1488819032,130,102
1488823831,107,114
1488829831,70,50
1488834633,156,124
1488840633,55,76
1488845430,88,100
1488851432,76,90
1488856831,93,118
1488861031,72,68
1488865230,48,61
1488870631,100,115
1488875431,120,88
1488880231,57,51
1488885032,79,85
1488891033,88,112
1488895831,113,99
1488899429,65,70
1488903031,29,52
1488908430,93,110
1488914431,108,87
1488919231,53,90
1488924031,61,50
1488927629,32,24
1488931231,75,84
1488934829,56,56
1488938431,59,86
1488942029,36,44
1488945631,17,25
1488949229,59,72
1488952231,87,71
1488956431,54,42
1488960029,82,43
1488963632,44,42
1488967229,31,30
1488970832,66,69
1488974429,82,54
1488978631,90,62
1488982229,49,50
1488987631,116,94
1488993031,78,88
1488998431,81,111
1489003234,61,62
1489006829,33,33
1489011031,83,67
1489015231,93,87
1489020031,83,71
1489026031,66,140
1489030831,72,90
1489035631,54,71
1489039228,36,45
1489042831,40,47
1489047031,53,53
1489050628,66,75
1489056031,91,100
1489061433,39,62
1489066233,85,93
1489070431,65,69
1489075231,34,71
1489078829,49,48
1489081831,52,28
1489085428,47,36
1489089030,72,58
1489093831,84,79
1489099231,57,68
1489102228,21,32
1489105831,76,60
1489109428,83,63
1489113031,32,45
1489116629,37,45
1489120830,37,38
1489125630,56,63
1489132829,106,121
1489137031,44,44
1489142430,46,49
1489146028,61,69
1489149631,51,66
1489155031,65,61
1489158028,51,53
1489161631,38,30
1489168828,93,81
1489172431,43,55
1489176630,56,61
1489181431,41,48
1489185029,61,67
1489188630,82,50
1489192229,35,42
1489195834,22,36
1489199428,46,44
1489206629,80,95
1489210230,49,51
1489213228,40,37
1489217430,36,30
1489221029,21,20
1489224630,83,90
1489227628,30,33
1489231230,45,39
1489234828,33,43
1489238432,21,31
1489242634,38,42
1489246228,38,62
1489249831,58,47
1489253429,54,57
1489256430,31,31
1489260028,32,37
1489263631,75,62
1489267229,37,34
1489270831,34,39
1489274429,25,21
1489277432,45,38
1489281630,44,35
1489285228,47,33
1489289430,41,43
1489293029,57,61
1489296030,27,34
1489299628,51,60
1489303230,58,68
1489306829,34,42
1489310431,35,28
1489314029,41,37
1489317630,37,35
1489321229,38,39
1489325430,56,50
1489329029,33,36
1489332030,32,41
1489336231,29,25
1489339828,57,52
1489342830,53,63
1489350029,60,78
1489357229,62,62
1489361431,42,44
1489365028,35,35
1489368632,58,42
1489372229,41,55
1489375831,33,25
1489379428,52,54
1489382430,57,42
1489386027,27,32
1489389630,28,42
1489393228,47,50
1489400429,74,57
1489404030,44,41
1489408230,54,46
1489411829,46,38
1489415432,49,51
1489418429,77,66
1489425630,74,71
1489429831,51,51
1489433430,42,28
1489437631,51,50
1489441228,53,55
1489444231,27,49
1489447229,29,29
1489451430,45,48
1489455028,45,61
1489458031,68,72
1489462230,41,32
1489465829,19,21
1489468830,34,44
1489472428,40,39
1489479628,83,47
1489484430,57,48
1489487430,45,44
1489491031,44,36
1489494629,59,74
1489498230,34,49
1489501232,17,22
1489504831,33,32
1489509035,47,47
1489512622,33,38
1489515624,21,37
1489523422,78,66
1489527024,52,62
1489530622,60,51
1489534226,55,49
1489537223,35,33
1489544422,60,70
1489547424,44,24
1489551624,29,30
1489555222,39,43
1489558826,39,51
1489566023,65,97
1489569623,60,61
1489573223,53,48
1489576823,44,29
1489580422,26,19
1489583424,56,30
1489587625,54,43
1489591826,37,34
1489596026,39,47
1489600824,75,51
1489604422,57,41
1489608024,106,86
1489615222,110,91
1489619425,47,50
1489624224,36,62
1489627823,19,26
1489631424,44,70
1489635022,37,55
1489638024,32,44
1489641622,53,53
1489645225,64,48
1489649425,87,55
1489653023,54,33
1489656624,34,32
1489660223,70,68
1489663824,37,40
1489667422,27,39
1489674622,60,79
1489678224,62,71
1489681822,89,82
1489685425,53,51
1489689022,74,63
1489693224,36,43
1489698025,66,66
1489702225,37,32
1489707025,61,57
1489710622,49,44
1489714223,38,40
1489717823,70,71
1489721426,65,60
1489725022,41,75
1489728625,57,59
1489731621,38,30
1489735825,52,39
1489739422,26,26
1489743025,42,39
1489746623,47,41
1489750225,49,37
1489753822,70,93
1489758025,50,64
1489761622,72,59
1489766427,75,76
1489770022,53,29
1489773627,42,47
1489777223,53,34
1489780825,29,32
1489784423,46,47
1489788024,49,27
1489791622,76,87
1489795225,46,48
1489798822,63,69
1489802428,63,58
1489806022,48,47
1489809624,39,54
1489813222,34,33
1489816824,35,35
1489820424,42,37
1489824024,46,36
1489827622,60,53
1489834822,146,120
1489838424,65,71
1489842624,59,72
1489847426,40,81
1489854622,59,83
1489858255,30,42
1489861822,40,61
1489864824,45,46
1489868423,95,43
1489872626,96,72
1489876222,55,45
1489880424,71,50
1489885224,80,66
1489889424,45,52
1489894824,52,70
1489898421,35,52
1489903225,54,64
1489906824,71,80
1489910424,63,55
1489914022,51,37
1489917626,51,77
1489921222,43,44
1489924824,62,48
1489928422,39,57
1489932627,24,52
1489938024,37,53
1489942825,56,54
1489946422,65,64
1489949424,80,66
1489953625,76,62
1489957222,58,44
1489960825,41,41
1489964423,32,34
1489967425,42,26
1489971624,35,49
1489975222,47,34
1489978825,35,46
1489982422,88,66
1489986024,45,54
1489989022,29,62
1489992624,73,50
1490000421,104,99
1490007626,60,92
1490011224,20,35
1490014224,47,51
1490017826,25,40
1490025022,103,101
1490029224,72,80
1490032822,21,24
1490036425,65,61
1490040022,35,37
1490043624,41,40
1490047221,34,39
1490050222,58,33
1490054424,48,28
1490058021,69,69
1490065220,141,94
1490068823,45,53
1490076021,92,95
1490079625,48,48
1490083222,28,38
1490086824,41,44
1490089822,37,36
1490094025,65,62
1490097623,62,60
1490101224,48,65
1490104222,71,65
1490108424,63,54
1490112023,53,59
1490119222,67,71
1490122224,42,37
1490129422,91,97
1490133024,72,64
1490136622,72,46
1490143822,100,107
1490148026,85,57
1490151622,49,31
1490155225,40,46
1490158822,27,35
1490161824,39,29
1490169022,115,134
1490172624,73,52
1490176222,63,57
1490179824,70,60
1490184025,53,55
1490187622,69,75
1490191224,37,73
1490194823,29,41
1490198424,18,35
1490202022,33,53
1490205625,80,97
1490209222,57,58
1490212824,56,49
1490216422,84,75
1490220024,40,38
1490223622,66,50
1490227225,54,47
1490230824,25,42
1490234423,20,37
1490238022,30,48
1490241026,30,38
1490248222,120,133
1490251824,67,45
1490255423,50,29
1490259025,40,50
1490263224,67,53
1490266822,29,32
1490270424,35,46
1490274022,28,39
1490277024,47,37
1490281225,80,79
1490284822,52,61
1490288424,39,47
1490295022,101,100
1490298624,69,81
1490305822,69,55
1490309424,35,34
1490313022,42,43
1490316624,58,58
1490320223,52,65
1490323826,59,47
1490327421,65,70
1490331024,41,52
1490334622,53,41
1490338224,38,42
1490341822,35,37
1490349022,60,74
1490352624,39,47
1490356824,95,74
1490360422,43,42
1490363424,30,45
1490367022,65,61
1490370625,39,42
1490374824,53,59
1490378422,33,59
1490381424,20,13
1490385022,24,27
1490388624,39,31
1490392222,74,60
1490395829,44,33
1490399423,57,55
1490403025,62,49
1490406622,43,41
1490410224,56,61
1490413823,23,41
1490417424,30,43
1490421022,17,30
1490424624,21,42
1490428222,47,45
1490431824,59,62
1490435423,63,39
1490439025,51,56
1490443250,51,28
1490446823,61,56
1490449825,29,31
1490454024,32,37
1490457623,23,43
1490460624,31,19
1490464225,26,40
1490467824,67,61
1490471423,47,37
1490475025,63,45
1490478625,68,61
1490481624,47,23
1490485826,84,55
1490489422,41,26
1490493626,37,54
1490497222,26,31
1490500825,28,30
1490504422,65,90
1490507424,30,41
1490511023,69,48
1490514624,69,66
1490518222,37,37
1490521825,48,45
1490525423,38,44
1490529625,45,37
1490533223,26,45
1490536225,19,30
1490539823,44,50
1490543425,60,54
1490547022,65,63
1490550624,61,52
1490554824,55,51
1490558422,65,57
1490562024,50,30
1490565023,38,46
1490568624,45,26
1490572222,37,30
1490576425,44,50
1490580023,82,77
1490583024,48,53
1490586623,62,56
1490590225,47,56
1490593822,47,57
1490597425,47,45
1490601022,31,39
1490604625,28,46
1490608222,21,48
1490611825,29,26
1490615423,68,84
1490622623,99,107
1490626226,39,61
1490629823,47,32
1490633427,68,48
1490637023,41,31
1490640626,50,43
1490644828,352,21
1490649626,232,20
1490655026,49,62
1490660425,87,71
1490666426,122,156
1490671826,61,116
1490676626,52,55
