DateTime,AddedIPs,RemovedIPs
1484644852,10,10
1484655652,4,0
1484666450,6,48
1484671856,2,0
1484682059,9,27
1484693455,9,0
1484704256,1,76
1484715053,6,7
1484726459,8,47
1484737261,5,36
1484748058,3,37
1484757653,6,7
1484768456,1,0
1484779857,5,64
1484790657,4,36
1484802054,2,0
1484812862,2,23
1484823660,4,20
1484833856,1,18
1484844652,6,9
1484855454,10,22
1484866856,4,13
1484877650,0,32
1484887851,10,28
1484899258,6,0
1484909457,4,33
1484919655,0,17
1484931055,2,39
1484941862,15,14
1484952055,5,26
1484964654,7,35
1484974255,1,33
1484985049,6,39
1484996457,2,0
1485006656,3,37
1485012056,2,23
1485022253,2,0
1485033652,6,31
1485045055,4,24
1485055251,0,8
1485065455,1,32
1485076854,6,7
1485090647,7,15
1485102653,4,12
1485112855,2,11
1485124251,4,8
1485137453,8,42
1485151851,4,32
1485163255,1,19
1485168647,1,14
1485195365,3,19
1485205564,54,28
1485217564,9,9
1485227764,7,39
1485239162,10,0
1485249364,11,18
1485266764,3,47
1485278163,9,0
1485289563,4,23
1485300363,5,13
1485311762,8,37
1485321961,2,43
1485335763,3,24
1485357026,3,15
1485368426,148,48
1485381025,6,7
1485394824,27,39
1485407425,1,31
1485417626,26,19
1485433824,15,19
1485446423,6,23
1485457222,4,9
1485468022,16,11
1485478822,3,30
1485489622,2,20
1485499820,5,20
1485516024,15,63
1485527424,5,0
1485540618,5,17
1485552023,3,19
1485562822,12,39
1485584421,12,45
1485595225,1,24
1485605425,4,14
1485616825,2,14
1485627624,7,11
1485638423,5,19
1485650423,7,17
1485661822,7,15
1485672621,6,20
1485684024,1,19
1485694225,3,11
1485704424,4,13
1485715823,210,13
1485729623,10,13
1485742222,18,33
1485754222,7,7
1485765024,31,42
1485786624,8,14
1485797424,8,17
1485808823,13,21
1485819623,5,27
1485833422,4,30
1485844221,7,19
1485855624,5,16
1485876624,14,19
1485887423,155,16
1485900624,9,31
1485915622,26,42
1485929422,9,46
1485944424,32,29
1485955842,12,18
1485966624,14,21
1485977424,18,23
1485989423,10,21
1486003822,11,24
1486015222,3,85
1486028425,8,50
1486041024,9,19
1486055424,10,63
1486070424,161,20
1486084222,33,27
1486096222,9,44
1486107622,23,25
1486119624,4,0
1486131025,13,28
1486143623,8,18
1486154422,117,19
1486162223,2,22
1486176623,38,10
1486190426,13,25
1486209628,40,64
1486223432,14,30
1486234828,8,17
1486246227,14,45
1486258827,12,25
1486273226,11,34
1486287629,2,21
1486300228,14,30
1486314028,8,14
1486325427,32,14
1486332627,3,13
1486347027,12,21
1486359627,6,11
1486369829,6,11
1486380029,9,0
1486392028,15,11
1486410028,12,23
1486420228,4,21
1486432827,15,10
1486443027,4,40
1486455029,5,0
1486465229,5,8
1486477230,10,7
1486491628,8,14
1486505427,6,15
1486517427,5,32
1486527626,4,42
1486539026,5,23
1486549829,11,29
1486568429,9,14
