DateTime,Entries,UniqueIPs
1484655652,3589,3698
1484666450,3575,3683
1484671856,3549,3655
1484682059,3563,3669
1484693455,3560,3669
1484704256,3546,3655
1484715053,3543,3652
1484726459,3541,3651
1484737261,3537,3648
1484748058,3523,3634
1484757653,3529,3640
1484768456,3515,3624
1484779857,3502,3609
1484790657,3501,3607
1484802054,3482,3587
1484812862,3488,3598
1484823660,3461,3571
1484833856,3440,3548
1484844652,3430,3538
1484855454,3436,3543
1484866856,3416,3522
1484877650,3409,3516
1484887851,3403,3509
1484899258,3398,3504
1484909457,3371,3482
1484919655,3368,3479
1484931055,3347,3460
1484941862,3349,3464
1484952055,3344,3459
1484964654,3348,3464
1484974255,3337,3452
1484985049,3331,3444
1484996457,3339,3452
1485006656,3335,3446
1485012056,3305,3413
1485022253,3312,3420
1485033652,3314,3420
1485045055,3310,3414
1485055251,3300,3404
1485065455,3288,3389
1485076854,3295,3397
1485090647,3274,3377
1485102653,3271,3375
1485112855,3261,3365
1485124251,3261,3367
1485137453,3272,3378
1485151851,3240,3343
1485163255,3227,3329
1485168647,3212,3312
1485195365,3200,3298
1485205564,3239,3336
1485217564,3256,3353
1485227764,3252,3349
1485239162,3274,3369
1485249364,3272,3367
1485266764,3242,3320
1485278163,3289,3373
1485289563,3263,3348
1485300363,3276,3364
1485311762,3280,3369
1485321961,3297,3389
1485335763,3284,3374
1485357026,3277,3364
1485368426,3445,3534
1485381025,3457,3552
1485394824,3485,3582
1485407425,3478,3571
1485417626,3486,3580
1485433824,3514,3613
1485446423,3514,3612
1485457222,3518,3618
1485468022,3529,3631
1485478822,3525,3628
1485489622,3512,3616
1485499820,3508,3613
1485516024,3508,3612
1485527424,3507,3610
1485540618,3498,3604
1485552023,3492,3597
1485562822,3493,3596
1485584421,3497,3602
1485595225,3487,3591
1485605425,3493,3596
1485616825,3496,3601
1485627624,3485,3593
1485638423,3490,3598
1485650423,3488,3596
1485661822,3489,3598
1485672621,3484,3593
1485684024,3468,3576
1485694225,3464,3574
1485704424,3477,3587
1485715823,3691,3800
1485729623,3697,3809
1485742222,3684,3795
1485754222,3703,3814
1485765024,3735,3848
1485786624,3722,3834
1485797424,3739,3853
1485808823,3752,3866
1485819623,3758,3870
1485833422,3745,3855
1485844221,3716,3825
1485855624,3712,3824
1485876624,3731,3840
1485887423,3886,3999
1485900624,3896,4008
1485915622,3903,4018
1485929422,3898,4016
1485944424,3902,4013
1485955842,3922,4033
1485966624,3919,4028
1485977424,3928,4038
1485989423,3910,4026
1486003822,3922,4035
1486015222,3904,4017
1486028425,3911,4024
1486041024,3931,4044
1486055424,3913,4027
1486070424,4039,4162
1486084222,4074,4202
1486096222,4062,4190
1486107622,4061,4193
1486119624,4074,4206
1486131025,4079,4213
1486143623,4079,4216
1486154422,4192,4331
1486162223,4189,4323
1486176623,4209,4342
1486190426,4218,4353
1486209628,4252,4388
1486223432,4266,4402
1486234828,4265,4401
1486246227,4272,4409
1486258827,4280,4417
1486273226,4284,4417
1486287629,4280,4413
1486300228,4292,4424
1486314028,4282,4416
1486325427,4298,4436
1486332627,4289,4426
1486347027,4306,4444
1486359627,4276,4410
1486369829,4243,4379
1486380029,4259,4395
1486392028,4264,4401
1486410028,4258,4397
1486420228,4260,4398
1486432827,4252,4392
1486443027,4243,4382
1486455029,4245,4385
1486465229,4234,4372
1486477230,4250,4389
1486491628,4247,4386
1486505427,4239,4379
1486517427,4203,4342
1486527626,4188,4327
1486539026,4180,4316
1486549829,4181,4319
1486568429,4176,4317
1486580428,4172,4313
1486591828,4164,4308
1486606227,4165,4308
1486618226,4157,4297
1486630829,4134,4274
1486647629,4089,4229
1486660828,4066,4204
1486672828,4075,4215
1486684228,4040,4168
1486695026,4041,4168
1486705827,4029,4156
1486717229,4018,4141
1486739428,3984,4104
1486751427,3978,4099
1486762228,3966,4088
1486773028,3943,4063
1486784428,3935,4056
1486794027,3911,4031
1486805429,3923,4044
1486816229,3910,4032
1486827032,3894,4018
1486837228,3913,4037
1486848028,3905,4031
1486859427,3900,4026
1486870227,3879,4007
1486881027,3870,3997
1486891829,3859,3986
1486902028,3867,3995
1486915228,3852,3981
1486926028,3845,3975
1486947027,3832,3956
1486960826,3814,3938
1486973430,3812,3937
1486987228,3808,3931
1486998031,3754,3877
1487008828,3778,3901
1487019629,3774,3897
1487030428,3767,3889
1487044227,3756,3880
1487055627,3754,3873
1487077228,3740,3861
1487088028,3719,3839
1487098228,3704,3824
1487115028,3700,3821
1487129429,3699,3819
1487140226,3691,3806
1487150429,3686,3799
1487161228,3672,3787
1487172628,3682,3798
1487194228,3684,3796
1487205026,3672,3784
1487216426,3667,3781
1487227827,3664,3775
1487241029,3664,3774
1487252429,3667,3777
1487262629,3658,3771
1487273428,3646,3761
1487284228,3642,3757
1487295627,3632,3747
1487308826,3627,3745
1487320229,3636,3754
1487331028,3623,3742
1487341829,3622,3741
1487352028,3634,3753
1487362828,3628,3750
1487374227,3631,3752
1487386226,3631,3752
1487397626,3625,3746
1487407830,3628,3747
1487419229,3631,3751
1487430030,3635,3756
1487440228,3633,3753
1487451027,3637,3760
1487462428,3639,3762
1487475628,3643,3765
1487487632,3630,3754
1487498429,3631,3752
1487509228,3622,3743
1487521830,3620,3741
1487532029,3619,3742
1487542828,3632,3756
1487554226,3633,3756
1487565026,3628,3750
1487575826,3636,3758
1487586029,3634,3754
1487598029,3632,3753
1487609429,3622,3742
1487620228,3623,3743
1487631028,3609,3729
1487642426,3604,3724
1487653227,3595,3714
1487663427,3570,3688
1487674229,3579,3697
1487686829,3577,3696
1487700028,3578,3697
1487710828,3572,3691
1487721627,3559,3676
1487733033,3550,3667
1487743226,3561,3678
1487754028,3566,3683
1487764828,3561,3678
1487775028,3549,3666
1487785827,3523,3638
1487796028,3513,3628
1487807427,3523,3639
1487818826,3514,3629
1487829026,3511,3627
1487839829,3495,3610
1487850030,3496,3611
1487861429,3481,3595
1487872228,3492,3606
1487882428,3474,3588
1487893228,3480,3594
1487904627,3469,3581
1487915427,3466,3576
1487926229,3466,3578
1487937030,3464,3576
1487947831,3463,3574
1487959228,3464,3576
1487969428,3458,3571
1487980228,3456,3568
1487991627,3455,3567
1488001826,3445,3556
1488012629,3461,3573
1488023429,3456,3569
1488034230,3460,3570
1488045629,3457,3567
1488055828,3449,3558
1488066028,3458,3567
1488078027,3453,3562
1488088227,3447,3556
1488098430,3447,3556
1488109230,3446,3555
1488120629,3433,3541
1488131429,3433,3540
1488142228,3427,3534
1488152428,3415,3519
1488163828,3412,3516
1488175227,3392,3495
1488185429,3384,3486
1488196229,3375,3478
1488208228,3367,3469
1488218429,3352,3453
1488228028,3346,3445
1488239427,3337,3433
1488250828,3342,3438
1488261026,3341,3439
1488271829,3331,3430
1488283229,3330,3427
1488293429,3322,3419
1488304829,3314,3409
1488315629,3323,3418
1488326428,3304,3400
1488336627,3306,3402
1488347427,3296,3392
1488357628,3279,3375
1488368428,3280,3376
1488379828,3276,3373
1488390628,3252,3346
1488401425,3255,3351
1488412225,3236,3331
1488423024,3245,3340
1488433224,3237,3335
1488444026,3231,3329
1488455426,3216,3315
1488465626,3207,3306
1488476425,3212,3311
1488487224,3223,3322
1488498625,3213,3312
1488509424,3203,3301
1488520223,3210,3308
1488531026,3218,3315
1488541826,3216,3309
1488552626,3212,3304
1488563425,3187,3278
1488573625,3192,3283
1488585025,3188,3276
1488595824,3183,3271
1488606023,3180,3268
1488618027,3171,3258
1488627626,3159,3246
1488638426,3170,3257
1488649226,3172,3260
1488660025,3168,3255
1488674425,3167,3256
1488688223,3150,3241
1488699624,3147,3239
1488713427,3151,3240
1488726024,3146,3236
1488740424,3136,3225
1488751225,3131,3221
1488761424,3127,3214
1488771624,3111,3197
1488783624,3104,3188
1488794425,3100,3184
1488808225,3100,3184
1488819026,3096,3178
1488829825,3094,3179
1488840625,3090,3175
1488851425,3083,3166
1488865223,3086,3170
1488875426,3081,3166
1488885027,3076,3162
1488899425,3073,3156
1488914425,3041,3126
1488927624,3036,3120
1488942023,3026,3110
1488956424,3002,3088
1488970827,2992,3076
1488982224,2998,3081
1488993024,2991,3077
1489006823,2993,3080
1489020024,2968,3055
1489030824,2966,3052
1489042823,2961,3048
1489056026,2964,3052
1489070426,2957,3046
1489081826,2957,3049
1489093825,2932,3024
1489105825,2920,3014
1489116623,2904,2998
1489129824,2885,2978
1489142426,2876,2966
1489155026,2864,2954
1489168824,2852,2942
1489181425,2820,2910
1489195824,2810,2898
1489210223,2806,2893
1489224626,2799,2887
1489238428,2776,2863
1489249826,2766,2850
1489263625,2760,2844
1489277424,2755,2838
1489289424,2746,2829
1489303225,2745,2827
1489317625,2744,2822
1489332024,2741,2819
1489342825,2718,2797
1489357224,2727,2806
1489368624,2705,2781
1489382423,2693,2767
1489393225,2677,2751
1489404026,2665,2739
1489418425,2661,2733
1489429825,2649,2719
1489444226,2641,2711
1489458025,2627,2698
1489472422,2595,2664
1489484425,2582,2650
1489498225,2571,2636
1489512617,2558,2624
1489527018,2547,2611
1489541418,2527,2589
1489555216,2517,2578
1489569619,2517,2577
1489583419,2511,2571
1489596021,2503,2563
1489608018,2493,2554
1489619419,2482,2536
1489631417,2472,2524
1489645217,2463,2512
1489656620,2447,2495
1489667418,2447,2496
1489681818,2446,2497
1489693218,2451,2499
1489707019,2459,2505
1489721419,2452,2498
1489735820,2445,2491
1489750220,2428,2472
1489761619,2424,2470
1489773621,2432,2478
1489788019,2437,2484
1489802421,2442,2490
1489816818,2449,2497
1489827618,2457,2505
1489838420,2473,2523
1489851620,2477,2528
1489864819,2475,2527
1489876217,2480,2532
1489889417,2478,2530
1489903218,2467,2520
1489917621,2470,2523
1489928418,2468,2521
1489942819,2460,2512
1489957217,2454,2505
1489971618,2462,2513
