DateTime,AddedIPs,RemovedIPs
1488401763,2,0
1488405362,3,0
1488408962,8,0
1488412562,2,0
1488416163,4,0
1488419763,7,0
1488423362,2,0
1488426965,2,0
1488430562,9,0
1488437763,3,0
1488441363,13,0
1488444963,19,0
1488448562,8,18
1488452162,7,12
1488455762,4,0
1488459362,3,16
1488462962,6,0
1488466562,4,22
1488470163,4,0
1488473762,14,22
1488477363,2,0
1488480962,3,11
1488484563,9,0
1488488163,4,11
1488491763,5,6
1488495362,9,0
1488498963,2,8
1488502562,4,0
1488506165,3,8
1488509766,1,0
1488513363,4,11
1488516963,4,0
1488520563,3,9
1488524163,6,9
1488527763,7,6
1488531362,6,0
1488534962,6,9
1488538562,9,8
1488542162,7,0
1488545763,4,10
1488549362,11,13
1488552962,4,12
1488556562,7,6
1488560163,6,0
1488563762,2,0
1488567362,4,12
1488570963,5,5
1488574563,3,20
1488578163,6,0
1488581763,6,23
1488585363,5,0
1488588963,4,7
1488592563,9,0
1488596163,7,14
1488599763,1,8
1488603362,0,8
1488606962,5,0
1488610563,6,23
1488614162,7,0
1488617762,7,8
1488621362,4,23
1488624963,12,6
1488628563,11,0
1488632162,2,13
1488635763,8,15
1488639362,3,0
1488642962,5,26
1488646563,7,0
1488650162,10,4
1488653762,5,7
1488657363,8,0
1488660963,1,11
1488664563,8,0
1488668164,7,19
1488678963,17,17
1488682562,4,0
1488686163,3,7
1488689762,6,11
1488693362,7,0
1488696963,6,9
1488700563,9,0
1488704162,12,4
1488707763,8,0
1488711362,13,14
1488714963,6,0
1488718563,3,4
1488722162,5,26
1488725763,0,9
1488729362,5,8
1488732962,4,3
1488736563,3,3
1488740163,8,6
1488743762,7,6
1488747363,7,5
1488750964,5,0
1488754563,4,2
1488758163,5,13
1488765363,1,14
1488768962,3,0
1488772562,1,6
1488776163,2,8
1488786964,24,17
1488790562,25,15
1488794163,22,20
1488797762,33,0
1488801363,16,7
1488804962,24,9
1488808563,40,0
1488812162,14,4
1488815763,15,7
1488819363,5,6
1488822962,8,0
1488826562,7,7
1488830163,8,16
1488833763,8,0
1488837363,57,19
1488840962,122,18
1488844563,21,6
1488848162,11,0
1488851763,12,4
1488855362,1,15
1488858968,1,10
1488862563,7,0
1488866162,2,11
1488869762,4,0
1488873363,10,6
1488876962,30,7
1488880563,14,15
1488884162,9,0
1488887762,5,16
1488891362,3,0
1488894963,0,5
1488898562,0,3
1488902163,3,2
1488905762,4,13
1488909362,9,1
1488912962,4,5
1488916562,2,0
1488920162,1,11
1488923762,1,26
1488927364,12,0
1488930962,1,10
1488934562,2,0
1488938163,7,13
1488941763,2,0
1488945363,0,3
1488948962,9,25
1488952562,14,9
1488956163,9,0
1488959762,4,20
1488963362,6,13
1488970563,6,11
1488974162,7,0
1488977763,8,29
1488981362,9,6
1488984963,5,0
1488988562,6,17
1488992162,5,5
1488995762,4,0
1488999362,4,8
1489002962,7,6
1489006563,1,7
1489010163,11,0
1489013763,15,17
1489017362,8,9
1489020963,5,0
1489024563,5,24
1489028162,0,8
1489035362,10,11
1489038963,3,0
1489042563,15,7
1489046163,9,9
1489049762,11,0
1489053362,18,31
1489485363,111,927
1489488963,31,0
1489492562,23,20
1489496163,5,0
1489499763,12,13
1489503363,11,0
1489506962,27,19
1489510562,9,0
1489514162,27,11
1489517763,17,0
1489521363,9,12
1489524962,5,0
1489528562,9,30
1489532163,10,0
1489535763,0,16
1489539363,6,0
1489542964,9,6
1489546563,12,22
1489550163,2,15
1489553762,8,17
1489557362,7,11
1489560964,8,0
1489564562,13,12
1489568164,13,7
1489571763,15,10
1489575362,7,24
1489578962,19,0
1489582562,22,8
1489586162,13,19
1489589762,9,16
1489593362,2,7
1489596963,3,0
1489600562,5,16
1489604162,15,30
1489607762,14,0
1489611362,2,31
1489614962,17,9
1489618562,12,10
1489622162,3,0
1489625763,10,21
1489629363,10,0
1489632963,2,18
1489636562,3,22
1489640162,7,9
1489643763,4,0
1489647363,4,13
1489650963,3,10
1489654563,5,19
1489658163,5,0
1489661762,5,55
1489665362,9,0
1489668962,1,18
1489672562,6,5
1489676162,6,0
1489679762,5,24
1489683363,7,0
1489686962,15,19
1489690562,6,0
1489694162,9,20
1489697763,2,0
1489701362,5,34
1489704963,7,6
1489712162,4,8
1489715762,8,21
1489719362,4,11
1489722963,4,16
1489726562,5,0
1489730162,1,27
1489733762,5,0
1489737363,2,14
1489740963,10,37
1489744562,3,19
1489748162,8,0
1489751762,4,20
1489755362,29,0
1489758962,9,14
1489762562,10,11
1489766162,6,26
1489769762,5,18
1489773362,3,0
1489776962,7,8
1489780562,13,21
1489784163,6,0
1489787762,9,32
1489791362,9,8
1489794962,3,0
1489798563,9,30
1489802163,6,0
1489805762,1,27
1489809362,1,24
1489812962,3,20
1489816562,6,29
1489820162,30,0
1489823762,6,146
1489827363,2,0
1489834563,9,0
1489838163,12,0
1489841762,8,0
1489845362,2,0
1489852563,4,0
1489856163,4,0
1489859762,6,0
1489863362,8,0
1489866962,17,0
1489870562,8,0
1489874163,10,0
1489877763,7,0
1489881362,2,0
1489884964,2,0
1489888563,8,0
1489892162,2,0
1489895764,5,0
1489899363,8,0
1489902963,9,0
1489906563,7,0
1489910163,6,0
1489913762,9,0
1489917363,6,0
1489920963,5,0
1489924563,8,0
1489928162,4,0
1489931762,5,0
1489935362,6,0
1489938963,12,0
1489942563,3,0
1489946162,7,0
1489949763,7,0
1489953364,11,0
1489960562,5,0
1489964162,6,0
1489967763,2,0
1489971362,1,0
1489974963,3,0
1489978562,3,0
1489982163,1,0
1489985763,5,0
1489989362,3,0
1489992962,4,0
1489996563,6,0
1490000163,5,0
1490003763,9,0
1490007362,10,0
1490010964,13,0
1490014562,2,0
1490018164,7,0
1490021763,5,0
1490025363,5,0
1490028962,5,0
1490032562,5,0
1490036163,4,0
1490039763,7,0
1490043362,2,0
1490046963,8,0
1490050562,9,0
1490054163,1,0
1490057762,1,0
1490061363,6,0
1490064963,3,0
1490068563,1,0
1490072163,6,0
1490075763,5,0
1490079362,2,0
1490082964,7,0
1490086562,9,0
1490090163,9,0
1490093763,7,0
1490097363,7,0
1490100963,5,0
1490104562,7,0
1490108162,18,0
1490111763,7,0
1490115363,5,0
1490118962,4,0
1490122563,4,0
1490126162,4,0
1490129762,1,0
1490133362,12,0
1490136963,6,0
1490140562,3,0
1490144163,2,0
1490147762,8,0
1490151363,3,0
1490154963,4,0
1490158563,12,0
1490162163,5,0
1490165762,7,0
1490169363,2,0
1490172963,10,0
1490176563,13,0
1490180162,9,0
1490183762,5,0
1490187363,2,0
1490190963,13,0
1490194562,12,0
1490198163,7,0
1490201763,1,0
1490205363,5,0
1490208962,2,0
1490212562,8,0
1490216163,2,0
1490219763,17,0
1490223362,10,0
1490226962,5,0
1490234163,5,0
1490241362,6,0
