DateTime,Entries,UniqueIPs
1488430562,3309,3328
1488434162,3312,3331
1488437763,3317,3336
1488441363,3336,3355
1488444963,3359,3378
1488448562,3371,3390
1488452162,3385,3404
1488455762,3390,3409
1488459362,3394,3413
1488462962,3402,3421
1488466562,3408,3427
1488470163,3415,3434
1488473762,3428,3449
1488477363,3432,3453
1488480962,3437,3458
1488484563,3446,3467
1488488163,3454,3475
1488491763,3464,3485
1488495362,3473,3494
1488498963,3468,3489
1488502562,3472,3493
1488506165,3455,3475
1488509766,3456,3476
1488513363,3444,3464
1488516963,3450,3470
1488520563,3432,3452
1488524163,3439,3459
1488527763,3440,3460
1488531362,3440,3459
1488534962,3388,3406
1488538562,3394,3412
1488542162,3403,3421
1488545763,3396,3414
1488549362,3396,3415
1488552962,3367,3386
1488556562,3365,3384
1488560163,3373,3392
1488563762,3367,3386
1488567362,3364,3383
1488570963,3354,3373
1488574563,3357,3376
1488578163,3327,3346
1488581763,3335,3354
1488585363,3340,3359
1488588963,3323,3343
1488592563,3334,3354
1488596163,3324,3344
1488599763,3304,3324
1488603362,3272,3292
1488606962,3279,3299
1488610563,3253,3273
1488614162,3262,3282
1488617762,3260,3280
1488621362,3225,3245
1488624963,3244,3264
1488628563,3213,3233
1488632162,3196,3216
1488635763,3188,3208
1488639362,3168,3188
1488642962,3162,3182
1488646563,3170,3190
1488650162,3160,3180
1488653762,3158,3178
1488657363,3168,3188
1488660963,3153,3173
1488664563,3163,3183
1488668164,3153,3172
1488678963,3123,3142
1488682562,3115,3134
1488686163,3119,3138
1488689762,3101,3120
1488693362,3108,3127
1488696963,3087,3106
1488700563,3077,3096
1488704162,3091,3110
1488707763,3068,3086
1488711362,3050,3067
1488714963,3061,3078
1488718563,3056,3073
1488722162,3025,3040
1488725763,3011,3026
1488729362,3018,3033
1488732962,2995,3010
1488736563,2999,3014
1488740163,2991,3006
1488743762,3001,3016
1488747363,2991,3007
1488750964,3002,3018
1488754563,2983,2998
1488758163,2977,2992
1488761763,2956,2970
1488765363,2941,2955
1488768962,2932,2946
1488772562,2933,2947
1488776163,2915,2930
1488786964,2904,2919
1488790562,2912,2927
1488794163,2937,2952
1488797762,2950,2964
1488801363,2927,2943
1488804962,2890,2906
1488808563,2940,2956
1488812162,2946,2962
1488815763,2932,2948
1488819363,2927,2943
1488822962,2937,2953
1488826562,2926,2942
1488830163,2931,2947
1488833763,2940,2956
1488837363,2996,3012
1488840962,3117,3132
1488844563,3127,3142
1488848162,3127,3142
1488851763,3139,3154
1488855362,3117,3132
1488858968,3099,3114
1488862563,3108,3123
1488866162,3085,3099
1488869762,3074,3088
1488873363,3087,3102
1488876962,3109,3124
1488880563,3108,3124
1488884162,3122,3138
1488887762,3118,3133
1488891362,3121,3136
1488894963,3096,3111
1488898562,3073,3089
1488902163,3057,3072
1488905762,3048,3063
1488909362,3055,3070
1488912962,3051,3066
1488916562,3054,3069
1488920162,3051,3066
1488923762,3038,3053
1488927364,3052,3067
1488930962,3052,3067
1488934562,3053,3068
1488938163,3025,3040
1488941763,3028,3043
1488945363,3019,3033
1488948962,3008,3022
1488952562,3015,3029
1488956163,3024,3039
1488959762,2999,3012
1488963362,2997,3010
1488970563,2978,2991
1488974162,2987,3000
1488977763,2963,2976
1488981362,2977,2990
1488984963,2974,2986
1488988562,2947,2959
1488992162,2944,2956
1488995762,2947,2960
1488999362,2940,2953
1489002962,2949,2962
1489006563,2948,2961
1489010163,2929,2942
1489013763,2948,2961
1489017362,2951,2964
1489020963,2956,2969
1489024563,2947,2961
1489028162,2934,2948
1489035362,2935,2950
1489038963,2934,2949
1489042563,2943,2958
1489046163,2912,2927
1489049762,2925,2940
1489053362,2940,2955
1489485363,1474,1485
1489488963,1523,1535
1489492562,1541,1553
1489496163,1537,1548
1489499763,1541,1552
1489503363,1553,1564
1489506962,1577,1588
1489510562,1595,1606
1489514162,1628,1640
1489517763,1634,1648
1489521363,1633,1647
1489524962,1639,1653
1489528562,1633,1647
1489532163,1643,1657
1489535763,1636,1650
1489539363,1634,1648
1489542964,1651,1665
1489546563,1648,1662
1489550163,1634,1647
1489553762,1624,1637
1489557362,1613,1626
1489560964,1594,1607
1489564562,1615,1628
1489568164,1600,1612
1489571763,1575,1587
1489575362,1569,1581
1489578962,1586,1599
1489582562,1613,1627
1489586162,1624,1638
1489589762,1601,1613
1489593362,1604,1616
1489596963,1599,1611
1489600562,1585,1597
1489604162,1608,1620
1489607762,1617,1630
1489611362,1582,1595
1489614962,1580,1593
1489618562,1590,1603
1489622162,1594,1607
1489625763,1579,1591
1489629363,1595,1608
1489632963,1583,1596
1489636562,1561,1574
1489640162,1547,1560
1489643763,1514,1525
1489647363,1520,1531
1489650963,1511,1521
1489654563,1452,1461
1489658163,1461,1470
1489661762,1294,1302
1489665362,1309,1318
1489668962,1313,1322
1489672562,1325,1334
1489676162,1334,1344
1489679762,1343,1353
1489683363,1352,1362
1489686962,1385,1395
1489690562,1394,1404
1489694162,1403,1413
1489697763,1408,1418
1489701362,1418,1428
1489704963,1429,1439
1489712162,1438,1448
1489715762,1451,1462
1489719362,1461,1472
1489722963,1467,1478
1489726562,1478,1489
1489730162,1480,1492
1489733762,1490,1502
1489737363,1496,1508
1489740963,1514,1526
1489744562,1522,1534
1489748162,1534,1546
1489751762,1542,1554
1489755362,1589,1601
1489758962,1606,1618
1489762562,1623,1635
1489766162,1634,1646
1489769762,1643,1655
1489773362,1651,1663
1489776962,1662,1674
1489780562,1684,1696
1489784163,1694,1706
1489787762,1707,1719
1489791362,1719,1731
1489794962,1722,1734
1489798563,1732,1744
1489802163,1740,1752
1489805762,1743,1755
1489809362,1746,1758
1489812962,1750,1762
1489816562,1756,1768
1489820162,1796,1809
1489823762,1803,1816
1489827363,1805,1818
1489834563,1821,1834
1489838163,1843,1856
1489841762,1852,1865
1489845362,1855,1868
1489852563,1861,1875
1489856163,1867,1881
