DateTime,AddedIPs,RemovedIPs
1488430562,73,71
1488434162,55,54
1488437763,70,68
1488441363,113,113
1488444963,97,96
1488448562,73,72
1488452162,84,82
1488455762,71,71
1488459362,59,59
1488462962,89,89
1488466562,66,66
1488470163,90,90
1488473762,120,121
1488477363,66,65
1488480962,60,60
1488484563,84,86
1488488163,51,54
1488491763,83,80
1488495362,81,81
1488498963,59,60
1488502562,57,57
1488506165,65,64
1488509766,63,68
1488513363,61,61
1488516963,74,74
1488520563,58,56
1488524163,69,66
1488527763,54,56
1488531362,72,71
1488534962,71,74
1488538562,70,69
1488542162,82,81
1488545763,59,59
1488549362,73,71
1488552962,68,68
1488556562,71,71
1488560163,62,61
1488563762,67,68
1488567362,59,60
1488570963,69,67
1488574563,45,45
1488578163,75,75
1488581763,72,73
1488585363,50,49
1488588963,54,55
1488592563,94,94
1488596163,110,112
1488599763,63,64
1488603362,67,65
1488606962,57,57
1488610563,73,75
1488614162,70,70
1488617762,71,69
1488621362,65,66
1488624963,88,86
1488628563,87,86
1488632162,64,65
1488635763,79,79
1488639362,72,71
1488642962,67,69
1488646563,60,61
1488650162,99,98
1488653762,66,64
1488657363,78,80
1488660963,49,48
1488664563,80,79
1488668164,71,71
1488678963,98,98
1488682562,70,70
1488686163,62,62
1488689762,67,66
1488693362,64,66
1488696963,69,71
1488700563,68,67
1488704162,81,80
1488707763,57,59
1488711362,78,79
1488714963,73,72
1488718563,55,54
1488722162,92,92
1488725763,50,49
1488729362,77,77
1488732962,68,68
1488736563,64,63
1488740163,68,68
1488743762,67,67
1488747363,76,76
1488750964,74,75
1488754563,88,87
1488758163,47,47
1488761763,50,49
1488765363,60,60
1488768962,79,80
1488772562,52,56
1488776163,67,64
1488786964,132,133
1488790562,106,106
1488794163,86,86
1488797762,150,153
1488801363,75,73
1488804962,83,84
1488808563,179,178
1488812162,60,58
1488815763,77,76
1488819363,68,68
1488822962,74,74
1488826562,62,61
1488830163,75,75
1488833763,61,61
1488837363,174,174
1488840962,226,228
1488844563,65,65
1488848162,55,56
1488851763,72,74
1488855362,70,72
1488858968,70,67
1488862563,63,66
1488866162,59,56
1488869762,71,75
1488873363,80,78
1488876962,146,144
1488880563,117,118
1488884162,121,118
1488887762,112,112
